,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp
gameId,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss
201411040IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411040LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411040MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411040NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411040NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411040POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411040TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050BRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050CHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411050WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411060HOU,HOU,240,34,73.8,0.4614,14.2,32.2,0.4432,23.4,32.2,0.7344,10.8,32.4,43.2,21.8,8.6,5.6,17,24.6,105.6,0.603,0.558,0.4384,0.438,30.54,74.02,54.62,65.16,9.44,9.44,16.22,100,116.6,100.9,47.6475,47.6475,2.2228,0.4584,HOU,240,33.4,81.2,0.4132,6,20.6,0.2872,18.6,24.8,0.7556,11.4,24.4,35.8,17.4,8.8,4.6,13.2,23,91.4,0.5004,0.4528,0.2558,0.3128,25.98,69.46,45.38,52.5,9.62,10.82,12.68,100,100.9,116.6,47.39,47.39,1.9354,0.3666
201411060POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411070BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411070BRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411070CHO,CHO,245,34.4,81,0.4256,5.4,17.8,0.3072,17.2,23.6,0.7412,9.4,33.6,43,22,7,5,13.2,18.2,91.4,0.5014,0.4592,0.2198,0.2936,22.3,81.96,51.98,63.96,7.56,8.12,12.86,100,99.42,100.64,48.005,49.14848958,1.9064,0.4576,CHO,245,35,79.2,0.442,5.4,16.2,0.3466,17,20.8,0.8076,7.4,32.2,39.6,21.8,6.6,4,12.8,23.4,92.4,0.5224,0.4758,0.2052,0.2638,18.06,77.7,48.02,62,7.1,5.8,12.6,100,100.64,99.42,47.24,48.30666667,1.958,0.4622
201411070DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411070DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411070OKC,OKC,240,32.8,74.6,0.4428,5.6,20.2,0.269,19.6,27.4,0.7042,9.8,33.4,43.2,20.6,5.8,3.8,16.8,23.8,90.8,0.5268,0.481,0.2748,0.3746,25.68,73.9,52.38,63.2,6.36,6.82,16.36,100,99.74,111.52,47.3075,47.3075,1.9182,0.4352,OKC,240,36.8,83.8,0.4392,8.8,27.8,0.3234,18.8,23.8,0.7872,11.8,27.6,39.4,21.4,7,5.8,11.2,23.4,101.2,0.537,0.4912,0.332,0.2846,26.1,74.34,47.66,58.4,7.72,10.3,10.62,100,111.52,99.74,47.2525,47.2525,2.1448,0.4538
201411070ORL,ORL,240,36.8,82.6,0.4478,5.2,16,0.3386,12.8,19,0.6832,11.2,34.4,45.6,19.4,5.8,5.2,17,25.4,91.6,0.5058,0.4798,0.1944,0.2348,23.94,74.92,49.7,52.84,6.1,7.86,15.68,100,96.94,106.16,48.7125,48.7125,1.8824,0.4004,ORL,240,36.2,83.2,0.4376,6,18.2,0.35,21.8,31,0.695,12.6,33.6,46.2,20,8.4,8.4,12,19.8,100.2,0.5218,0.4746,0.2218,0.3738,25.08,76.06,50.3,55.4,8.82,11.94,11.2,100,106.16,96.94,48.6625,48.6625,2.0636,0.4124
201411070PHI,PHI,240,33.4,78.6,0.4302,7.4,22.8,0.3254,15.8,24.8,0.6382,8.6,29.4,38,21.2,10.4,7.2,17.6,21.2,90,0.5088,0.4786,0.2936,0.3182,18.96,69.32,44.56,63.36,10.78,12.2,16.58,100,93.3,104.74,49.69,49.69,1.813,0.4266,PHI,240,37.2,83,0.4484,9.6,25.4,0.3632,17,24,0.7146,13,34.6,47.6,24.2,10.8,6.6,19.2,20.6,101,0.5406,0.5076,0.3102,0.294,30.68,81.04,55.44,65.62,11.14,10.78,17,100,104.74,93.3,50.3,50.3,2.01,0.4816
201411070PHO,PHO,240,37.8,83.2,0.456,7.8,24,0.3102,18,22.2,0.8094,9,33.2,42.2,19.2,6.4,5.2,12.6,23.4,101.4,0.5484,0.504,0.291,0.2672,21.26,75.22,48.7,50.02,6.74,8.16,12.08,100,106.72,108.1,48.6725,48.6725,2.0836,0.391,PHO,240,37.2,84,0.443,6.8,19.4,0.3602,21.6,27.8,0.7788,11.2,33,44.2,20,7.8,4.2,13.2,20.8,102.8,0.5346,0.484,0.2324,0.328,24.78,78.74,51.3,54,8.18,6.82,12.16,100,108.1,106.72,49.6025,49.6025,2.0694,0.4048
