MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,1xBet_H,1xBet_A,bet-at-home_H,bet-at-home_A,bet365_H,bet365_A,bwin_H,bwin_A,Coolbet_H,Coolbet_A,Marathonbet_H,Marathonbet_A,Pinnacle_H,Pinnacle_A,Unibet_H,Unibet_A,William Hill_H,William Hill_A
1,2018-2019,Golden State Warriors,Toronto Raptors,2019-06-13,110,114,-135,0.9277075316107751,-145,0.9281782102163615,-141,0.9279978939054889,-143,0.9280893042575284,-133,0.9276049658250801,-141,0.9279978939054889,-137,0.9278071244751456,-135,0.9277075316107751,-141,0.9279978939054889
2,2018-2019,Toronto Raptors,Golden State Warriors,2019-06-10,105,106,100,0.9440196356084205,-105,0.9257626520895786,-105,0.9257626520895786,-105,0.9257626520895786,104,0.943653026041194,100,0.9440196356084205,-108,0.9260053159564433,100,0.9440196356084205,100,0.9440196356084205
3,2018-2019,Golden State Warriors,Toronto Raptors,2019-06-07,92,105,-200,0.9299297903008322,-217,0.9302923776043899,-222,0.9303885000628641,-222,0.9303885000628641,-213,0.9302122456109703,-204,0.9300205151584227,-213,0.9302122456109703,-217,0.9302923776043899,-208,0.9301077672941913
4,2018-2019,Golden State Warriors,Toronto Raptors,2019-06-05,109,123,-143,0.9280893042575284,-149,0.9283489096573206,-152,0.9284710769042819,-175,0.929269328802039,-145,0.9281782102163615,-149,0.9283489096573206,-143,0.9280893042575284,-149,0.9283489096573206,-141,0.9279978939054889
5,2018-2019,Toronto Raptors,Golden State Warriors,2019-06-02,104,109,-128,0.9273346373976672,-145,0.9281782102163615,-135,0.9277075316107751,-133,0.9276049658250801,-130,0.9274452450595705,-137,0.9278071244751456,-130,0.9274452450595705,-133,0.9276049658250801,-130,0.9274452450595705
6,2018-2019,Toronto Raptors,Golden State Warriors,2019-05-30,118,109,-120,0.9268556422337221,-132,0.9275525261752512,-135,0.9277075316107751,-120,0.9268556422337221,-123,0.9270425082906242,-123,0.9270425082906242,-127,0.9272780373831776,-118,0.9267258305191235,-135,0.9277075316107751
7,2018-2019,Toronto Raptors,Milwaukee Bucks,2019-05-25,100,94,-118,0.9267258305191235,-132,0.9275525261752512,-132,0.9275525261752512,Na,Na,-137,0.9278071244751456,-120,0.9268556422337221,-120,0.9268556422337221,-120,0.9268556422337221,-135,0.9277075316107751
8,2018-2019,Milwaukee Bucks,Toronto Raptors,2019-05-23,99,105,-303,0.9315051647811118,-357,0.9319688821594527,-345,0.9318783426070982,-357,0.9319688821594527,-294,0.931411373356566,-312,0.9315935624496133,-312,0.9315935624496133,-303,0.9315051647811118,-333,0.9317812972186468
9,2018-2019,Toronto Raptors,Milwaukee Bucks,2019-05-21,120,102,127,0.9419967363892596,119,0.9424996039917629,135,0.9415539126795927,125,0.9421163702140487,120,0.9424330479855493,131,0.9417685118619696,137,0.9414513468938976,135,0.9415539126795927,145,0.9410695742471443
10,2018-2019,Portland Trail Blazers,Golden State Warriors,2019-05-20,117,119,114,0.9428500537589942,104,0.943653026041194,104,0.943653026041194,100,0.9440196356084205,118,0.9425672977074846,120,0.9424330479855493,116,0.9427062169849654,120,0.9424330479855493,114,0.9428500537589942
