,gameState,gameState,gameState,gameState,gameState,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,away,away,away
202110200PHO,DEN,PHO,DEN,"Phoenix Suns Arena, Phoenix, Arizona",conference,2021-10-20 22:00:00,2021-10-21 00:00:00,"['Kevin Cutler', 'Marc Davis', 'Leon Wood']",16074,0,20,38,24,16,[],98,0,,"['paulch01', 'bridgmi01', 'aytonde01', 'bookede01', 'crowdja01', 'johnsca02', 'shamela01', 'mcgeeja01', 'payneca01', 'naderab01', 'smithja04', 'paytoel01', 'hutchch01', 'kaminfr01']","[0, 0]",0,732308296,52307735.43,0,26,25,34,25,[],110,0,,"['jokicni01', 'portemi01', 'bartowi01', 'gordoaa01', 'morrimo01', 'doziepj01', 'campafa01', 'greenje02', 'greenja01', 'riverau01', 'hylanbo01', 'howarma02', 'bolbo01', 'cornepe01', 'nnajize01']","[0, 0]",0,498739764,33249317.6,0
202110200POR,SAC,POR,SAC,"Moda Center, Portland, Oregon",conference,2021-10-20 22:00:00,2021-10-21 00:00:00,"['Nick Buchert', 'Phenizee Ransom', 'Sean Wright']",17467,0,23,26,36,36,[],121,0,,"['lillada01', 'mccolcj01', 'powelno01', 'covinro01', 'nurkiju01', 'zelleco01', 'simonan01', 'nancela02', 'littlna01', 'mclembe01', 'smithde03', 'browngr01', 'ellebcj01']","[0, 0]",0,700203699,53861823.0,0,24,38,38,24,[],124,0,,"['barneha02', 'foxde01', 'holmeri01', 'halibty01', 'harklma01', 'hieldbu01', 'mitchda01', 'thomptr01', 'daviste02', 'metuch01', 'jonesda03', 'lenal01', 'woodaro01', 'baglema01']","[0, 0]",0,573911663,40993690.21,0
202110200SAS,SAS,SAS,ORL,"AT&T Center, San Antonio, Texas",none,2021-10-20 20:30:00,2021-10-20 22:30:00,"['Sean Corbin', 'Jenna Schroeder', 'Ben Taylor']",16697,0,32,29,33,29,[],123,0,,"['murrade01', 'whitede01', 'poeltja01', 'johnske04', 'mcderdo01', 'walkelo01', 'vassede01', 'eubandr01', 'bateske01', 'jonestr01', 'forbebr01', 'primojo01', 'landajo01']","[0, 0]",0,191756034,14750464.15,0,28,21,22,26,[],97,0,,"['wagnefr01', 'suggsja01', 'anthoco01', 'bambamo01', 'cartewe01', 'rosste01', 'hamptrj01', 'brazdig01', 'wagnemo01', 'lopezro01', 'harriga01', 'mooreet01']","[0, 0]",0,338309638,28192469.83,0
202110200TOR,WAS,TOR,WAS,"Scotiabank Arena, Toronto, Canada",conference,2021-10-20 19:30:00,2021-10-20 21:30:00,"['John Butler', 'Eric Dalen', 'Bill Kennedy']",19800,0,18,19,22,24,[],83,0,,"['vanvlfr01', 'anunoog01', 'barnesc01', 'dragigo01', 'achiupr01', 'trentga02', 'birchkh01', 'bouchch01', 'mykhasv01', 'bantoda01', 'champju01', 'bongais01', 'flynnma01', 'johnsda08', 'dekkesa01']","[0, 0]",0,326920937,21794729.13,0,26,31,24,17,[],98,0,,"['kuzmaky01', 'bealbr01', 'caldwke01', 'dinwisp01', 'gaffoda01', 'harremo01', 'netora01', 'avdijde01', 'bertada01', 'holidaa01', 'toddis01', 'kispeco01', 'gillan01']","[0, 0]",0,442598116,34046008.92,0
202110200UTA,UTA,UTA,OKC,"Vivint Smart Home Arena, Salt Lake City, Utah",division,2021-10-20 21:00:00,2021-10-20 23:00:00,"['Ray Acosta', 'Mark Lindsay', 'Zach Zarba']",18306,0,27,27,29,24,[],107,0,,"['goberru01', 'mitchdo01', 'bogdabo02', 'onealro01', 'conlemi01', 'clarkjo01', 'inglejo01', 'whiteha01', 'pascher01', 'butleja02', 'hugheel01', 'fittsma01', 'onimi01', 'azubuud01']","[0, 0]",0,779006109,55643293.5,0,18,24,21,23,[],86,0,,"['gilgesh01', 'bazleda01', 'dortlu01', 'giddejo01', 'favorde01', 'maledth01', 'willike04', 'pokusal01', 'manntr01', 'robyis01', 'robinje02', 'krejcvi01', 'jeromty01', 'muscami01', 'deckga01']","[0, 0]",0,213573309,14238220.6,0
202110210ATL,ATL,ATL,DAL,"State Farm Arena, Atlanta, Georgia",none,2021-10-21 19:30:00,2021-10-21 21:30:00,"['James Capers Jr.', 'Dedric Taylor', 'Scott Twardoski']",17162,0,22,29,35,27,[],113,0,,"['youngtr01', 'collijo01', 'huntede01', 'bogdabo01', 'capelca01', 'huertke01', 'reddica01', 'wrighde01', 'hillso01', 'dienggo01', 'johnsja05', 'mayssk01', 'coopesh01', 'luwawti01', 'willilo02']","[0, 0]",0,503619854,33574656.93,0,20,24,20,23,[],87,0,,"['doncilu01', 'porzikr01', 'finnedo01', 'hardati02', 'poweldw01', 'brunsja01', 'klebima01', 'bullore01', 'caulewi01', 'brownst02', 'burketr01', 'greenjo02', 'ntilila01', 'marjabo01', 'brownmo01']","[0, 0]",0,494384967,32958997.8,0
202110210GSW,GSW,GSW,LAC,"Chase Center, San Francisco, California",division,2021-10-21 22:00:00,2021-10-22 00:00:00,"['Justin Van Duyne', 'Tom Washington', 'Zach Zarba']",18064,0,44,22,24,25,[],115,1,2.0,"['curryst01', 'greendr01', 'wiggian01', 'poolejo01', 'looneke01', 'leeda03', 'iguodan01', 'porteot01', 'bjeline01', 'toscaju01', 'moodymo01', 'paytoga02', 'dowtije01']","[1, 0]",0,917974360,70613412.31,1,27,40,26,20,[],113,0,,"['jacksre01', 'georgpa01', 'bledser01', 'morrima03', 'zubaciv01', 'mannte01', 'kennalu01', 'coffeam01', 'winslju01', 'harteis01', 'scrubja01', 'bostobr01']","[0, 0]",0,623519994,51959999.5,0
202110210MIA,MIA,MIA,MIL,"FTX Arena, Miami, Florida",conference,2021-10-21 20:00:00,2021-10-21 22:00:00,"['Mitchell Ervin', 'David Guthrie', 'Jonathan Sterling']",19600,0,40,32,33,32,[],137,0,,"['butleji01', 'lowryky01', 'robindu01', 'adebaba01', 'tuckepj01', 'herroty01', 'strusma01', 'morrima02', 'dedmode01', 'vincega01', 'yurtsom01', 'martica02', 'okpalkz01', 'garrema01']","[0, 0]",0,628041656,44860118.29,0,17,26,26,26,[],95,1,2.0,"['allengr01', 'connapa01', 'middlkh01', 'antetgi01', 'hillge01', 'robinju01', 'mamuksa01', 'nworajo01', 'antetth01', 'kalaige01', 'holidjr01', 'lopezbr01']","[1, 0]",0,793623037,66135253.08,1
202110220BOS,TOR,BOS,TOR,"TD Garden, Boston, Massachusetts",division,2021-10-22 19:30:00,2021-10-22 21:30:00,"['Curtis Blair', 'Brian Forte', 'Derek Richardson']",19156,0,23,24,17,19,[],83,-1,2.0,"['tatumja01', 'smartma01', 'williro04', 'brownja02', 'horfoal01', 'schrode01', 'richajo01', 'langfro01', 'pritcpa01', 'willigr01', 'kanteen01', 'hernaju01', 'nesmiaa01', 'parkeja01', 'fernabr01']","[0, 1]",0,783861667,52257444.47,1,23,28,33,31,[],115,-1,2.0,"['vanvlfr01', 'barnesc01', 'anunoog01', 'trentga02', 'achiupr01', 'birchkh01', 'bouchch01', 'mykhasv01', 'dragigo01', 'bantoda01', 'champju01', 'flynnma01', 'bongais01', 'johnsda08', 'dekkesa01']","[0, 1]",0,326920937,21794729.13,1
202110220CHI,CHI,CHI,NOP,"United Center, Chicago, Illinois",none,2021-10-22 20:00:00,2021-10-22 22:00:00,"['Scott Foster', 'Jacyn Goble', 'Brandon Schwab']",20995,0,28,37,27,36,[],128,1,2.0,"['balllo01', 'derozde01', 'lavinza01', 'vucevni01', 'willipa01', 'carusal01', 'greenja02', 'browntr01', 'johnsal02', 'bradlto01', 'dosunay01', 'jonesde02', 'thomama02', 'simonma01']","[1, 0]",0,566916293,40494020.93,1,17,30,28,37,[],112,-1,2.0,"['ingrabr01', 'valanjo01', 'alexani01', 'grahade01', 'joneshe01', 'murphtr02', 'hayesja02', 'marshna01', 'lewiski01', 'templga01', 'satorto01', 'louzama01', 'hernawi01', 'alvarjo01']","[0, 1]",0,334980083,23927148.79,1
202110220CLE,CHO,CLE,CHO,"Rocket Mortgage Fieldhouse, Cleveland, Ohio",conference,2021-10-22 19:00:00,2021-10-22 21:00:00,"['John Butler', 'Eric Dalen', 'Bill Kennedy']",17116,0,30,29,30,23,[],112,-1,2.0,"['sextoco01', 'markkla01', 'mobleev01', 'rubiori01', 'allenja01', 'okorois01', 'loveke01', 'osmande01', 'pangoke01', 'wadede01', 'nembhrj01', 'fallta01', 'stevela01', 'valende01', 'davised01']","[0, 1]",0,563399711,37559980.73,1,27,27,36,33,[],123,1,2.0,"['bridgmi02', 'haywago01', 'ballla01', 'roziete01', 'plumlma01', 'oubreke01', 'washipj01', 'martico01', 'smithis01', 'bouknja01', 'joneska01', 'mcdanja01', 'richani01', 'thorjt01', 'careyve01']","[1, 0]",0,496758667,33117244.47,1
202110220DEN,DEN,DEN,SAS,"Ball Arena, Denver, Colorado",conference,2021-10-22 21:00:00,2021-10-22 23:00:00,"['Mark Lindsay', 'Phenizee Ransom', 'Sean Wright']",19520,0,26,27,26,23,[],102,1,2.0,"['jokicni01', 'bartowi01', 'gordoaa01', 'morrimo01', 'portemi01', 'doziepj01', 'campafa01', 'greenje02', 'riverau01', 'greenja01', 'hylanbo01', 'cornepe01', 'nnajize01', 'howarma02', 'bolbo01']","[1, 0]",0,498739764,33249317.6,1,22,28,20,26,[],96,1,2.0,"['johnske04', 'whitede01', 'murrade01', 'mcderdo01', 'poeltja01', 'walkelo01', 'vassede01', 'eubandr01', 'forbebr01', 'youngth01', 'jonestr01', 'bateske01', 'landajo01', 'primojo01']","[1, 0]",0,328888821,23492058.64,1
202110220HOU,HOU,HOU,OKC,"Toyota Center, Houston, Texas",conference,2021-10-22 20:00:00,2021-10-22 22:00:00,"['Sean Corbin', 'Courtney Kirkland', 'Danielle Scott']",15674,0,34,35,31,24,[],124,-1,2.0,"['woodch01', 'porteke02', 'tateja01', 'greenja05', 'theisda01', 'gordoer01', 'sengual01', 'nwabada01', 'houseda01', 'augusdj01', 'brookar01', 'chrisjo01', 'garubus01', 'martike04']","[0, 1]",0,326106997,23293356.93,1,21,26,26,18,[],91,-1,2.0,"['dortlu01', 'gilgesh01', 'giddejo01', 'bazleda01', 'robyis01', 'willike04', 'robinje02', 'pokusal01', 'maledth01', 'jeromty01', 'manntr01', 'muscami01', 'favorde01', 'deckga01', 'krejcvi01']","[0, 1]",0,213573309,14238220.6,1
202110220LAL,PHO,LAL,PHO,"Crypto.com Arena, Los Angeles, California",division,2021-10-22 22:00:00,2021-10-23 00:00:00,"['Tony Brothers', 'Nick Buchert', 'Justin Van Duyne']",18997,0,26,18,23,38,[],105,-1,3.0,"['davisan02', 'jamesle01', 'westbru01', 'bazemke01', 'jordade01', 'anthoca01', 'bradlav01', 'monkma01', 'rondora01', 'reaveau01', 'howardw01', 'nunnke01']","[0, 1]",0,1830951750,152579312.5,1,23,34,37,21,[],115,-1,2.0,"['bridgmi01', 'crowdja01', 'bookede01', 'aytonde01', 'paulch01', 'johnsca02', 'payneca01', 'shamela01', 'mcgeeja01', 'naderab01', 'smithja04', 'kaminfr01', 'paytoel01', 'hutchch01']","[0, 1]",0,732308296,52307735.43,1
202110220ORL,NYK,ORL,NYK,"Amway Center, Orlando, Florida",conference,2021-10-22 19:00:00,2021-10-22 21:00:00,"['Bennie Adams', 'J.B. DeRosa', 'Rodney Mott']",18846,0,16,19,29,32,[],96,-1,2.0,"['bambamo01', 'wagnefr01', 'suggsja01', 'anthoco01', 'cartewe01', 'rosste01', 'hamptrj01', 'wagnemo01', 'lopezro01', 'brazdig01', 'mooreet01', 'harriga01']","[0, 1]",0,338309638,28192469.83,1,36,29,21,35,[],121,1,2.0,"['randlju01', 'robinmi01', 'fournev01', 'barrerj01', 'walkeke02', 'rosede01', 'toppiob01', 'quickim01', 'burksal01', 'simsje01', 'grimequ01', 'knoxke01', 'mcbrimi01', 'seldewa01']","[1, 0]",0,638665439,45618959.93,1
202110220PHI,BRK,PHI,BRK,"Wells Fargo Center, Philadelphia, Pennsylvania",division,2021-10-22 19:30:00,2021-10-22 21:30:00,"['David Guthrie', 'Marat Kogut', 'Tre Maddox']",20367,0,34,28,29,18,[],109,1,2.0,"['harrito02', 'maxeyty01', 'curryse01', 'embiijo01', 'greenda02', 'thybuma01', 'korkmfu01', 'drumman01', 'niangge01', 'joeis01', 'sprinja01', 'reedpa01', 'henryaa01', 'bassech01']","[1, 0]",0,614997963,43928425.93,1,28,27,30,29,[],114,-1,3.0,"['hardeja01', 'duranke01', 'harrijo01', 'griffbl01', 'claxtni01', 'millspa02', 'carteje01', 'aldrila01', 'millspa01', 'johnsja01', 'sharpda01', 'thomaca02', 'brownbr01', 'bembrde01']","[0, 1]",0,1490272031,106448002.2,1
202110220SAC,UTA,SAC,UTA,"Golden 1 Center, Sacramento, California",conference,2021-10-22 22:00:00,2021-10-23 00:00:00,"['Brent Barnaky', 'Kevin Cutler', 'J.T. Orr']",17583,0,26,26,28,21,[],101,1,2.0,"['barneha02', 'foxde01', 'halibty01', 'daviste02', 'holmeri01', 'mitchda01', 'hieldbu01', 'lenal01', 'baglema01', 'thomptr01', 'harklma01', 'jonesda03', 'ramseja01', 'metuch01', 'kinglo02']","[1, 0]",0,573411663,38227444.2,1,24,22,35,29,[],110,1,2.0,"['mitchdo01', 'bogdabo02', 'onealro01', 'goberru01', 'conlemi01', 'clarkjo01', 'whiteha01', 'pascher01', 'forretr01', 'inglejo01', 'onimi01', 'butleja02', 'hugheel01', 'azubuud01']","[1, 0]",0,778550921,55610780.07,1
202110220WAS,WAS,WAS,IND,"Capital One Arena, Washington, District of Columbia",conference,2021-10-22 19:00:00,2021-10-22 21:00:00,"['Mousa Dagher', 'Eric Lewis', 'Gediminas Petraitis']",15407,0,32,41,33,17,[],135,1,2.0,"['kuzmaky01', 'caldwke01', 'dinwisp01', 'holidaa01', 'gaffoda01', 'harremo01', 'netora01', 'bertada01', 'avdijde01', 'kispeco01', 'ayayijo01', 'toddis01', 'hachiru01']","[1, 0]",0,276405274,21261944.15,1,36,37,23,27,[],134,-1,2.0,"['duartch01', 'brogdma01', 'turnemy01', 'sabondo01', 'holidju01', 'lambje01', 'mccontj01', 'craigto01', 'brissos01', 'wanambr01', 'jacksis01', 'jarrede01', 'bitadgo01', 'washidu02']","[0, 1]",0,322867485,23061963.21,1
202110230CHI,CHI,CHI,DET,"United Center, Chicago, Illinois",division,2021-10-23 20:00:00,2021-10-23 22:00:00,"['Ray Acosta', 'Eric Dalen', 'Pat Fraher']",18888,0,31,23,25,18,[],97,2,1.0,"['balllo01', 'derozde01', 'vucevni01', 'lavinza01', 'willipa01', 'carusal01', 'greenja02', 'dosunay01', 'browntr01', 'johnsal02', 'bradlto01', 'jonesde02', 'thomama02', 'simonma01']","[2, 0]",1,566916293,40494020.93,2,28,15,11,28,[],82,-1,3.0,"['beysa01', 'grantje01', 'stewais01', 'jacksfr01', 'hayeski01', 'josepco01', 'lylestr01', 'olynyke01', 'jacksjo02', 'diallha01', 'leesa01', 'garzalu01', 'mcgruro01', 'pickeja01']","[0, 1]",0,305706860,21836204.29,1
202110230CLE,CLE,CLE,ATL,"Rocket Mortgage Fieldhouse, Cleveland, Ohio",conference,2021-10-23 18:00:00,2021-10-23 20:00:00,"['Curtis Blair', 'Nate Green', 'Scott Wall']",16846,0,24,28,31,18,[],101,-2,1.0,"['mobleev01', 'rubiori01', 'allenja01', 'markkla01', 'sextoco01', 'okorois01', 'loveke01', 'osmande01', 'valende01', 'davised01', 'stevela01', 'wadede01', 'nembhrj01', 'pangoke01', 'fallta01']","[0, 2]",0,563399711,37559980.73,2,27,28,17,23,[],95,1,2.0,"['youngtr01', 'huntede01', 'capelca01', 'bogdabo01', 'collijo01', 'reddica01', 'huertke01', 'dienggo01', 'hillso01', 'wrighde01', 'luwawti01', 'coopesh01', 'willilo02', 'johnsja05', 'mayssk01']","[1, 0]",0,503619854,33574656.93,1
202110230IND,IND,IND,MIA,"Gainbridge Fieldhouse, Indianapolis, Indiana",conference,2021-10-23 19:00:00,2021-10-23 21:00:00,"['John Conley', 'Michael Smith', 'James Williams']",17147,0,28,28,8,22,[],102,-2,1.0,"['sabondo01', 'duartch01', 'brogdma01', 'holidju01', 'turnemy01', 'brissos01', 'mccontj01', 'lambje01', 'craigto01', 'jacksis01', 'wanambr01', 'washidu02', 'bitadgo01']","[0, 2]",0,322814309,24831869.92,2,24,22,17,23,[],91,1,2.0,"['butleji01', 'adebaba01', 'robindu01', 'tuckepj01', 'vincega01', 'herroty01', 'morrima02', 'strusma01', 'dedmode01', 'garrema01', 'yurtsom01', 'lowryky01', 'martica02', 'okpalkz01', 'hasleud01']","[1, 0]",0,695237850,46349190.0,1
202110230LAC,MEM,LAC,MEM,"Crypto.com Arena, Los Angeles, California",conference,2021-10-23 22:30:00,2021-10-24 00:30:00,"['Tony Brothers', 'Nick Buchert', 'Brett Nansel']",16748,0,34,28,27,25,[],114,-1,2.0,"['jacksre01', 'georgpa01', 'bledser01', 'morrima03', 'zubaciv01', 'mannte01', 'batumni01', 'kennalu01', 'harteis01', 'winslju01', 'bostobr01', 'scrubja01']","[0, 1]",0,790398628,65866552.33,1,25,34,38,23,[],120,1,3.0,"['moranja01', 'meltode01', 'jacksja02', 'banede01', 'adamsst01', 'clarkbr01', 'anderky01', 'konchjo01', 'willizi02', 'jonesty01', 'culveja01', 'aldamsa01', 'tilliki02', 'tillmxa01', 'merrisa01']","[1, 0]",0,327491389,21832759.27,1
202110230MIN,MIN,MIN,NOP,"Target Center, Minneapolis, Minnesota",conference,2021-10-23 20:00:00,2021-10-23 22:00:00,"['Matt Boland', 'Gediminas Petraitis', 'Kevin Scott']",15343,0,28,26,15,27,[],96,1,3.0,"['edwaran01', 'russeda01', 'townska01', 'mcdanja02', 'okogijo01', 'beverpa01', 'reidna01', 'beaslma01', 'princta02', 'vandeja01', 'mclaujo01', 'nowelja01', 'bolmale01', 'laymaja01', 'knighna01']","[1, 0]",0,431140368,28742691.2,1,27,14,26,22,[],89,-2,1.0,"['ingrabr01', 'valanjo01', 'alexani01', 'grahade01', 'joneshe01', 'murphtr02', 'templga01', 'hayesja02', 'lewiski01', 'marshna01', 'alvarjo01', 'hernawi01', 'louzama01', 'satorto01']","[0, 2]",0,334980083,23927148.79,2
202110230POR,POR,POR,PHO,"Moda Center, Portland, Oregon",conference,2021-10-23 22:00:00,2021-10-24 00:00:00,"['Jenna Schroeder', 'Tom Washington', 'Zach Zarba']",18558,0,30,37,39,28,[],134,-1,3.0,"['mccolcj01', 'covinro01', 'nurkiju01', 'lillada01', 'powelno01', 'littlna01', 'simonan01', 'nancela02', 'smithde03', 'zelleco01', 'ellebcj01', 'mclembe01', 'browngr01']","[0, 1]",0,700203699,53861823.0,1,24,23,34,24,[],105,1,1.0,"['bookede01', 'aytonde01', 'bridgmi01', 'paulch01', 'crowdja01', 'paytoel01', 'naderab01', 'shamela01', 'johnsca02', 'mcgeeja01', 'smithja04', 'kaminfr01', 'hutchch01', 'payneca01']","[1, 1]",0,732308296,52307735.43,2
202110230SAS,MIL,SAS,MIL,"AT&T Center, San Antonio, Texas",none,2021-10-23 20:30:00,2021-10-23 22:30:00,"['Karl Lane', 'Ed Malloy', 'Scott Twardoski']",14353,0,32,20,29,30,[],111,-1,1.0,"['poeltja01', 'murrade01', 'mcderdo01', 'whitede01', 'johnske04', 'walkelo01', 'vassede01', 'forbebr01', 'eubandr01', 'jonestr01', 'primojo01', 'bateske01', 'landajo01']","[1, 1]",0,191756034,14750464.15,2,32,24,29,36,[],121,-1,2.0,"['connapa01', 'middlkh01', 'antetgi01', 'allengr01', 'holidjr01', 'hillge01', 'antetth01', 'nworajo01', 'robinju01', 'mamuksa01', 'kalaige01', 'hoodro01']","[1, 1]",0,662353592,55196132.67,2
202110230TOR,DAL,TOR,DAL,"Scotiabank Arena, Toronto, Canada",none,2021-10-23 19:30:00,2021-10-23 21:30:00,"['Andy Nagy', 'Aaron Smith', 'Josh Tiven']",19800,0,25,26,21,23,[],95,1,1.0,"['vanvlfr01', 'trentga02', 'achiupr01', 'anunoog01', 'barnesc01', 'mykhasv01', 'birchkh01', 'dragigo01', 'bantoda01', 'bouchch01', 'bongais01', 'flynnma01', 'dekkesa01', 'champju01', 'johnsda08']","[1, 1]",0,326920937,21794729.13,2,18,27,29,29,[],103,-1,2.0,"['doncilu01', 'hardati02', 'finnedo01', 'porzikr01', 'poweldw01', 'brunsja01', 'klebima01', 'bullore01', 'brownst02', 'caulewi01', 'ntilila01', 'greenjo02', 'burketr01', 'brownmo01', 'marjabo01']","[0, 1]",0,494384967,32958997.8,1
