gameid,ref,att
201510270ATL,"['Eli Roe', 'Michael Smith', 'Zach Zarba']",19187
201510270CHI,"['Mark Ayotte', 'Scott Foster', 'Ben Taylor']",21957
201510270GSW,"['James Capers Jr.', 'Derrick Collins', 'Scott Twardoski']",19596
201510280BOS,"['Rodney Mott', 'Eli Roe', 'Zach Zarba']",18624
201510280BRK,"['Nick Buchert', 'Kevin Scott', 'Derrick Stafford']",17732
201510280DET,"['Joe Crawford', 'Justin Van Duyne', 'Scott Wall']",18434
201510280HOU,"['Brent Barnaky', 'Dan Crawford', 'Brian Forte']",18240
201510280LAL,"['J.T. Orr', 'Bill Spooner', 'Gary Zielinski']",18997
201510280MEM,"['Kane Fitzgerald', 'John Goble', 'Derek Richardson']",18119
201510280MIA,"['Marc Davis', 'Karl Lane', 'Michael Smith']",19724
201510280MIL,"['Mark Ayotte', 'Mike Callahan', 'Tyler Ford']",18717
201510280OKC,"['Tony Brown', 'Tre Maddox', 'Monty McCutchen']",18203
201510280ORL,"['Eric Lewis', 'Jason Phillips', 'Dedric Taylor']",18846
201510280PHO,"['Curtis Blair', 'Derrick Collins', 'Tom Washington']",18055
201510280POR,"['Steve Anderson', 'Ron Garretson', 'David Guthrie']",19393
201510280SAC,"['Lauren Holtkamp-Sterling', 'Courtney Kirkland', 'Sean Wright']",17458
201510280TOR,"['Bennie Adams', 'Ken Mauer', 'Leroy Richardson']",19800
201510290IND,"['Scott Foster', 'Ben Taylor', 'Josh Tiven']",18165
201510290LAC,"['James Capers Jr.', 'Sean Corbin', 'Eric Dalen']",19218
201510290NYK,"['Tony Brothers', 'James Williams', 'Leon Wood']",19812
201510300ATL,"['Jason Phillips', 'Dedric Taylor', 'Scott Wall']",17024
201510300BOS,"['Mike Callahan', 'Tyler Ford', 'Eric Lewis']",16898
201510300CLE,"['Dan Crawford', 'Tre Maddox', 'Rodney Mott']",20562
201510300DEN,"['Curtis Blair', 'Derrick Collins', 'Tom Washington']",17660
201510300DET,"['Bennie Adams', 'Marat Kogut', 'Ken Mauer']",16035
201510300HOU,"['Marc Davis', 'Karl Lane', 'Michael Smith']",18142
201510300MIL,"['Pat Fraher', 'J.T. Orr', 'Bill Spooner']",13858
201510300ORL,"['Joe Crawford', 'David Jones', 'Justin Van Duyne']",18846
201510300PHI,"['Mark Lindsay', 'Ed Malloy', 'Gediminas Petraitis']",17122
201510300PHO,"['Lauren Holtkamp-Sterling', 'Courtney Kirkland', 'Sean Wright']",18055
201510300SAC,"['Steve Anderson', 'Ron Garretson', 'David Guthrie']",17391
201510300SAS,"['John Goble', 'Bill Kennedy', 'Derek Richardson']",18418
201510310IND,"['Kevin Cutler', 'Rodney Mott', 'Derrick Stafford']",14412
201510310LAC,"['Mark Ayotte', 'Curtis Blair', 'Tom Washington']",19060
201510310MEM,"['Brent Barnaky', 'Tony Brown', 'Scott Twardoski']",16013
201510310NOP,"['Mitchell Ervin', 'Bill Kennedy', 'Monty McCutchen']",18406
201510310POR,"['James Capers Jr.', 'Sean Corbin', 'Eric Dalen']",17906
201510310WAS,"['Kevin Scott', 'Zach Zarba', 'Gary Zielinski']",20356
201511010BOS,"['Dan Crawford', 'Gediminas Petraitis', 'Josh Tiven']",17461
201511010CHI,"['J.T. Orr', 'Bill Spooner', 'James Williams']",21585
201511010CHO,"['Bennie Adams', 'Joe Crawford', 'Justin Van Duyne']",18691
201511010LAL,"['Lauren Holtkamp-Sterling', 'Courtney Kirkland', 'Sean Wright']",18997
201511010MIA,"['David Jones', 'Jason Phillips', 'Dedric Taylor']",19600
201511010OKC,"['Pat Fraher', 'Ron Garretson', 'Derek Richardson']",18203
201511010TOR,"['Nick Buchert', 'Scott Foster', 'Tre Maddox']",19800
201511020BRK,"['Mitchell Ervin', 'Monty McCutchen', 'Gary Zielinski']",12576
201511020GSW,"['Curtis Blair', 'Sean Corbin', 'Tom Washington']",19596
201511020HOU,"['John Goble', 'Eric Lewis', 'Leon Wood']",17224
