gameid,ref,att
202110190LAL,"['Ray Acosta', 'Mark Lindsay', 'Sean Wright']",18997
202110190MIL,"['Jacyn Goble', 'Natalie Sago', 'Josh Tiven']",17341
202110200CHO,"['Nate Green', 'Rodney Mott', 'Scott Wall']",15521
202110200DET,"['Mousa Dagher', 'Tyler Ford', 'Derek Richardson']",20088
202110200MEM,"['John Conley', 'Kevin Scott', 'Michael Smith']",15975
202110200MIN,"['Curtis Blair', 'Simone Jelks', 'Tre Maddox']",16079
202110200NOP,"['Courtney Kirkland', 'Karl Lane', 'Danielle Scott']",12845
202110200NYK,"['Scott Foster', 'Lauren Holtkamp-Sterling', 'Ed Malloy']",19812
202110200PHO,"['Kevin Cutler', 'Marc Davis', 'Leon Wood']",16074
202110200POR,"['Nick Buchert', 'Phenizee Ransom', 'Sean Wright']",17467
202110200SAS,"['Sean Corbin', 'Jenna Schroeder', 'Ben Taylor']",16697
202110200TOR,"['John Butler', 'Eric Dalen', 'Bill Kennedy']",19800
202110200UTA,"['Ray Acosta', 'Mark Lindsay', 'Zach Zarba']",18306
202110210ATL,"['James Capers Jr.', 'Dedric Taylor', 'Scott Twardoski']",17162
202110210GSW,"['Justin Van Duyne', 'Tom Washington', 'Zach Zarba']",18064
202110210MIA,"['Mitchell Ervin', 'David Guthrie', 'Jonathan Sterling']",19600
202110220BOS,"['Curtis Blair', 'Brian Forte', 'Derek Richardson']",19156
202110220CHI,"['Scott Foster', 'Jacyn Goble', 'Brandon Schwab']",20995
202110220CLE,"['John Butler', 'Eric Dalen', 'Bill Kennedy']",17116
202110220DEN,"['Mark Lindsay', 'Phenizee Ransom', 'Sean Wright']",19520
202110220HOU,"['Sean Corbin', 'Courtney Kirkland', 'Danielle Scott']",15674
202110220LAL,"['Tony Brothers', 'Nick Buchert', 'Justin Van Duyne']",18997
202110220ORL,"['Bennie Adams', 'J.B. DeRosa', 'Rodney Mott']",18846
202110220PHI,"['David Guthrie', 'Marat Kogut', 'Tre Maddox']",20367
202110220SAC,"['Brent Barnaky', 'Kevin Cutler', 'J.T. Orr']",17583
202110220WAS,"['Mousa Dagher', 'Eric Lewis', 'Gediminas Petraitis']",15407
202110230CHI,"['Ray Acosta', 'Eric Dalen', 'Pat Fraher']",18888
202110230CLE,"['Curtis Blair', 'Nate Green', 'Scott Wall']",16846
202110230IND,"['John Conley', 'Michael Smith', 'James Williams']",17147
202110230LAC,"['Tony Brothers', 'Nick Buchert', 'Brett Nansel']",16748
202110230MIN,"['Matt Boland', 'Gediminas Petraitis', 'Kevin Scott']",15343
202110230POR,"['Jenna Schroeder', 'Tom Washington', 'Zach Zarba']",18558
202110230SAS,"['Karl Lane', 'Ed Malloy', 'Scott Twardoski']",14353
