gameid,ref,att
201610250CLE,"['Bennie Adams', 'Bill Kennedy', 'Karl Lane']",20562
201610250GSW,"['Dan Crawford', 'Pat Fraher', 'Tre Maddox']",19596
201610250POR,"['Tony Brown', 'Nick Buchert', 'Mike Callahan']",19446
201610260BOS,"['Marc Davis', 'Brian Forte', 'J.T. Orr']",18624
201610260IND,"['Tyler Ford', 'Bill Kennedy', 'Josh Tiven']",17923
201610260LAL,"['Kevin Cutler', 'John Goble', 'Gary Zielinski']",18997
201610260MEM,"['Kane Fitzgerald', 'Derrick Stafford', 'Dedric Taylor']",18119
201610260MIL,"['Ken Mauer', 'Leroy Richardson', 'C.J. Washington']",18717
201610260NOP,"['Brent Barnaky', 'Derek Richardson', 'Sean Wright']",15869
201610260ORL,"['Sean Corbin', 'Justin Van Duyne', 'Tom Washington']",19298
201610260PHI,"['Rodney Mott', 'Jason Phillips', 'Leon Wood']",20487
201610260PHO,"['David Guthrie', 'Tre Maddox', 'Bill Spooner']",18055
201610260TOR,"['Mark Ayotte', 'James Capers Jr.', 'Derrick Collins']",19800
201610270ATL,"['Bennie Adams', 'Monty McCutchen', 'Aaron Smith']",19049
201610270CHI,"['Eric Dalen', 'Courtney Kirkland', 'Jason Phillips']",21501
201610270POR,"['Tony Brothers', 'John Goble', 'Lauren Holtkamp-Sterling']",19500
201610270SAC,"['Tony Brown', 'Nick Buchert', 'Mike Callahan']",17608
201610280BRK,"['Mark Ayotte', 'Scott Foster', 'Leon Wood']",17732
201610280DAL,"['Eric Lewis', 'Ed Malloy', 'Ben Taylor']",20163
201610280DET,"['Curtis Blair', 'Bill Kennedy', 'James Williams']",19122
201610280MIA,"['Matt Boland', 'Rodney Mott', 'Derek Richardson']",19600
201610280NOP,"['Marat Kogut', 'Scott Wall', 'Tom Washington']",18217
201610280OKC,"['Leroy Richardson', 'Justin Van Duyne', 'Zach Zarba']",18203
201610280TOR,"['Ken Mauer', 'Michael Smith', 'Josh Tiven']",19800
201610280UTA,"['Pat Fraher', 'Gediminas Petraitis', 'Bill Spooner']",19911
201610290CHI,"['Curtis Blair', 'Mark Lindsay', 'Zach Zarba']",21373
201610290CHO,"['Mark Ayotte', 'Monty McCutchen', 'Aaron Smith']",18708
201610290CLE,"['Dan Crawford', 'Brian Forte', 'C.J. Washington']",20562
201610290DEN,"['Bennie Adams', 'Pat Fraher', 'Tre Maddox']",18055
201610290MIL,"['Mike Callahan', 'Brett Nansel', 'James Williams']",12570
201610290NYK,"['Steve Anderson', 'James Capers Jr.', 'Gary Zielinski']",19812
201610290PHI,"['Kevin Cutler', 'Courtney Kirkland', 'Derrick Stafford']",16312
201610290SAC,"['Tony Brothers', 'Ron Garretson', 'Lauren Holtkamp-Sterling']",17608
201610290SAS,"['Derrick Collins', 'John Goble', 'Justin Van Duyne']",18418
201610300DET,"['Sean Corbin', 'J.T. Orr', 'Jason Phillips']",15161
201610300HOU,"['Matt Boland', 'Ken Mauer', 'Derek Richardson']",18055
201610300LAC,"['Brent Barnaky', 'Marc Davis', 'Scott Twardoski']",19060
201610300MEM,"['Rodney Mott', 'Scott Wall', 'Haywoode Workman']",15573
201610300MIA,"['Kevin Cutler', 'Leroy Richardson', 'Sean Wright']",19678
201610300OKC,"['Scott Foster', 'Marat Kogut', 'Michael Smith']",18203
201610300PHO,"['Nick Buchert', 'Ed Malloy', 'Gediminas Petraitis']",17011
201610310ATL,"['Mark Ayotte', 'Karl Lane', 'Rodney Mott']",12501
201610310BRK,"['Eric Lewis', 'Kevin Scott', 'Derrick Stafford']",15842
201610310LAC,"['Ron Garretson', 'Mark Lindsay', 'Dedric Taylor']",19060
201610310TOR,"['Monty McCutchen', 'Aaron Smith', 'Gary Zielinski']",19800
201611010CLE,"['Kevin Cutler', 'Courtney Kirkland', 'Sean Wright']",20562
201611010DET,"['John Goble', 'Ed Malloy', 'Brett Nansel']",13087
201611010IND,"['Derrick Collins', 'Dan Crawford', 'Jacyn Goble']",15348
201611010MIA,"['J.T. Orr', 'Josh Tiven', 'James Williams']",19612
201611010MIN,"['Mitchell Ervin', 'Leroy Richardson', 'Kevin Scott']",14774
201611010NOP,"['Tyler Ford', 'Brian Forte', 'Scott Foster']",15515
201611010PHI,"['Sean Corbin', 'Kane Fitzgerald', 'Haywoode Workman']",12529
201611010POR,"['Bill Kennedy', 'Mark Lindsay', 'Dedric Taylor']",19393
201611010SAS,"['James Capers Jr.', 'Michael Smith', 'Leon Wood']",18418
201611020ATL,"['John Goble', 'J.T. Orr', 'Jason Phillips']",13800
201611020BOS,"['Marat Kogut', 'Ken Mauer', 'Gary Zielinski']",18624
201611020BRK,"['Derrick Collins', 'Monty McCutchen', 'Gediminas Petraitis']",13650
201611020CHO,"['Pat Fraher', 'Eric Lewis', 'Ben Taylor']",15275
201611020LAC,"['Tre Maddox', 'Rodney Mott', 'Tom Washington']",19060
201611020MEM,"['Ron Garretson', 'Karl Lane', 'Josh Tiven']",15881
201611020NYK,"['Tony Brothers', 'Nick Buchert', 'Aaron Smith']",19812
201611020PHO,"['Brent Barnaky', 'Marc Davis', 'Scott Twardoski']",17284
201611020UTA,"['Bennie Adams', 'Eric Dalen', 'Zach Zarba']",19318
201611020WAS,"['Matt Boland', 'Lauren Holtkamp-Sterling', 'Derrick Stafford']",19581
201611030CLE,"['Curtis Blair', 'Matt Boland', 'Ed Malloy']",20562
201611030GSW,"['Brent Barnaky', 'Marc Davis', 'Brian Forte']",19596
201611030MIL,"['Kevin Cutler', 'Kane Fitzgerald', 'Bill Spooner']",11374
201611030MIN,"['Mike Callahan', 'Mark Lindsay', 'Brett Nansel']",11219
