,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState,home,away,home,away,home,away
teamData,winner,teamHome,teamAway,timeOfDay,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry,salary,salary,avgSalary,avgSalary,numberOfGamesPlayed,numberOfGamesPlayed
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201911270TOR,TOR,TOR,NYK,7:30p,"Scotiabank Arena, Toronto, Canada",21,37,31,37,[],126,4,2.0,"['anunoog01', 'vanvlfr01', 'siakapa01', 'gasolma01', 'powelno01', 'daviste02', 'bouchch01', 'holliro01', 'millema01', 'pondssh01', 'brissos01']","[12, 4]",0,29,17,23,29,[],98,-3,3.0,"['barrerj01', 'randlju01', 'ntilila01', 'morrima03', 'gibsota01', 'robinmi01', 'smithde03', 'portibo01', 'ellinwa01', 'dotsoda01', 'knoxke01', 'brazdig01', 'trieral01']","[4, 13]",0,division,427750689.0,420053922.0,38886426.27272727,32311840.153846152,16,17
201911290BRK,BRK,BRK,BOS,12:00p,"Barclays Center, Brooklyn, New York",31,27,29,25,[],112,-1,2.0,"['templga01', 'dinwisp01', 'harrijo01', 'princta02', 'allenja01', 'jordade01', 'shumpim01', 'pinsoth01', 'musadz01', 'claxtni01', 'ellenhe01', 'luwawti01', 'nwabada01']","[9, 9]",0,24,31,26,26,[],107,2,2.0,"['tatumja01', 'brownja02', 'smartma01', 'walkeke02', 'theisda01', 'kanteen01', 'wanambr01', 'williro04', 'ojelese01', 'edwarca01', 'willigr01', 'greenja02', 'poirivi01']","[13, 4]",1,division,456087473.0,522953070.0,35083651.76923077,40227159.23076923,18,17
201911290CLE,MIL,CLE,MIL,7:30p,"Rocket Mortgage Fieldhouse, Cleveland, Ohio",29,18,42,21,[],110,-2,2.0,"['osmande01', 'garlada01', 'sextoco01', 'loveke01', 'thomptr01', 'nancela02', 'clarkjo01', 'porteke02', 'dellama01', 'mckinal01', 'zizican01', 'knighbr03']","[5, 13]",0,38,29,32,20,[],119,9,2.0,"['antetgi01', 'matthwe02', 'divindo01', 'lopezbr01', 'bledser01', 'connapa01', 'middlkh01', 'hillge01', 'ilyaser01', 'lopezro01', 'masonfr01', 'wilsodj01']","[15, 3]",1,division,678803946.0,1023626334.0,56566995.5,85302194.5,18,18
201911290DET,CHO,DET,CHO,7:00p,"Little Caesars Arena, Detroit, Michigan",37,20,28,22,[],107,-1,2.0,"['drumman01', 'kennalu01', 'griffbl01', 'gallola01', 'brownbr01', 'rosede01', 'snellto01', 'morrima02', 'mykhasv01', 'woodch01', 'makerth01', 'fraziti01']","[6, 12]",0,38,24,23,25,[],110,1,2.0,"['grahade01', 'roziete01', 'washipj01', 'biyombi01', 'bridgmi02', 'batumni01', 'willima02', 'monkma01', 'kiddgmi01', 'hernawi01', 'bacondw01']","[7, 12]",2,conference,776172274.0,594627634.0,64681022.833333336,54057057.63636363,18,19
201911290IND,IND,IND,ATL,8:00p,"Bankers Life Fieldhouse, Indianapolis, Indiana",22,21,29,22,[],105,4,2.0,"['sabondo01', 'lambje01', 'brogdma01', 'turnemy01', 'warretj01', 'holidju01', 'mcderdo01', 'holidaa01', 'mccontj01', 'bitadgo01', 'johnsal02', 'leaftj01']","[11, 6]",0,23,31,11,29,[],104,-8,2.0,"['youngtr01', 'huntede01', 'parkeja01', 'jonesda03', 'reddica01', 'bembrde01', 'lenal01', 'fernabr01', 'turneev01', 'cartevi01', 'crabbal01', 'parsoch01', 'wallaty01']","[4, 14]",0,conference,425595750.0,657602251.0,35466312.5,50584788.538461536,17,18
201911290LAL,LAL,LAL,WAS,10:30p,"STAPLES Center, Los Angeles, California",37,33,35,20,[],125,9,2.0,"['caldwke01', 'davisan02', 'jamesle01', 'mcgeeja01', 'greenda02', 'cookqu01', 'howardw01', 'carusal01', 'kuzmaky01', 'dudleja01', 'danietr01', 'rondora01']","[16, 2]",0,23,26,30,24,[],103,1,2.0,"['bealbr01', 'hachiru01', 'bryanth01', 'thomais02', 'browntr01', 'bertada01', 'smithis01', 'mcraejo01', 'wagnemo01', 'bongais01', 'chiozch01', 'mahinia01']","[6, 10]",0,none,1302494695.0,455832635.0,108541224.58333331,37986052.91666666,18,16
201911290MEM,UTA,MEM,UTA,8:00p,"FedEx Forum, Memphis, Tennessee",24,31,18,21,[],94,-5,2.0,"['valanjo01', 'moranja01', 'jacksja02', 'crowdja01', 'brookdi01', 'clarkbr01', 'jonesty01', 'hillso01', 'anderky01', 'allengr01', 'gudurma01', 'meltode01', 'cabocbr01']","[5, 12]",1,22,18,35,28,[],103,-2,2.0,"['mitchdo01', 'goberru01', 'bogdabo02', 'onealro01', 'conlemi01', 'inglejo01', 'greenje02', 'davised01', 'mudiaem01', 'exumda01', 'onimi01', 'bradlto01', 'niangge01']","[11, 7]",0,conference,431016857.0,793399269.0,33155142.846153848,61030713.0,17,18
201911290MIA,MIA,MIA,GSW,8:00p,"AmericanAirlines Arena, Miami, Florida",41,30,24,27,[],122,-1,2.0,"['nunnke01', 'butleji01', 'adebaba01', 'robindu01', 'leoname01', 'herroty01', 'dragigo01', 'winslju01', 'olynyke01', 'silvach01', 'hasleud01', 'johnsja01']","[12, 5]",0,21,37,21,26,[],105,1,2.0,"['burksal01', 'robingl02', 'pascher01', 'caulewi01', 'greendr01', 'bowmaky01', 'poolejo01', 'chrisma01', 'spellom01', 'looneke01', 'evansja02']","[4, 15]",0,none,733000708.0,292053392.0,61083392.333333336,26550308.363636363,17,19
201911290NYK,PHI,NYK,PHI,7:30p,"Madison Square Garden (IV), New York, New York",31,20,17,27,[],95,-4,2.0,"['ntilila01', 'randlju01', 'morrima03', 'barrerj01', 'gibsota01', 'robinmi01', 'dotsoda01', 'smithde03', 'portibo01', 'ellinwa01', 'brazdig01', 'trieral01', 'knoxke01']","[4, 14]",0,18,21,31,31,[],101,1,2.0,"['simmobe01', 'embiijo01', 'harrito02', 'korkmfu01', 'thybuma01', 'scottmi01', 'ennisja01', 'burketr01', 'pelleno01', 'netora01', 'shayoma01', 'smithzh01']","[12, 6]",1,division,420053922.0,499197621.0,32311840.153846152,41599801.75,18,18
201911290OKC,OKC,OKC,NOP,8:00p,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",34,28,17,30,[],109,-1,2.0,"['gilgesh01', 'paulch01', 'gallida01', 'adamsst01', 'fergute01', 'schrode01', 'noelne01', 'naderab01', 'bazleda01', 'burtode02', 'muscami01', 'hallde01']","[6, 11]",1,26,27,31,20,[],104,-3,2.0,"['holidjr01', 'ingrabr01', 'redicjj01', 'hayesja02', 'willike04', 'hartjo01', 'okafoja01', 'mooreet01', 'mellini01', 'jacksfr01', 'balllo01', 'favorde01', 'alexani01']","[6, 12]",0,conference,814554987.0,683148923.0,67879582.25,52549917.15384615,17,18
201911290ORL,TOR,ORL,TOR,7:00p,"Amway Center, Orlando, Florida",23,24,12,24,[],83,1,2.0,"['fournev01', 'gordoaa01', 'fultzma01', 'isaacjo01', 'birchkh01', 'augusdj01', 'rosste01', 'aminual01', 'bambamo01', 'frazime01', 'iwundwe01', 'jeffeam01', 'magetjo01']","[7, 10]",0,20,20,26,24,[],90,5,2.0,"['vanvlfr01', 'siakapa01', 'powelno01', 'anunoog01', 'gasolma01', 'holliro01', 'daviste02', 'bouchch01', 'millema01', 'hernade01', 'brissos01']","[13, 4]",2,conference,564446101.0,428648999.0,43418930.84615385,38968090.81818182,17,17
201911290PHO,DAL,PHO,DAL,9:00p,"Talking Stick Resort Arena, Phoenix, Arizona",25,25,39,24,[],113,-2,2.0,"['oubreke01', 'bookede01', 'rubiori01', 'saricda01', 'baynear01', 'bridgmi01', 'kaminfr01', 'johnsty01', 'johnsca02', 'okoboel01', 'diallch01', 'carteje01']","[8, 9]",0,31,22,36,31,[],120,-1,3.0,"['doncilu01', 'hardati02', 'porzikr01', 'finnedo01', 'poweldw01', 'klebima01', 'curryse01', 'wrighde01', 'jacksju01', 'brunsja01', 'bareajo01', 'leeco01', 'marjabo01']","[11, 6]",0,conference,461027617.0,577645573.0,38418968.083333336,44434274.84615385,17,17
201911290POR,POR,POR,CHI,10:00p,"Moda Center, Portland, Oregon",25,28,28,26,[],107,2,2.0,"['mccolcj01', 'anthoca01', 'lillada01', 'hoodro01', 'whiteha01', 'labissk01', 'simonan01', 'bazemke01', 'littlna01', 'brownmo01', 'tollian01', 'hezonma01', 'hoardja01']","[7, 12]",1,28,19,31,25,[],103,-2,2.0,"['lavinza01', 'cartewe01', 'markkla01', 'satorto01', 'dunnkr01', 'youngth01', 'whiteco01', 'arcidry01', 'valende01', 'gaffoda01', 'strusma01', 'harrish01', 'kornelu01']","[6, 13]",0,none,903979596.0,406168201.0,69536892.0,31243707.769230768,19,19
201911290SAS,SAS,SAS,LAC,8:30p,"AT&T Center, San Antonio, Texas",27,26,29,25,[],107,-2,2.0,"['derozde01', 'aldrila01', 'gayru01', 'whitede01', 'forbebr01', 'millspa02', 'murrade01', 'lylestr01', 'poeltja01', 'belinma01', 'eubandr01', 'walkelo01', 'carrode01']","[6, 13]",0,30,23,18,26,[],97,7,2.0,"['beverpa01', 'georgpa01', 'leonaka01', 'harklma01', 'zubaciv01', 'willilo02', 'harremo01', 'greenja01', 'robinje01', 'mannte01', 'pattepa01', 'waltode01', 'mcgruro01']","[14, 5]",1,conference,932850504.0,795377691.0,71757731.07692307,61182899.307692304,19,19
201911300HOU,HOU,HOU,ATL,8:00p,"Toyota Center, Houston, Texas",38,43,46,31,[],158,1,3.0,"['mclembe01', 'hardeja01', 'tuckepj01', 'westbru01', 'chandty01', 'riverau01', 'clarkga01', 'harteis01', 'sefolth01', 'clemoch01', 'capelca01']","[12, 6]",0,21,31,21,38,[],111,-9,1.0,"['youngtr01', 'huntede01', 'crabbal01', 'parkeja01', 'jonesda03', 'bembrde01', 'cartevi01', 'wallaty01', 'parsoch01', 'turneev01', 'fernabr01', 'lenal01']","[4, 15]",0,none,1025547616.0,644228371.0,93231601.45454544,53685697.583333336,18,19
201911300MIL,MIL,MIL,CHO,8:00p,"Fiserv Forum, Milwaukee, Wisconsin",32,34,35,36,[],137,0,1.0,"['lopezro01', 'bledser01', 'matthwe02', 'divindo01', 'antetgi01', 'wilsodj01', 'connapa01', 'korveky01', 'middlkh01', 'ilyaser01', 'hillge01', 'bendedr01', 'masonfr01']","[16, 3]",0,25,24,26,21,[],96,2,1.0,"['bridgmi02', 'washipj01', 'roziete01', 'grahade01', 'biyombi01', 'monkma01', 'zelleco01', 'bacondw01', 'willima02', 'batumni01', 'hernawi01', 'kiddgmi01']","[8, 12]",0,conference,962433987.0,670427388.0,74033383.61538461,55868949.0,19,20
201911300PHI,PHI,PHI,IND,7:00p,"Wells Fargo Center, Philadelphia, Pennsylvania",38,27,28,26,[],119,2,1.0,"['simmobe01', 'harrito02', 'embiijo01', 'horfoal01', 'korkmfu01', 'ennisja01', 'scottmi01', 'thybuma01', 'netora01', 'pelleno01', 'oquinky01', 'smithzh01', 'burketr01']","[13, 6]",0,29,36,28,23,[],116,5,1.0,"['brogdma01', 'lambje01', 'sabondo01', 'warretj01', 'turnemy01', 'holidju01', 'mcderdo01', 'holidaa01', 'mccontj01', 'bitadgo01', 'johnsal02', 'leaftj01']","[12, 6]",0,conference,763133934.0,425595750.0,58702610.307692304,35466312.5,19,18
201911300SAC,SAC,SAC,DEN,5:00p,"Golden 1 Center, Sacramento, California",17,23,27,23,[],100,-2,3.0,"['barneha02', 'josepco01', 'hieldbu01', 'holmeri01', 'bjeline01', 'bogdabo01', 'jamesju01', 'dedmode01', 'ferreyo01', 'swanica01', 'gabriwe01', 'gilesha01', 'guyky01']","[7, 10]",0,27,30,18,15,[],97,6,4.0,"['bartowi01', 'harriga01', 'murraja01', 'jokicni01', 'millspa01', 'grantje01', 'beaslma01', 'plumlma01', 'morrimo01', 'hernaju01', 'craigto01', 'portemi01']","[13, 3]",1,conference,469202304.0,751393472.0,36092484.92307692,62616122.66666666,17,16
201912010BRK,MIA,BRK,MIA,3:00p,"Barclays Center, Brooklyn, New York",30,35,16,25,[],106,1,2.0,"['dinwisp01', 'templga01', 'princta02', 'harrijo01', 'allenja01', 'jordade01', 'nwabada01', 'shumpim01', 'pinsoth01', 'musadz01', 'claxtni01']","[10, 9]",0,32,26,25,26,[],109,1,2.0,"['butleji01', 'adebaba01', 'robindu01', 'nunnke01', 'leoname01', 'dragigo01', 'winslju01', 'herroty01', 'silvach01', 'olynyke01', 'jonesde02', 'hasleud01', 'johnsja01']","[13, 5]",0,conference,441290752.0,756081495.0,40117341.09090909,58160115.0,19,18
201912010DET,DET,DET,SAS,5:00p,"Little Caesars Arena, Detroit, Michigan",32,27,37,36,[],132,-2,2.0,"['kennalu01', 'brownbr01', 'drumman01', 'griffbl01', 'snellto01', 'mykhasv01', 'woodch01', 'morrima02', 'gallola01', 'rosede01', 'makerth01', 'fraziti01', 'doumbse01']","[6, 13]",0,27,24,20,27,[],98,1,2.0,"['poeltja01', 'derozde01', 'forbebr01', 'gayru01', 'whitede01', 'murrade01', 'eubandr01', 'lylestr01', 'millspa02', 'walkelo01', 'belinma01', 'carrode01', 'metuch01']","[7, 13]",0,none,786520474.0,721706000.0,60501574.92307692,55515846.15384615,19,20
201912010LAC,LAC,LAC,WAS,10:30p,"STAPLES Center, Los Angeles, California",39,43,34,34,[],150,-1,2.0,"['georgpa01', 'leonaka01', 'beverpa01', 'harklma01', 'zubaciv01', 'harremo01', 'willilo02', 'robinje01', 'mannte01', 'pattepa01', 'greenja01', 'waltode01', 'kabenmf01']","[14, 6]",0,35,22,41,27,[],125,-1,2.0,"['hachiru01', 'bealbr01', 'bryanth01', 'thomais02', 'browntr01', 'bertada01', 'bongais01', 'mcraejo01', 'smithis01', 'chiozch01', 'mahinia01', 'wagnemo01']","[6, 11]",0,none,784465847.0,455832635.0,60343526.692307696,37986052.91666666,20,17
201912010LAL,DAL,LAL,DAL,4:00p,"STAPLES Center, Los Angeles, California",30,32,17,21,[],100,0,2.0,"['jamesle01', 'davisan02', 'greenda02', 'caldwke01', 'mcgeeja01', 'carusal01', 'kuzmaky01', 'rondora01', 'danietr01', 'howardw01', 'cookqu01', 'dudleja01']","[17, 2]",1,25,34,35,20,[],114,1,2.0,"['doncilu01', 'poweldw01', 'hardati02', 'porzikr01', 'finnedo01', 'wrighde01', 'klebima01', 'curryse01', 'jacksju01', 'brunsja01', 'marjabo01', 'leeco01', 'bareajo01']","[12, 6]",0,conference,1302494695.0,577645573.0,108541224.58333331,44434274.84615385,19,18
201912010MIN,MEM,MIN,MEM,3:30p,"Target Center, Minneapolis, Minnesota",21,26,32,28,[],107,2,4.0,"['townska01', 'wiggian01', 'covinro01', 'culveja01', 'grahatr01', 'teaguje01', 'bateske01', 'okogijo01', 'dienggo01', 'napiesh01', 'reidna01', 'vonleno01', 'belljo01']","[10, 8]",0,25,23,38,29,[],115,-6,2.0,"['crowdja01', 'brookdi01', 'jonesty01', 'jacksja02', 'clarkbr01', 'allengr01', 'cabocbr01', 'hillso01', 'meltode01', 'gudurma01', 'watanyu01']","[5, 13]",1,conference,565615569.0,255989478.0,43508889.92307692,23271770.727272727,18,18
201912010NOP,OKC,NOP,OKC,5:00p,"Smoothie King Center, New Orleans, Louisiana",29,26,22,27,[],104,-4,2.0,"['ingrabr01', 'holidjr01', 'balllo01', 'redicjj01', 'okafoja01', 'hartjo01', 'hayesja02', 'mooreet01', 'mellini01', 'alexani01', 'favorde01', 'willike04', 'jacksfr01']","[6, 13]",0,33,23,26,25,[],107,1,2.0,"['paulch01', 'gilgesh01', 'gallida01', 'fergute01', 'adamsst01', 'schrode01', 'noelne01', 'naderab01', 'bazleda01', 'burtode02', 'hallde01', 'muscami01']","[7, 11]",2,conference,683148923.0,814554987.0,52549917.15384615,67879582.25,19,18
201912010NYK,BOS,NYK,BOS,3:30p,"Madison Square Garden (IV), New York, New York",30,28,27,19,[],104,-5,2.0,"['barrerj01', 'randlju01', 'knoxke01', 'gibsota01', 'ntilila01', 'smithde03', 'dotsoda01', 'portibo01', 'robinmi01', 'ellinwa01', 'brazdig01', 'morrima03', 'trieral01']","[4, 15]",0,31,27,23,32,[],113,-1,2.0,"['tatumja01', 'brownja02', 'walkeke02', 'smartma01', 'theisda01', 'willigr01', 'ojelese01', 'wanambr01', 'kanteen01', 'greenja02', 'williro04', 'edwarca01', 'poirivi01']","[13, 5]",2,division,420053922.0,522953070.0,32311840.153846152,40227159.23076923,19,18
201912010ORL,ORL,ORL,GSW,6:00p,"Amway Center, Orlando, Florida",26,25,21,28,[],100,-1,2.0,"['fournev01', 'isaacjo01', 'birchkh01', 'gordoaa01', 'fultzma01', 'rosste01', 'augusdj01', 'bambamo01', 'iwundwe01', 'frazime01', 'jeffeam01', 'magetjo01']","[7, 11]",0,22,29,20,25,[],96,-1,2.0,"['robingl02', 'burksal01', 'pascher01', 'caulewi01', 'greendr01', 'bowmaky01', 'chrisma01', 'spellom01', 'poolejo01', 'looneke01', 'evansja02']","[4, 16]",0,none,492726711.0,292053392.0,41060559.25,26550308.363636363,18,20
201912010TOR,TOR,TOR,UTA,6:00p,"Scotiabank Arena, Toronto, Canada",37,40,30,23,[],130,6,2.0,"['siakapa01', 'powelno01', 'vanvlfr01', 'anunoog01', 'gasolma01', 'holliro01', 'daviste02', 'ibakase01', 'bouchch01', 'brissos01', 'millema01', 'hernade01', 'pondssh01']","[14, 4]",0,20,17,49,24,[],110,1,2.0,"['mitchdo01', 'bogdabo02', 'goberru01', 'conlemi01', 'onealro01', 'inglejo01', 'mudiaem01', 'greenje02', 'davised01', 'niangge01', 'exumda01', 'bradlto01', 'willini01']","[12, 7]",0,none,567693561.0,792391967.0,43668735.461538464,60953228.23076923,18,19
201912020ATL,ATL,ATL,GSW,7:30p,"State Farm Arena, Atlanta, Georgia",20,29,27,28,[],104,0,2.0,"['youngtr01', 'huntede01', 'bembrde01', 'parkeja01', 'jonesda03', 'reddica01', 'turneev01', 'lenal01', 'cartevi01', 'wallaty01', 'fernabr01', 'goodwbr01', 'parsoch01']","[4, 16]",0,23,17,13,26,[],79,-2,1.0,"['pascher01', 'robingl02', 'burksal01', 'caulewi01', 'looneke01', 'bowmaky01', 'spellom01', 'chrisma01', 'poolejo01', 'greendr01', 'evansja02']","[4, 17]",0,none,583207049.0,292053392.0,44862080.692307696,26550308.363636363,20,21
201912020CHO,PHO,CHO,PHO,7:00p,"Spectrum Center, Charlotte, North Carolina",21,18,34,31,[],104,-1,2.0,"['grahade01', 'roziete01', 'biyombi01', 'bridgmi02', 'washipj01', 'willima02', 'monkma01', 'zelleco01', 'bacondw01', 'batumni01', 'hernawi01', 'kiddgmi01']","[8, 13]",0,28,31,21,29,[],109,-3,3.0,"['bookede01', 'oubreke01', 'rubiori01', 'kaminfr01', 'saricda01', 'bridgmi01', 'jeromty01', 'johnsca02', 'carteje01', 'johnsty01', 'baynear01', 'okoboel01']","[8, 10]",0,none,670427388.0,462754259.0,55868949.0,38562854.91666666,21,18
201912020MEM,IND,MEM,IND,8:00p,"FedEx Forum, Memphis, Tennessee",19,28,26,31,[],104,1,1.0,"['jacksja02', 'hillso01', 'jonesty01', 'brookdi01', 'crowdja01', 'allengr01', 'meltode01', 'gudurma01', 'cabocbr01', 'clarkbr01', 'anderky01', 'watanyu01', 'valanjo01']","[6, 13]",0,24,33,28,32,[],117,-1,2.0,"['brogdma01', 'lambje01', 'turnemy01', 'sabondo01', 'warretj01', 'holidju01', 'holidaa01', 'mcderdo01', 'mccontj01', 'bitadgo01', 'johnsal02', 'leaftj01']","[12, 7]",1,none,405601146.0,425595750.0,31200088.153846152,35466312.5,19,19
201912020MIL,MIL,MIL,NYK,8:00p,"Fiserv Forum, Milwaukee, Wisconsin",33,39,28,32,[],132,1,2.0,"['lopezro01', 'antetgi01', 'matthwe02', 'bledser01', 'middlkh01', 'wilsodj01', 'korveky01', 'divindo01', 'connapa01', 'hillge01', 'ilyaser01', 'bendedr01', 'antetth01']","[17, 3]",0,15,30,17,26,[],88,-6,1.0,"['smithde03', 'randlju01', 'knoxke01', 'gibsota01', 'barrerj01', 'dotsoda01', 'robinmi01', 'portibo01', 'brazdig01', 'allenka01', 'trieral01', 'ellinwa01', 'ntilila01']","[4, 16]",0,conference,964853755.0,345828513.0,74219519.61538461,26602193.307692308,20,20
201912020PHI,PHI,PHI,UTA,7:00p,"Wells Fargo Center, Philadelphia, Pennsylvania",31,29,25,18,[],103,3,2.0,"['harrito02', 'horfoal01', 'simmobe01', 'embiijo01', 'korkmfu01', 'ennisja01', 'thybuma01', 'scottmi01', 'netora01', 'miltosh01', 'oquinky01', 'pelleno01']","[14, 6]",0,23,19,24,28,[],94,-1,1.0,"['goberru01', 'mitchdo01', 'bogdabo02', 'onealro01', 'conlemi01', 'inglejo01', 'greenje02', 'niangge01', 'davised01', 'exumda01', 'mudiaem01', 'bradlto01', 'willini01']","[12, 8]",1,none,740438215.0,792391967.0,61703184.583333336,60953228.23076923,20,20
201912020SAC,CHI,SAC,CHI,10:00p,"Golden 1 Center, Sacramento, California",23,21,30,32,[],106,1,2.0,"['hieldbu01', 'barneha02', 'holmeri01', 'bjeline01', 'josepco01', 'bogdabo01', 'ferreyo01', 'arizatr01', 'dedmode01', 'jamesju01', 'gilesha01', 'guyky01', 'swanica01']","[8, 10]",0,22,33,29,29,[],113,-3,3.0,"['cartewe01', 'lavinza01', 'satorto01', 'dunnkr01', 'markkla01', 'whiteco01', 'youngth01', 'arcidry01', 'valende01', 'gaffoda01', 'kornelu01', 'harrish01', 'strusma01']","[6, 14]",0,none,584670930.0,406168201.0,44974686.92307692,31243707.769230768,18,20
201912030CLE,DET,CLE,DET,7:00p,"Rocket Mortgage Fieldhouse, Cleveland, Ohio",28,18,22,26,[],94,-3,4.0,"['sextoco01', 'thomptr01', 'garlada01', 'osmande01', 'loveke01', 'nancela02', 'porteke02', 'clarkjo01', 'hensojo01', 'mckinal01', 'zizican01', 'dellama01', 'knighbr03']","[5, 14]",0,32,30,35,30,[],127,1,2.0,"['drumman01', 'griffbl01', 'kennalu01', 'snellto01', 'brownbr01', 'mykhasv01', 'gallola01', 'rosede01', 'woodch01', 'morrima02', 'fraziti01', 'makerth01', 'doumbse01']","[7, 13]",0,division,732574129.0,786520474.0,56351856.07692308,60501574.92307692,19,20
201912030DEN,LAL,DEN,LAL,9:00p,"Pepsi Center, Denver, Colorado",24,25,27,20,[],96,-1,3.0,"['bartowi01', 'murraja01', 'jokicni01', 'harriga01', 'millspa01', 'grantje01', 'plumlma01', 'beaslma01', 'hernaju01', 'morrimo01', 'portemi01', 'craigto01']","[13, 4]",0,28,32,24,21,[],105,-1,2.0,"['jamesle01', 'davisan02', 'caldwke01', 'greenda02', 'mcgeeja01', 'rondora01', 'kuzmaky01', 'howardw01', 'carusal01', 'danietr01', 'cookqu01', 'dudleja01']","[17, 3]",0,conference,751393472.0,1302494695.0,62616122.66666666,108541224.58333331,17,20
201912030LAC,LAC,LAC,POR,10:00p,"STAPLES Center, Los Angeles, California",29,33,27,28,[],117,1,2.0,"['georgpa01', 'beverpa01', 'leonaka01', 'harklma01', 'zubaciv01', 'harremo01', 'pattepa01', 'willilo02', 'robinje01', 'mannte01', 'kabenmf01', 'waltode01', 'greenja01']","[15, 6]",1,30,29,17,21,[],97,3,4.0,"['lillada01', 'mccolcj01', 'hoodro01', 'anthoca01', 'whiteha01', 'simonan01', 'labissk01', 'bazemke01', 'littlna01', 'hezonma01', 'tollian01', 'trentga02']","[8, 12]",0,conference,784465847.0,920544274.0,60343526.692307696,76712022.83333333,21,20
201912030NOP,DAL,NOP,DAL,7:30p,"Smoothie King Center, New Orleans, Louisiana",24,29,22,22,[],97,-5,2.0,"['ingrabr01', 'holidjr01', 'redicjj01', 'balllo01', 'hayesja02', 'hartjo01', 'mellini01', 'jacksfr01', 'alexani01', 'mooreet01', 'okafoja01', 'willike04', 'favorde01']","[6, 14]",0,24,35,25,34,[],118,2,2.0,"['finnedo01', 'doncilu01', 'poweldw01', 'hardati02', 'porzikr01', 'curryse01', 'wrighde01', 'klebima01', 'jacksju01', 'bareajo01', 'brunsja01', 'leeco01', 'marjabo01']","[13, 6]",1,division,683148923.0,577645573.0,52549917.15384615,44434274.84615385,20,19
201912030SAS,SAS,SAS,HOU,8:30p,"AT&T Center, San Antonio, Texas",27,32,22,34,[11],135,-1,2.0,"['poeltja01', 'derozde01', 'forbebr01', 'whitede01', 'gayru01', 'millspa02', 'walkelo01', 'lylestr01', 'murrade01', 'carrode01', 'eubandr01', 'belinma01', 'aldrila01']","[7, 14]",0,25,38,34,18,[11],133,2,3.0,"['tuckepj01', 'hardeja01', 'westbru01', 'capelca01', 'mclembe01', 'riverau01', 'clemoch01', 'clarkga01', 'chandty01', 'sefolth01', 'houseda01', 'harteis01']","[13, 6]",0,division,932850504.0,1036180839.0,71757731.07692307,86348403.25,21,19
201912030TOR,MIA,TOR,MIA,7:30p,"Scotiabank Arena, Toronto, Canada",23,30,28,27,[],110,7,2.0,"['vanvlfr01', 'lowryky01', 'siakapa01', 'gasolma01', 'anunoog01', 'powelno01', 'ibakase01', 'holliro01', 'daviste02', 'millema01', 'bouchch01', 'thomama02']","[15, 4]",0,32,26,25,25,[],121,2,2.0,"['butleji01', 'nunnke01', 'adebaba01', 'robindu01', 'leoname01', 'olynyke01', 'winslju01', 'herroty01', 'jonesde02', 'johnsja01', 'hasleud01', 'waitedi01', 'silvach01']","[14, 5]",0,conference,783365679.0,671141989.0,65280473.25,51626306.84615385,19,19
201912030WAS,ORL,WAS,ORL,7:00p,"Capital One Arena, Washington, District of Columbia",26,28,34,32,[],120,-2,2.0,"['bealbr01', 'bertada01', 'hachiru01', 'thomais02', 'bongais01', 'mcraejo01', 'browntr01', 'smithis01', 'schofad01', 'robinju01', 'wagnemo01', 'mahinia01']","[6, 12]",0,32,36,29,30,[],127,1,2.0,"['isaacjo01', 'fournev01', 'gordoaa01', 'fultzma01', 'birchkh01', 'augusdj01', 'rosste01', 'bambamo01', 'cartemi01', 'frazime01', 'johnsbj01', 'iwundwe01', 'jeffeam01']","[8, 11]",1,division,432274679.0,515763279.0,36022889.916666664,39674098.38461538,18,19
201912040ATL,BRK,ATL,BRK,7:30p,"State Farm Arena, Atlanta, Georgia",26,21,35,36,[],118,1,2.0,"['youngtr01', 'reddica01', 'bembrde01', 'parkeja01', 'jonesda03', 'turneev01', 'lenal01', 'huertke01', 'cartevi01', 'wallaty01', 'goodwbr01', 'fernabr01', 'brownch02']","[5, 16]",0,22,34,35,39,[],130,-1,3.0,"['dinwisp01', 'templga01', 'princta02', 'harrijo01', 'allenja01', 'jordade01', 'shumpim01', 'nwabada01', 'musadz01', 'pinsoth01', 'claxtni01']","[10, 10]",0,conference,446088737.0,441290752.0,34314518.23076923,40117341.09090909,21,20
201912040BOS,BOS,BOS,MIA,7:30p,"TD Garden, Boston, Massachusetts",20,32,30,30,[],112,1,3.0,"['brownja02', 'tatumja01', 'walkeke02', 'theisda01', 'willigr01', 'ojelese01', 'wanambr01', 'williro04', 'edwarca01', 'greenja02', 'kanteen01', 'poirivi01', 'smartma01']","[14, 5]",0,28,16,25,24,[],93,3,1.0,"['adebaba01', 'butleji01', 'robindu01', 'nunnke01', 'leoname01', 'winslju01', 'olynyke01', 'herroty01', 'jonesde02', 'silvach01', 'hasleud01', 'johnsja01', 'waitedi01']","[15, 5]",0,conference,522953070.0,671141989.0,40227159.23076923,51626306.84615385,19,20
