,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState,home,away,home,away,home,away
teamData,winner,teamHome,teamAway,timeOfDay,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry,salary,salary,avgSalary,avgSalary,numberOfGamesPlayed,numberOfGamesPlayed
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910230PHI,PHI,PHI,BOS,7:30p,"Wells Fargo Center, Philadelphia, Pennsylvania",20,29,28,30,[],107,0,,"['harrito02', 'simmobe01', 'richajo01', 'horfoal01', 'embiijo01', 'thybuma01', 'korkmfu01', 'ennisja01', 'scottmi01', 'oquinky01', 'miltosh01', 'netora01', 'burketr01']","[0, 0]",0,25,23,20,25,[],93,0,,"['tatumja01', 'haywago01', 'walkeke02', 'kanteen01', 'brownja02', 'smartma01', 'edwarca01', 'williro04', 'theisda01', 'ojelese01', 'willigr01', 'wanambr01', 'poirivi01']","[0, 0]",0,division,805736575.0,728215379.0,61979736.538461536,56016567.615384616,0,0
201910230PHO,PHO,PHO,SAC,10:00p,"Talking Stick Resort Arena, Phoenix, Arizona",25,29,32,38,[],124,0,,"['aytonde01', 'bookede01', 'oubreke01', 'rubiori01', 'saricda01', 'bridgmi01', 'kaminfr01', 'carteje01', 'johnsty01', 'baynear01', 'okoboel01', 'diallch01', 'harpeja01']","[0, 0]",0,29,30,17,19,[],95,0,,"['hieldbu01', 'barneha02', 'baglema01', 'foxde01', 'dedmode01', 'bogdabo01', 'arizatr01', 'josepco01', 'bjeline01', 'holmeri01', 'ferreyo01', 'gabriwe01', 'swanica01']","[0, 0]",0,division,488896197.0,666008121.0,37607399.76923077,51231393.92307692,0,0
201910230POR,DEN,POR,DEN,10:00p,"Moda Center, Portland, Oregon",27,23,24,26,[],100,0,,"['lillada01', 'mccolcj01', 'hoodro01', 'colliza01', 'whiteha01', 'bazemke01', 'hezonma01', 'tollian01', 'simonan01', 'labissk01', 'trentga02', 'littlna01']","[0, 0]",0,24,30,19,35,[],108,0,,"['harriga01', 'murraja01', 'millspa01', 'bartowi01', 'jokicni01', 'grantje01', 'plumlma01', 'craigto01', 'morrimo01', 'beaslma01', 'portemi01', 'doziepj01', 'hernaju01']","[0, 0]",0,division,677526050.0,755250243.0,56460504.16666666,58096172.538461536,0,0
201910230SAS,SAS,SAS,NYK,8:30p,"AT&T Center, San Antonio, Texas",22,37,24,37,[],120,0,,"['aldrila01', 'forbebr01', 'derozde01', 'lylestr01', 'murrade01', 'whitede01', 'gayru01', 'belinma01', 'millspa02', 'poeltja01', 'walkelo01', 'metuch01', 'carrode01']","[0, 0]",0,15,36,33,27,[],111,0,,"['morrima03', 'barrerj01', 'randlju01', 'portibo01', 'trieral01', 'paytoel01', 'knoxke01', 'gibsota01', 'ellinwa01', 'smithde03', 'ntilila01', 'brazdig01', 'dotsoda01']","[0, 0]",0,none,933758232.0,443398896.0,71827556.3076923,34107607.384615384,0,0
201910230UTA,UTA,UTA,OKC,9:00p,"Vivint Smart Home Arena, Salt Lake City, Utah",23,26,19,32,[],100,0,,"['goberru01', 'mitchdo01', 'onealro01', 'conlemi01', 'bogdabo02', 'inglejo01', 'mudiaem01', 'greenje02', 'davised01', 'niangge01', 'kiddst01', 'willini01', 'bradlto01']","[0, 0]",0,12,34,28,21,[],95,0,,"['gilgesh01', 'paulch01', 'gallida01', 'adamsst01', 'fergute01', 'schrode01', 'diallha01', 'bazleda01', 'muscami01', 'noelne01', 'naderab01', 'burtode02', 'pattoju01']","[0, 0]",0,division,748016542.0,830392923.0,57539734.0,63876378.692307696,0,0
201910240DET,ATL,DET,ATL,7:00p,"Little Caesars Arena, Detroit, Michigan",32,31,18,19,[],100,1,1.0,"['drumman01', 'snellto01', 'morrima02', 'brownbr01', 'jacksre01', 'kennalu01', 'gallola01', 'rosede01', 'makerth01', 'fraziti01', 'mykhasv01', 'thomakh01', 'woodch01']","[1, 0]",0,38,22,31,26,[],117,0,,"['youngtr01', 'collijo01', 'huntede01', 'lenal01', 'reddica01', 'bembrde01', 'parkeja01', 'turneev01', 'fernabr01', 'huertke01', 'cartevi01', 'jonesda03', 'goodwbr01']","[0, 0]",0,conference,619054879.0,499960921.0,47619606.07692308,38458532.38461538,1,0
201910240GSW,LAC,GSW,LAC,10:30p,"Chase Center, San Francisco, California",29,25,33,35,[],122,0,,"['russeda01', 'robingl02', 'curryst01', 'greendr01', 'looneke01', 'pascher01', 'evansja02', 'poolejo01', 'chrisma01', 'spellom01', 'leeda03', 'bowmaky01']","[0, 0]",0,35,30,46,30,[],141,1,2.0,"['shamela01', 'beverpa01', 'pattepa01', 'leonaka01', 'zubaciv01', 'willilo02', 'harremo01', 'harklma01', 'greenja01', 'kabenmf01', 'motlejo01', 'robinje01', 'mannte01']","[1, 0]",0,division,568700114.0,572668047.0,47391676.16666666,44051388.23076923,0,1
201910240HOU,MIL,HOU,MIL,8:00p,"Toyota Center, Houston, Texas",30,36,21,24,[],111,0,,"['tuckepj01', 'hardeja01', 'westbru01', 'capelca01', 'houseda01', 'gordoer01', 'mclembe01', 'riverau01', 'chandty01', 'sefolth01', 'clemoch01', 'clarkga01', 'anderry01']","[0, 0]",0,23,27,28,39,[],117,0,,"['middlkh01', 'matthwe02', 'antetgi01', 'lopezbr01', 'bledser01', 'hillge01', 'ilyaser01', 'connapa01', 'lopezro01', 'korveky01', 'brownst02', 'divindo01', 'wilsodj01']","[0, 0]",0,none,1304281908.0,1112208856.0,100329377.53846154,85554527.38461539,0,0
201910250BOS,BOS,BOS,TOR,7:00p,"TD Garden, Boston, Massachusetts",22,28,26,36,[],112,-1,2.0,"['brownja02', 'haywago01', 'walkeke02', 'tatumja01', 'theisda01', 'smartma01', 'willigr01', 'williro04', 'wanambr01', 'ojelese01', 'greenja02', 'edwarca01', 'poirivi01']","[0, 1]",0,21,28,33,24,[],106,1,3.0,"['vanvlfr01', 'lowryky01', 'anunoog01', 'siakapa01', 'gasolma01', 'ibakase01', 'powelno01', 'daviste02', 'johnsst04', 'hernade01', 'bouchch01', 'thomama02', 'millema01']","[1, 0]",0,division,627721503.0,796304419.0,48286269.461538464,61254186.07692308,1,1
201910250BRK,BRK,BRK,NYK,7:30p,"Barclays Center, Brooklyn, New York",32,32,30,19,[],113,-1,2.0,"['princta02', 'harrijo01', 'irvinky01', 'allenja01', 'leverca01', 'dinwisp01', 'jordade01', 'templga01', 'nwabada01', 'kurucro01', 'chandwi01', 'pinsoth01', 'musadz01']","[0, 1]",0,23,28,32,26,[],109,-1,2.0,"['randlju01', 'barrerj01', 'morrima03', 'paytoel01', 'robinmi01', 'knoxke01', 'trieral01', 'gibsota01', 'ellinwa01', 'portibo01', 'smithde03', 'ntilila01', 'dotsoda01']","[0, 1]",0,division,703414865.0,447345145.0,54108835.76923077,34411165.0,1,1
201910250CHO,MIN,CHO,MIN,7:00p,"Spectrum Center, Charlotte, North Carolina",32,24,25,18,[],99,1,2.0,"['washipj01', 'bridgmi02', 'bacondw01', 'biyombi01', 'roziete01', 'grahade01', 'hernawi01', 'monkma01', 'martica02', 'martico01', 'willima02', 'kiddgmi01', 'mcdanja01']","[1, 0]",0,30,28,45,18,[],121,1,2.0,"['wiggian01', 'townska01', 'grahatr01', 'teaguje01', 'covinro01', 'okogijo01', 'laymaja01', 'napiesh01', 'vonleno01', 'culveja01', 'dienggo01', 'belljo01', 'martike03']","[1, 0]",0,none,439156098.0,573166701.0,33781238.307692304,44089746.23076923,1,1
201910250DEN,DEN,DEN,PHO,9:00p,"Pepsi Center, Denver, Colorado",15,24,25,31,[],108,1,2.0,"['murraja01', 'jokicni01', 'harriga01', 'millspa01', 'bartowi01', 'grantje01', 'beaslma01', 'craigto01', 'morrimo01', 'plumlma01', 'hernaju01', 'doziepj01', 'portemi01']","[1, 0]",0,21,24,17,33,[],107,1,2.0,"['bookede01', 'oubreke01', 'rubiori01', 'saricda01', 'baynear01', 'kaminfr01', 'johnsty01', 'carteje01', 'bridgmi01', 'diallch01', 'harpeja01', 'okoboel01', 'aytonde01']","[1, 0]",0,conference,755250243.0,488896197.0,58096172.538461536,37607399.76923077,1,1
201910250LAL,LAL,LAL,UTA,10:30p,"STAPLES Center, Los Angeles, California",24,19,31,21,[],95,-1,3.0,"['davisan02', 'jamesle01', 'greenda02', 'bradlav01', 'mcgeeja01', 'danietr01', 'cookqu01', 'caldwke01', 'carusal01', 'howardw01', 'dudleja01', 'norveza01', 'antetko01']","[0, 1]",0,17,20,18,31,[],86,1,2.0,"['mitchdo01', 'goberru01', 'conlemi01', 'inglejo01', 'greenje02', 'onealro01', 'niangge01', 'mudiaem01', 'davised01', 'bradlto01', 'brantja01', 'kiddst01', 'willini01']","[1, 0]",0,conference,1229126195.0,663503793.0,94548168.84615384,51038753.307692304,1,1
201910250MEM,CHI,MEM,CHI,8:00p,"FedEx Forum, Memphis, Tennessee",29,31,21,21,[],102,-1,2.0,"['jacksja02', 'crowdja01', 'brookdi01', 'moranja01', 'valanjo01', 'clarkbr01', 'anderky01', 'jonesty01', 'allengr01', 'gudurma01', 'cabocbr01', 'meltode01', 'hillso01']","[0, 1]",0,25,22,32,31,[],110,-1,2.0,"['lavinza01', 'markkla01', 'cartewe01', 'satorto01', 'porteot01', 'whiteco01', 'dunnkr01', 'youngth01', 'arcidry01', 'kornelu01', 'harrish01', 'valende01', 'gaffoda01']","[0, 1]",0,none,431016857.0,532303649.0,33155142.846153848,40946434.538461536,1,1
201910250NOP,DAL,NOP,DAL,8:00p,"Smoothie King Center, New Orleans, Louisiana",41,23,29,23,[],116,-1,3.0,"['balllo01', 'holidjr01', 'ingrabr01', 'favorde01', 'redicjj01', 'hartjo01', 'willike04', 'jacksfr01', 'alexani01', 'mellini01', 'okafoja01', 'hayesja02', 'mooreet01']","[0, 1]",0,27,45,23,28,[],123,1,2.0,"['doncilu01', 'porzikr01', 'brunsja01', 'finnedo01', 'leeco01', 'klebima01', 'wrighde01', 'hardati02', 'curryse01', 'jacksju01', 'broekry01', 'marjabo01', 'bareajo01']","[1, 0]",0,division,683148923.0,519119494.0,52549917.15384615,39932268.76923077,1,1
