,gameState,gameState,gameState,gameState,gameState,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,away,away,away
teamData,winner,teamHome,teamAway,location,rivalry,datetime,endtime,referees,attendance,neutral,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,salary,avgSalary,numberOfGamesPlayed,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,salary,avgSalary,numberOfGamesPlayed
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202210190TOR,TOR,TOR,CLE,"Scotiabank Arena, Toronto, Canada",conference,10/19/2022 19:30,10/19/2022 21:30,"['Ray Acosta', 'Karl Lane', 'Josh Tiven']",19800,0,28,23,25,32,[],108,0,,"['vanvlfr01', 'anunoog01', 'trentga02', 'siakapa01', 'barnesc01', 'achiupr01', 'kolokch01', 'youngth01', 'bantoda01', 'hernaju01', 'harpero02', 'champju01', 'dowtije01', 'flynnma01']","[0, 0]",0,700000000,58333333.33,0,22,35,27,21,[],105,0,,"['mobleev01', 'leverca01', 'mitchdo01', 'allenja01', 'garlada01', 'osmande01', 'wadede01', 'loveke01', 'okorois01', 'netora01', 'lopezro01', 'mobleis01', 'stevela01']","[0, 0]",0,700000000,58333333.33,0
202210190MIN,MIN,MIN,OKC,"Target Center, Minneapolis, Minnesota",division,10/19/2022 20:00,10/19/2022 22:00,"['Derrick Collins', 'Marc Davis', 'Mitchell Ervin']",17136,0,35,30,22,28,[],115,0,,"['mcdanja02', 'townska01', 'russeda01', 'goberru01', 'edwaran01', 'anderky01', 'nowelja01', 'princta02', 'mclaujo01', 'forbebr01', 'riverau01', 'reidna01', 'minotjo01', 'knighna01', 'moorewe01']","[0, 0]",0,700000000,58333333.33,0,22,30,35,21,[],108,0,,"['gilgesh01', 'giddejo01', 'dortlu01', 'pokusal01', 'willike04', 'manntr01', 'bazleda01', 'omorueu01', 'robinje02', 'diengou01', 'muscami01', 'willija06', 'joeis01', 'willija07', 'wiggiaa01']","[0, 0]",0,700000000,58333333.33,0
202210190SAS,CHO,SAS,CHO,"AT&T Center, San Antonio, Texas",none,10/19/2022 20:00,10/19/2022 22:00,"['Bill Kennedy', 'Brandon Schwab', 'Michael Smith']",16236,0,22,25,28,27,[],102,0,,"['johnske04', 'vassede01', 'sochaje01', 'poeltja01', 'jonestr01', 'primojo01', 'richajo01', 'mcderdo01', 'colliza01', 'dienggo01', 'robyis01', 'langfro01', 'bateske01', 'weslebl01', 'branhma01']","[0, 0]",0,700000000,58333333.33,0,38,30,30,31,[],129,0,,"['washipj01', 'roziete01', 'haywago01', 'oubreke01', 'plumlma01', 'mcdanja01', 'richani01', 'smithde03', 'bouknja01', 'thorjt01', 'joneska01', 'maledth01', 'willima07', 'mcgowbr01', 'martico01']","[0, 0]",0,700000000,58333333.33,0
202210190UTA,UTA,UTA,DEN,"Vivint Arena, Salt Lake City, Utah",division,10/19/2022 21:00,10/19/2022 23:00,"['Tony Brothers', 'Kevin Cutler', 'Lauren Holtkamp-Sterling']",18206,0,37,38,19,29,[],123,0,,"['markkla01', 'conlemi01', 'clarkjo01', 'vandeja01', 'olynyke01', 'gayru01', 'beaslma01', 'kesslwa01', 'sextoco01', 'hortota01', 'alexani01', 'agbajoc01', 'bolmale01', 'fontesi01', 'pottemi01']","[0, 0]",0,700000000,58333333.33,0,30,23,27,22,[],102,0,,"['portemi01', 'caldwke01', 'jokicni01', 'gordoaa01', 'murraja01', 'brownbr01', 'hylanbo01', 'greenje02', 'reedda01', 'jordade01', 'smithis01', 'braunch01', 'cancavl01', 'watsope01', 'nnajize01']","[0, 0]",0,700000000,58333333.33,0
202210190PHO,PHO,PHO,DAL,"Footprint Center, Phoenix, Arizona",conference,10/19/2022 22:00,10/20/2022 0:00,"['Eric Lewis', 'Gediminas Petraitis', 'Derek Richardson']",17071,0,24,21,31,31,[],107,0,,"['bridgmi01', 'bookede01', 'aytonde01', 'paulch01', 'johnsca02', 'leeda03', 'payneca01', 'landajo01', 'craigto01', 'biyombi01', 'okogijo01', 'saricda01', 'washidu02', 'wainris01']","[0, 0]",0,700000000,58333333.33,0,32,30,19,24,[],105,0,,"['finnedo01', 'doncilu01', 'bullore01', 'dinwisp01', 'mcgeeja01', 'klebima01', 'hardati02', 'woodch01', 'greenjo02', 'hardyja02', 'pinsoth01', 'wrighmc01', 'poweldw01']","[0, 0]",0,700000000,58333333.33,0
202210190SAC,POR,SAC,POR,"Golden 1 Center, Sacramento, California",conference,10/19/2022 22:00,10/20/2022 0:00,"['Brandon Adair', 'Courtney Kirkland', 'Justin Van Duyne']",17611,0,23,32,29,24,[],108,0,,"['foxde01', 'sabondo01', 'barneha02', 'huertke01', 'okpalkz01', 'mitchda01', 'daviste02', 'monkma01', 'lylestr01', 'holmeri01', 'metuch01', 'lenal01', 'monekch01', 'dellama01']","[0, 0]",0,700000000,58333333.33,0,32,19,33,31,[],115,0,,"['hartjo01', 'lillada01', 'simonan01', 'grantje01', 'nurkiju01', 'winslju01', 'sharpsh01', 'eubandr01', 'littlna01', 'johnske07', 'browngr01', 'walkeja01']","[0, 0]",0,700000000,58333333.33,0
202210200PHI,MIL,PHI,MIL,"Wells Fargo Center, Philadelphia, Pennsylvania",conference,10/20/2022 19:30,10/20/2022 21:30,"['Jacyn Goble', 'Jonathan Sterling', 'James Williams']",20060,0,24,21,18,25,[],88,-1,2,"['hardeja01', 'tuckepj01', 'embiijo01', 'maxeyty01', 'harrito02', 'houseda01', 'meltode01', 'niangge01', 'reedpa01', 'harremo01', 'thybuma01', 'korkmfu01', 'sprinja01', 'miltosh01']","[0, 1]",0,700000000,58333333.33,1,30,17,26,17,[],90,0,,"['antetgi01', 'holidjr01', 'allengr01', 'lopezbr01', 'carteje01', 'portibo01', 'hillge01', 'matthwe02', 'nworajo01', 'ibakase01', 'greenaj01', 'antetth01', 'mamuksa01', 'beaucma01']","[0, 0]",0,700000000,58333333.33,0
202210200LAL,LAC,LAL,LAC,"Crypto.com Arena, Los Angeles, California",division,10/20/2022 22:00,10/21/2022 0:00,"['Kevin Cutler', 'Eric Lewis', 'Leon Wood']",18997,0,23,33,21,20,[],97,-1,2,"['jamesle01', 'walkelo01', 'beverpa01', 'davisan02', 'westbru01', 'reaveau01', 'toscaju01', 'ryanma01', 'nunnke01', 'jonesda03', 'gabriwe01', 'pippesc02', 'chrisma02']","[0, 1]",0,700000000,58333333.33,1,35,21,29,18,[],103,0,,"['georgpa01', 'zubaciv01', 'jacksre01', 'morrima03', 'powelno01', 'walljo01', 'kennalu01', 'leonaka01', 'covinro01', 'batumni01', 'mannte01', 'prestja01', 'coffeam01', 'brownmo01', 'bostobr01']","[0, 0]",0,700000000,58333333.33,0
202210210CHO,NOP,CHO,NOP,"Spectrum Center, Charlotte, North Carolina",none,10/21/2022 19:00,10/21/2022 21:00,"['Brent Barnaky', 'Marc Davis', 'Nate Green']",19287,0,24,27,34,27,[],112,1,2,"['haywago01', 'roziete01', 'oubreke01', 'washipj01', 'plumlma01', 'mcdanja01', 'richani01', 'smithde03', 'bouknja01', 'joneska01', 'thorjt01', 'maledth01', 'mcgowbr01', 'willima07']","[1, 0]",0,700000000,58333333.33,1,35,26,32,31,[],124,1,2,"['ingrabr01', 'joneshe01', 'mccolcj01', 'willizi01', 'valanjo01', 'murphtr02', 'nancela02', 'alvarjo01', 'marshna01', 'grahade01', 'hernawi01', 'daniedy01', 'hayesja02', 'seabrde01', 'templga01']","[1, 0]",0,700000000,58333333.33,1
202210210IND,SAS,IND,SAS,"Gainbridge Fieldhouse, Indianapolis, Indiana",none,10/21/2022 19:00,10/21/2022 21:00,"['Mousa Dagher', 'Mitchell Ervin', 'Ben Taylor']",12073,0,26,29,30,49,[],134,-1,2,"['halibty01', 'hieldbu01', 'taylote01', 'duartch01', 'smithja04', 'nembhan01', 'mathube01', 'nesmiaa01', 'bitadgo01', 'mccontj01', 'jacksis01', 'johnsja01', 'brissos01', 'turnemy01']","[0, 1]",0,700000000,58333333.33,1,36,34,32,35,[],137,-1,2,"['jonestr01', 'vassede01', 'johnske04', 'poeltja01', 'sochaje01', 'richajo01', 'primojo01', 'colliza01', 'mcderdo01', 'bateske01', 'weslebl01', 'branhma01', 'robyis01', 'langfro01', 'dienggo01']","[0, 1]",0,700000000,58333333.33,1
