gameid,ref,att
201910220LAC,"['Kane Fitzgerald', 'Mark Lindsay', 'Dedric Taylor']",19068
201910220TOR,"['Tony Brown', 'Eric Dalen', 'Josh Tiven']",20787
201910230BRK,"['Pat Fraher', 'Derek Richardson', 'Kevin Scott']",17732
201910230CHO,"['Rodney Mott', 'Gediminas Petraitis', 'Leroy Richardson']",15424
201910230DAL,"['Nick Buchert', 'Ken Mauer', 'Jonathan Sterling']",19816
201910230IND,"['Marc Davis', 'Brett Nansel', 'Ben Taylor']",17923
201910230MIA,"['John Goble', 'Simone Jelks', 'Karl Lane']",19600
201910230ORL,"['Brent Barnaky', 'Eric Lewis', 'Haywoode Workman']",18846
201910230PHI,"['Sean Corbin', 'Marat Kogut', 'Sean Wright']",20422
201910230PHO,"['John Butler', 'Bill Spooner', 'James Williams']",18055
201910230POR,"['Ray Acosta', 'Kevin Cutler', 'Scott Foster']",19991
201910230SAS,"['David Guthrie', 'Jenna Schroeder', 'Scott Twardoski']",18354
201910230UTA,"['Kane Fitzgerald', 'Tre Maddox', 'Dedric Taylor']",18306
201910240DET,"['Tony Brothers', 'Mitchell Ervin', 'Aaron Smith']",20338
201910240GSW,"['Ray Acosta', 'Brian Forte', 'Scott Foster']",18064
201910240HOU,"['Matt Boland', 'Tyler Ford', 'Tom Washington']",18055
201910250BOS,"['Ed Malloy', 'Derek Richardson', 'Michael Smith']",18624
201910250BRK,"['Courtney Kirkland', 'Rodney Mott', 'Evan Scott']",17732
201910250CHO,"['Brandon Adair', 'Eric Dalen', 'Ken Mauer']",14879
201910250DEN,"['Kane Fitzgerald', 'Scott Twardoski', 'Justin Van Duyne']",19557
201910250LAL,"['Kevin Cutler', 'David Guthrie', 'Leon Wood']",18997
201910250MEM,"['James Capers Jr.', 'Nate Green', 'J.T. Orr']",17794
201910250NOP,"['Scott Wall', 'James Williams', 'Zach Zarba']",17027
201910250OKC,"['Pat Fraher', 'Mark Lindsay', 'Brett Nansel']",18203
201910250SAC,"['Mark Ayotte', 'Mousa Dagher', 'Josh Tiven']",17583
201910260ATL,"['Gediminas Petraitis', 'Leroy Richardson', 'Tom Washington']",17078
201910260CHI,"['Marc Davis', 'Karl Lane', 'Brett Nansel']",21498
201910260CLE,"['Mitchell Ervin', 'C.J. Washington', 'Sean Wright']",19432
201910260DET,"['Nick Buchert', 'Jason Goldenberg', 'Kevin Scott']",16207
201910260HOU,"['John Goble', 'Ben Taylor', 'Dedric Taylor']",18055
201910260MIL,"['Sean Corbin', 'Aaron Smith', 'Jonathan Sterling']",17467
201910260NYK,"['Derrick Collins', 'Eric Lewis', 'Natalie Sago']",19812
201910260PHO,"['Jacyn Goble', 'David Guthrie', 'Tre Maddox']",15802
201910260SAS,"['Ray Acosta', 'Tony Brown', 'Marat Kogut']",18354
201910260UTA,"['Brian Forte', 'Scott Foster', 'Justin Van Duyne']",18306
201910270DAL,"['Brent Barnaky', 'Courtney Kirkland', 'Derek Richardson']",19707
201910270LAL,"['Curtis Blair', 'Jacyn Goble', 'Josh Tiven']",18997
201910270MEM,"['Brandon Adair', 'Mark Lindsay', 'Ken Mauer']",15517
201910270MIN,"['James Capers Jr.', 'Ashley Moyer-Gleich', 'J.T. Orr']",17049
201910270OKC,"['James Williams', 'Haywoode Workman', 'Zach Zarba']",18203
201910280ATL,"['Rodney Mott', 'Evan Scott', 'Scott Wall']",14094
201910280DET,"['John Conley', 'Karl Lane', 'Ed Malloy']",13565
201910280HOU,"['Brian Forte', 'Natalie Sago', 'Sean Wright']",18055
201910280LAC,"['Nick Buchert', 'John Goble', 'Leon Wood']",19068
201910280MIL,"['Scott Foster', 'Marat Kogut', 'Justin Van Duyne']",17385
201910280NOP,"['Pat Fraher', 'Gediminas Petraitis', 'Phenizee Ransom']",17307
201910280NYK,"['Mitchell Ervin', 'Matt Myers', 'Kevin Scott']",19812
201910280PHO,"['Tony Brown', 'Mousa Dagher', 'Ben Taylor']",14805
201910280SAC,"['Curtis Blair', 'David Guthrie', 'Jonathan Sterling']",15870
201910280SAS,"['Leroy Richardson', 'James Williams', 'Zach Zarba']",18083
201910280TOR,"['Derrick Collins', 'Sean Corbin', 'Nate Green']",19800
201910290DEN,"['Tre Maddox', 'J.T. Orr', 'Josh Tiven']",16605
201910290LAL,"['Brent Barnaky', 'Jonathan Sterling', 'Tom Washington']",18997
201910290MIA,"['Ray Acosta', 'Kevin Cutler', 'Pat Fraher']",19600
201910300BOS,"['Marc Davis', 'Tyler Ford', 'Dedric Taylor']",18624
201910300BRK,"['Nate Green', 'Michael Smith', 'Bill Spooner']",17083
201910300CLE,"['Derrick Collins', 'Rodney Mott', 'Phenizee Ransom']",17595
201910300GSW,"['Curtis Blair', 'Nick Buchert', 'John Goble']",18064
201910300OKC,"['Tony Brown', 'J.B. DeRosa', 'Scott Wall']",18203
201910300ORL,"['Tony Brothers', 'Kevin Cutler', 'Jacyn Goble']",17456
201910300PHI,"['Mark Ayotte', 'Mitchell Ervin', 'Scott Twardoski']",20204
201910300SAC,"['Eric Lewis', 'Aaron Smith', 'Ben Taylor']",15416
201910300TOR,"['Brandon Adair', 'Kane Fitzgerald', 'Marat Kogut']",19800
201910300UTA,"['Brent Barnaky', 'Derek Richardson', 'Josh Tiven']",18306
201910300WAS,"['James Capers Jr.', 'Jason Goldenberg', 'Kevin Scott']",20476
201910310ATL,"['Tony Brothers', 'Eric Dalen', 'Karl Lane']",16539
201910310LAC,"['Jonathan Sterling', 'Ben Taylor', 'Tom Washington']",19068
201910310NOP,"['Matt Boland', 'Courtney Kirkland', 'Ken Mauer']",16613
201911010BOS,"['Kane Fitzgerald', 'Leroy Richardson', 'James Williams']",18624
201911010BRK,"['Kevin Cutler', 'Marat Kogut', 'Ed Malloy']",17732
201911010CHI,"['Pat Fraher', 'Evan Scott', 'Dedric Taylor']",20671
201911010DAL,"['Mark Lindsay', 'Leon Wood', 'Sean Wright']",20358
201911010GSW,"['Brent Barnaky', 'Eric Lewis', 'Aaron Smith']",18064
201911010IND,"['Sean Corbin', 'Mitchell Ervin', 'Matt Myers']",16079
201911010ORL,"['Mark Ayotte', 'J.B. DeRosa', 'Michael Smith']",15105
201911010SAC,"['Nick Buchert', 'John Goble', 'J.T. Orr']",16273
201911020DET,"['Ray Acosta', 'Haywoode Workman', 'Zach Zarba']",17222
201911020GSW,"['John Butler', 'Courtney Kirkland', 'Tom Washington']",18064
201911020MEM,"['Tony Brothers', 'Natalie Sago', 'Scott Wall']",14144
201911020MIL,"['Curtis Blair', 'James Capers Jr.', 'Jacyn Goble']",17637
201911020OKC,"['Derrick Collins', 'David Guthrie', 'Andy Nagy']",18203
201911020ORL,"['Brandon Adair', 'Eric Dalen', 'Brian Forte']",17025
201911020POR,"['Mousa Dagher', 'John Goble', 'Tre Maddox']",19669
201911020WAS,"['Matt Boland', 'Ed Malloy', 'Jenna Schroeder']",15150
201911030CLE,"['Suyash Mehta', 'Michael Smith', 'Bill Spooner']",18078
201911030IND,"['Scott Twardoski', 'Leon Wood', 'Sean Wright']",17073
201911030LAC,"['Eric Lewis', 'Rodney Mott', 'Aaron Smith']",19068
