,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState,home,away
teamData,winner,teamHome,teamAway,timeOfDay,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry,salary,salary
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201410290NYK,CHI,NYK,CHI,8:00p,"Madison Square Garden (IV), New York, New York",20,23,17,20,[],80,0,,"['anthoca01', 'larkish01', 'stoudam01', 'shumpim01', 'dalemsa01', 'smithjr01', 'acyqu01', 'hardati02', 'prigipa01', 'aldrico01', 'smithja02', 'earlycl01', 'weartr01']","[0, 0]",0,24,29,31,20,[],104,0,,"['dunlemi02', 'gasolpa01', 'hinriki01', 'rosede01', 'noahjo01', 'gibsota01', 'mcderdo01', 'brookaa01', 'snellto01', 'mirotni01', 'bairsca01', 'mooreet01', 'mohamna01']","[0, 0]",0,conference,849122972.0,1030310016.0
201410290PHO,PHO,PHO,LAL,10:00p,"US Airways Center, Phoenix, Arizona",33,26,39,21,[],119,0,,"['morrima03', 'dragigo01', 'bledser01', 'morrima02', 'plumlmi01', 'greenge01', 'thomais02', 'lenal01', 'randosh01', 'ennisty01', 'tollian01', 'goodwar01', 'tuckepj01']","[0, 0]",0,19,31,23,26,[],99,-1,1.0,"['johnswe01', 'bryanko01', 'hilljo01', 'boozeca01', 'linje01', 'davised01', 'pricero01', 'ellinwa01', 'clarkjo01', 'sacrero01', 'randlju01', 'kellyry01', 'henryxa01']","[0, 1]",0,division,663244303.0,886272329.0
201410290POR,POR,POR,OKC,10:30p,"Moda Center, Portland, Oregon",29,20,26,31,[],106,0,,"['matthwe02', 'batumni01', 'aldrila01', 'lopezro01', 'lillada01', 'kamanch01', 'blakest01', 'mccolcj01', 'freeljo01', 'wrighdo01', 'crabbal01', 'robinth01', 'bartowi01']","[0, 0]",0,34,20,23,12,[],89,0,,"['roberan03', 'westbru01', 'jonespe01', 'ibakase01', 'adamsst01', 'thomala01', 'perkike01', 'collini01', 'telfase01', 'morroan01', 'lambje01', 'jacksre01']","[0, 0]",0,division,1249507621.0,945998393.0
201410290SAC,GSW,SAC,GSW,10:00p,"Sleep Train Arena, Sacramento, California",23,26,14,14,[],77,0,,"['collida01', 'gayru01', 'couside01', 'mclembe01', 'thompja02', 'stausni01', 'landrca01', 'casspom01', 'willide02', 'sessira01', 'evansre01', 'holliry01', 'mccalra01']","[0, 0]",0,25,22,26,22,[],95,0,,"['thompkl01', 'curryst01', 'greendr01', 'barneha02', 'bogutan01', 'iguodan01', 'speigma01', 'barbole01', 'ezelife01', 'kuzmiog01', 'holidju01', 'livinsh01', 'nedovne01']","[0, 0]",0,division,568585399.0,1202577573.0
201410290TOR,TOR,TOR,ATL,7:30p,"Air Canada Centre, Toronto, Canada",24,36,26,23,[],109,0,,"['derozde01', 'lowryky01', 'johnsam01', 'rosste01', 'valanjo01', 'pattepa01', 'hansbty01', 'vasqugr01', 'willilo02', 'johnsja01', 'fieldla01', 'hayesch01', 'noguelu01']","[0, 0]",0,22,30,19,31,[],102,0,,"['korveky01', 'teaguje01', 'millspa01', 'carrode01', 'horfoal01', 'scottmi01', 'sefolth01', 'macksh01', 'brandel01', 'bazemke01', 'schrode01', 'muscami01', 'anticpe01']","[0, 0]",0,conference,996585488.0,1139781922.0
201410290UTA,HOU,UTA,HOU,9:00p,"EnergySolutions Arena, Salt Lake City, Utah",27,23,22,21,[],93,0,,"['burketr01', 'haywago01', 'burksal01', 'favorde01', 'kanteen01', 'booketr01', 'hoodro01', 'goberru01', 'exumda01', 'inglejo01', 'novakst01', 'evansje01', 'clarkia01']","[0, 0]",0,27,31,17,29,[],104,1,1.0,"['hardeja01', 'arizatr01', 'howardw01', 'beverpa01', 'joneste01', 'papanko01', 'terryja01', 'blackta01', 'motiedo01', 'canaais01', 'garcifr01', 'dorsejo01', 'danietr01']","[1, 0]",0,conference,873504036.0,899214897.0
201410300CLE,NYK,CLE,NYK,8:00p,"Quicken Loans Arena, Cleveland, Ohio",25,19,20,26,[],90,0,,"['jamesle01', 'irvinky01', 'loveke01', 'waitedi01', 'varejan01', 'thomptr01', 'dellama01', 'mariosh01', 'millemi01', 'kirkal01', 'haywobr01', 'jonesja02', 'harrijo01']","[0, 0]",0,18,24,25,28,[],95,-1,1.0,"['anthoca01', 'shumpim01', 'larkish01', 'acyqu01', 'dalemsa01', 'smithjr01', 'stoudam01', 'prigipa01', 'smithja02', 'aldrico01', 'weartr01', 'hardati02', 'earlycl01']","[0, 1]",0,conference,1506856369.0,849122972.0
201410300DAL,DAL,DAL,UTA,8:30p,"American Airlines Center, Dallas, Texas",36,33,24,27,[],120,-1,2.0,"['ellismo01', 'parsoch01', 'chandty01', 'nowitdi01', 'nelsoja01', 'harride01', 'wrighbr03', 'aminual01', 'bareajo01', 'jefferi01', 'crowdja01', 'smithgr02', 'villach01']","[0, 1]",0,20,24,29,29,[],102,-1,1.0,"['haywago01', 'favorde01', 'burketr01', 'burksal01', 'kanteen01', 'exumda01', 'booketr01', 'hoodro01', 'goberru01', 'inglejo01', 'novakst01', 'clarkia01', 'evansje01']","[0, 1]",0,conference,1200637488.0,873504036.0
201410300LAC,LAC,LAC,OKC,10:30p,"STAPLES Center, Los Angeles, California",22,24,24,23,[],93,0,,"['griffbl01', 'paulch01', 'jordade01', 'redicjj01', 'barnema02', 'crawfja01', 'hawessp01', 'douglch01', 'farmajo01', 'udohek01', 'bullore01', 'cunnija01', 'turkohe01']","[0, 0]",0,28,13,21,28,[],90,-1,1.0,"['jonespe01', 'roberan03', 'ibakase01', 'adamsst01', 'westbru01', 'telfase01', 'perkike01', 'thomala01', 'collini01', 'morroan01', 'jacksre01', 'lambje01']","[0, 1]",0,conference,1248258713.0,945998393.0
201410300MIN,MIN,MIN,DET,8:00p,"Target Center, Minneapolis, Minnesota",21,24,30,22,[],97,-1,1.0,"['youngth01', 'pekovni01', 'breweco01', 'rubiori01', 'wiggian01', 'willima01', 'martike02', 'dienggo01', 'bennean01', 'muhamsh01', 'lavinza01', 'hummero01', 'budinch01']","[0, 1]",0,21,23,21,26,[],91,-1,1.0,"['caldwke01', 'drumman01', 'smithjo03', 'singlky01', 'jennibr01', 'augusdj01', 'butleca01', 'jerebjo01', 'anthojo01', 'monrogr01', 'mitchto02', 'dinwisp01', 'datomlu01']","[0, 1]",0,none,872156191.0,730200602.0
201410300ORL,WAS,ORL,WAS,7:00p,"Amway Center, Orlando, Florida",23,28,15,32,[],98,-1,2.0,"['vucevni01', 'harrito02', 'fournev01', 'fryech01', 'paytoel01', 'gordobe01', 'ridnolu01', 'gordoaa01', 'dedmode01', 'nichoan01', 'greenwi01', 'marblde01', 'harklma01']","[0, 1]",0,28,26,28,23,[],105,-1,1.0,"['gortama01', 'walljo01', 'hilarne01', 'templga01', 'piercpa01', 'goodedr01', 'porteot01', 'ricegl02', 'millean02', 'humphkr01', 'serapke01', 'butlera01', 'blairde01']","[0, 1]",0,division,889665847.0,1109623444.0
