,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState,home,away
teamData,winner,teamHome,teamAway,timeOfDay,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry,salary,salary
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201411220HOU,HOU,HOU,DAL,8:00p,"Toyota Center, Houston, Texas",29,31,17,18,[],95,-2,3.0,"['motiedo01', 'hardeja01', 'arizatr01', 'beverpa01', 'blackta01', 'papanko01', 'terryja01', 'garcifr01', 'dorsejo01', 'canaais01', 'howardw01', 'danietr01']","[9, 3]",0,29,22,17,24,[],92,6,1.0,"['ellismo01', 'parsoch01', 'nowitdi01', 'nelsoja01', 'chandty01', 'harride01', 'wrighbr03', 'aminual01', 'bareajo01', 'jefferi01', 'smithgr02', 'feltora01', 'crowdja01']","[10, 3]",0,division,890583849.0,1203230694.0
201411220IND,PHO,IND,PHO,7:00p,"Bankers Life Fieldhouse, Indianapolis, Indiana",27,21,16,19,[],83,2,3.0,"['hillso01', 'copelch01', 'sloando01', 'scolalu01', 'hibbero01', 'mahinia01', 'allenla01', 'priceaj01', 'stuckro01', 'rudezda01', 'whittsh01', 'westda01', 'milescj01']","[5, 7]",0,30,25,25,26,[],106,3,1.0,"['bledser01', 'morrima02', 'dragigo01', 'plumlmi01', 'morrima03', 'tuckepj01', 'tollian01', 'thomais02', 'greenge01', 'lenal01', 'goodwar01', 'warretj01', 'randosh01']","[8, 5]",0,none,509636776.0,713259089.0
201411220MIL,WAS,MIL,WAS,8:30p,"BMO Harris Bradley Center, Milwaukee, Wisconsin",28,24,18,30,[],100,-1,1.0,"['knighbr03', 'antetgi01', 'parkeja01', 'middlkh01', 'sandela01', 'pachuza01', 'mayooj01', 'ilyaser01', 'bayleje01', 'dudleja01', 'woltena01', 'marshke01', 'hensojo01']","[7, 6]",0,21,26,27,37,[],111,1,1.0,"['walljo01', 'gortama01', 'piercpa01', 'templga01', 'hilarne01', 'bealbr01', 'butlera01', 'humphkr01', 'serapke01', 'millean02', 'goodedr01', 'porteot01', 'blairde01']","[8, 3]",1,conference,824086066.0,1286587975.0
201411220MIN,SAC,MIN,SAC,8:00p,"Target Center, Minneapolis, Minnesota",24,28,25,24,[],101,-1,1.0,"['wiggian01', 'dienggo01', 'willima01', 'breweco01', 'bennean01', 'budinch01', 'muhamsh01', 'lavinza01', 'hummero01', 'robingl02', 'pekovni01', 'martike02']","[3, 8]",0,21,27,36,29,[],113,1,2.0,"['mclembe01', 'couside01', 'gayru01', 'collida01', 'thompja02', 'willide02', 'sessira01', 'casspom01', 'landrca01', 'stausni01', 'mccalra01', 'holliry01', 'evansre01']","[7, 5]",0,conference,623380296.0,568585399.0
201411220NYK,NYK,NYK,PHI,7:30p,"Madison Square Garden (IV), New York, New York",25,21,25,20,[],91,-2,3.0,"['anthoca01', 'shumpim01', 'acyqu01', 'dalemsa01', 'caldejo01', 'prigipa01', 'smithjr01', 'stoudam01', 'smithja02', 'hardati02', 'aldrico01', 'weartr01', 'larkish01']","[3, 10]",0,13,26,15,29,[],83,-2,1.0,"['noelne01', 'wroteto01', 'mbahalu01', 'cartemi01', 'simshe01', 'daviebr01', 'thompho01', 'mcdankj01', 'covinro01', 'shvedal01', 'gordodr01', 'grantje01']","[0, 12]",0,division,933507872.0,243743176.0
201411220ORL,MIA,ORL,MIA,7:00p,"Amway Center, Orlando, Florida",18,28,21,25,[],92,1,1.0,"['fournev01', 'vucevni01', 'oladivi01', 'fryech01', 'greenwi01', 'paytoel01', 'harklma01', 'gordobe01', 'dedmode01', 'ridnolu01', 'nichoan01', 'harrito02', 'gordoaa01']","[6, 8]",0,22,27,19,31,[],99,-1,2.0,"['boshch01', 'brownsh01', 'willish03', 'chalmma01', 'denglu01', 'napiesh01', 'anderch01', 'ennisja01', 'mcrobjo01', 'hasleud01', 'hamilju01', 'grangda01', 'dawkian01']","[6, 6]",0,division,995812990.0,709770022.0
201411220SAS,SAS,SAS,BRK,8:30p,"AT&T Center, San Antonio, Texas",25,26,28,20,[],99,3,1.0,"['parketo01', 'leonaka01', 'diawbo01', 'duncati01', 'belinma01', 'greenda02', 'ginobma01', 'baynear01', 'dayeau01', 'anderky01', 'pendeje02', 'josepco01', 'bonnema01']","[8, 4]",0,18,18,28,23,[],87,1,1.0,"['willide01', 'johnsjo02', 'teletmi01', 'lopezbr01', 'bogdabo02', 'jackja01', 'anderal01', 'jordaje01', 'jeffeco01', 'plumlma01', 'brownma02', 'gutiejo01', 'karasse01']","[5, 7]",0,none,1153684034.0,793425528.0
201411220UTA,NOP,UTA,NOP,9:00p,"EnergySolutions Arena, Salt Lake City, Utah",23,17,32,22,[],94,-1,1.0,"['haywago01', 'burketr01', 'favorde01', 'burksal01', 'kanteen01', 'booketr01', 'inglejo01', 'exumda01', 'goberru01', 'novakst01', 'evansje01', 'clarkia01']","[5, 8]",0,25,32,20,29,[],106,-1,1.0,"['davisan02', 'evansty01', 'holidjr01', 'ajincal01', 'gordoer01', 'riverau01', 'anderry01', 'witheje01', 'fredeji01', 'babbilu01', 'smithru01', 'youngpa01', 'salmojo01']","[6, 5]",0,conference,845593970.0,884973700.0
201411230BOS,POR,BOS,POR,6:00p,"TD Garden, Boston, Massachusetts",23,26,23,16,[],88,-1,2.0,"['rondora01', 'greenje02', 'sullija01', 'bradlav01', 'olynyke01', 'bassbr01', 'thornma01', 'turneev01', 'wallage01', 'zellety01', 'pressph01', 'poweldw01']","[4, 7]",0,21,23,28,22,[],94,6,2.0,"['lillada01', 'aldrila01', 'matthwe02', 'batumni01', 'lopezro01', 'blakest01', 'kamanch01', 'crabbal01', 'freeljo01', 'wrighdo01', 'robinth01', 'leoname01', 'bartowi01']","[9, 3]",0,none,699611345.0,1161669994.0
201411230LAL,DEN,LAL,DEN,9:30p,"STAPLES Center, Los Angeles, California",19,20,36,11,[],94,-1,2.0,"['bryanko01', 'hilljo01', 'johnswe01', 'linje01', 'davised01', 'youngni01', 'sacrero01', 'pricero01', 'ellinwa01', 'kellyry01', 'henryxa01', 'clarkjo01', 'boozeca01']","[3, 10]",0,21,20,31,14,[],101,3,2.0,"['lawsoty01', 'afflaar01', 'chandwi01', 'mozgoti01', 'farieke01', 'gallida01', 'arthuda01', 'hicksjj01', 'foyera01', 'robinna01', 'mcgeeja01', 'nurkiju01', 'geeal01']","[5, 7]",0,conference,846388246.0,760209873.0
201411230MEM,MEM,MEM,LAC,6:00p,"FedEx Forum, Memphis, Tennessee",26,27,35,19,[],107,1,2.0,"['leeco01', 'gasolma01', 'randoza01', 'conlemi01', 'allento01', 'pondequ01', 'udrihbe01', 'leuerjo01', 'koufoko01', 'cartevi01', 'calatni01', 'stokeja01', 'princta01']","[11, 2]",0,21,19,32,19,[],91,2,3.0,"['paulch01', 'griffbl01', 'redicjj01', 'jordade01', 'barnema02', 'crawfja01', 'hawessp01', 'farmajo01', 'davisgl01', 'turkohe01', 'bullore01', 'cunnija01', 'udohek01']","[7, 4]",0,conference,1146067860.0,1279604443.0
201411230MIA,MIA,MIA,CHO,6:00p,"AmericanAirlines Arena, Miami, Florida",23,30,14,27,[],94,1,1.0,"['denglu01', 'chalmma01', 'boshch01', 'willish03', 'brownsh01', 'napiesh01', 'ennisja01', 'mcrobjo01', 'hasleud01', 'anderch01', 'hamilju01', 'grangda01', 'dawkian01']","[7, 6]",0,22,22,28,21,[],93,-4,2.0,"['walkeke02', 'jeffeal01', 'stephla01', 'willima02', 'hendege02', 'nealga01', 'zelleco01', 'roberbr01', 'biyombi01', 'vonleno01', 'tayloje03', 'pargoja01', 'maxieja01']","[4, 9]",1,division,709770022.0,737618406.0
201411230OKC,GSW,OKC,GSW,7:00p,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",20,27,19,20,[],86,-5,2.0,"['jacksre01', 'ibakase01', 'roberan03', 'adamsst01', 'thomala01', 'morroan01', 'perkike01', 'collini01', 'telfase01', 'lambje01', 'westbru01', 'smithis01', 'jonespe01']","[3, 11]",0,28,24,18,21,[],91,4,2.0,"['greendr01', 'thompkl01', 'curryst01', 'barneha02', 'bogutan01', 'iguodan01', 'speigma01', 'ezelife01', 'livinsh01', 'rushbr01', 'barbole01', 'kuzmiog01', 'holidju01']","[9, 2]",0,conference,986479873.0,1225336378.0
201411240CHO,LAC,CHO,LAC,7:00p,"Time Warner Cable Arena, Charlotte, North Carolina",23,30,17,22,[],92,-5,1.0,"['walkeke02', 'hendege02', 'jeffeal01', 'stephla01', 'willima02', 'zelleco01', 'roberbr01', 'biyombi01', 'nealga01', 'pargoja01', 'vonleno01', 'tayloje03', 'maxieja01']","[4, 10]",0,31,25,22,35,[],113,-1,1.0,"['jordade01', 'paulch01', 'griffbl01', 'redicjj01', 'bullore01', 'crawfja01', 'turkohe01', 'farmajo01', 'davisgl01', 'hawessp01', 'udohek01', 'cunnija01', 'barnema02']","[7, 5]",0,none,737618406.0,1279604443.0
201411240CLE,CLE,CLE,ORL,7:00p,"Quicken Loans Arena, Cleveland, Ohio",26,30,25,25,[],106,-4,2.0,"['loveke01', 'irvinky01', 'jamesle01', 'mariosh01', 'varejan01', 'thomptr01', 'waitedi01', 'cherrwi01', 'amundlo01', 'harrijo01', 'jonesja02', 'haywobr01', 'millemi01']","[5, 7]",0,16,22,20,16,[],74,-1,2.0,"['oladivi01', 'fournev01', 'fryech01', 'vucevni01', 'harklma01', 'greenwi01', 'paytoel01', 'dedmode01', 'nichoan01', 'gordobe01', 'ridnolu01', 'harrito02', 'gordoaa01']","[6, 9]",0,conference,1476666532.0,995812990.0
201411240DAL,IND,DAL,IND,8:30p,"American Airlines Center, Dallas, Texas",24,26,28,22,[],100,-1,2.0,"['ellismo01', 'parsoch01', 'nowitdi01', 'chandty01', 'nelsoja01', 'wrighbr03', 'harride01', 'aminual01', 'bareajo01', 'crowdja01', 'villach01', 'smithgr02', 'jefferi01']","[10, 4]",0,25,30,30,26,[],111,-1,2.0,"['sloando01', 'scolalu01', 'hillso01', 'stuckro01', 'mahinia01', 'allenla01', 'milescj01', 'rudezda01', 'copelch01', 'priceaj01', 'whittsh01', 'westda01', 'hibbero01']","[5, 8]",0,none,1200637488.0,509636776.0
201411240HOU,HOU,HOU,NYK,8:00p,"Toyota Center, Houston, Texas",27,24,18,22,[],91,1,2.0,"['arizatr01', 'hardeja01', 'motiedo01', 'canaais01', 'blackta01', 'papanko01', 'garcifr01', 'terryja01', 'dorsejo01', 'johnsni01', 'howardw01', 'danietr01']","[10, 3]",0,26,20,23,17,[],86,1,2.0,"['shumpim01', 'caldejo01', 'acyqu01', 'anthoca01', 'dalemsa01', 'stoudam01', 'larkish01', 'smithjr01', 'weartr01', 'prigipa01', 'hardati02', 'smithja02', 'aldrico01']","[4, 10]",0,none,827890641.0,933507872.0
201411240PHI,POR,PHI,POR,7:00p,"Wells Fargo Center, Philadelphia, Pennsylvania",20,32,28,24,[],104,-3,2.0,"['wroteto01', 'simshe01', 'cartemi01', 'mbahalu01', 'daviebr01', 'noelne01', 'mcdankj01', 'thompho01', 'shvedal01', 'gordodr01', 'covinro01', 'sampsja02']","[0, 13]",0,24,26,39,25,[],114,7,1.0,"['lillada01', 'aldrila01', 'matthwe02', 'batumni01', 'lopezro01', 'blakest01', 'kamanch01', 'crabbal01', 'freeljo01', 'bartowi01', 'wrighdo01', 'robinth01', 'leoname01']","[10, 3]",0,none,187540126.0,1161669994.0
201411240TOR,TOR,TOR,PHO,7:30p,"Air Canada Centre, Toronto, Canada",29,25,27,23,[],104,4,2.0,"['lowryky01', 'derozde01', 'valanjo01', 'rosste01', 'johnsam01', 'willilo02', 'pattepa01', 'vasqugr01', 'hayesch01', 'johnsja01', 'stiemgr01', 'fieldla01', 'cabocbr01']","[11, 2]",0,26,22,18,34,[],100,4,2.0,"['morrima02', 'bledser01', 'dragigo01', 'morrima03', 'plumlmi01', 'tuckepj01', 'greenge01', 'thomais02', 'lenal01', 'tollian01', 'randosh01', 'warretj01', 'goodwar01']","[9, 5]",0,none,988295527.0,713259089.0
201411240UTA,CHI,UTA,CHI,9:00p,"EnergySolutions Arena, Salt Lake City, Utah",14,27,36,18,[],95,-2,2.0,"['burketr01', 'haywago01', 'favorde01', 'burksal01', 'kanteen01', 'inglejo01', 'booketr01', 'goberru01', 'exumda01', 'novakst01', 'evansje01', 'clarkia01']","[5, 9]",0,30,26,22,19,[],97,-2,3.0,"['butleji01', 'gasolpa01', 'noahjo01', 'dunlemi02', 'rosede01', 'mirotni01', 'brookaa01', 'snellto01', 'mcderdo01', 'mooreet01', 'mohamna01', 'bairsca01']","[8, 5]",0,none,845593970.0,1055892275.0
201411250DEN,DEN,DEN,CHI,9:00p,"Pepsi Center, Denver, Colorado",31,25,30,28,[],114,4,2.0,"['lawsoty01', 'afflaar01', 'chandwi01', 'mozgoti01', 'farieke01', 'gallida01', 'hicksjj01', 'arthuda01', 'robinna01', 'geeal01', 'harriga01', 'greener01', 'nurkiju01']","[6, 7]",0,21,28,27,33,[],109,1,1.0,"['butleji01', 'dunlemi02', 'gasolpa01', 'bairsca01', 'rosede01', 'hinriki01', 'brookaa01', 'mirotni01', 'mohamna01', 'mcderdo01', 'snellto01', 'mooreet01']","[9, 5]",0,none,737160677.0,982813571.0
201411250MIA,GSW,MIA,GSW,7:30p,"AmericanAirlines Arena, Miami, Florida",36,26,24,11,[],97,2,2.0,"['chalmma01', 'boshch01', 'denglu01', 'coleno01', 'willish03', 'napiesh01', 'ennisja01', 'mcrobjo01', 'hasleud01', 'hamilju01', 'whiteha01', 'grangda01', 'dawkian01']","[8, 6]",0,30,31,30,23,[],114,5,2.0,"['thompkl01', 'curryst01', 'greendr01', 'barneha02', 'bogutan01', 'iguodan01', 'speigma01', 'rushbr01', 'livinsh01', 'barbole01', 'holidju01', 'kuzmiog01', 'ezelife01']","[10, 2]",0,none,768006243.0,1225336378.0
201411250MIL,MIL,MIL,DET,8:00p,"BMO Harris Bradley Center, Milwaukee, Wisconsin",26,23,30,19,[],98,-2,3.0,"['knighbr03', 'antetgi01', 'mayooj01', 'parkeja01', 'sandela01', 'ilyaser01', 'middlkh01', 'pachuza01', 'dudleja01', 'bayleje01', 'hensojo01', 'woltena01', 'marshke01']","[7, 7]",0,31,17,19,19,[],86,-4,4.0,"['augusdj01', 'smithjo03', 'drumman01', 'monrogr01', 'caldwke01', 'singlky01', 'butleca01', 'jerebjo01', 'dinwisp01', 'anthojo01', 'martica01', 'mitchto02', 'jennibr01']","[3, 10]",1,division,824086066.0,732924382.0
201411250NOP,SAC,NOP,SAC,8:00p,"Smoothie King Center, New Orleans, Louisiana",16,33,21,19,[],89,1,3.0,"['evansty01', 'davisan02', 'holidjr01', 'asikom01', 'milleda01', 'anderry01', 'riverau01', 'salmojo01', 'fredeji01', 'witheje01', 'babbilu01', 'youngpa01', 'ajincal01']","[7, 5]",1,27,22,26,24,[],99,2,3.0,"['casspom01', 'couside01', 'thompja02', 'sessira01', 'mclembe01', 'stausni01', 'mccalra01', 'willide02', 'landrca01', 'holliry01', 'evansre01', 'collida01']","[8, 5]",0,conference,819416075.0,397149230.0
201411250WAS,ATL,WAS,ATL,7:00p,"Verizon Center, Washington, District of Columbia",19,20,28,35,[],102,2,3.0,"['walljo01', 'gortama01', 'piercpa01', 'humphkr01', 'templga01', 'bealbr01', 'goodedr01', 'porteot01', 'serapke01', 'millean02', 'butlera01', 'hilarne01', 'blairde01']","[9, 3]",0,22,19,27,38,[],106,1,4.0,"['carrode01', 'millspa01', 'teaguje01', 'korveky01', 'horfoal01', 'scottmi01', 'macksh01', 'anticpe01', 'schrode01', 'sefolth01', 'muscami01', 'brandel01', 'bazemke01']","[6, 5]",0,division,1286587975.0,1139781922.0
201411260ATL,TOR,ATL,TOR,7:30p,"Philips Arena, Atlanta, Georgia",24,37,27,27,[],115,2,1.0,"['carrode01', 'korveky01', 'millspa01', 'teaguje01', 'horfoal01', 'anticpe01', 'schrode01', 'macksh01', 'scottmi01', 'bazemke01', 'muscami01', 'jenkijo01', 'brandel01']","[7, 5]",0,34,30,27,35,[],126,5,2.0,"['derozde01', 'lowryky01', 'johnsam01', 'valanjo01', 'rosste01', 'willilo02', 'pattepa01', 'johnsja01', 'hayesch01', 'vasqugr01', 'fieldla01', 'stiemgr01', 'noguelu01']","[12, 2]",1,conference,1098404162.0,986833689.0
201411260CHO,POR,CHO,POR,7:00p,"Time Warner Cable Arena, Charlotte, North Carolina",26,30,20,21,[],97,-6,2.0,"['walkeke02', 'jeffeal01', 'hendege02', 'stephla01', 'willima02', 'roberbr01', 'zelleco01', 'hairspj02', 'biyombi01', 'maxieja01', 'vonleno01', 'tayloje03', 'pargoja01']","[4, 11]",0,28,17,34,26,[],105,8,2.0,"['batumni01', 'lillada01', 'aldrila01', 'matthwe02', 'lopezro01', 'blakest01', 'kamanch01', 'crabbal01', 'freeljo01', 'wrighdo01', 'robinth01', 'leoname01', 'bartowi01']","[11, 3]",1,none,729167323.0,1161669994.0
201411260CLE,CLE,CLE,WAS,7:00p,"Quicken Loans Arena, Cleveland, Ohio",31,27,23,32,[],113,1,2.0,"['jamesle01', 'irvinky01', 'mariosh01', 'loveke01', 'varejan01', 'thomptr01', 'waitedi01', 'cherrwi01', 'harrijo01', 'amundlo01', 'millemi01', 'jonesja02', 'haywobr01']","[6, 7]",0,18,28,21,20,[],87,-1,1.0,"['walljo01', 'bealbr01', 'gortama01', 'piercpa01', 'humphkr01', 'butlera01', 'serapke01', 'porteot01', 'millean02', 'blairde01', 'goodedr01', 'templga01', 'hilarne01']","[9, 4]",1,conference,1476666532.0,1286587975.0
201411260DAL,DAL,DAL,NYK,7:30p,"American Airlines Center, Dallas, Texas",19,27,25,24,[],109,-2,2.0,"['parsoch01', 'chandty01', 'ellismo01', 'harride01', 'nowitdi01', 'wrighbr03', 'bareajo01', 'aminual01', 'crowdja01', 'jefferi01', 'villach01', 'smithgr02', 'ledori01']","[10, 5]",0,24,18,31,22,[],102,-1,2.0,"['caldejo01', 'acyqu01', 'smithjr01', 'shumpim01', 'dalemsa01', 'prigipa01', 'stoudam01', 'larkish01', 'hardati02', 'smithja02', 'weartr01', 'aldrico01', 'anthoca01']","[4, 11]",0,none,1131987656.0,933507872.0
201411260DET,LAC,DET,LAC,7:30p,"The Palace of Auburn Hills, Auburn Hills, Michigan",27,24,22,25,[],98,-5,1.0,"['caldwke01', 'drumman01', 'smithjo03', 'augusdj01', 'monrogr01', 'butleca01', 'dinwisp01', 'jerebjo01', 'martica01', 'singlky01', 'jennibr01', 'datomlu01', 'anthojo01']","[3, 11]",0,25,23,24,32,[],104,1,2.0,"['paulch01', 'griffbl01', 'jordade01', 'redicjj01', 'bullore01', 'crawfja01', 'turkohe01', 'hawessp01', 'davisgl01', 'farmajo01', 'wilcocj01', 'udohek01', 'cunnija01']","[8, 5]",0,none,734674382.0,1247408465.0
201411260HOU,HOU,HOU,SAC,8:00p,"Toyota Center, Houston, Texas",37,20,20,25,[],102,2,2.0,"['arizatr01', 'hardeja01', 'motiedo01', 'canaais01', 'blackta01', 'papanko01', 'garcifr01', 'terryja01', 'dorsejo01', 'johnsni01', 'danietr01', 'howardw01']","[11, 3]",0,19,31,23,16,[],89,3,1.0,"['casspom01', 'mclembe01', 'couside01', 'thompja02', 'sessira01', 'landrca01', 'stausni01', 'mccalra01', 'willide02', 'moreler01', 'holliry01', 'evansre01', 'collida01']","[9, 5]",0,conference,827890641.0,400586230.0
201411260LAL,MEM,LAL,MEM,10:30p,"STAPLES Center, Los Angeles, California",26,25,23,19,[],93,-2,3.0,"['bryanko01', 'hilljo01', 'linje01', 'johnswe01', 'boozeca01', 'youngni01', 'davised01', 'pricero01', 'ellinwa01', 'sacrero01', 'kellyry01', 'henryxa01', 'clarkjo01']","[3, 11]",0,21,25,34,19,[],99,2,3.0,"['gasolma01', 'leeco01', 'conlemi01', 'randoza01', 'allento01', 'pondequ01', 'leuerjo01', 'udrihbe01', 'cartevi01', 'koufoko01', 'princta01', 'stokeja01', 'calatni01']","[12, 2]",1,conference,846388246.0,1146067860.0
201411260MIN,MIL,MIN,MIL,8:00p,"Target Center, Minneapolis, Minnesota",24,23,23,16,[],86,-2,4.0,"['wiggian01', 'breweco01', 'lavinza01', 'dienggo01', 'youngth01', 'bennean01', 'muhamsh01', 'budinch01', 'hummero01', 'robingl02', 'willima01', 'pekovni01']","[3, 9]",0,26,25,21,31,[],103,1,1.0,"['parkeja01', 'knighbr03', 'mayooj01', 'sandela01', 'antetgi01', 'dudleja01', 'pachuza01', 'middlkh01', 'bayleje01', 'ilyaser01', 'marshke01', 'woltena01', 'hensojo01']","[8, 7]",0,none,677116728.0,824086066.0
201411260OKC,OKC,OKC,UTA,8:00p,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",31,25,18,23,[],97,-6,3.0,"['ibakase01', 'jacksre01', 'roberan03', 'adamsst01', 'thomala01', 'morroan01', 'perkike01', 'lambje01', 'telfase01', 'collini01', 'smithis01', 'westbru01', 'jonespe01']","[3, 12]",0,29,19,14,20,[],82,-3,2.0,"['haywago01', 'favorde01', 'burksal01', 'kanteen01', 'burketr01', 'inglejo01', 'exumda01', 'booketr01', 'goberru01', 'novakst01', 'evansje01', 'clarkia01']","[5, 10]",1,division,986479873.0,845593970.0
201411260ORL,GSW,ORL,GSW,7:00p,"Amway Center, Orlando, Florida",27,25,13,31,[],96,-2,2.0,"['fournev01', 'vucevni01', 'harrito02', 'oladivi01', 'fryech01', 'gordobe01', 'harklma01', 'paytoel01', 'greenwi01', 'oquinky01', 'ridnolu01', 'nichoan01', 'dedmode01']","[6, 10]",0,31,34,27,19,[],111,6,1.0,"['barneha02', 'thompkl01', 'bogutan01', 'curryst01', 'greendr01', 'iguodan01', 'livinsh01', 'rushbr01', 'speigma01', 'holidju01', 'ezelife01', 'kuzmiog01', 'barbole01']","[11, 2]",0,none,922501611.0,1225336378.0
201411260PHI,BRK,PHI,BRK,7:00p,"Wells Fargo Center, Philadelphia, Pennsylvania",19,22,26,24,[],91,-4,2.0,"['noelne01', 'wroteto01', 'cartemi01', 'simshe01', 'mbahalu01', 'mcdankj01', 'thompho01', 'daviebr01', 'covinro01', 'gordodr01', 'shvedal01', 'sampsja02']","[0, 14]",0,32,17,23,27,[],99,-1,4.0,"['willide01', 'johnsjo02', 'lopezbr01', 'garneke01', 'bogdabo02', 'teletmi01', 'anderal01', 'jackja01', 'jordaje01', 'plumlma01', 'karasse01', 'jeffeco01', 'gutiejo01']","[5, 8]",0,division,187540126.0,1135945531.0
201411260PHO,PHO,PHO,DEN,9:00p,"US Airways Center, Phoenix, Arizona",34,30,29,27,[],120,-1,2.0,"['bledser01', 'morrima02', 'dragigo01', 'morrima03', 'plumlmi01', 'tuckepj01', 'greenge01', 'lenal01', 'tollian01', 'warretj01', 'randosh01', 'goodwar01', 'dragizo01']","[9, 6]",0,30,34,22,26,[],112,5,1.0,"['lawsoty01', 'afflaar01', 'mozgoti01', 'chandwi01', 'farieke01', 'geeal01', 'arthuda01', 'robinna01', 'hicksjj01', 'gallida01', 'nurkiju01', 'harriga01', 'greener01']","[7, 7]",0,conference,682862875.0,737160677.0
201411260SAS,SAS,SAS,IND,8:30p,"AT&T Center, San Antonio, Texas",25,25,27,29,[],106,4,4.0,"['leonaka01', 'parketo01', 'duncati01', 'diawbo01', 'greenda02', 'ginobma01', 'belinma01', 'baynear01', 'bonnema01', 'josepco01', 'dayeau01', 'pendeje02', 'anderky01']","[9, 4]",0,27,28,21,24,[],100,1,2.0,"['stuckro01', 'hillso01', 'sloando01', 'scolalu01', 'mahinia01', 'allenla01', 'copelch01', 'priceaj01', 'rudezda01', 'milescj01', 'whittsh01', 'westda01', 'hibbero01']","[6, 8]",0,none,1153684034.0,509636776.0
201411280ATL,ATL,ATL,NOP,7:30p,"Philips Arena, Atlanta, Georgia",19,22,21,38,[],100,-1,2.0,"['millspa01', 'teaguje01', 'horfoal01', 'korveky01', 'carrode01', 'anticpe01', 'schrode01', 'bazemke01', 'macksh01', 'scottmi01', 'muscami01', 'brandel01']","[7, 6]",0,15,13,23,40,[],91,-1,3.0,"['holidjr01', 'evansty01', 'asikom01', 'davisan02', 'riverau01', 'anderry01', 'salmojo01', 'fredeji01', 'babbilu01', 'witheje01', 'smithru01', 'milleda01', 'ajincal01']","[7, 6]",0,none,1092491941.0,821049039.0
201411280BOS,CHI,BOS,CHI,1:00p,"TD Garden, Boston, Massachusetts",35,25,31,11,[],102,-2,5.0,"['bradlav01', 'rondora01', 'sullija01', 'greenje02', 'olynyke01', 'bassbr01', 'turneev01', 'zellety01', 'thornma01', 'pressph01', 'youngja01', 'wallage01', 'poweldw01']","[4, 8]",1,24,30,31,24,[],109,-1,3.0,"['butleji01', 'noahjo01', 'gasolpa01', 'rosede01', 'dunlemi02', 'hinriki01', 'mirotni01', 'brookaa01', 'snellto01', 'mcderdo01', 'mooreet01', 'mohamna01', 'bairsca01']","[9, 6]",0,conference,704860865.0,1127584543.0
201411280CHO,GSW,CHO,GSW,7:00p,"Time Warner Cable Arena, Charlotte, North Carolina",24,31,25,21,[],101,-7,2.0,"['walkeke02', 'stephla01', 'jeffeal01', 'zelleco01', 'hendege02', 'roberbr01', 'hairspj02', 'maxieja01', 'biyombi01', 'willima02', 'vonleno01', 'pargoja01']","[4, 12]",0,28,21,25,32,[],106,7,2.0,"['thompkl01', 'greendr01', 'curryst01', 'barneha02', 'bogutan01', 'iguodan01', 'speigma01', 'rushbr01', 'livinsh01', 'kuzmiog01', 'holidju01', 'ezelife01', 'barbole01']","[12, 2]",1,none,726888208.0,1225336378.0
201411280DEN,DEN,DEN,PHO,9:00p,"Pepsi Center, Denver, Colorado",33,33,33,23,[],122,-1,2.0,"['lawsoty01', 'chandwi01', 'afflaar01', 'mozgoti01', 'farieke01', 'harriga01', 'gallida01', 'hicksjj01', 'arthuda01', 'robinna01', 'geeal01', 'greener01', 'nurkiju01']","[7, 8]",0,22,25,23,27,[],97,1,2.0,"['bledser01', 'dragigo01', 'morrima02', 'plumlmi01', 'morrima03', 'warretj01', 'tuckepj01', 'greenge01', 'lenal01', 'goodwar01', 'ennisty01', 'tollian01', 'randosh01']","[10, 6]",1,conference,737160677.0,685361640.0
201411280DET,MIL,DET,MIL,7:30p,"The Palace of Auburn Hills, Auburn Hills, Michigan",29,16,24,19,[],88,-6,2.0,"['drumman01', 'smithjo03', 'caldwke01', 'augusdj01', 'monrogr01', 'singlky01', 'butleca01', 'dinwisp01', 'jerebjo01', 'martica01', 'jennibr01', 'datomlu01', 'anthojo01']","[3, 12]",1,25,28,21,30,[],104,2,2.0,"['knighbr03', 'antetgi01', 'mayooj01', 'parkeja01', 'sandela01', 'ilyaser01', 'marshke01', 'middlkh01', 'bayleje01', 'dudleja01', 'woltena01', 'pachuza01', 'hensojo01']","[9, 7]",1,division,734674382.0,824086066.0
201411280HOU,LAC,HOU,LAC,8:00p,"Toyota Center, Houston, Texas",24,20,28,13,[],85,3,2.0,"['arizatr01', 'hardeja01', 'blackta01', 'motiedo01', 'canaais01', 'papanko01', 'terryja01', 'garcifr01', 'dorsejo01', 'danietr01', 'johnsni01', 'howardw01']","[12, 3]",0,26,30,29,17,[],102,2,2.0,"['paulch01', 'jordade01', 'griffbl01', 'redicjj01', 'barnema02', 'crawfja01', 'hawessp01', 'farmajo01', 'turkohe01', 'davisgl01', 'bullore01', 'cunnija01', 'udohek01']","[9, 5]",0,conference,827890641.0,1279604443.0
