gameid,ref,att
202101020HOU,"['John Butler', 'Marc Davis', 'Mitchell Ervin']",3065
202101020IND,"['Jacyn Goble', 'Simone Jelks', 'Josh Tiven']",0
202101020NOP,"['Rodney Mott', 'Leroy Richardson', 'Jonathan Sterling']",750
202101020ORL,"['John Conley', 'Kevin Scott', 'Scott Twardoski']",3339
202101020PHI,"['Curtis Blair', 'Eric Lewis', 'Evan Scott']",0
202101030BRK,"['Gediminas Petraitis', 'Evan Scott', 'Josh Tiven']",0
202101030CHI,"['Jacyn Goble', 'Ben Taylor', 'Leon Wood']",0
202101030DET,"['James Capers Jr.', 'Andy Nagy', 'Scott Wall']",0
202101030GSW,"['Mark Ayotte', 'Mousa Dagher', 'Bill Kennedy']",0
202101030MEM,"['J.B. DeRosa', 'Brian Forte', 'Lauren Holtkamp-Sterling']",0
202101030MIN,"['Tony Brothers', 'Eric Dalen', 'Natalie Sago']",0
202101030PHO,"['Derrick Collins', 'Derek Richardson', 'James Williams']",0
202101030SAS,"['John Goble', 'Phenizee Ransom', 'Dedric Taylor']",0
202101040ATL,"['J.B. DeRosa', 'Brian Forte', 'Phenizee Ransom']",0
202101040GSW,"['Karl Lane', 'Leroy Richardson', 'Sean Wright']",0
202101040HOU,"['John Goble', 'Jonathan Sterling', 'Dedric Taylor']",3070
202101040MIA,"['Kane Fitzgerald', 'Brandon Schwab', 'Aaron Smith']",0
202101040MIL,"['Matt Boland', 'Nate Green', 'Ben Taylor']",0
202101040NOP,"['John Butler', 'Tyler Ford', 'Courtney Kirkland']",750
202101040ORL,"['Sean Corbin', 'Gediminas Petraitis', 'Haywoode Workman']",2726
202101040PHI,"['Jason Goldenberg', 'Marat Kogut', 'Ed Malloy']",0
202101040TOR,"['Mitchell Ervin', 'Jenna Schroeder', 'Kevin Scott']",3740
202101050BRK,"['Tony Brown', 'Evan Scott', 'Leon Wood']",0
202101050DEN,"['Nick Buchert', 'Robert Hussey', 'Tre Maddox']",0
202101050LAC,"['Mark Ayotte', 'Danielle Scott', 'Michael Smith']",0
202101050MEM,"['Tony Brothers', 'Jacyn Goble', 'Jonathan Sterling']",0
202101050POR,"['Derrick Collins', 'Mousa Dagher', 'James Williams']",0
202101060ATL,"['John Butler', 'J.B. DeRosa', 'Kevin Scott']",0
202101060GSW,"['Nick Buchert', 'Leroy Richardson', 'Sean Wright']",0
202101060IND,"['Matt Myers', 'Aaron Smith', 'Ben Taylor']",0
202101060MIA,"['Brandon Adair', 'Brian Forte', 'Gediminas Petraitis']",0
202101060MIL,"['Matt Boland', 'Nate Green', 'Courtney Kirkland']",0
