,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState,home,away,home,away,home,away,gameState,gameState
teamData,winner,teamHome,teamAway,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry,salary,salary,avgSalary,avgSalary,numberOfGamesPlayed,numberOfGamesPlayed,datetime,endtime
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201811040BRK,BRK,BRK,PHI,"Barclays Center, Brooklyn, New York",18,33,41,30,[],122,-1,2.0,"['harrijo01', 'leverca01', 'allenja01', 'russeda01', 'dudleja01', 'holliro01', 'crabbal01', 'dinwisp01', 'napiesh01', 'davised01', 'musadz01', 'farieke01', 'kurucro01']","[3, 6]",0,21,26,28,22,[],97,2,1.0,"['embiijo01', 'covinro01', 'simmobe01', 'fultzma01', 'saricda01', 'shamela01', 'muscami01', 'redicjj01', 'johnsam01', 'mccontj01', 'korkmfu01', 'boldejo01']","[6, 4]",0,division,551210712.0,634745730.0,42400824.0,52895477.5,9,10,2018-11-04 18:00:00,2018-11-04 20:00:00
201811040LAL,TOR,LAL,TOR,"STAPLES Center, Los Angeles, California",17,32,31,27,[],107,2,1.0,"['ingrabr01', 'kuzmaky01', 'jamesle01', 'balllo01', 'mcgeeja01', 'hartjo01', 'rondora01', 'caldwke01', 'stephla01', 'zubaciv01', 'mykhasv01', 'willijo04', 'wagnemo01']","[4, 5]",0,42,29,30,20,[],121,2,2.0,"['siakapa01', 'lowryky01', 'ibakase01', 'greenda02', 'anunoog01', 'vanvlfr01', 'wrighde01', 'valanjo01', 'milescj01', 'powelno01', 'monrogr01', 'brownlo01', 'richama01']","[8, 1]",0,none,905107575.0,935433813.0,69623659.61538461,71956447.15384616,9,9,2018-11-04 21:30:00,2018-11-04 23:30:00
201811040MIL,MIL,MIL,SAC,"Fiserv Forum, Milwaukee, Wisconsin",39,33,36,36,[],144,-1,3.0,"['antetgi01', 'brogdma01', 'middlkh01', 'bledser01', 'lopezbr01', 'ilyaser01', 'hensojo01', 'snellto01', 'connapa01', 'divindo01', 'makerth01', 'brownst02', 'dellama01']","[7, 1]",0,30,20,32,27,[],109,5,3.0,"['foxde01', 'shumpim01', 'hieldbu01', 'bjeline01', 'caulewi01', 'jacksju01', 'masonfr01', 'baglema01', 'willitr02', 'koufoko01', 'gilesha01', 'ferreyo01', 'labissk01']","[6, 3]",0,none,926417081.0,350651429.0,71262852.38461539,26973186.846153848,8,9,2018-11-04 15:30:00,2018-11-04 17:30:00
201811040PHO,PHO,PHO,MEM,"Talking Stick Resort Arena, Phoenix, Arizona",21,31,25,25,[],102,-7,2.0,"['arizatr01', 'aytonde01', 'bookede01', 'canaais01', 'anderry01', 'bridgmi01', 'okoboel01', 'jacksjo02', 'holmeri01', 'crawfja01', 'meltode01', 'danietr01', 'bendedr01']","[1, 7]",0,28,28,25,19,[],100,3,2.0,"['gasolma01', 'templga01', 'conlemi01', 'anderky01', 'jacksja02', 'brookdi01', 'macksh01', 'brookma01', 'seldewa01', 'rabbiv01', 'casspom01', 'greenja01', 'parsoch01']","[5, 2]",1,conference,626289684.0,770283064.0,48176129.538461536,59252543.38461538,8,7,2018-11-04 20:00:00,2018-11-04 22:00:00
201811040POR,POR,POR,MIN,"Moda Center, Portland, Oregon",30,31,31,19,[],111,-1,1.0,"['lillada01', 'mccolcj01', 'laymaja01', 'aminual01', 'nurkiju01', 'turneev01', 'leoname01', 'colliza01', 'curryse01', 'baldwwa01', 'swanica01', 'stausni01', 'trentga02']","[6, 3]",0,27,18,19,17,[],81,-1,2.0,"['wiggian01', 'okogijo01', 'jonesty01', 'townska01', 'gibsota01', 'willicj01', 'terreja01', 'tollian01', 'dienggo01', 'bateske01', 'denglu01', 'nunnaja01', 'rosede01']","[4, 5]",0,division,744727912.0,810982316.0,57286762.461538464,62383255.07692308,9,9,2018-11-04 21:00:00,2018-11-04 23:00:00
201811040SAS,ORL,SAS,ORL,"AT&T Center, San Antonio, Texas",26,28,20,36,[],110,4,1.0,"['aldrila01', 'derozde01', 'forbebr01', 'bertada01', 'cunnida01', 'millspa02', 'gasolpa01', 'belinma01', 'poeltja01', 'pondequ01', 'metuch01', 'gayru01', 'eubandr01']","[6, 2]",0,36,27,28,26,[],117,-4,2.0,"['gordoaa01', 'fournev01', 'augusdj01', 'vucevni01', 'iwundwe01', 'rosste01', 'simmojo02', 'bambamo01', 'grantje02', 'martija01', 'birchkh01', 'briscis01', 'frazime01']","[2, 6]",0,none,1073877845.0,561212770.0,82605988.07692307,43170213.07692308,8,8,2018-11-04 19:00:00,2018-11-04 21:00:00
201811040WAS,WAS,WAS,NYK,"Capital One Arena, Washington, District of Columbia",24,34,23,27,[],108,-5,2.0,"['bealbr01', 'walljo01', 'morrima02', 'howardw01', 'oubreke01', 'greenje02', 'riverau01', 'satorto01', 'smithja02', 'browntr01', 'bryanth01', 'mcraejo01', 'mahinia01']","[1, 7]",0,17,33,28,17,[],95,1,2.0,"['dotsoda01', 'robinmi01', 'hardati02', 'ntilila01', 'vonleno01', 'hezonma01', 'kanteen01', 'mudiaem01', 'trieral01', 'burketr01', 'thomala01', 'bakerro01', 'kornelu01']","[3, 6]",0,conference,1097797133.0,359005475.0,84445933.3076923,27615805.769230768,8,9,2018-11-04 18:00:00,2018-11-04 20:00:00
201811050DEN,DEN,DEN,BOS,"Pepsi Center, Denver, Colorado",19,35,34,27,[],115,4,2.0,"['murraja01', 'harriga01', 'millspa01', 'jokicni01', 'craigto01', 'hernaju01', 'lylestr01', 'beaslma01', 'morrimo01', 'plumlma01', 'akoonde01', 'lydonty01']","[8, 1]",0,34,22,25,26,[],107,-1,2.0,"['tatumja01', 'irvinky01', 'horfoal01', 'brownja02', 'haywago01', 'smartma01', 'roziete01', 'morrima03', 'baynear01', 'ojelese01', 'williro04', 'wanambr01', 'yabusgu01']","[6, 3]",0,none,635793860.0,1049137131.0,52982821.66666666,80702856.23076923,9,9,2018-11-05 21:00:00,2018-11-05 23:00:00
201811050DET,MIA,DET,MIA,"Little Caesars Arena, Detroit, Michigan",27,26,27,25,[],115,-4,2.0,"['drumman01', 'griffbl01', 'jacksre01', 'robingl02', 'brownbr01', 'gallola01', 'smithis01', 'johnsst04', 'caldejo01', 'pachuza01', 'leuerjo01', 'ellenhe01', 'thomakh01']","[4, 4]",0,28,25,34,18,[],120,-3,2.0,"['richajo01', 'winslju01', 'dragigo01', 'mcgruro01', 'adebaba01', 'wadedw01', 'olynyke01', 'johnsty01', 'jonesde02', 'ellinwa01', 'whiteha01', 'hasleud01']","[3, 5]",0,conference,806761307.0,861416526.0,62058562.07692308,71784710.5,8,8,2018-11-05 19:00:00,2018-11-05 21:00:00
201811050GSW,GSW,GSW,MEM,"Oracle Arena, Oakland, California",29,29,34,25,[],117,7,3.0,"['thompkl01', 'curryst01', 'duranke01', 'greendr01', 'jonesda03', 'mckinal01', 'belljo01', 'jerebjo01', 'looneke01', 'cookqu01', 'evansja02', 'leeda03']","[9, 1]",0,31,27,15,28,[],101,-1,1.0,"['jacksja02', 'conlemi01', 'anderky01', 'gasolma01', 'templga01', 'macksh01', 'brookdi01', 'seldewa01', 'brookma01', 'rabbiv01', 'greenja01', 'casspom01', 'parsoch01']","[5, 3]",0,conference,975739014.0,770283064.0,81311584.5,59252543.38461538,10,8,2018-11-05 22:30:00,2018-11-06 00:30:00
201811050IND,HOU,IND,HOU,"Bankers Life Fieldhouse, Indianapolis, Indiana",22,33,20,19,[],94,3,2.0,"['oladivi01', 'youngth01', 'bogdabo02', 'collida01', 'turnemy01', 'sabondo01', 'josepco01', 'evansty01', 'mcderdo01', 'leaftj01', 'holidaa01', 'oquinky01', 'sumneed01']","[7, 3]",0,29,24,16,29,[],98,2,2.0,"['paulch01', 'hardeja01', 'capelca01', 'tuckepj01', 'ennisja01', 'anthoca01', 'clarkga01', 'greenge01', 'harteis01', 'chrisma01', 'cartemi01']","[3, 5]",0,none,724390430.0,1082139631.0,55722340.76923077,98376330.0909091,10,8,2018-11-05 19:00:00,2018-11-05 21:00:00
201811050LAC,LAC,LAC,MIN,"STAPLES Center, Los Angeles, California",31,32,29,28,[],120,1,3.0,"['beverpa01', 'harrito02', 'gallida01', 'gilgesh01', 'marjabo01', 'harremo01', 'willilo02', 'scottmi01', 'teodomi01', 'robinje01', 'wallaty01', 'thornsi01', 'gortama01']","[5, 4]",0,33,26,25,25,[],109,-2,1.0,"['butleji01', 'townska01', 'rosede01', 'wiggian01', 'gibsota01', 'okogijo01', 'tollian01', 'jonesty01', 'dienggo01', 'nunnaja01', 'willicj01', 'bateske01', 'denglu01']","[4, 6]",0,conference,737980669.0,991918782.0,56767743.76923077,76301444.76923077,9,10,2018-11-05 22:30:00,2018-11-06 00:30:00
201811050NYK,CHI,NYK,CHI,"Madison Square Garden (IV), New York, New York",21,26,25,30,[6],115,-1,1.0,"['trieral01', 'dotsoda01', 'vonleno01', 'ntilila01', 'robinmi01', 'kanteen01', 'hezonma01', 'mudiaem01', 'burketr01', 'thomala01', 'knoxke01', 'bakerro01', 'hardati02']","[3, 7]",0,24,23,31,24,[6],116,-4,2.0,"['lavinza01', 'holidju01', 'parkeja01', 'payneca01', 'cartewe01', 'blakean01', 'feliccr01', 'lopezro01', 'arcidry01', 'hutchch01', 'harrish01']","[2, 8]",0,conference,370628549.0,368677753.0,28509888.384615384,33516159.363636363,10,10,2018-11-05 19:30:00,2018-11-05 21:30:00
201811050OKC,OKC,OKC,NOP,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",36,26,38,22,[],122,4,3.0,"['georgpa01', 'adamsst01', 'grantje01', 'westbru01', 'fergute01', 'abrinal01', 'schrode01', 'pattepa01', 'noelne01', 'diallha01', 'feltora01', 'luwawti01', 'naderab01']","[4, 4]",0,28,35,23,30,[],116,-5,2.0,"['holidjr01', 'davisan02', 'mirotni01', 'johnswe01', 'mooreet01', 'clarkia01', 'randlju01', 'milleda01', 'diallch01', 'fraziti01', 'jacksfr01', 'okafoja01', 'hillso01']","[4, 5]",0,conference,964924199.0,693943882.0,74224938.38461539,53380298.615384616,8,9,2018-11-05 20:00:00,2018-11-05 22:00:00
201811050ORL,ORL,ORL,CLE,"Amway Center, Orlando, Florida",30,28,12,32,[],102,1,1.0,"['gordoaa01', 'fournev01', 'vucevni01', 'augusdj01', 'iwundwe01', 'rosste01', 'simmojo02', 'grantje02', 'bambamo01', 'martija01', 'birchkh01', 'frazime01', 'briscis01']","[3, 6]",0,21,26,32,21,[],100,-2,2.0,"['osmande01', 'thomptr01', 'hillge01', 'hoodro01', 'dekkesa01', 'clarkjo01', 'smithjr01', 'sextoco01', 'nancela02', 'korveky01', 'zizican01', 'fryech01', 'nwabada01']","[1, 8]",0,conference,561212770.0,686672109.0,43170213.07692308,52820931.461538464,9,9,2018-11-05 19:00:00,2018-11-05 21:00:00
201811050UTA,TOR,UTA,TOR,"Vivint Smart Home Arena, Salt Lake City, Utah",31,23,18,39,[],111,-3,2.0,"['inglejo01', 'goberru01', 'rubiori01', 'favorde01', 'onealro01', 'burksal01', 'crowdja01', 'allengr01', 'exumda01', 'niangge01', 'udohek01', 'sefolth01', 'mitrona01']","[4, 5]",0,30,35,29,30,[],124,3,1.0,"['siakapa01', 'lowryky01', 'anunoog01', 'greenda02', 'valanjo01', 'vanvlfr01', 'milescj01', 'wrighde01', 'ibakase01', 'monrogr01', 'brownlo01', 'richama01', 'powelno01']","[9, 1]",0,none,727051501.0,935433813.0,55927038.538461536,71956447.15384616,9,10,2018-11-05 21:00:00,2018-11-05 23:00:00
201811060CHO,CHO,CHO,ATL,"Spectrum Center, Charlotte, North Carolina",23,28,30,32,[],113,1,3.0,"['walkeke02', 'batumni01', 'zelleco01', 'willima02', 'lambje01', 'parketo01', 'monkma01', 'bridgmi02', 'kiddgmi01', 'hernawi01', 'biyombi01', 'bacondw01', 'kaminfr01']","[5, 5]",0,25,29,23,25,[],102,1,3.0,"['huertke01', 'youngtr01', 'bazemke01', 'lenal01', 'spellom01', 'bembrde01', 'cartevi01', 'dedmode01', 'linje01', 'poythal01', 'dorsety01', 'plumlmi01', 'hamilda02']","[3, 6]",0,division,989081344.0,508449923.0,76083180.3076923,39111532.538461536,10,9,2018-11-06 19:00:00,2018-11-06 21:00:00
201811060DAL,DAL,DAL,WAS,"American Airlines Center, Dallas, Texas",35,35,17,32,[],119,-6,4.0,"['doncilu01', 'jordade01', 'barneha02', 'smithde03', 'matthwe02', 'finnedo01', 'bareajo01', 'klebima01', 'poweldw01', 'broekry01', 'brunsja01', 'mejrisa01']","[2, 7]",0,24,25,29,22,[],100,1,2.0,"['walljo01', 'porteot01', 'bealbr01', 'howardw01', 'morrima02', 'oubreke01', 'riverau01', 'greenje02', 'satorto01', 'smithja02', 'browntr01', 'bryanth01', 'mahinia01']","[2, 7]",0,none,632250275.0,1223245340.0,52687522.91666666,94095795.3846154,9,9,2018-11-06 20:30:00,2018-11-06 22:30:00
201811060PHO,BRK,PHO,BRK,"Talking Stick Resort Arena, Phoenix, Arizona",22,20,24,16,[],82,1,2.0,"['bookede01', 'canaais01', 'aytonde01', 'arizatr01', 'anderry01', 'bridgmi01', 'holmeri01', 'warretj01', 'okoboel01', 'jacksjo02', 'crawfja01', 'danietr01', 'bendedr01']","[2, 7]",0,24,28,24,28,[],104,1,2.0,"['leverca01', 'harrijo01', 'russeda01', 'dudleja01', 'allenja01', 'dinwisp01', 'davised01', 'crabbal01', 'napiesh01', 'holliro01', 'kurucro01', 'farieke01']","[4, 6]",0,none,662072195.0,545664072.0,50928630.38461538,45472006.0,9,10,2018-11-06 21:00:00,2018-11-06 23:00:00
201811060POR,POR,POR,MIL,"Moda Center, Portland, Oregon",33,24,34,27,[],118,1,2.0,"['lillada01', 'mccolcj01', 'aminual01', 'nurkiju01', 'laymaja01', 'turneev01', 'colliza01', 'leoname01', 'stausni01', 'curryse01', 'swanica01', 'baldwwa01', 'simonan01']","[7, 3]",0,31,20,26,26,[],103,1,2.0,"['antetgi01', 'middlkh01', 'bledser01', 'lopezbr01', 'brogdma01', 'ilyaser01', 'divindo01', 'snellto01', 'hensojo01', 'connapa01', 'makerth01', 'brownst02', 'dellama01']","[8, 1]",0,none,734984673.0,926417081.0,56537282.538461536,71262852.38461539,10,9,2018-11-06 22:00:00,2018-11-07 00:00:00
201811070ATL,NYK,ATL,NYK,"State Farm Arena, Atlanta, Georgia",26,29,18,34,[],107,-1,1.0,"['bembrde01', 'bazemke01', 'youngtr01', 'spellom01', 'lenal01', 'princta02', 'linje01', 'dedmode01', 'plumlmi01', 'cartevi01', 'poythal01', 'dorsety01', 'hamilda02']","[3, 7]",0,26,26,35,25,[],112,-2,2.0,"['vonleno01', 'hardati02', 'ntilila01', 'dotsoda01', 'robinmi01', 'trieral01', 'kanteen01', 'mudiaem01', 'hezonma01', 'knoxke01', 'burketr01', 'bakerro01', 'thomala01']","[3, 8]",1,conference,532547072.0,370628549.0,40965159.38461538,28509888.384615384,10,11,2018-11-07 19:30:00,2018-11-07 21:30:00
201811070CLE,OKC,CLE,OKC,"Quicken Loans Arena, Cleveland, Ohio",20,20,24,22,[],86,-3,2.0,"['sextoco01', 'smithjr01', 'thomptr01', 'hoodro01', 'osmande01', 'clarkjo01', 'nancela02', 'korveky01', 'zizican01', 'nwabada01']","[1, 9]",0,23,25,23,24,[],95,5,2.0,"['georgpa01', 'adamsst01', 'schrode01', 'grantje01', 'fergute01', 'abrinal01', 'pattepa01', 'feltora01', 'noelne01', 'diallha01', 'luwawti01', 'naderab01']","[5, 4]",0,none,500125340.0,672947507.0,50012534.0,56078958.91666666,10,9,2018-11-07 19:00:00,2018-11-07 21:00:00
201811070IND,PHI,IND,PHI,"Bankers Life Fieldhouse, Indianapolis, Indiana",23,27,21,23,[],94,-1,2.0,"['oladivi01', 'bogdabo02', 'turnemy01', 'youngth01', 'collida01', 'sabondo01', 'josepco01', 'evansty01', 'mcderdo01', 'oquinky01', 'leaftj01', 'holidaa01']","[7, 4]",0,29,21,28,22,[],100,-1,3.0,"['embiijo01', 'covinro01', 'saricda01', 'simmobe01', 'fultzma01', 'redicjj01', 'shamela01', 'chandwi01', 'johnsam01', 'mccontj01', 'boldejo01', 'korkmfu01']","[6, 5]",0,conference,717460636.0,687758879.0,59788386.333333336,57313239.91666666,11,11,2018-11-07 20:00:00,2018-11-07 22:00:00
201811070LAL,LAL,LAL,MIN,"STAPLES Center, Los Angeles, California",30,35,21,28,[],114,-1,3.0,"['jamesle01', 'ingrabr01', 'kuzmaky01', 'mcgeeja01', 'balllo01', 'rondora01', 'chandty01', 'hartjo01', 'caldwke01', 'stephla01', 'zubaciv01', 'beaslmi01', 'mykhasv01']","[4, 6]",0,32,35,21,22,[],110,-3,2.0,"['butleji01', 'wiggian01', 'townska01', 'gibsota01', 'rosede01', 'jonesty01', 'okogijo01', 'tollian01', 'dienggo01', 'willicj01', 'bateske01', 'denglu01', 'nunnaja01']","[4, 7]",1,conference,1127182247.0,991918782.0,86706326.6923077,76301444.76923077,10,11,2018-11-07 22:30:00,2018-11-08 00:30:00
201811070MEM,MEM,MEM,DEN,"FedEx Forum, Memphis, Tennessee",22,28,20,19,[],89,-2,2.0,"['conlemi01', 'gasolma01', 'jacksja02', 'anderky01', 'templga01', 'brookdi01', 'macksh01', 'seldewa01', 'brookma01', 'rabbiv01', 'stephdj01', 'parsoch01', 'carteje01']","[5, 4]",0,29,18,23,17,[],87,5,2.0,"['murraja01', 'harriga01', 'jokicni01', 'craigto01', 'millspa01', 'lylestr01', 'morrimo01', 'plumlma01', 'hernaju01', 'beaslma01', 'lydonty01', 'akoonde01']","[9, 1]",0,conference,724515500.0,635793860.0,55731961.538461536,52982821.66666666,9,10,2018-11-07 20:00:00,2018-11-07 22:00:00
201811070MIA,MIA,MIA,SAS,"AmericanAirlines Arena, Miami, Florida",27,23,25,20,[],95,1,2.0,"['richajo01', 'mcgruro01', 'ellinwa01', 'whiteha01', 'winslju01', 'johnsty01', 'olynyke01', 'adebaba01', 'jonesde02', 'robindu01', 'dragigo01', 'hasleud01']","[4, 5]",0,20,22,22,24,[],88,-1,3.0,"['derozde01', 'aldrila01', 'forbebr01', 'cunnida01', 'whitede01', 'millspa02', 'belinma01', 'bertada01', 'poeltja01', 'pondequ01', 'gayru01', 'metuch01']","[6, 3]",0,none,681129778.0,868291244.0,56760814.833333336,72357603.66666667,9,9,2018-11-07 19:30:00,2018-11-07 21:30:00
201811070NOP,NOP,NOP,CHI,"Smoothie King Center, New Orleans, Louisiana",29,29,27,22,[],107,-6,2.0,"['holidjr01', 'davisan02', 'mooreet01', 'mirotni01', 'johnswe01', 'randlju01', 'milleda01', 'clarkia01', 'fraziti01', 'diallch01', 'willike04', 'hillso01', 'jacksfr01']","[4, 6]",0,26,24,22,26,[],98,1,2.0,"['holidju01', 'lavinza01', 'parkeja01', 'cartewe01', 'payneca01', 'arcidry01', 'blakean01', 'hutchch01', 'lopezro01', 'feliccr01', 'harrish01']","[3, 8]",0,none,678550175.0,368677753.0,52196167.307692304,33516159.363636363,10,11,2018-11-07 20:00:00,2018-11-07 22:00:00
201811070ORL,DET,ORL,DET,"Amway Center, Orlando, Florida",31,20,29,16,[],96,2,2.0,"['vucevni01', 'fournev01', 'augusdj01', 'gordoaa01', 'iwundwe01', 'rosste01', 'martija01', 'simmojo02', 'grantje02', 'bambamo01', 'birchkh01', 'frazime01', 'briscis01']","[4, 6]",0,26,32,20,25,[],103,-5,2.0,"['drumman01', 'griffbl01', 'robingl02', 'jacksre01', 'bullore01', 'gallola01', 'smithis01', 'johnsst04', 'pachuza01', 'caldejo01', 'leuerjo01']","[4, 5]",0,conference,561212770.0,817408147.0,43170213.07692308,74309831.54545455,10,9,2018-11-07 19:00:00,2018-11-07 21:00:00
201811070SAC,TOR,SAC,TOR,"Golden 1 Center, Sacramento, California",26,25,27,27,[],105,-1,3.0,"['foxde01', 'hieldbu01', 'caulewi01', 'shumpim01', 'bjeline01', 'baglema01', 'bogdabo01', 'koufoko01', 'willitr02', 'jacksju01', 'masonfr01', 'ferreyo01', 'gilesha01']","[6, 4]",0,29,35,30,20,[],114,4,2.0,"['lowryky01', 'siakapa01', 'leonaka01', 'greenda02', 'ibakase01', 'anunoog01', 'vanvlfr01', 'valanjo01', 'wrighde01', 'richama01', 'monrogr01', 'brownlo01']","[10, 1]",0,none,407266180.0,1018115282.0,31328167.69230769,84842940.16666667,10,11,2018-11-07 22:00:00,2018-11-08 00:00:00
201811070UTA,UTA,UTA,DAL,"Vivint Smart Home Arena, Salt Lake City, Utah",30,38,31,18,[],117,-4,2.0,"['rubiori01', 'inglejo01', 'mitchdo01', 'goberru01', 'favorde01', 'crowdja01', 'burksal01', 'onealro01', 'exumda01', 'niangge01', 'udohek01', 'allengr01', 'sefolth01']","[4, 6]",1,18,27,38,19,[],102,1,1.0,"['barneha02', 'doncilu01', 'matthwe02', 'jordade01', 'smithde03', 'finnedo01', 'bareajo01', 'brunsja01', 'klebima01', 'poweldw01', 'mejrisa01', 'broekry01']","[3, 7]",0,conference,769626862.0,632250275.0,59202066.307692304,52687522.91666666,10,10,2018-11-07 21:00:00,2018-11-07 23:00:00
201811080GSW,MIL,GSW,MIL,"Oracle Arena, Oakland, California",29,22,28,32,[],111,8,3.0,"['thompkl01', 'duranke01', 'curryst01', 'jonesda03', 'belljo01', 'looneke01', 'mckinal01', 'cookqu01', 'iguodan01', 'jerebjo01', 'leeda03']","[10, 1]",0,32,32,41,29,[],134,-1,2.0,"['middlkh01', 'antetgi01', 'bledser01', 'brogdma01', 'lopezbr01', 'ilyaser01', 'connapa01', 'snellto01', 'divindo01', 'hensojo01', 'makerth01', 'brownst02', 'dellama01']","[8, 2]",0,none,1026163983.0,926417081.0,93287634.8181818,71262852.38461539,11,10,2018-11-08 22:30:00,2018-11-09 00:30:00
201811080OKC,OKC,OKC,HOU,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",29,30,21,18,[],98,6,1.0,"['georgpa01', 'grantje01', 'schrode01', 'adamsst01', 'fergute01', 'abrinal01', 'noelne01', 'feltora01', 'pattepa01', 'diallha01', 'luwawti01', 'naderab01']","[6, 4]",0,19,26,15,20,[],80,3,3.0,"['hardeja01', 'paulch01', 'capelca01', 'tuckepj01', 'ennisja01', 'clarkga01', 'anthoca01', 'greenge01', 'harteis01', 'chrisma01']","[4, 5]",0,conference,672947507.0,1059259428.0,56078958.91666666,105925942.8,10,9,2018-11-08 20:00:00,2018-11-08 22:00:00
201811080PHO,BOS,PHO,BOS,"Talking Stick Resort Arena, Phoenix, Arizona",32,23,25,20,[],109,-1,2.0,"['bookede01', 'canaais01', 'arizatr01', 'warretj01', 'aytonde01', 'anderry01', 'holmeri01', 'bridgmi01', 'okoboel01', 'jacksjo02', 'danietr01', 'crawfja01', 'bendedr01']","[2, 8]",0,13,22,30,35,[],116,-2,3.0,"['irvinky01', 'brownja02', 'horfoal01', 'tatumja01', 'haywago01', 'morrima03', 'smartma01', 'roziete01', 'baynear01', 'ojelese01', 'yabusgu01', 'wanambr01', 'williro04']","[6, 4]",0,none,662072195.0,1049137131.0,50928630.38461538,80702856.23076923,10,10,2018-11-08 21:00:00,2018-11-08 23:00:00
201811080POR,POR,POR,LAC,"Moda Center, Portland, Oregon",37,24,23,32,[],116,2,2.0,"['lillada01', 'mccolcj01', 'aminual01', 'nurkiju01', 'laymaja01', 'turneev01', 'colliza01', 'stausni01', 'curryse01', 'leoname01', 'swanica01', 'baldwwa01', 'trentga02']","[8, 3]",0,28,29,24,24,[],105,2,3.0,"['harrito02', 'gilgesh01', 'beverpa01', 'gallida01', 'marjabo01', 'willilo02', 'harremo01', 'scottmi01', 'robinje01', 'teodomi01', 'gortama01', 'wallaty01', 'thornsi01']","[6, 4]",0,conference,744727912.0,737980669.0,57286762.461538464,56767743.76923077,11,10,2018-11-08 22:00:00,2018-11-09 00:00:00
201811090ATL,DET,ATL,DET,"State Farm Arena, Atlanta, Georgia",20,31,26,32,[],109,-2,2.0,"['spellom01', 'youngtr01', 'bazemke01', 'princta02', 'lenal01', 'huertke01', 'dedmode01', 'linje01', 'plumlmi01', 'bembrde01', 'poythal01', 'dorsety01', 'cartevi01']","[3, 8]",0,40,34,29,21,[],124,1,2.0,"['drumman01', 'griffbl01', 'bullore01', 'jacksre01', 'robingl02', 'johnsst04', 'gallola01', 'smithis01', 'caldejo01', 'pachuza01', 'brownbr01', 'thomakh01', 'leuerjo01']","[5, 5]",0,conference,543100206.0,829424424.0,41776938.92307692,63801878.76923077,11,10,2018-11-09 19:30:00,2018-11-09 21:30:00
201811090DEN,BRK,DEN,BRK,"Pepsi Center, Denver, Colorado",24,23,29,34,[],110,-1,2.0,"['murraja01', 'harriga01', 'jokicni01', 'millspa01', 'craigto01', 'morrimo01', 'beaslma01', 'lylestr01', 'plumlma01', 'hernaju01', 'lydonty01', 'akoonde01']","[9, 2]",0,34,21,27,30,[],112,2,3.0,"['leverca01', 'allenja01', 'harrijo01', 'russeda01', 'dudleja01', 'dinwisp01', 'crabbal01', 'holliro01', 'davised01', 'carrode01', 'napiesh01', 'farieke01', 'kurucro01']","[5, 6]",0,none,635793860.0,626508635.0,52982821.66666666,48192971.92307692,11,11,2018-11-09 21:00:00,2018-11-09 23:00:00
201811090MIA,IND,MIA,IND,"AmericanAirlines Arena, Miami, Florida",26,33,21,22,[],102,2,2.0,"['mcgruro01', 'whiteha01', 'richajo01', 'winslju01', 'ellinwa01', 'johnsty01', 'jonesde02', 'olynyke01', 'adebaba01', 'robindu01', 'hasleud01', 'dragigo01']","[5, 5]",0,24,27,33,26,[],110,-2,2.0,"['oladivi01', 'collida01', 'bogdabo02', 'turnemy01', 'youngth01', 'josepco01', 'sabondo01', 'evansty01', 'mcderdo01', 'leaftj01', 'holidaa01', 'oquinky01']","[7, 5]",0,conference,681129778.0,717460636.0,56760814.833333336,59788386.333333336,10,12,2018-11-09 20:00:00,2018-11-09 22:00:00
201811090ORL,ORL,ORL,WAS,"Amway Center, Orlando, Florida",32,31,26,28,[],117,-1,2.0,"['gordoaa01', 'fournev01', 'vucevni01', 'augusdj01', 'iwundwe01', 'rosste01', 'grantje02', 'bambamo01', 'simmojo02', 'martija01', 'birchkh01', 'frazime01', 'briscis01']","[4, 7]",0,25,23,26,34,[],108,-1,3.0,"['walljo01', 'bealbr01', 'howardw01', 'morrima02', 'porteot01', 'oubreke01', 'greenje02', 'riverau01', 'satorto01', 'mahinia01', 'bryanth01', 'smithja02', 'browntr01']","[2, 8]",0,division,561212770.0,1223245340.0,43170213.07692308,94095795.3846154,11,10,2018-11-09 19:00:00,2018-11-09 21:00:00
201811090PHI,PHI,PHI,CHO,"Wells Fargo Center, Philadelphia, Pennsylvania",33,32,31,23,[],133,1,2.0,"['simmobe01', 'saricda01', 'embiijo01', 'covinro01', 'fultzma01', 'redicjj01', 'shamela01', 'chandwi01', 'boldejo01', 'johnsam01', 'mccontj01', 'korkmfu01']","[7, 5]",1,33,17,35,34,[],132,2,3.0,"['walkeke02', 'zelleco01', 'lambje01', 'batumni01', 'willima02', 'bridgmi02', 'monkma01', 'kiddgmi01', 'bacondw01', 'hernawi01', 'parketo01', 'biyombi01', 'kaminfr01']","[6, 5]",0,conference,687758879.0,989081344.0,57313239.91666666,76083180.3076923,12,11,2018-11-09 19:00:00,2018-11-09 21:00:00
