,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState,home,away,home,away,home,away,gameState,gameState
teamData,winner,teamHome,teamAway,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry,salary,salary,avgSalary,avgSalary,numberOfGamesPlayed,numberOfGamesPlayed,datetime,endtime
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201810170ORL,ORL,ORL,MIA,"Amway Center, Orlando, Florida",25,29,25,25,[],104,0,,"['gordoaa01', 'vucevni01', 'fournev01', 'augusdj01', 'isaacjo01', 'simmojo02', 'grantje02', 'rosste01', 'bambamo01', 'briscis01', 'martija01', 'iwundwe01', 'birchkh01']","[0, 0]",0,31,20,27,23,[],101,0,,"['richajo01', 'whiteha01', 'dragigo01', 'mcgruro01', 'jonesde02', 'wadedw01', 'johnsty01', 'adebaba01', 'olynyke01', 'robindu01', 'ellinwa01', 'matenya01', 'hasleud01']","[0, 0]",0,division,598470324.0,839049359.0,46036178.76923077,64542258.38461538,0,0,2018-10-17 19:00:00,2018-10-17 21:00:00
201810170PHO,PHO,PHO,DAL,"Talking Stick Resort Arena, Phoenix, Arizona",37,19,27,38,[],121,0,,"['arizatr01', 'aytonde01', 'canaais01', 'bookede01', 'anderry01', 'jacksjo02', 'warretj01', 'chandty01', 'okoboel01', 'danietr01', 'bridgmi01', 'holmeri01', 'bendedr01']","[0, 0]",0,24,22,27,27,[],100,0,,"['matthwe02', 'doncilu01', 'jordade01', 'finnedo01', 'smithde03', 'bareajo01', 'brunsja01', 'poweldw01', 'klebima01', 'harride01', 'broekry01', 'spaldra01', 'mejrisa01']","[0, 0]",0,conference,727719054.0,560756994.0,55978388.76923077,43135153.38461538,0,0,2018-10-17 22:30:00,2018-10-18 00:30:00
201810170SAC,UTA,SAC,UTA,"Golden 1 Center, Sacramento, California",34,21,32,30,[],117,0,,"['caulewi01', 'foxde01', 'hieldbu01', 'ferreyo01', 'bjeline01', 'jacksju01', 'shumpim01', 'baglema01', 'gilesha01', 'masonfr01', 'gabriwe01', 'labissk01', 'mclembe01']","[0, 0]",0,30,38,25,30,[],123,0,,"['goberru01', 'mitchdo01', 'inglejo01', 'favorde01', 'rubiori01', 'crowdja01', 'exumda01', 'burksal01', 'onealro01', 'niangge01', 'allengr01', 'sefolth01', 'udohek01']","[0, 0]",0,conference,330883955.0,769626862.0,25452611.923076924,59202066.307692304,0,0,2018-10-17 22:00:00,2018-10-18 00:00:00
201810170SAS,SAS,SAS,MIN,"AT&T Center, San Antonio, Texas",31,25,25,31,[],112,0,,"['aldrila01', 'derozde01', 'forbebr01', 'gayru01', 'poeltja01', 'millspa02', 'gasolpa01', 'belinma01', 'bertada01', 'cunnida01', 'metuch01', 'eubandr01', 'pondequ01']","[0, 0]",0,23,29,31,25,[],108,0,,"['wiggian01', 'butleji01', 'teaguje01', 'gibsota01', 'townska01', 'rosede01', 'dienggo01', 'tollian01', 'jonesty01', 'bateske01', 'nunnaja01', 'okogijo01', 'denglu01']","[0, 0]",0,conference,1073877845.0,1090338652.0,82605988.07692307,83872204.0,0,0,2018-10-17 20:30:00,2018-10-17 22:30:00
201810170TOR,TOR,TOR,CLE,"Scotiabank Arena, Toronto, Canada",28,32,30,26,[],116,0,,"['leonaka01', 'lowryky01', 'greenda02', 'valanjo01', 'siakapa01', 'ibakase01', 'vanvlfr01', 'anunoog01', 'powelno01', 'milescj01', 'brownlo01', 'richama01', 'monrogr01']","[0, 0]",0,25,22,28,29,[],104,0,,"['loveke01', 'osmande01', 'hillge01', 'thomptr01', 'hoodro01', 'clarkjo01', 'sextoco01', 'dekkesa01', 'zizican01', 'korveky01', 'nwabada01', 'hollajo02', 'fryech01']","[0, 0]",0,conference,1092127609.0,791741667.0,84009816.07692307,60903205.15384615,0,0,2018-10-17 19:30:00,2018-10-17 21:30:00
201810180PHI,PHI,PHI,CHI,"Wells Fargo Center, Philadelphia, Pennsylvania",38,27,37,25,[],127,-1,2.0,"['simmobe01', 'embiijo01', 'fultzma01', 'covinro01', 'saricda01', 'shamela01', 'redicjj01', 'johnsam01', 'korkmfu01', 'mccontj01', 'boldejo01', 'jacksde01', 'miltosh01']","[0, 1]",0,41,17,18,32,[],108,0,,"['portibo01', 'lavinza01', 'holidju01', 'payneca01', 'cartewe01', 'blakean01', 'arcidry01', 'parkeja01', 'lopezro01', 'hutchch01', 'ulisty01', 'alkinra01']","[0, 0]",0,conference,620993962.0,363779452.0,47768766.307692304,30314954.33333333,1,0,2018-10-18 20:00:00,2018-10-18 22:00:00
201810180POR,POR,POR,LAL,"Moda Center, Portland, Oregon",34,31,28,35,[],128,0,,"['lillada01', 'mccolcj01', 'aminual01', 'nurkiju01', 'laymaja01', 'stausni01', 'colliza01', 'turneev01', 'harklma01', 'curryse01', 'leoname01', 'baldwwa01', 'swanica01']","[0, 0]",0,31,32,28,28,[],119,0,,"['jamesle01', 'rondora01', 'ingrabr01', 'caldwke01', 'mcgeeja01', 'kuzmaky01', 'hartjo01', 'balllo01', 'stephla01', 'beaslmi01', 'bongais01', 'zubaciv01', 'mykhasv01']","[0, 0]",0,conference,782603033.0,943062131.0,60200233.307692304,72543240.84615384,0,0,2018-10-18 22:30:00,2018-10-19 00:30:00
201810180WAS,MIA,WAS,MIA,"Capital One Arena, Washington, District of Columbia",25,34,30,23,[],112,0,,"['walljo01', 'porteot01', 'bealbr01', 'morrima02', 'mahinia01', 'greenje02', 'riverau01', 'oubreke01', 'smithja02', 'satorto01', 'mcraejo01', 'bryanth01', 'browntr01']","[0, 0]",0,24,34,27,28,[],113,-1,1.0,"['richajo01', 'mcgruro01', 'dragigo01', 'whiteha01', 'jonesde02', 'wadedw01', 'johnsty01', 'adebaba01', 'olynyke01', 'ellinwa01', 'matenya01', 'robindu01', 'hasleud01']","[0, 1]",0,division,978128481.0,839049359.0,75240652.38461539,64542258.38461538,0,1,2018-10-18 20:00:00,2018-10-18 22:00:00
201810190BRK,BRK,BRK,NYK,"Barclays Center, Brooklyn, New York",33,24,17,33,[],107,-1,2.0,"['russeda01', 'allenja01', 'leverca01', 'dudleja01', 'harrijo01', 'dinwisp01', 'crabbal01', 'kurucro01', 'davised01', 'grahatr01', 'pinsoth01', 'musadz01', 'farieke01']","[0, 1]",0,24,26,26,29,[],105,1,2.0,"['hardati02', 'kanteen01', 'ntilila01', 'burketr01', 'thomala01', 'knoxke01', 'bakerro01', 'trieral01', 'hezonma01', 'vonleno01', 'robinmi01', 'dotsoda01', 'kornelu01']","[1, 0]",0,division,538309269.0,361691571.0,41408405.307692304,27822428.53846154,1,1,2018-10-19 19:30:00,2018-10-19 21:30:00
201810190LAC,LAC,LAC,OKC,"STAPLES Center, Los Angeles, California",27,21,23,37,[],108,-1,2.0,"['harrito02', 'bradlav01', 'gallida01', 'beverpa01', 'gortama01', 'willilo02', 'gilgesh01', 'mbahalu01', 'marjabo01', 'harremo01', 'scottmi01', 'teodomi01', 'wallaty01']","[0, 1]",0,20,26,31,15,[],92,-1,3.0,"['georgpa01', 'adamsst01', 'schrode01', 'pattepa01', 'fergute01', 'abrinal01', 'grantje01', 'feltora01', 'noelne01', 'diallha01', 'burtode02', 'luwawti01', 'naderab01']","[0, 1]",0,conference,821106950.0,674515946.0,63162073.07692308,51885842.0,1,1,2018-10-19 22:30:00,2018-10-20 00:30:00
