,gameState,gameState,gameState,gameState,gameState,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,away,away,away
teamData,winner,teamHome,teamAway,location,rivalry,datetime,endtime,referees,attendance,neutral,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,salary,avgSalary,numberOfGamesPlayed,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,salary,avgSalary,numberOfGamesPlayed
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012220BRK,BRK,BRK,GSW,"Barclays Center, Brooklyn, New York",none,12/22/2020 19:00,12/22/2020 21:00,"['Nick Buchert', 'Scott Twardoski', 'Zach Zarba']",0,0,40,23,36,26,[],125,0,,"['irvinky01', 'duranke01', 'harrijo01', 'dinwisp01', 'jordade01', 'leverca01', 'shamela01', 'allenja01', 'greenje02', 'princta02', 'perryre01', 'brownbr01', 'luwawti01', 'kurucro01', 'johnsty01']","[0, 0]",0,1036727132,69115142.13,0,25,20,26,28,[],99,0,,"['wiggian01', 'curryst01', 'oubreke01', 'wisemja01', 'pascher01', 'wanambr01', 'poolejo01', 'toscaju01', 'chrisma01', 'leeda03', 'bazemke01', 'looneke01', 'muldemy01']","[0, 0]",0,603299722,46407670.92,0
202012220LAL,LAC,LAL,LAC,"STAPLES Center, Los Angeles, California",division,12/22/2020 22:00,12/23/2020 0:00,"['Eric Dalen', 'Kane Fitzgerald', 'Michael Smith']",0,0,19,35,24,31,[],109,0,,"['davisan02', 'jamesle01', 'schrode01', 'caldwke01', 'gasolma01', 'harremo01', 'kuzmaky01', 'morrima02', 'carusal01', 'matthwe02', 'hortota01', 'cookqu01', 'mckinal01', 'dudleja01']","[0, 0]",0,1236538436,88324174,0,39,17,33,27,[],116,0,,"['georgpa01', 'leonaka01', 'batumni01', 'beverpa01', 'ibakase01', 'zubaciv01', 'willilo02', 'kennalu01', 'pattepa01', 'jacksre01', 'mannte01', 'coffeam01', 'kabenmf01', 'oturuda01']","[0, 0]",0,1076434621,76888187.21,0
202012230BOS,BOS,BOS,MIL,"TD Garden, Boston, Massachusetts",conference,12/23/2020 19:30,12/23/2020 21:30,"['Nick Buchert', 'Jason Goldenberg', 'Josh Tiven']",0,0,31,33,37,21,[],122,0,,"['smartma01', 'brownja02', 'tatumja01', 'theisda01', 'thomptr01', 'teaguje01', 'ojelese01', 'willigr01', 'pritcpa01', 'williro04', 'watertr01', 'nesmiaa01', 'greenja02', 'edwarca01']","[0, 0]",0,475559020,33968501.43,0,34,25,25,37,[],121,0,,"['holidjr01', 'middlkh01', 'antetgi01', 'lopezbr01', 'divindo01', 'connapa01', 'portibo01', 'forbebr01', 'wilsodj01', 'merrisa01', 'diakima01', 'nworajo01', 'antetth01', 'adamsja01', 'craigto01']","[0, 0]",0,756768651,50451243.4,0
202012230CHI,ATL,CHI,ATL,"United Center, Chicago, Illinois",conference,12/23/2020 20:00,12/23/2020 22:00,"['Marc Davis', 'Simone Jelks', 'Marat Kogut']",0,0,29,30,20,25,[],104,0,,"['willipa01', 'whiteco01', 'markkla01', 'cartewe01', 'lavinza01', 'porteot01', 'arcidry01', 'hutchch01', 'gaffoda01', 'mokokad01', 'feliccr01', 'satorto01', 'templga01', 'valende01', 'kornelu01']","[0, 0]",0,464854411,30990294.07,0,42,41,28,13,[],124,0,,"['youngtr01', 'huntede01', 'gallida01', 'reddica01', 'collijo01', 'hillso01', 'huertke01', 'bogdabo01', 'fernabr01', 'goodwbr01', 'knighna01', 'mayssk01']","[0, 0]",0,412348474,34362372.83,0
202012230CLE,CLE,CLE,CHO,"Rocket Mortgage Fieldhouse, Cleveland, Ohio",conference,12/23/2020 19:00,12/23/2020 21:00,"['J.B. DeRosa', 'David Guthrie', 'Andy Nagy']",300,0,24,41,28,28,[],121,0,,"['sextoco01', 'nancela02', 'okorois01', 'garlada01', 'drumman01', 'mcgeeja01', 'osmande01', 'wadede01', 'dotsoda01', 'windldy01', 'boldema01', 'stevela01', 'makerth01']","[0, 0]",0,361220190,27786168.46,0,23,21,36,34,[],114,0,,"['roziete01', 'grahade01', 'haywago01', 'washipj01', 'zelleco01', 'biyombi01', 'bridgmi02', 'martico01', 'ballla01', 'mcdanja01', 'martica02', 'richani01', 'careyve01', 'monkma01']","[0, 0]",0,533355894,38096849.57,0
202012230DEN,SAC,DEN,SAC,"Ball Arena, Denver, Colorado",conference,12/23/2020 21:00,12/23/2020 23:00,"['Tony Brown', 'John Butler', 'Derrick Collins']",0,0,31,29,24,28,[],122,0,,"['jokicni01', 'harriga01', 'millspa01', 'murraja01', 'portemi01', 'bartowi01', 'morrimo01', 'doziepj01', 'harteis01', 'campafa01', 'cancavl01', 'hamptrj01', 'bolbo01', 'howarma02', 'nnajize01']","[0, 0]",0,592304224,39486948.27,0,25,28,36,23,[],124,0,,"['barneha02', 'hieldbu01', 'foxde01', 'baglema01', 'holmeri01', 'halibty01', 'josepco01', 'whiteha01', 'bjeline01', 'ramseja01', 'guyky01', 'woodaro01', 'jamesju01', 'robingl02']","[0, 0]",0,559818344,39987024.57,0
202012230IND,IND,IND,NYK,"Bankers Life Fieldhouse, Indianapolis, Indiana",conference,12/23/2020 19:00,12/23/2020 21:00,"['Curtis Blair', 'Natalie Sago', 'Scott Twardoski']",0,0,35,26,27,33,[],121,0,,"['sabondo01', 'brogdma01', 'turnemy01', 'oladivi01', 'warretj01', 'mcderdo01', 'holidju01', 'mccontj01', 'holidaa01', 'stanlca01', 'sumneed01', 'lecquja01', 'martike03', 'sampsja02']","[0, 0]",0,462956472,33068319.43,0,33,33,16,25,[],107,0,,"['randlju01', 'barrerj01', 'bullore01', 'paytoel01', 'robinmi01', 'burksal01', 'toppiob01', 'knoxke01', 'quickim01', 'noelne01', 'ntilila01', 'pinsoth01', 'brazdig01', 'smithde03', 'harpeja01']","[0, 0]",0,350382738,23358849.2,0
202012230MEM,SAS,MEM,SAS,"FedEx Forum, Memphis, Tennessee",division,12/23/2020 20:00,12/23/2020 22:00,"['James Capers Jr.', 'Jacyn Goble', 'Robert Hussey']",0,0,33,20,35,31,[],119,0,,"['moranja01', 'brookdi01', 'valanjo01', 'anderky01', 'allengr01', 'clarkbr01', 'meltode01', 'jonesty01', 'dienggo01', 'banede01', 'konchjo01', 'mcderse01']","[0, 0]",0,356489809,29707484.08,0,30,36,33,32,[],131,0,,"['derozde01', 'walkelo01', 'johnske04', 'murrade01', 'aldrila01', 'gayru01', 'vassede01', 'millspa02', 'poeltja01', 'bateske01', 'jonestr01', 'samanlu01', 'eubandr01', 'lylestr01']","[0, 0]",0,793457396,56675528.29,0
