gameid,ref,att
201410280LAL,"['Courtney Kirkland', 'Derek Richardson', 'Zach Zarba']",18997
201410280NOP,"['Tony Brothers', 'David Jones', 'Dedric Taylor']",17097
201410280SAS,"['Pat Fraher', 'Jason Phillips', 'Haywoode Workman']",19615
201410290BOS,"['Nick Buchert', 'Bennett Salvatore', 'Josh Tiven']",18624
201410290CHO,"['James Capers Jr.', 'Eric Lewis', 'Eli Roe']",19439
201410290DEN,"['Courtney Kirkland', 'Tre Maddox', 'Zach Zarba']",17136
201410290IND,"['Kevin Cutler', 'Ed Malloy', 'Leroy Richardson']",18165
201410290MEM,"['Matt Boland', 'Scott Foster', 'Mark Lindsay']",17731
201410290MIA,"['Karl Lane', 'Derrick Stafford', 'Scott Wall']",19744
201410290NYK,"['Derrick Collins', 'Sean Corbin', 'Joe Crawford']",19812
201410290PHO,"['Mark Ayotte', 'Marc Davis', 'Gary Zielinski']",17523
201410290POR,"['Tony Brown', 'Ron Garretson', 'Kevin Scott']",19441
201410290SAC,"['Bennie Adams', 'Bill Kennedy', 'Justin Van Duyne']",17317
201410290TOR,"['Curtis Blair', 'Mike Callahan', 'Sean Wright']",19800
201410290UTA,"['Monty McCutchen', 'James Williams', 'Leon Wood']",19911
201410300CLE,"['Curtis Blair', 'David Guthrie', 'Tom Washington']",20562
201410300DAL,"['Brent Barnaky', 'David Jones', 'Ken Mauer']",19697
201410300LAC,"['Marc Davis', 'John Goble', 'James Williams']",19060
201410300MIN,"['Dan Crawford', 'Lauren Holtkamp-Sterling', 'Michael Smith']",18296
201410300ORL,"['Pat Fraher', 'Bill Spooner', 'Scott Twardoski']",18846
201410310CHI,"['Matt Boland', 'Scott Foster', 'Scott Wall']",22879
201410310IND,"['Tony Brothers', 'Sean Corbin', 'Haywoode Workman']",14441
201410310LAL,"['Bennie Adams', 'Bill Kennedy', 'Justin Van Duyne']",18997
201410310MIL,"['Brian Forte', 'Ron Garretson', 'Kipp Kissinger']",18717
201410310PHO,"['Tony Brown', 'Marat Kogut', 'Monty McCutchen']",15050
201410310SAC,"['Tre Maddox', 'Leon Wood', 'Zach Zarba']",14648
201411010ATL,"['Steve Anderson', 'Mark Ayotte', 'James Capers Jr.']",19118
201411010CHO,"['Brian Forte', 'Bill Spooner', 'Scott Twardoski']",18133
201411010DET,"['Mike Callahan', 'Derek Richardson', 'Leroy Richardson']",19904
201411010GSW,"['Kane Fitzgerald', 'Kevin Scott', 'Derrick Stafford']",19596
201411010HOU,"['Derrick Collins', 'David Jones', 'Sean Wright']",18309
201411010MIN,"['Tony Brothers', 'Pat Fraher', 'Dedric Taylor']",19356
201411010NOP,"['Dan Crawford', 'Lauren Holtkamp-Sterling', 'Michael Smith']",14547
201411010OKC,"['Ken Mauer', 'Eli Roe', 'Gary Zielinski']",18203
201411010ORL,"['Brent Barnaky', 'Eric Lewis', 'Tom Washington']",16141
201411010PHI,"['David Guthrie', 'J.T. Orr', 'Bennett Salvatore']",19753
201411010UTA,"['Joe Crawford', 'John Goble', 'Ben Taylor']",17721
201411010WAS,"['Kevin Cutler', 'Mark Lindsay', 'Jason Phillips']",17992
201411020LAC,"['Tony Brown', 'Marat Kogut', 'Monty McCutchen']",19060
201411020MIA,"['Mark Ayotte', 'Ed Malloy', 'Scott Twardoski']",19666
201411020NYK,"['Kevin Cutler', 'Ron Garretson', 'Scott Wall']",19812
201411020POR,"['Marc Davis', 'John Goble', 'James Williams']",19441
201411030BRK,"['Bennie Adams', 'Brent Barnaky', 'Dan Crawford']",17732
201411030DAL,"['Karl Lane', 'Bill Spooner', 'Gary Zielinski']",19948
201411030DEN,"['Joe Crawford', 'Eric Lewis', 'Ben Taylor']",12516
201411030LAC,"['Kevin Scott', 'Derrick Stafford', 'Josh Tiven']",19060
201411030MEM,"['Curtis Blair', 'Derrick Collins', 'Jason Phillips']",15302
201411030PHI,"['Mike Callahan', 'Pat Fraher', 'Brett Nansel']",12896
201411040CHI,"['Kevin Cutler', 'David Guthrie', 'Ed Malloy']",21809
201411040IND,"['Curtis Blair', 'Scott Wall', 'Zach Zarba']",15012
201411040LAL,"['Marc Davis', 'Tre Maddox', 'Leon Wood']",18997
201411040MIA,"['Mark Lindsay', 'Tom Washington', 'Haywoode Workman']",19666
201411040NOP,"['Mark Ayotte', 'Karl Lane', 'Ken Mauer']",14840
201411040NYK,"['Nick Buchert', 'J.T. Orr', 'Bennett Salvatore']",19812
201411040POR,"['Kane Fitzgerald', 'Marat Kogut', 'Monty McCutchen']",19441
201411040TOR,"['Brian Forte', 'Ron Garretson', 'Derek Richardson']",18877
201411050BOS,"['Bill Kennedy', 'Leroy Richardson', 'Justin Van Duyne']",16249
201411050BRK,"['Tony Brown', 'J.T. Orr', 'Jason Phillips']",16302
201411050CHO,"['Brent Barnaky', 'Mike Callahan', 'David Jones']",15874
201411050DET,"['Bennie Adams', 'Tony Brothers', 'Dedric Taylor']",11915
201411050GSW,"['Joe Crawford', 'Ben Taylor', 'Sean Wright']",19596
201411050MIL,"['Sean Corbin', 'Michael Smith', 'James Williams']",13098
201411050PHI,"['Derrick Collins', 'Dan Crawford', 'Lauren Holtkamp-Sterling']",12111
201411050PHO,"['Kane Fitzgerald', 'Eli Roe', 'Derrick Stafford']",15377
201411050SAC,"['Matt Boland', 'Scott Foster', 'Josh Tiven']",14539
201411050SAS,"['Mitchell Ervin', 'Bill Spooner', 'Gary Zielinski']",18581
201411050UTA,"['Steve Anderson', 'James Capers Jr.', 'Eric Lewis']",19911
201411050WAS,"['Pat Fraher', 'Ed Malloy', 'Derek Richardson']",15268
201411060HOU,"['Nick Buchert', 'Courtney Kirkland', 'Bennett Salvatore']",18311
201411060POR,"['Matt Boland', 'Scott Foster', 'Josh Tiven']",19441
201411070BOS,"['Bennie Adams', 'Brent Barnaky', 'Mike Callahan']",17122
201411070BRK,"['John Goble', 'David Guthrie', 'Kevin Scott']",17732
201411070CHO,"['Bill Kennedy', 'Michael Smith', 'Justin Van Duyne']",15891
201411070DEN,"['Leroy Richardson', 'Derrick Stafford', 'Scott Twardoski']",19623
201411070DET,"['Dan Crawford', 'Brian Forte', 'Lauren Holtkamp-Sterling']",16102
201411070OKC,"['Marat Kogut', 'Mark Lindsay', 'Monty McCutchen']",18203
201411070ORL,"['Tre Maddox', 'Ken Mauer', 'Scott Wall']",16379
201411070PHI,"['Tony Brown', 'Tyler Ford', 'Jason Phillips']",16820
201411070PHO,"['Steve Anderson', 'James Capers Jr.', 'Sean Wright']",15476
201411070TOR,"['Karl Lane', 'Leon Wood', 'Zach Zarba']",19800
201411070UTA,"['Sean Corbin', 'Ron Garretson', 'J.T. Orr']",18419
201411080ATL,"['Derrick Collins', 'Pat Fraher', 'Ed Malloy']",17521
201411080CHI,"['Curtis Blair', 'Brian Forte', 'John Goble']",22104
201411080HOU,"['Mark Ayotte', 'Marc Davis', 'James Williams']",18312
201411080IND,"['Kane Fitzgerald', 'Bill Kennedy', 'Justin Van Duyne']",17302
201411080LAC,"['Eric Lewis', 'Eli Roe', 'Tom Washington']",19060
201411080MIA,"['Nick Buchert', 'Joe Crawford', 'Courtney Kirkland']",19735
201411080MIL,"['David Jones', 'Haywoode Workman', 'Gary Zielinski']",13841
201411080SAS,"['Marat Kogut', 'Mark Lindsay', 'Monty McCutchen']",18581
201411090BRK,"['Michael Smith', 'Leon Wood', 'Zach Zarba']",16127
201411090DAL,"['Mark Ayotte', 'Marc Davis', 'James Williams']",20195
201411090DET,"['Tony Brown', 'Ed Malloy', 'Ben Taylor']",12888
201411090LAL,"['Eli Roe', 'Tom Washington', 'Sean Wright']",18997
201411090OKC,"['Jason Phillips', 'Kevin Scott', 'Scott Wall']",18203
201411090PHO,"['Matt Boland', 'Scott Foster', 'Eric Lewis']",16046
201411090POR,"['Steve Anderson', 'James Capers Jr.', 'Sean Corbin']",16046
201411090TOR,"['Bennie Adams', 'Tony Brothers', 'Dedric Taylor']",18470
201411100CHI,"['David Jones', 'Bill Kennedy', 'Justin Van Duyne']",21431
201411100CLE,"['Joe Crawford', 'Pat Fraher', 'Ben Taylor']",20562
201411100IND,"['Kipp Kissinger', 'Bill Spooner', 'Gary Zielinski']",12513
201411100LAC,"['Curtis Blair', 'Ken Mauer', 'Derek Richardson']",19313
201411100NYK,"['Mike Callahan', 'Courtney Kirkland', 'Tre Maddox']",19812
201411110DAL,"['Kevin Cutler', 'John Goble', 'Michael Smith']",19663
201411110GSW,"['Steve Anderson', 'James Capers Jr.', 'Sean Corbin']",19596
201411110MEM,"['Mark Ayotte', 'Ron Garretson', 'Derek Richardson']",17618
201411110MIL,"['Bennie Adams', 'Tony Brothers', 'Nick Buchert']",12390
201411110POR,"['Dan Crawford', 'David Guthrie', 'Haywoode Workman']",18495
201411110TOR,"['Marc Davis', 'Lauren Holtkamp-Sterling', 'Josh Tiven']",19800
201411120ATL,"['Kevin Cutler', 'John Goble', 'Scott Wall']",12595
201411120BOS,"['Joe Crawford', 'David Jones', 'Leon Wood']",17043
201411120DEN,"['Mark Lindsay', 'Ken Mauer', 'J.T. Orr']",12611
201411120MIA,"['Scott Foster', 'Eric Lewis', 'Eli Roe']",19658
201411120MIN,"['Tony Brown', 'Karl Lane', 'Zach Zarba']",18996
201411120NOP,"['Jason Phillips', 'Scott Twardoski', 'Gary Zielinski']",17359
201411120NYK,"['Tyler Ford', 'Bill Spooner', 'Sean Wright']",19812
201411120PHO,"['Leroy Richardson', 'Tom Washington', 'Haywoode Workman']",15184
201411120WAS,"['Mike Callahan', 'Courtney Kirkland', 'Tre Maddox']",14708
201411130DAL,"['Pat Fraher', 'Ron Garretson', 'Derek Richardson']",19604
201411130GSW,"['Curtis Blair', 'Dan Crawford', 'David Guthrie']",19596
201411130MEM,"['Brent Barnaky', 'Kane Fitzgerald', 'Monty McCutchen']",15666
