,gameid,ref,att
72,201710270LAL,"['Derrick Stafford', 'Ben Taylor', 'Scott Wall']",17876
73,201710270MIN,"['Tony Brown', 'Ken Mauer', 'Justin Van Duyne']",17620
74,201710270NYK,"['Brent Barnaky', 'Derrick Collins', 'Jonathan Sterling']",19812
75,201710270ORL,"['Scott Foster', 'Brett Nansel', 'Kevin Scott']",17337
76,201710280CHI,"['Matt Boland', 'Jacyn Goble', 'David Guthrie']",21706
77,201710280DAL,"['Nick Buchert', 'Marc Davis', 'Derek Richardson']",19567
78,201710280LAC,"['Curtis Blair', 'Eric Dalen', 'Tom Washington']",17247
79,201710280MEM,"['Mark Ayotte', 'James Capers Jr.', 'Tre Maddox']",17033
80,201710280MIA,"['Ray Acosta', 'Mike Callahan', 'Rodney Mott']",19600
81,201710280NOP,"['Courtney Kirkland', 'Michael Smith', 'Dedric Taylor']",18539
82,201710280POR,"['Sean Corbin', 'Marat Kogut', 'Leroy Richardson']",19343
83,201710280UTA,"['Mitchell Ervin', 'Kane Fitzgerald', 'Mark Lindsay']",18306
84,201710290ATL,"['Eric Lewis', 'Phenizee Ransom', 'Sean Wright']",14014
85,201710290BRK,"['Ron Garretson', 'Karl Lane', 'J.T. Orr']",14854
86,201710290CHO,"['Pat Fraher', 'Lauren Holtkamp-Sterling', 'James Williams']",15531
87,201710290CLE,"['Tony Brown', 'Scott Foster', 'Brett Nansel']",20562
88,201710290GSW,"['Derrick Stafford', 'Ben Taylor', 'Scott Twardoski']",19596
89,201710290IND,"['Brent Barnaky', 'Justin Van Duyne', 'Zach Zarba']",15013
90,201710290SAC,"['John Goble', 'Aaron Smith', 'Leon Wood']",17583
91,201710300BOS,"['Tre Maddox', 'Ken Mauer', 'Gary Zielinski']",18624
92,201710300HOU,"['Mitchell Ervin', 'Courtney Kirkland', 'Michael Smith']",16714
93,201710300LAC,"['John Goble', 'Marat Kogut', 'Leroy Richardson']",19068
94,201710300MEM,"['Matt Boland', 'Kevin Cutler', 'Mark Lindsay']",15771
95,201710300MIA,"['Derrick Collins', 'Josh Tiven', 'C.J. Washington']",19600
96,201710300NOP,"['Mark Ayotte', 'Brian Forte', 'Derek Richardson']",14004
97,201710300NYK,"['Nick Buchert', 'Eric Lewis', 'Gediminas Petraitis']",19812
98,201710300POR,"['Curtis Blair', 'Eric Dalen', 'Monty McCutchen']",18505
99,201710300UTA,"['Rodney Mott', 'Scott Twardoski', 'Tom Washington']",16221
100,201710310BRK,"['Tony Brothers', 'Kevin Scott', 'Haywoode Workman']",12936
101,201710310IND,"['Bennie Adams', 'Pat Fraher', 'Brett Nansel']",12245
102,201710310LAL,"['Ron Garretson', 'Aaron Smith', 'Leon Wood']",17569
103,201710310MIL,"['Marc Davis', 'Lauren Holtkamp-Sterling', 'Karl Lane']",16713
104,201711010BOS,"['Tony Brown', 'Ed Malloy', 'Vladimir Voyard-Tadal']",18624
105,201711010CHO,"['Nick Buchert', 'Sean Corbin', 'Derek Richardson']",15655
106,201711010CLE,"['Mitchell Ervin', 'Kane Fitzgerald', 'Tre Maddox']",20562
107,201711010DEN,"['Leroy Richardson', 'Dedric Taylor', 'Tom Washington']",14072
108,201711010LAC,"['David Guthrie', 'Monty McCutchen', 'J.T. Orr']",13487
109,201711010MEM,"['Mike Callahan', 'Jason Goldenberg', 'Michael Smith']",15434
110,201711010MIA,"['Brandon Adair', 'Scott Wall', 'Sean Wright']",19600
111,201711010NOP,"['Matt Boland', 'Jonathan Sterling', 'Zach Zarba']",14788
112,201711010NYK,"['Derrick Stafford', 'Justin Van Duyne', 'Gary Zielinski']",18320
113,201711010PHI,"['Kevin Cutler', 'Bill Kennedy', 'Haywoode Workman']",20549
114,201711010UTA,"['Tyler Ford', 'John Goble', 'Aaron Smith']",16685
115,201711010WAS,"['Derrick Collins', 'Brian Forte', 'C.J. Washington']",14790
116,201711020POR,"['Bennie Adams', 'Ken Mauer', 'Dedric Taylor']",19469
117,201711020SAS,"['Eric Dalen', 'Marc Davis', 'Courtney Kirkland']",18418
118,201711030ATL,"['Sean Corbin', 'Mark Lindsay', 'Derek Richardson']",14087
119,201711030DAL,"['Kane Fitzgerald', 'Karl Lane', 'Justin Van Duyne']",19894
120,201711030DEN,"['James Capers Jr.', 'Kevin Scott', 'Jonathan Sterling']",15317
121,201711030DET,"['Derrick Collins', 'Kevin Cutler', 'Scott Wall']",17207
122,201711030LAL,"['Brent Barnaky', 'Tyler Ford', 'Monty McCutchen']",18997
123,201711030NYK,"['Vladimir Voyard-Tadal', 'James Williams', 'Sean Wright']",19404
124,201711030OKC,"['Mike Callahan', 'Pat Fraher', 'Ben Taylor']",18203
125,201711030ORL,"['Matt Boland', 'Phenizee Ransom', 'Zach Zarba']",19171
126,201711030PHI,"['Tony Brown', 'Scott Twardoski', 'Gary Zielinski']",20668
127,201711030SAS,"['Eric Lewis', 'Brett Nansel', 'Josh Tiven']",18418
128,201711030UTA,"['Mark Ayotte', 'David Guthrie', 'J.T. Orr']",16258
129,201711030WAS,"['Nick Buchert', 'Bill Kennedy', 'Haywoode Workman']",20356
130,201711040CHI,"['Eric Dalen', 'Ed Malloy', 'Randy Richardson']",21254
131,201711040DEN,"['David Guthrie', 'Lauren Holtkamp-Sterling', 'Leon Wood']",19711
132,201711040DET,"['Nick Buchert', 'Courtney Kirkland', 'Leroy Richardson']",17683
133,201711040LAC,"['Brian Forte', 'Ken Mauer', 'Dedric Taylor']",14777
134,201711040MIN,"['Curtis Blair', 'Kevin Cutler', 'Scott Foster']",16837
135,201711050CLE,"['Tony Brothers', 'Jason Goldenberg', 'Scott Wall']",20562
136,201711050HOU,"['Eric Lewis', 'Ben Taylor', 'Josh Tiven']",16914
137,201711050LAC,"['Brent Barnaky', 'Tyler Ford', 'Ron Garretson']",15676
138,201711050LAL,"['Mark Ayotte', 'James Capers Jr.', 'Jonathan Sterling']",18997
139,201711050MIN,"['Mitchell Ervin', 'Bill Kennedy', 'Kevin Scott']",14124
140,201711050NYK,"['Michael Smith', 'C.J. Washington', 'Tom Washington']",17889
141,201711050ORL,"['Sean Corbin', 'Kane Fitzgerald', 'Haywoode Workman']",17731
142,201711050POR,"['Tre Maddox', 'Rodney Mott', 'J.T. Orr']",19393
143,201711050SAS,"['Mike Callahan', 'Karl Lane', 'Aaron Smith']",18038
144,201711050TOR,"['Tony Brown', 'J.B. DeRosa', 'Gary Zielinski']",19800
145,201711060ATL,"['Eric Dalen', 'Marc Davis', 'Jacyn Goble']",13215
146,201711060GSW,"['Mark Ayotte', 'Brian Forte', 'Dedric Taylor']",19596
147,201711060PHO,"['David Guthrie', 'Lauren Holtkamp-Sterling', 'Ken Mauer']",15905
148,201711070CLE,"['Mike Callahan', 'Scott Twardoski', 'Gary Zielinski']",20562
149,201711070DEN,"['Courtney Kirkland', 'Rodney Mott', 'Ben Taylor']",14058
150,201711070IND,"['Brandon Adair', 'Matt Boland', 'Marc Davis']",15014
151,201711070NYK,"['John Goble', 'Scott Wall', 'Haywoode Workman']",18704
152,201711070POR,"['Nick Buchert', 'Pat Fraher', 'Justin Van Duyne']",18692
153,201711070SAC,"['James Capers Jr.', 'Kevin Cutler', 'Brian Forte']",17583
154,201711070SAS,"['Mitchell Ervin', 'James Williams', 'Sean Wright']",18418
155,201711070TOR,"['Jason Goldenberg', 'Kevin Scott', 'Derrick Stafford']",19800
156,201711070UTA,"['Bennie Adams', 'Brent Barnaky', 'Leon Wood']",16063
157,201711070WAS,"['Mark Lindsay', 'Leroy Richardson', 'Josh Tiven']",14505
158,201711080BOS,"['Eric Lewis', 'Kevin Scott', 'Zach Zarba']",18624
159,201711080DET,"['Sean Corbin', 'Karl Lane', 'Derek Richardson']",14407
160,201711080GSW,"['Derrick Collins', 'Ken Mauer', 'Gediminas Petraitis']",19596
161,201711080ORL,"['Curtis Blair', 'Tyler Ford', 'Monty McCutchen']",18803
162,201711080PHO,"['Bill Kennedy', 'Courtney Kirkland', 'Brett Nansel']",16500
163,201711090DEN,"['Brent Barnaky', 'Ed Malloy', 'Scott Twardoski']",19520
164,201711090HOU,"['Tony Brown', 'Scott Foster', 'Marat Kogut']",18055
165,201711090SAC,"['Nick Buchert', 'Pat Fraher', 'Gediminas Petraitis']",17583
166,201711090TOR,"['Ron Garretson', 'Eric Lewis', 'Tre Maddox']",19800
167,201711090WAS,"['Eric Dalen', 'Jason Goldenberg', 'Derrick Stafford']",20356
168,201711100BOS,"['Curtis Blair', 'Leroy Richardson', 'Sean Wright']",18624
169,201711100CHI,"['Mark Ayotte', 'Tyler Ford', 'John Goble']",22416
170,201711100DET,"['Lauren Holtkamp-Sterling', 'Josh Tiven', 'James Williams']",16687
171,201711100OKC,"['Kane Fitzgerald', 'Courtney Kirkland', 'Derek Richardson']",18203
172,201711100PHO,"['Bennie Adams', 'Matt Boland', 'Justin Van Duyne']",16507
173,201711100POR,"['Bill Kennedy', 'Brett Nansel', 'Leon Wood']",19393
174,201711100SAS,"['Tony Brothers', 'Rodney Mott', 'Dedric Taylor']",18418
175,201711100UTA,"['Derrick Collins', 'Haywoode Workman', 'Gary Zielinski']",18306
176,201711110DAL,"['Monty McCutchen', 'Rodney Mott', 'Dedric Taylor']",20378
177,201711110DEN,"['Marc Davis', 'Michael Smith', 'Vladimir Voyard-Tadal']",16688
178,201711110GSW,"['Tony Brown', 'Marat Kogut', 'Mark Lindsay']",19596
