,gameState,gameState,gameState,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,away,away,away
teamData,winner,teamHome,teamAway,location,rivalry,datetime,endtime,neutral,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,salary,avgSalary,numberOfGamesPlayed,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,salary,avgSalary,numberOfGamesPlayed
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610280MIA,CHO,MIA,CHO,"AmericanAirlines Arena, Miami, Florida",division,2016-10-28 20:00:00,2016-10-28 22:00:00,0,23,34,20,14,[],91,1,2.0,"['waitedi01', 'dragigo01', 'winslju01', 'whiteha01', 'babbilu01', 'johnsty01', 'johnsja01', 'reedwi02', 'mcgruro01', 'willide02', 'richajo01', 'mcrobjo01', 'hasleud01']","[1, 0]",0,706408853.0,54339142.538461536,1,21,25,27,24,[],97,1,2.0,"['willima02', 'batumni01', 'walkeke02', 'kiddgmi01', 'hibbero01', 'belinma01', 'zelleco01', 'lambje01', 'hawessp01', 'sessira01', 'woodch01', 'roberbr01', 'grahatr01']","[1, 0]",0,913512418.0,70270186.0,1
201610280NOP,GSW,NOP,GSW,"Smoothie King Center, New Orleans, Louisiana",conference,2016-10-28 21:30:00,2016-10-28 23:30:00,0,22,28,31,33,[],114,-1,2.0,"['davisan02', 'fraziti01', 'mooreet01', 'hillso01', 'asikom01', 'cunnida01', 'stephla01', 'hieldbu01', 'gallola01', 'joneste01', 'diallch01', 'holidjr01', 'ajincal01']","[0, 1]",0,741685057.0,57052696.692307696,1,32,27,33,30,[],122,-1,3.0,"['duranke01', 'thompkl01', 'curryst01', 'greendr01', 'pachuza01', 'iguodan01', 'livinsh01', 'mccawpa01', 'westda01', 'looneke01', 'clarkia01', 'varejan01', 'mcgeeja01']","[0, 1]",0,1471390599.0,113183892.23076925,1
201610280OKC,OKC,OKC,PHO,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",conference,2016-10-28 20:00:00,2016-10-28 22:00:00,0,25,24,28,25,[],113,1,2.0,"['westbru01', 'oladivi01', 'roberan03', 'adamsst01', 'sabondo01', 'singlky01', 'ilyaser01', 'kanteen01', 'chrisse01', 'lauvejo01', 'morroan01', 'collini01', 'abrinal01']","[1, 0]",0,916177909.0,70475223.76923077,1,40,13,30,19,[],110,-1,2.0,"['warretj01', 'bookede01', 'chandty01', 'bledser01', 'dudleja01', 'knighbr03', 'lenal01', 'chrisma01', 'bendedr01', 'tuckepj01', 'ulisty01', 'willial03', 'barbole01']","[0, 1]",0,791769721.0,60905363.15384615,1
201610280TOR,CLE,TOR,CLE,"Air Canada Centre, Toronto, Canada",conference,2016-10-28 19:00:00,2016-10-28 21:00:00,0,23,17,27,24,[],91,1,2.0,"['lowryky01', 'derozde01', 'carrode01', 'valanjo01', 'siakapa01', 'pattepa01', 'josepco01', 'rosste01', 'poeltja01', 'vanvlfr01', 'powelno01', 'noguelu01', 'cabocbr01']","[1, 0]",0,1026555460.0,78965804.61538461,1,28,22,21,23,[],94,1,3.0,"['jamesle01', 'irvinky01', 'thomptr01', 'loveke01', 'smithjr01', 'shumpim01', 'jefferi01', 'dunlemi02', 'liggide01', 'mcraejo01', 'jonesja02', 'anderch01', 'feldeka01']","[1, 0]",0,1353789493.0,104137653.3076923,1
201610280UTA,UTA,UTA,LAL,"Vivint Smart Home Arena, Salt Lake City, Utah",conference,2016-10-28 21:00:00,2016-10-28 23:00:00,0,28,20,17,31,[],96,-1,3.0,"['hillge01', 'hoodro01', 'goberru01', 'johnsjo02', 'diawbo01', 'macksh01', 'exumda01', 'favorde01', 'lylestr01', 'inglejo01', 'witheje01', 'netora01', 'bolomjo01']","[0, 1]",0,867720136.0,66747702.76923077,1,27,16,22,24,[],89,1,2.0,"['denglu01', 'russeda01', 'randlju01', 'youngni01', 'mozgoti01', 'willilo02', 'clarkjo01', 'nancela02', 'huertma01', 'blackta01', 'ingrabr01', 'robinth01', 'artesro01']","[1, 0]",0,864610828.0,66508525.23076923,1
201610290CHI,CHI,CHI,IND,"United Center, Chicago, Illinois",division,2016-10-29 20:00:00,2016-10-29 22:00:00,0,24,38,30,26,[],118,1,2.0,"['butleji01', 'gibsota01', 'rondora01', 'wadedw01', 'lopezro01', 'mcderdo01', 'mirotni01', 'cartemi01', 'feliccr01', 'canaais01', 'portibo01', 'valende01', 'zipsepa01']","[1, 0]",0,874828588.0,67294506.76923077,1,20,21,26,34,[],101,-1,1.0,"['teaguje01', 'ellismo01', 'youngth01', 'georgpa01', 'turnemy01', 'youngjo01', 'milescj01', 'robingl02', 'niangge01', 'jeffeal01', 'serapke01', 'chrisra01', 'allenla01']","[1, 1]",0,878011262.0,67539327.84615384,2
201610290CHO,BOS,CHO,BOS,"Spectrum Center, Charlotte, North Carolina",conference,2016-10-29 19:00:00,2016-10-29 21:00:00,0,19,22,31,26,[],98,2,1.0,"['walkeke02', 'batumni01', 'willima02', 'kiddgmi01', 'zelleco01', 'kaminfr01', 'belinma01', 'hawessp01', 'sessira01', 'lambje01', 'woodch01', 'roberbr01', 'grahatr01']","[2, 0]",0,863123210.0,66394093.07692308,2,28,16,27,33,[],104,-1,2.0,"['bradlav01', 'thomais02', 'crowdja01', 'horfoal01', 'johnsam01', 'roziete01', 'jerebjo01', 'brownja02', 'zellety01', 'greenge01', 'mickejo01', 'youngja01', 'jacksde01']","[1, 1]",0,702542893.0,54041761.0,2
201610290CLE,CLE,CLE,ORL,"Quicken Loans Arena, Cleveland, Ohio",conference,2016-10-29 19:30:00,2016-10-29 21:30:00,0,33,29,18,25,[],105,2,1.0,"['jamesle01', 'irvinky01', 'loveke01', 'smithjr01', 'thomptr01', 'jefferi01', 'dunlemi02', 'shumpim01', 'anderch01', 'feldeka01', 'mcraejo01', 'liggide01', 'jonesja02']","[2, 0]",0,1353789493.0,104137653.3076923,2,20,25,17,37,[],99,-2,1.0,"['fournev01', 'paytoel01', 'ibakase01', 'gordoaa01', 'vucevni01', 'greenje02', 'augusdj01', 'biyombi01', 'hezonma01', 'wilcocj01', 'watsocj01', 'rudezda01', 'onuakar01']","[0, 2]",0,792094010.0,60930308.461538464,2
201610290DEN,POR,DEN,POR,"Pepsi Center, Denver, Colorado",division,2016-10-29 21:00:00,2016-10-29 23:00:00,0,28,26,34,16,[],113,1,3.0,"['gallida01', 'bartowi01', 'mudiaem01', 'jokicni01', 'nurkiju01', 'farieke01', 'chandwi01', 'nelsoja01', 'murraja01', 'stokeja01', 'millemi01', 'hernaju01', 'beaslma01']","[1, 0]",0,856265517.0,65866578.23076923,1,33,29,19,23,[],115,-1,2.0,"['lillada01', 'mccolcj01', 'plumlma01', 'harklma01', 'aminual01', 'crabbal01', 'turneev01', 'davised01', 'leoname01', 'vonleno01', 'napiesh01', 'laymaja01', 'connapa01']","[1, 1]",0,873054520.0,67158040.0,2
201610290MIL,MIL,MIL,BRK,"BMO Harris Bradley Center, Milwaukee, Wisconsin",conference,2016-10-29 20:00:00,2016-10-29 22:00:00,0,24,22,34,30,[],110,-1,3.0,"['dellama01', 'antetgi01', 'parkeja01', 'snellto01', 'plumlmi01', 'vaughra01', 'hensojo01', 'monrogr01', 'teletmi01', 'brogdma01', 'beaslmi01', 'novakst01', 'makerth01']","[0, 1]",0,674388246.0,51876018.92307692,1,18,23,32,35,[],108,1,1.0,"['linje01', 'bogdabo02', 'booketr01', 'hamilju01', 'holliro01', 'kilpase01', 'harrijo01', 'scolalu01', 'bennean01', 'whiteis01', 'vasqugr01', 'mcculch01', 'lopezbr01']","[1, 1]",0,530787872.0,40829836.307692304,2
