,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState
teamData,winner,teamHome,teamAway,timeOfDay,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201710180SAS,SAS,SAS,MIN,9:30p,"AT&T Center, San Antonio, Texas",32,21,34,20,[],107,0,,"['aldrila01', 'greenda02', 'anderky01', 'gasolpa01', 'murrade01', 'gayru01', 'millspa02', 'ginobma01', 'lauvejo01', 'bertada01', 'forbebr01', 'paulbr01', 'whitede01']","[0, 0]",0,25,24,28,22,[],99,0,,"['butleji01', 'townska01', 'wiggian01', 'gibsota01', 'teaguje01', 'crawfja01', 'jonesty01', 'muhamsh01', 'dienggo01', 'bjeline01', 'aldrico01', 'brookaa01', 'georgma01']","[0, 0]",0,conference
201710180UTA,UTA,UTA,DEN,9:00p,"Vivint Smart Home Arena, Salt Lake City, Utah",21,28,29,28,[],106,0,,"['goberru01', 'inglejo01', 'rubiori01', 'favorde01', 'mitchdo01', 'sefolth01', 'johnsjo02', 'hoodro01', 'burksal01', 'udohek01', 'jerebjo01', 'onealro01', 'woltena01']","[0, 0]",0,30,28,25,13,[],96,0,,"['harriga01', 'jokicni01', 'chandwi01', 'millspa01', 'murraja01', 'bartowi01', 'mudiaem01', 'plumlma01', 'farieke01', 'hernaju01', 'beaslma01', 'lylestr01', 'arthuda01']","[0, 0]",0,division
201710180WAS,WAS,WAS,PHI,7:00p,"Capital One Arena, Washington, District of Columbia",32,24,34,30,[],120,0,,"['walljo01', 'bealbr01', 'gortama01', 'porteot01', 'smithja02', 'oubreke01', 'meeksjo01', 'scottmi01', 'mahinia01', 'fraziti01', 'felixca01', 'mcculch01', 'satorto01']","[0, 0]",0,23,36,23,33,[],115,0,,"['simmobe01', 'redicjj01', 'covinro01', 'bayleje01', 'embiijo01', 'saricda01', 'luwawti01', 'fultzma01', 'johnsam01', 'mccontj01', 'anderju01', 'okafoja01', 'stausni01']","[0, 0]",0,conference
201710190LAL,LAC,LAL,LAC,10:30p,"STAPLES Center, Los Angeles, California",19,23,21,29,[],92,0,,"['ingrabr01', 'nancela02', 'balllo01', 'lopezbr01', 'denglu01', 'clarkjo01', 'kuzmaky01', 'randlju01', 'breweco01', 'carusal01', 'bogutan01', 'ennisty01', 'caldwke01']","[0, 0]",0,27,26,34,21,[],108,0,,"['griffbl01', 'gallida01', 'jordade01', 'beverpa01', 'teodomi01', 'riverau01', 'willilo02', 'johnswe01', 'reedwi02', 'dekkesa01', 'thornsi01', 'harremo01', 'johnsbr02']","[0, 0]",0,division
201710190OKC,OKC,OKC,NYK,8:00p,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",27,26,26,26,[],105,0,,"['georgpa01', 'anthoca01', 'westbru01', 'adamsst01', 'roberan03', 'abrinal01', 'grantje01', 'feltora01', 'fergute01', 'pattepa01', 'johnsda04', 'huestjo01', 'collini01']","[0, 0]",0,24,18,17,25,[],84,0,,"['porzikr01', 'leeco01', 'hardati02', 'kanteen01', 'sessira01', 'mcderdo01', 'bakerro01', 'oquinky01', 'thomala01', 'ntilila01', 'hernawi01', 'dotsoda01', 'beaslmi01']","[0, 0]",0,none
201710190TOR,TOR,TOR,CHI,7:30p,"Air Canada Centre, Toronto, Canada",25,33,26,33,[],117,0,,"['derozde01', 'lowryky01', 'valanjo01', 'powelno01', 'ibakase01', 'wrighde01', 'milescj01', 'poeltja01', 'anunoog01', 'vanvlfr01', 'siakapa01', 'mckinal01', 'noguelu01']","[0, 0]",0,23,14,27,36,[],100,0,,"['holidju01', 'markkla01', 'lopezro01', 'grantje02', 'zipsepa01', 'valende01', 'feliccr01', 'feldeka01', 'nwabada01', 'pondequ01', 'arcidry01', 'blakean01', 'portibo01']","[0, 0]",0,conference
201710200BRK,BRK,BRK,ORL,7:30p,"Barclays Center, Brooklyn, New York",29,29,31,37,[],126,-1,2.0,"['carrode01', 'russeda01', 'holliro01', 'crabbal01', 'mozgoti01', 'leverca01', 'dinwisp01', 'booketr01', 'harrijo01', 'acyqu01', 'allenja01', 'kilpase01', 'zellety01']","[0, 1]",0,27,28,36,30,[],121,1,2.0,"['fournev01', 'vucevni01', 'rosste01', 'isaacjo01', 'paytoel01', 'augusdj01', 'simmojo02', 'hezonma01', 'afflaar01', 'biyombi01', 'macksh01', 'speigma01', 'iwundwe01']","[1, 0]",0,conference
201710200CHO,CHO,CHO,ATL,7:00p,"Spectrum Center, Charlotte, North Carolina",18,31,35,25,[],109,-1,2.0,"['lambje01', 'walkeke02', 'howardw01', 'bacondw01', 'willima02', 'kaminfr01', 'grahatr01', 'monkma01', 'obryajo01', 'stoneju01', 'cartemi01', 'kiddgmi01', 'zelleco01']","[0, 1]",0,28,28,17,18,[],91,1,2.0,"['schrode01', 'princta02', 'bazemke01', 'dedmode01', 'ilyaser01', 'delanma01', 'belinma01', 'muscami01', 'babbilu01', 'collijo01', 'magetjo01', 'brussni01', 'dorsety01']","[1, 0]",0,division
201710200DAL,SAC,DAL,SAC,8:30p,"American Airlines Center, Dallas, Texas",23,23,14,28,[],88,-1,2.0,"['barneha02', 'matthwe02', 'nowitdi01', 'bareajo01', 'noelne01', 'ferreyo01', 'finnedo01', 'mejrisa01', 'clavegi01', 'poweldw01', 'harride01', 'klebima01', 'witheje01']","[0, 1]",0,19,27,25,22,[],93,-1,2.0,"['hillge01', 'randoza01', 'hieldbu01', 'caulewi01', 'jacksju01', 'templga01', 'foxde01', 'koufoko01', 'cartevi01', 'labissk01', 'masonfr01', 'richama01', 'sampsja02']","[0, 1]",0,conference
201710200IND,POR,IND,POR,7:00p,"Bankers Life Fieldhouse, Indianapolis, Indiana",25,27,21,23,[],96,1,2.0,"['oladivi01', 'collida01', 'youngth01', 'sabondo01', 'bogdabo02', 'josepco01', 'stephla01', 'leaftj01', 'jeffeal01', 'wilkida02', 'youngjo01', 'poythal01', 'anigbik01']","[1, 0]",0,31,31,29,23,[],114,1,2.0,"['aminual01', 'lillada01', 'mccolcj01', 'nurkiju01', 'harklma01', 'turneev01', 'connapa01', 'davised01', 'swanica01', 'colliza01', 'napiesh01', 'laymaja01', 'leoname01']","[1, 0]",0,none
