,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState,home,away,home,away
teamData,winner,teamHome,teamAway,timeOfDay,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry,salary,salary,avgSalary,avgSalary
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201511290NYK,HOU,NYK,HOU,7:30p,"Madison Square Garden (IV), New York, New York",25,29,23,24,[],111,-3,2.0,"['afflaar01', 'porzikr01', 'caldejo01', 'thomala01', 'lopezro01', 'serapke01', 'gallola01', 'willide02', 'grantje02', 'earlycl01', 'oquinky01', 'vujacsa01', 'anthoca01']","[8, 9]",1,21,20,28,32,[],116,1,2.0,"['hardeja01', 'arizatr01', 'capelca01', 'beverpa01', 'howardw01', 'joneste01', 'thornma01', 'terryja01', 'breweco01', 'mcdankj01', 'lawsoty01', 'harremo01']","[6, 10]",0,none,767311281,1063802129,59023944.692307696,88650177.41666667
201511290ORL,ORL,ORL,BOS,6:00p,"Amway Center, Orlando, Florida",21,32,31,26,[],110,2,2.0,"['paytoel01', 'harrito02', 'vucevni01', 'fournev01', 'fryech01', 'oladivi01', 'nichoan01', 'gordoaa01', 'smithja02', 'napiesh01', 'hezonma01', 'marblde01', 'dedmode01']","[8, 8]",0,20,25,22,24,[],91,2,2.0,"['crowdja01', 'thomais02', 'bradlav01', 'sullija01', 'johnsam01', 'leeda02', 'turneev01', 'jerebjo01', 'olynyke01', 'roziete01', 'hunterj01', 'youngja01', 'zellety01']","[9, 7]",0,conference,855284959,635731255,65791150.692307696,48902404.23076923
201511290TOR,PHO,TOR,PHO,6:00p,"Air Canada Centre, Toronto, Canada",18,31,23,30,[],102,4,1.0,"['carrode01', 'derozde01', 'lowryky01', 'biyombi01', 'scolalu01', 'josepco01', 'pattepa01', 'rosste01', 'johnsja01', 'noguelu01', 'powelno01', 'bennean01']","[11, 6]",0,21,32,28,26,[],107,-4,2.0,"['bledser01', 'knighbr03', 'lenal01', 'morrima02', 'tuckepj01', 'warretj01', 'leuerjo01', 'pricero01', 'teletmi01', 'weemsso01', 'goodwar01', 'jeffeco01', 'bookede01']","[7, 9]",0,none,1000014595,620718953,83334549.58333333,47747611.76923077
201511300ATL,ATL,ATL,OKC,8:00p,"Philips Arena, Atlanta, Georgia",31,22,26,27,[],106,-1,2.0,"['sefolth01', 'millspa01', 'horfoal01', 'korveky01', 'teaguje01', 'bazemke01', 'muscami01', 'schrode01', 'scottmi01', 'pattela01', 'macksh01', 'tavarwa01', 'holidju01']","[11, 8]",0,21,31,22,26,[],100,4,3.0,"['duranke01', 'westbru01', 'ibakase01', 'roberan03', 'adamsst01', 'waitedi01', 'morroan01', 'augusdj01', 'kanteen01', 'collini01', 'singlky01', 'payneca01', 'novakst01']","[11, 6]",0,none,919490195,1286144312,70730015.0,98934177.84615384
201511300CHI,CHI,CHI,SAS,8:00p,"United Center, Chicago, Illinois",17,32,21,22,[],92,-1,3.0,"['butleji01', 'rosede01', 'gasolpa01', 'mirotni01', 'snellto01', 'mcderdo01', 'noahjo01', 'gibsota01', 'mooreet01', 'brookaa01', 'feliccr01', 'portibo01', 'hinriki01']","[9, 5]",0,23,25,25,16,[],89,5,2.0,"['leonaka01', 'greenda02', 'aldrila01', 'parketo01', 'duncati01', 'ginobma01', 'diawbo01', 'millspa02', 'westda01', 'anderky01', 'bonnema01', 'butlera01', 'simmojo02']","[14, 3]",0,none,1123091775,1396498768,86391675.0,107422982.15384616
201511300DET,DET,DET,HOU,7:30p,"The Palace of Auburn Hills, Auburn Hills, Michigan",29,35,20,32,[],116,-2,1.0,"['caldwke01', 'jacksre01', 'morrima03', 'drumman01', 'ilyaser01', 'johnsst04', 'baynear01', 'blakest01', 'tollian01', 'hillida01', 'dinwisp01', 'anthojo01', 'bullore01']","[8, 9]",0,21,20,32,32,[],105,2,1.0,"['hardeja01', 'arizatr01', 'howardw01', 'beverpa01', 'capelca01', 'thornma01', 'lawsoty01', 'breweco01', 'joneste01', 'harremo01', 'mcdankj01', 'terryja01']","[7, 10]",0,none,685880335,1063802129,52760025.76923077,88650177.41666667
201511300LAC,LAC,LAC,POR,10:30p,"STAPLES Center, Los Angeles, California",29,20,25,28,[],102,2,1.0,"['jordade01', 'griffbl01', 'redicjj01', 'mbahalu01', 'paulch01', 'riverau01', 'crawfja01', 'stephla01', 'piercpa01', 'smithjo03', 'johnswe01', 'prigipa01', 'aldrico01']","[9, 8]",0,18,31,15,23,[],87,1,2.0,"['mccolcj01', 'aminual01', 'plumlma01', 'lillada01', 'vonleno01', 'harklma01', 'davised01', 'leoname01', 'crabbal01', 'hendege02', 'fraziti01', 'alexacl01', 'connapa01']","[7, 10]",1,conference,1501714250,797853140,115516480.76923077,61373318.461538464
201511300MIA,BOS,MIA,BOS,7:30p,"AmericanAirlines Arena, Miami, Florida",23,28,24,20,[],95,1,3.0,"['boshch01', 'greenge01', 'dragigo01', 'wadedw01', 'whiteha01', 'winslju01', 'mcrobjo01', 'johnsty01', 'udrihbe01', 'stokeja01', 'richajo01', 'hasleud01', 'anderch01']","[10, 5]",0,32,25,24,24,[],105,-1,1.0,"['bradlav01', 'sullija01', 'johnsam01', 'thomais02', 'crowdja01', 'turneev01', 'leeda02', 'olynyke01', 'jerebjo01', 'roziete01', 'zellety01', 'youngja01', 'hunterj01']","[9, 8]",0,conference,1049567878,635731255,80735990.61538461,48902404.23076923
201511300MIL,MIL,MIL,DEN,8:00p,"BMO Harris Bradley Center, Milwaukee, Wisconsin",28,18,21,25,[],92,-3,1.0,"['bayleje01', 'mayooj01', 'middlkh01', 'monrogr01', 'antetgi01', 'cartemi01', 'parkeja01', 'hensojo01', 'vaughra01', 'obryajo01', 'ennisty01', 'copelch01', 'plumlmi01']","[6, 11]",0,23,21,16,14,[],74,-6,2.0,"['gallida01', 'mudiaem01', 'jokicni01', 'foyera01', 'farieke01', 'bartowi01', 'nelsoja01', 'arthuda01', 'lauvejo01', 'papanko01', 'millemi01', 'hicksjj01', 'harriga01']","[6, 11]",1,none,689921961,791360714,53070920.07692308,60873901.07692308
201511300SAC,SAC,SAC,DAL,10:00p,"Sleep Train Arena, Sacramento, California",23,31,22,36,[],112,-2,2.0,"['couside01', 'gayru01', 'rondora01', 'mclembe01', 'caulewi01', 'casspom01', 'collida01', 'curryse01', 'belinma01', 'koufoko01', 'butleca01', 'anderja01', 'acyqu01']","[6, 12]",0,32,26,13,27,[],98,1,2.0,"['matthwe02', 'willide01', 'nowitdi01', 'pachuza01', 'parsoch01', 'feltora01', 'harride01', 'poweldw01', 'mcgeeja01', 'villach01', 'jenkijo01', 'anderju01', 'evansje01']","[10, 7]",0,conference,727946733,1048361125,55995902.538461536,80643163.46153846
201511300UTA,GSW,UTA,GSW,9:00p,"Vivint Smart Home Arena, Salt Lake City, Utah",20,28,29,26,[],103,2,2.0,"['haywago01', 'goberru01', 'hoodro01', 'favorde01', 'netora01', 'burksal01', 'burketr01', 'booketr01', 'inglejo01', 'lylestr01', 'witheje01', 'millsel01', 'johnsch04']","[8, 7]",0,26,27,30,23,[],106,8,2.0,"['greendr01', 'curryst01', 'thompkl01', 'bogutan01', 'rushbr01', 'iguodan01', 'ezelife01', 'livinsh01', 'barbole01', 'clarkia01', 'speigma01', 'mcadoja01', 'thompja02']","[18, 0]",0,conference,729417017,1091254334,56109001.307692304,83942641.07692307
201512010BRK,BRK,BRK,PHO,7:30p,"Barclays Center, Brooklyn, New York",25,26,19,24,[],94,1,2.0,"['lopezbr01', 'youngth01', 'johnsjo02', 'jackja01', 'holliro01', 'larkish01', 'ellinwa01', 'bogdabo02', 'robinth01', 'brownma02', 'sloando01', 'reedwi02', 'karasse01']","[4, 13]",0,20,22,31,18,[],91,1,2.0,"['knighbr03', 'bledser01', 'lenal01', 'tuckepj01', 'morrima02', 'teletmi01', 'warretj01', 'pricero01', 'leuerjo01', 'bookede01', 'weemsso01', 'jeffeco01', 'goodwar01']","[8, 9]",0,none,738251011,620718953,56788539.307692304,47747611.76923077
201512010CLE,WAS,CLE,WAS,7:00p,"Quicken Loans Arena, Cleveland, Ohio",24,19,24,18,[],85,2,3.0,"['jamesle01', 'smithjr01', 'loveke01', 'willima01', 'mozgoti01', 'dellama01', 'thomptr01', 'jefferi01', 'jonesja02', 'varejan01', 'cunnija01', 'kaunsa01', 'harrijo01']","[13, 4]",0,27,27,26,17,[],97,-4,3.0,"['porteot01', 'bealbr01', 'walljo01', 'gortama01', 'dudleja01', 'templga01', 'sessira01', 'humphkr01', 'oubreke01', 'nealga01', 'holliry01', 'goodedr01', 'blairde01']","[6, 8]",0,conference,1315128624,986694121,101163740.3076923,75899547.76923077
201512010MIN,ORL,MIN,ORL,8:00p,"Target Center, Minneapolis, Minnesota",14,27,26,26,[],93,-1,2.0,"['wiggian01', 'rubiori01', 'martike02', 'townska01', 'garneke01', 'dienggo01', 'lavinza01', 'bjeline01', 'muhamsh01', 'princta01', 'rudezda01', 'paynead01', 'millean02']","[8, 9]",0,21,33,22,20,[],96,3,2.0,"['vucevni01', 'harrito02', 'paytoel01', 'fournev01', 'fryech01', 'nichoan01', 'oladivi01', 'gordoaa01', 'smithja02', 'napiesh01', 'hezonma01', 'dedmode01']","[9, 8]",1,none,1197807854,853555021,92139065.6923077,71129585.08333333
201512010NOP,MEM,NOP,MEM,8:00p,"Smoothie King Center, New Orleans, Louisiana",38,27,20,19,[],104,-2,3.0,"['davisan02', 'evansty01', 'geeal01', 'holidjr01', 'ajincal01', 'anderry01', 'coleno01', 'gordoer01', 'smithis01', 'cunnida01', 'asikom01', 'douglto01', 'babbilu01']","[4, 13]",0,27,37,27,22,[],113,1,2.0,"['gasolma01', 'greenje02', 'randoza01', 'conlemi01', 'allento01', 'leeco01', 'barnema02', 'chalmma01', 'greenja01', 'cartevi01', 'wrighbr03', 'smithru01', 'ennisja01']","[10, 8]",0,division,920924286,1136475644,70840329.6923077,87421203.38461539
201512010PHI,PHI,PHI,LAL,7:00p,"Wells Fargo Center, Philadelphia, Pennsylvania",26,24,30,23,[],103,-8,2.0,"['covinro01', 'grantje01', 'canaais01', 'okafoja01', 'sampsja02', 'thompho01', 'noelne01', 'mccontj01', 'stausni01', 'pressph01', 'woodch01', 'landrca01', 'holmeri01']","[0, 18]",0,33,25,17,16,[],91,-6,2.0,"['clarkjo01', 'russeda01', 'hibbero01', 'bryanko01', 'randlju01', 'willilo02', 'artesro01', 'bassbr01', 'youngni01', 'nancela02', 'kellyry01', 'huertma01', 'blackta01']","[2, 14]",0,none,338069874,962499394,26005374.923076924,74038414.92307693
201512010POR,DAL,POR,DAL,10:00p,"Moda Center, Portland, Oregon",18,34,21,23,[],112,-1,1.0,"['lillada01', 'mccolcj01', 'plumlma01', 'aminual01', 'vonleno01', 'crabbal01', 'leoname01', 'davised01', 'hendege02', 'harklma01', 'fraziti01', 'connapa01', 'alexacl01']","[7, 11]",0,27,23,24,22,[],115,-1,1.0,"['willide01', 'matthwe02', 'feltora01', 'pachuza01', 'nowitdi01', 'harride01', 'villach01', 'poweldw01', 'jenkijo01', 'anderju01', 'parsoch01', 'mcgeeja01', 'evansje01']","[10, 8]",0,conference,797853140,1048361125,61373318.461538464,80643163.46153846
201512020ATL,TOR,ATL,TOR,8:00p,"Philips Arena, Atlanta, Georgia",18,28,20,20,[],86,1,2.0,"['millspa01', 'teaguje01', 'sefolth01', 'horfoal01', 'korveky01', 'bazemke01', 'muscami01', 'schrode01', 'scottmi01', 'pattela01', 'tavarwa01', 'macksh01', 'holidju01']","[12, 8]",0,16,16,25,39,[],96,-1,3.0,"['lowryky01', 'derozde01', 'biyombi01', 'carrode01', 'scolalu01', 'josepco01', 'rosste01', 'pattepa01', 'noguelu01', 'wrighde01', 'powelno01', 'cabocbr01', 'bennean01']","[11, 7]",0,conference,919490195,964621779,70730015.0,74201675.3076923
201512020CHI,CHI,CHI,DEN,8:00p,"United Center, Chicago, Illinois",28,23,17,31,[],99,1,2.0,"['butleji01', 'rosede01', 'gasolpa01', 'snellto01', 'mirotni01', 'noahjo01', 'mcderdo01', 'gibsota01', 'mooreet01', 'brookaa01', 'portibo01', 'hinriki01', 'feliccr01']","[10, 5]",0,21,25,26,18,[],90,-7,2.0,"['gallida01', 'mudiaem01', 'farieke01', 'foyera01', 'jokicni01', 'bartowi01', 'lauvejo01', 'arthuda01', 'nelsoja01', 'hicksjj01', 'millemi01', 'papanko01', 'harriga01']","[6, 12]",0,none,1123091775,791360714,86391675.0,60873901.07692308
201512020CHO,GSW,CHO,GSW,7:00p,"Time Warner Cable Arena, Charlotte, North Carolina",23,28,21,27,[],99,1,3.0,"['walkeke02', 'batumni01', 'willima02', 'zelleco01', 'hairspj02', 'kaminfr01', 'lambje01', 'hawessp01', 'roberbr01', 'linje01', 'hansbty01', 'danietr01', 'harriaa01']","[10, 7]",0,32,28,33,23,[],116,9,2.0,"['curryst01', 'greendr01', 'thompkl01', 'bogutan01', 'rushbr01', 'livinsh01', 'iguodan01', 'ezelife01', 'speigma01', 'barbole01', 'mcadoja01', 'clarkia01', 'thompja02']","[19, 0]",0,none,769840822,1091254334,59218524.76923077,83942641.07692307
201512020DET,DET,DET,PHO,7:30p,"The Palace of Auburn Hills, Auburn Hills, Michigan",31,26,23,32,[],127,1,2.0,"['caldwke01', 'drumman01', 'morrima03', 'jacksre01', 'ilyaser01', 'johnsst04', 'tollian01', 'blakest01', 'baynear01', 'hillida01', 'dinwisp01', 'bullore01', 'anthojo01']","[9, 9]",1,26,31,32,23,[],122,-1,1.0,"['bledser01', 'tuckepj01', 'leuerjo01', 'knighbr03', 'lenal01', 'teletmi01', 'bookede01', 'warretj01', 'pricero01', 'jeffeco01', 'weemsso01', 'goodwar01', 'cottobr01']","[8, 10]",0,none,685880335,571323801,52760025.76923077,43947984.692307696
201512020HOU,HOU,HOU,NOP,8:00p,"Toyota Center, Houston, Texas",17,31,36,24,[],108,-1,2.0,"['hardeja01', 'howardw01', 'arizatr01', 'beverpa01', 'capelca01', 'lawsoty01', 'breweco01', 'joneste01', 'thornma01', 'terryja01', 'mcdankj01', 'harremo01']","[7, 11]",0,29,21,32,19,[],101,-3,1.0,"['davisan02', 'gordoer01', 'evansty01', 'geeal01', 'asikom01', 'anderry01', 'coleno01', 'smithis01', 'cunnida01', 'ajincal01', 'douglto01', 'holidjr01', 'babbilu01']","[4, 14]",0,division,1063802129,920924286,88650177.41666667,70840329.6923077
201512020LAC,IND,LAC,IND,10:30p,"STAPLES Center, Los Angeles, California",29,21,19,22,[],91,3,2.0,"['griffbl01', 'riverau01', 'jordade01', 'mbahalu01', 'redicjj01', 'crawfja01', 'stephla01', 'smithjo03', 'piercpa01', 'prigipa01', 'johnswe01', 'wilcocj01', 'aldrico01']","[10, 8]",0,29,18,25,31,[],103,5,3.0,"['georgpa01', 'ellismo01', 'hillge01', 'mahinia01', 'allenla01', 'stuckro01', 'milescj01', 'hilljo01', 'budinch01', 'youngjo01', 'turnemy01', 'robingl02', 'hillso01']","[11, 5]",0,none,1173885447,825451979,90298880.53846154,63496306.07692308
201512020NYK,NYK,NYK,PHI,7:30p,"Madison Square Garden (IV), New York, New York",27,27,27,18,[],99,-4,3.0,"['porzikr01', 'caldejo01', 'anthoca01', 'afflaar01', 'lopezro01', 'gallola01', 'thomala01', 'grantje02', 'willide02', 'serapke01', 'vujacsa01', 'earlycl01', 'oquinky01']","[8, 10]",0,21,18,19,29,[],87,1,1.0,"['noelne01', 'canaais01', 'covinro01', 'sampsja02', 'grantje01', 'thompho01', 'mccontj01', 'stausni01', 'holmeri01', 'pressph01', 'woodch01', 'okafoja01', 'landrca01']","[1, 18]",0,division,767311281,338069874,59023944.692307696,26005374.923076924
201512020SAS,SAS,SAS,MIL,8:30p,"AT&T Center, San Antonio, Texas",28,20,28,19,[],95,-1,2.0,"['leonaka01', 'aldrila01', 'greenda02', 'duncati01', 'parketo01', 'diawbo01', 'millspa02', 'simmojo02', 'anderky01', 'westda01', 'ginobma01', 'butlera01', 'bonnema01']","[14, 4]",0,21,17,17,15,[],70,1,2.0,"['middlkh01', 'monrogr01', 'antetgi01', 'mayooj01', 'ennisty01', 'cartemi01', 'parkeja01', 'vaughra01', 'hensojo01', 'obryajo01', 'copelch01', 'plumlmi01', 'bayleje01']","[7, 11]",0,none,1396498768,689921961,107422982.15384616,53070920.07692308
201512020WAS,LAL,WAS,LAL,7:00p,"Verizon Center, Washington, District of Columbia",22,29,24,29,[],104,1,1.0,"['bealbr01', 'gortama01', 'walljo01', 'dudleja01', 'porteot01', 'templga01', 'nealga01', 'sessira01', 'humphkr01', 'holliry01', 'oubreke01', 'goodedr01', 'blairde01']","[7, 8]",0,34,23,21,30,[],108,-7,1.0,"['clarkjo01', 'bryanko01', 'hibbero01', 'randlju01', 'russeda01', 'willilo02', 'nancela02', 'bassbr01', 'artesro01', 'youngni01', 'sacrero01', 'kellyry01', 'huertma01']","[2, 15]",0,none,986694121,954825066,75899547.76923077,73448082.0
201512030MEM,SAS,MEM,SAS,9:30p,"FedEx Forum, Memphis, Tennessee",21,15,21,26,[],83,2,2.0,"['gasolma01', 'randoza01', 'conlemi01', 'greenje02', 'allento01', 'leeco01', 'barnema02', 'chalmma01', 'greenja01', 'cartevi01', 'ennisja01', 'smithru01', 'wrighbr03']","[11, 8]",0,20,25,29,29,[],103,1,1.0,"['leonaka01', 'aldrila01', 'duncati01', 'greenda02', 'parketo01', 'ginobma01', 'millspa02', 'anderky01', 'diawbo01', 'simmojo02', 'westda01', 'bonnema01', 'marjabo01']","[15, 4]",1,division,1136475644,1405318699,87421203.38461539,108101438.38461539
201512030MIA,MIA,MIA,OKC,7:00p,"AmericanAirlines Arena, Miami, Florida",23,27,24,23,[],97,-1,3.0,"['dragigo01', 'boshch01', 'wadedw01', 'whiteha01', 'greenge01', 'winslju01', 'mcrobjo01', 'johnsty01', 'richajo01', 'udrihbe01', 'hasleud01', 'anderch01']","[10, 6]",0,28,23,25,19,[],95,-1,3.0,"['westbru01', 'duranke01', 'ibakase01', 'roberan03', 'adamsst01', 'waitedi01', 'kanteen01', 'morroan01', 'augusdj01', 'collini01', 'singlky01', 'payneca01', 'novakst01']","[11, 7]",0,none,1047847819,1286144312,87320651.58333333,98934177.84615384
201512030POR,POR,POR,IND,10:00p,"Moda Center, Portland, Oregon",28,28,41,26,[],123,-2,2.0,"['lillada01', 'mccolcj01', 'aminual01', 'plumlma01', 'vonleno01', 'crabbal01', 'leoname01', 'davised01', 'harklma01', 'hendege02', 'fraziti01', 'kamanch01', 'connapa01']","[7, 12]",0,31,28,31,21,[],111,6,1.0,"['georgpa01', 'milescj01', 'hillge01', 'mahinia01', 'ellismo01', 'stuckro01', 'budinch01', 'hilljo01', 'allenla01', 'robingl02', 'hillso01', 'youngjo01', 'turnemy01']","[12, 5]",0,none,883803966,825451979,67984920.46153846,63496306.07692308
201512030SAC,BOS,SAC,BOS,10:00p,"Mexico City Arena, Mexico City, Mexico",17,19,32,29,[],97,1,3.0,"['gayru01', 'mclembe01', 'couside01', 'rondora01', 'caulewi01', 'collida01', 'belinma01', 'curryse01', 'koufoko01', 'butleca01', 'acyqu01', 'anderja01', 'moreler01']","[7, 12]",0,32,19,39,24,[],114,1,3.0,"['thomais02', 'crowdja01', 'bradlav01', 'johnsam01', 'sullija01', 'turneev01', 'olynyke01', 'jerebjo01', 'leeda02', 'zellety01', 'hunterj01', 'roziete01', 'youngja01']","[10, 8]",0,none,713545640,635731255,54888126.15384615,48902404.23076923
201512030TOR,DEN,TOR,DEN,7:30p,"Air Canada Centre, Toronto, Canada",19,23,29,34,[],105,1,1.0,"['derozde01', 'lowryky01', 'carrode01', 'biyombi01', 'scolalu01', 'josepco01', 'pattepa01', 'rosste01', 'noguelu01', 'johnsja01', 'powelno01', 'cabocbr01', 'bennean01']","[12, 7]",0,29,27,25,25,[],106,-8,1.0,"['foyera01', 'gallida01', 'mudiaem01', 'arthuda01', 'lauvejo01', 'bartowi01', 'nelsoja01', 'jokicni01', 'millemi01', 'papanko01', 'hicksjj01', 'farieke01']","[6, 13]",0,none,1009949738,710048099,77688441.38461539,59170674.916666664
201512030UTA,ORL,UTA,ORL,9:00p,"Vivint Smart Home Arena, Salt Lake City, Utah",25,32,21,16,[],94,-1,3.0,"['haywago01', 'favorde01', 'hoodro01', 'booketr01', 'netora01', 'burketr01', 'burksal01', 'inglejo01', 'lylestr01', 'witheje01', 'johnsch04', 'millsel01', 'goberru01']","[8, 8]",0,29,25,23,26,[],103,4,2.0,"['harrito02', 'paytoel01', 'vucevni01', 'fournev01', 'fryech01', 'oladivi01', 'nichoan01', 'smithja02', 'napiesh01', 'gordoaa01', 'hezonma01', 'dedmode01']","[10, 8]",1,none,729417017,853555021,56109001.307692304,71129585.08333333
201512040ATL,ATL,ATL,LAL,8:00p,"Philips Arena, Atlanta, Georgia",23,29,20,28,[],100,-1,2.0,"['millspa01', 'horfoal01', 'korveky01', 'sefolth01', 'teaguje01', 'bazemke01', 'scottmi01', 'schrode01', 'muscami01', 'pattela01', 'holidju01', 'macksh01', 'splitti01']","[12, 9]",0,19,17,30,21,[],87,1,2.0,"['russeda01', 'bryanko01', 'clarkjo01', 'randlju01', 'hibbero01', 'willilo02', 'bassbr01', 'nancela02', 'artesro01', 'kellyry01', 'sacrero01', 'youngni01', 'huertma01']","[3, 15]",0,none,964801050,954825066,74215465.38461539,73448082.0
201512040DAL,HOU,DAL,HOU,8:30p,"American Airlines Center, Dallas, Texas",28,25,25,18,[],96,1,3.0,"['willide01', 'matthwe02', 'feltora01', 'nowitdi01', 'pachuza01', 'parsoch01', 'harride01', 'poweldw01', 'villach01', 'mcgeeja01', 'jenkijo01', 'evansje01', 'anderju01']","[11, 8]",1,26,31,21,22,[],100,1,2.0,"['arizatr01', 'hardeja01', 'joneste01', 'beverpa01', 'capelca01', 'breweco01', 'lawsoty01', 'harremo01', 'terryja01', 'thornma01', 'motiedo01', 'mcdankj01', 'howardw01']","[8, 11]",0,division,1048361125,1071087038,80643163.46153846,82391310.61538461
201512040DET,DET,DET,MIL,7:30p,"The Palace of Auburn Hills, Auburn Hills, Michigan",17,34,16,35,[],102,2,2.0,"['morrima03', 'drumman01', 'caldwke01', 'jacksre01', 'ilyaser01', 'johnsst04', 'tollian01', 'blakest01', 'baynear01', 'hillida01', 'dinwisp01', 'bullore01', 'anthojo01']","[10, 9]",0,16,24,19,36,[],95,-1,2.0,"['middlkh01', 'mayooj01', 'antetgi01', 'monrogr01', 'bayleje01', 'cartemi01', 'parkeja01', 'hensojo01', 'vaughra01', 'obryajo01', 'plumlmi01', 'ennisty01', 'copelch01']","[7, 12]",1,division,685880335,689921961,52760025.76923077,53070920.07692308
201512040NOP,NOP,NOP,CLE,9:30p,"Smoothie King Center, New Orleans, Louisiana",21,31,32,21,[],114,-4,2.0,"['davisan02', 'evansty01', 'gordoer01', 'asikom01', 'geeal01', 'cunnida01', 'anderry01', 'holidjr01', 'coleno01', 'babbilu01', 'ajincal01', 'douglto01', 'smithis01']","[4, 15]",0,27,26,24,28,[],108,-1,3.0,"['jamesle01', 'dellama01', 'loveke01', 'smithjr01', 'mozgoti01', 'thomptr01', 'willima01', 'jonesja02', 'jefferi01', 'varejan01', 'kaunsa01', 'cunnija01']","[13, 5]",0,none,920924286,1261465378,70840329.6923077,105122114.83333333
201512040NYK,NYK,NYK,BRK,7:00p,"Madison Square Garden (IV), New York, New York",42,23,27,16,[],108,1,2.0,"['anthoca01', 'lopezro01', 'afflaar01', 'caldejo01', 'porzikr01', 'thomala01', 'gallola01', 'grantje02', 'willide02', 'serapke01', 'amundlo01', 'vujacsa01', 'oquinky01']","[9, 10]",0,21,21,25,24,[],91,2,3.0,"['lopezbr01', 'youngth01', 'johnsjo02', 'jackja01', 'holliro01', 'larkish01', 'bogdabo02', 'robinth01', 'ellinwa01', 'reedwi02', 'brownma02', 'karasse01', 'sloando01']","[5, 13]",0,division,777823375,738251011,59832567.307692304,56788539.307692304
201512040WAS,WAS,WAS,PHO,7:00p,"Verizon Center, Washington, District of Columbia",22,29,27,31,[],109,-1,2.0,"['bealbr01', 'walljo01', 'porteot01', 'dudleja01', 'holliry01', 'templga01', 'sessira01', 'nealga01', 'blairde01', 'oubreke01', 'humphkr01', 'goodedr01']","[7, 9]",0,31,29,25,21,[],106,-2,2.0,"['knighbr03', 'tuckepj01', 'bledser01', 'leuerjo01', 'lenal01', 'morrima02', 'warretj01', 'pricero01', 'bookede01', 'teletmi01', 'weemsso01', 'jeffeco01', 'goodwar01']","[8, 11]",0,none,891602241,620718953,74300186.75,47747611.76923077
201512050CHI,CHO,CHI,CHO,8:00p,"United Center, Chicago, Illinois",22,28,25,21,[],96,2,3.0,"['butleji01', 'rosede01', 'mirotni01', 'gasolpa01', 'snellto01', 'mcderdo01', 'noahjo01', 'gibsota01', 'hinriki01', 'mooreet01', 'brookaa01', 'feliccr01', 'portibo01']","[11, 5]",1,26,26,20,30,[],102,-1,3.0,"['walkeke02', 'batumni01', 'zelleco01', 'willima02', 'hairspj02', 'linje01', 'hawessp01', 'lambje01', 'kaminfr01', 'hansbty01', 'harriaa01', 'roberbr01', 'danietr01']","[10, 8]",1,conference,1123091775,769840822,86391675.0,59218524.76923077
201512050HOU,HOU,HOU,SAC,8:00p,"Toyota Center, Houston, Texas",29,23,32,36,[],120,2,1.0,"['arizatr01', 'howardw01', 'hardeja01', 'beverpa01', 'capelca01', 'joneste01', 'terryja01', 'breweco01', 'lawsoty01', 'motiedo01', 'thornma01', 'harremo01']","[9, 11]",1,16,34,35,28,[],113,-1,2.0,"['mclembe01', 'rondora01', 'casspom01', 'gayru01', 'couside01', 'koufoko01', 'collida01', 'belinma01', 'acyqu01', 'moreler01', 'curryse01', 'butleca01', 'anderja01']","[7, 13]",0,conference,1063813036,705535692,88651086.33333333,54271976.307692304
201512050LAC,LAC,LAC,ORL,10:30p,"STAPLES Center, Los Angeles, California",22,31,21,29,[],103,-1,3.0,"['griffbl01', 'jordade01', 'crawfja01', 'riverau01', 'mbahalu01', 'johnswe01', 'prigipa01', 'stephla01', 'smithjo03', 'piercpa01', 'aldrico01', 'redicjj01', 'wilcocj01']","[10, 9]",0,24,26,29,22,[],101,5,2.0,"['paytoel01', 'vucevni01', 'harrito02', 'fryech01', 'fournev01', 'oladivi01', 'nichoan01', 'smithja02', 'gordoaa01', 'napiesh01', 'dedmode01', 'hezonma01']","[11, 8]",0,none,1173885447,853555021,90298880.53846154,71129585.08333333
201512050MIA,MIA,MIA,CLE,8:00p,"AmericanAirlines Arena, Miami, Florida",34,26,23,16,[],99,1,2.0,"['boshch01', 'dragigo01', 'wadedw01', 'greenge01', 'whiteha01', 'johnsty01', 'hasleud01', 'mcrobjo01', 'winslju01', 'richajo01', 'udrihbe01', 'anderch01']","[11, 6]",0,22,20,22,20,[],84,-2,1.0,"['jefferi01', 'dellama01', 'smithjr01', 'loveke01', 'mozgoti01', 'cunnija01', 'thomptr01', 'jonesja02', 'varejan01', 'willima01', 'kaunsa01', 'jamesle01']","[13, 6]",1,conference,1047847819,1261465378,87320651.58333333,105122114.83333333
