,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState,home,away,home,away
teamData,winner,teamHome,teamAway,timeOfDay,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry,salary,salary,avgSalary,avgSalary
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201510280MIA,MIA,MIA,CHO,7:30p,"AmericanAirlines Arena, Miami, Florida",23,31,19,31,[],104,0,,"['boshch01', 'dragigo01', 'denglu01', 'wadedw01', 'whiteha01', 'greenge01', 'winslju01', 'chalmma01', 'mcrobjo01', 'hasleud01', 'johnsty01', 'ennisja01', 'anderch01']","[0, 0]",0,27,17,16,34,[],94,0,,"['willima02', 'walkeke02', 'batumni01', 'jeffeal01', 'hairspj02', 'zelleco01', 'linje01', 'hawessp01', 'roberbr01', 'kaminfr01', 'lambje01', 'hansbty01', 'harriaa01']","[0, 0]",0,division,1166148067,892586756,89703697.46153846,68660519.6923077
201510280MIL,NYK,MIL,NYK,8:00p,"BMO Harris Bradley Center, Milwaukee, Wisconsin",23,28,22,24,[],97,0,,"['middlkh01', 'monrogr01', 'cartemi01', 'bayleje01', 'copelch01', 'vasqugr01', 'obryajo01', 'inglida01', 'vaughra01', 'hensojo01', 'plumlmi01', 'antetgi01', 'mayooj01']","[0, 0]",0,27,36,27,32,[],122,0,,"['anthoca01', 'vujacsa01', 'porzikr01', 'lopezro01', 'caldejo01', 'gallola01', 'grantje02', 'oquinky01', 'willide02', 'thomala01', 'earlycl01', 'serapke01', 'afflaar01']","[0, 0]",0,conference,651085781,767311281,50083521.615384616,59023944.692307696
201510280OKC,OKC,OKC,SAS,8:00p,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",29,21,29,33,[],112,0,,"['westbru01', 'duranke01', 'ibakase01', 'adamsst01', 'roberan03', 'kanteen01', 'morroan01', 'waitedi01', 'augusdj01', 'collini01', 'singlky01', 'novakst01', 'mcgarmi01']","[0, 0]",0,27,28,28,23,[],106,0,,"['leonaka01', 'aldrila01', 'greenda02', 'duncati01', 'parketo01', 'millspa02', 'diawbo01', 'ginobma01', 'westda01', 'anderky01', 'butlera01', 'mccalra01', 'bonnema01']","[0, 0]",0,conference,1271932336,1384330300,97840948.92307693,106486946.15384616
201510280ORL,WAS,ORL,WAS,7:00p,"Amway Center, Orlando, Florida",29,22,16,20,[],87,0,,"['oladivi01', 'paytoel01', 'harrito02', 'vucevni01', 'fournev01', 'hezonma01', 'watsocj01', 'gordoaa01', 'dedmode01', 'smithja02', 'nichoan01', 'napiesh01', 'fryech01']","[0, 0]",0,31,22,12,23,[],88,0,,"['walljo01', 'bealbr01', 'porteot01', 'gortama01', 'humphkr01', 'goodedr01', 'nealga01', 'sessira01', 'hilarne01', 'templga01', 'oubreke01', 'dudleja01', 'blairde01']","[0, 0]",0,division,877015234,1108619521,67462710.3076923,85278424.6923077
201510280PHO,DAL,PHO,DAL,10:00p,"Talking Stick Resort Arena, Phoenix, Arizona",22,23,21,29,[],95,0,,"['knighbr03', 'bledser01', 'chandty01', 'morrima02', 'tuckepj01', 'bookede01', 'leuerjo01', 'warretj01', 'teletmi01', 'goodwar01', 'weemsso01', 'lenal01', 'pricero01']","[0, 0]",0,24,30,34,23,[],111,0,,"['feltora01', 'matthwe02', 'pachuza01', 'nowitdi01', 'willide01', 'evansje01', 'bareajo01', 'harride01', 'poweldw01', 'villach01', 'jenkijo01', 'anderju01', 'mejrisa01']","[0, 0]",0,conference,809720214,896233972,62286170.307692304,68941074.76923077
201510280POR,POR,POR,NOP,10:00p,"Moda Center, Portland, Oregon",43,27,17,25,[],112,0,,"['mccolcj01', 'lillada01', 'leoname01', 'aminual01', 'plumlma01', 'davised01', 'crabbal01', 'harklma01', 'vonleno01', 'montelu01', 'kamanch01', 'connapa01', 'fraziti01']","[0, 0]",0,18,25,24,27,[],94,-1,1.0,"['gordoer01', 'davisan02', 'cunnida01', 'holidjr01', 'perkike01', 'anderry01', 'smithis01', 'geeal01', 'ajincal01', 'robinna01', 'babbilu01', 'asikom01']","[0, 1]",0,conference,846916212,909295310,65147400.92307692,75774609.16666667
201510280SAC,LAC,SAC,LAC,10:00p,"Sleep Train Arena, Sacramento, California",17,29,28,30,[],104,0,,"['couside01', 'gayru01', 'rondora01', 'koufoko01', 'mclembe01', 'belinma01', 'collida01', 'casspom01', 'butleca01', 'caulewi01', 'anderja01', 'curryse01', 'acyqu01']","[0, 0]",0,25,31,29,26,[],111,0,,"['griffbl01', 'paulch01', 'redicjj01', 'jordade01', 'stephla01', 'piercpa01', 'crawfja01', 'smithjo03', 'riverau01', 'johnswe01', 'aldrico01', 'prigipa01', 'mbahalu01']","[0, 0]",0,division,727946733,1501714250,55995902.538461536,115516480.76923077
201510280TOR,TOR,TOR,IND,7:30p,"Air Canada Centre, Toronto, Canada",20,17,35,34,[],106,0,,"['carrode01', 'lowryky01', 'derozde01', 'valanjo01', 'scolalu01', 'josepco01', 'pattepa01', 'biyombi01', 'rosste01', 'johnsja01', 'wrighde01', 'powelno01', 'bennean01']","[0, 0]",0,30,15,23,31,[],99,0,,"['hillge01', 'georgpa01', 'milescj01', 'ellismo01', 'mahinia01', 'stuckro01', 'hilljo01', 'budinch01', 'allenla01', 'youngjo01', 'whittsh01', 'turnemy01', 'hillso01']","[0, 0]",0,conference,1132685053,815988436,87129619.46153846,62768341.23076923
201510290IND,MEM,IND,MEM,7:00p,"Bankers Life Fieldhouse, Indianapolis, Indiana",20,29,26,28,[],103,-1,1.0,"['hillge01', 'georgpa01', 'ellismo01', 'mahinia01', 'hilljo01', 'stuckro01', 'milescj01', 'turnemy01', 'budinch01', 'allenla01', 'whittsh01', 'youngjo01', 'hillso01']","[0, 1]",0,29,21,23,39,[],112,-1,1.0,"['gasolma01', 'conlemi01', 'randoza01', 'leeco01', 'allento01', 'greenje02', 'barnema02', 'udrihbe01', 'wrighbr03', 'greenja01', 'smithru01', 'cartevi01', 'adamsjo01']","[0, 1]",0,none,815988436,1146014580,62768341.23076923,88154967.6923077
201510290LAC,LAC,LAC,DAL,10:30p,"STAPLES Center, Los Angeles, California",22,29,34,19,[],104,1,1.0,"['griffbl01', 'jordade01', 'paulch01', 'redicjj01', 'stephla01', 'riverau01', 'johnswe01', 'piercpa01', 'crawfja01', 'smithjo03', 'prigipa01', 'aldrico01', 'mbahalu01']","[1, 0]",0,17,26,25,20,[],88,1,1.0,"['jenkijo01', 'feltora01', 'nowitdi01', 'evansje01', 'pachuza01', 'harride01', 'villach01', 'bareajo01', 'poweldw01', 'anderju01', 'mejrisa01', 'willide01', 'matthwe02']","[1, 0]",0,conference,1501714250,896233972,115516480.76923077,68941074.76923077
201510290NYK,ATL,NYK,ATL,8:00p,"Madison Square Garden (IV), New York, New York",20,25,27,29,[],101,1,1.0,"['anthoca01', 'porzikr01', 'vujacsa01', 'lopezro01', 'caldejo01', 'grantje02', 'gallola01', 'thomala01', 'oquinky01', 'willide02', 'earlycl01', 'serapke01', 'afflaar01']","[1, 0]",0,30,31,23,28,[],112,-1,2.0,"['millspa01', 'korveky01', 'horfoal01', 'teaguje01', 'bazemke01', 'splitti01', 'pattela01', 'schrode01', 'holidju01', 'scottmi01', 'tavarwa01', 'hardati02', 'macksh01']","[0, 1]",0,conference,767311281,997054002,59023944.692307696,76696461.6923077
