,1,0,Prob
Marathonbet,861.0,369.0,0.7
Pinnacle,862.0,366.0,0.7019543973941368
Unibet,868.0,360.0,0.7068403908794788
William Hill,865.0,365.0,0.7032520325203252
bet-at-home,867.0,359.0,0.7071778140293637
bet265,1.0,,
bet365,860.0,363.0,0.7031888798037612
bwin,861.0,369.0,0.7
