,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj
Bookmaker,1xBet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),1xBet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),1xBet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),1xBet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201510270ATL,74.09326424870466,73.54497354497354,75.18610421836229,76.35933806146572,75.18610421836229,76.905311778291,76.35933806146572,75.72815533980582,27.77777777777778,28.57142857142857,27.472527472527474,28.24858757062147,28.57142857142857,29.32551319648094,27.77777777777778,28.57142857142857,0.7273241028539136,0.7202072538860104,0.732389502762431,0.7299574826674838,0.7246327297574309,0.7239453501048753,0.7332576617480135,0.726063829787234,0.27267589714608653,0.27979274611398963,0.2676104972375691,0.2700425173325162,0.27536727024256913,0.27605464989512474,0.26674233825198634,0.27393617021276595
201510270CHI,55.15695067264574,61.68582375478927,62.825278810408925,62.825278810408925,63.63636363636363,65.39792387543253,63.63636363636363,65.39792387543253,46.2962962962963,40.16064257028113,39.68253968253968,42.01680672268908,39.37007874015748,40.81632653061224,39.37007874015748,39.37007874015748,0.5436686584267824,0.6056746589312423,0.6128827999078978,0.5992372098566788,0.6177901320361362,0.6157170400904196,0.6177901320361362,0.6242165760798897,0.45633134157321764,0.39432534106875766,0.3871172000921022,0.4007627901433211,0.38220986796386386,0.38428295990958045,0.38220986796386386,0.37578342392011027
201510270GSW,81.98198198198197,87.71498771498771,87.71498771498771,87.71498771498771,87.71498771498771,88.49252013808976,89.28188638799571,86.20689655172413,19.64636542239685,14.492753623188406,14.947683109118088,16.420361247947454,16.666666666666664,17.793594306049823,15.384615384615383,18.181818181818183,0.8066841986102161,0.8582029752987492,0.8544000171714967,0.8423171246702026,0.8403295409964692,0.8325877806418303,0.853012997243009,0.8258258258258258,0.19331580138978383,0.14179702470125075,0.14559998282850328,0.1576828753297974,0.15967045900353077,0.16741221935816966,0.14698700275699092,0.1741741741741742
201510280BOS,,89.28188638799571,90.9090909090909,92.5925925925926,92.5925925925926,92.5925925925926,93.4597776324395,91.74236168455822,,12.82051282051282,11.534025374855824,11.11111111111111,11.76470588235294,13.157894736842104,11.11111111111111,12.903225806451612,,0.8744347545219638,0.8874104401228249,0.8928571428571428,0.8872651356993737,0.8755760368663594,0.8937456567060458,0.8766959399261804,,0.12556524547803616,0.11258955987717502,0.10714285714285714,0.11273486430062629,0.12442396313364054,0.10625434329395414,0.12330406007381951
201510280BRK,,35.842293906810035,35.587188612099645,37.03703703703704,36.36363636363637,36.496350364963504,35.842293906810035,34.48275862068966,,66.21621621621621,66.66666666666666,67.53246753246754,67.53246753246754,69.41896024464832,68.94409937888199,69.96996996996997,,0.3511935835983105,0.3480278422273782,0.35418583256669733,0.35,0.34458049695462495,0.3420510314644458,0.33012788737979576,,0.6488064164016895,0.6519721577726217,0.6458141674333027,0.6499999999999999,0.655419503045375,0.6579489685355542,0.6698721126202042
201510280DET,,50.98039215686274,50.0,51.21951219512195,52.38095238095239,52.60663507109005,51.21951219512195,52.38095238095239,,50.98039215686274,52.38095238095239,53.48837209302325,52.38095238095239,53.48837209302325,53.70370370370371,52.38095238095239,,0.5,0.4883720930232558,0.4891657638136511,0.5,0.49584458757531685,0.48816185966422726,0.5,,0.5,0.5116279069767442,0.5108342361863488,0.5,0.5041554124246831,0.5118381403357727,0.5
201510280HOU,,86.20689655172413,86.96219035202087,86.96219035202087,87.71498771498771,88.49252013808976,88.49252013808976,87.71498771498771,,15.873015873015872,15.337423312883436,17.24137931034483,16.666666666666664,17.421602787456447,16.0,16.666666666666664,,0.8445040214477212,0.8500734972164885,0.8345413754422297,0.8403295409964692,0.8355119949423251,0.8468789921148848,0.8403295409964692,,0.1554959785522788,0.1499265027835116,0.1654586245577703,0.15967045900353077,0.1644880050576749,0.15312100788511518,0.15967045900353077
201510280LAL,,56.14035087719298,58.15899581589959,60.31746031746032,59.83935742971887,60.31746031746032,59.51417004048582,61.68582375478927,,45.87155963302752,44.44444444444444,44.44444444444444,43.66812227074236,45.87155963302752,44.44444444444444,42.5531914893617,,0.5503313348059324,0.5668328047122791,0.5757575757575758,0.5781162637027498,0.568019747668678,0.5724794461272177,0.5917728943458199,,0.44966866519406756,0.43316719528772085,0.42424242424242425,0.4218837362972501,0.431980252331322,0.42752055387278237,0.40822710565418
