,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway
Bookmaker,impliedProb1xBet,impliedProbMarathonbet,impliedProbPinnacle,impliedProbUnibet,impliedProbWilliam Hill,impliedProbbet-at-home,impliedProbbet365,impliedProbbwin,impliedProb1xBet,impliedProbMarathonbet,impliedProbPinnacle,impliedProbUnibet,impliedProbWilliam Hill,impliedProbbet-at-home,impliedProbbet365,impliedProbbwin
game_id,,,,,,,,,,,,,,,,
201510270ATL,74.09326424870466,73.54497354497354,75.18610421836229,76.35933806146572,75.18610421836229,76.905311778291,76.35933806146572,75.72815533980582,27.77777777777778,28.57142857142857,27.472527472527474,28.24858757062147,28.57142857142857,29.32551319648094,27.77777777777778,28.57142857142857
201510270CHI,55.15695067264574,61.68582375478927,62.825278810408925,62.825278810408925,63.63636363636363,65.39792387543253,63.63636363636363,65.39792387543253,46.2962962962963,40.16064257028113,39.682539682539684,42.016806722689076,39.37007874015748,40.816326530612244,39.37007874015748,39.37007874015748
201510270GSW,81.98198198198197,87.71498771498771,87.71498771498771,87.71498771498771,87.71498771498771,88.49252013808976,89.28188638799571,86.20689655172413,19.646365422396855,14.492753623188406,14.947683109118087,16.420361247947454,16.666666666666664,17.793594306049823,15.384615384615385,18.181818181818183
201510280BOS,NaN,89.28188638799571,90.9090909090909,92.5925925925926,92.5925925925926,92.5925925925926,93.4597776324395,91.74236168455822,NaN,12.82051282051282,11.534025374855824,11.11111111111111,11.76470588235294,13.157894736842104,11.11111111111111,12.903225806451612
201510280BRK,NaN,35.842293906810035,35.587188612099645,37.03703703703704,36.36363636363637,36.496350364963504,35.842293906810035,34.48275862068966,NaN,66.21621621621621,66.66666666666666,67.53246753246754,67.53246753246754,69.41896024464832,68.94409937888199,69.96996996996997
201510280DET,NaN,50.98039215686274,50.0,51.21951219512195,52.38095238095239,52.60663507109005,51.21951219512195,52.38095238095239,NaN,50.98039215686274,52.38095238095239,53.48837209302325,52.38095238095239,53.48837209302325,53.70370370370371,52.38095238095239
201510280HOU,NaN,86.20689655172413,86.96219035202087,86.96219035202087,87.71498771498771,88.49252013808976,88.49252013808976,87.71498771498771,NaN,15.873015873015872,15.337423312883436,17.24137931034483,16.666666666666664,17.421602787456447,16.0,16.666666666666664
201510280LAL,NaN,56.14035087719298,58.15899581589959,60.317460317460316,59.83935742971887,60.317460317460316,59.51417004048582,61.68582375478927,NaN,45.87155963302752,44.44444444444444,44.44444444444444,43.66812227074236,45.87155963302752,44.44444444444444,42.5531914893617
201510280MEM,NaN,66.21621621621621,68.05111821086261,68.05111821086261,67.53246753246754,70.41420118343196,68.94409937888199,67.53246753246754,NaN,35.842293906810035,34.36426116838488,36.36363636363637,36.36363636363637,35.842293906810035,35.842293906810035,37.03703703703704
201510280MIA,NaN,71.91011235955057,70.93023255813954,74.61928934010153,72.97297297297297,74.61928934010153,73.54497354497354,73.54497354497354,NaN,30.211480362537763,31.347962382445143,29.850746268656714,30.3951367781155,31.446540880503143,30.76923076923077,31.25
201510280MIL,NaN,65.39792387543253,66.66666666666666,68.05111821086261,66.66666666666666,68.45425867507886,68.94409937888199,67.53246753246754,NaN,36.90036900369004,35.842293906810035,37.03703703703704,37.03703703703704,37.453183520599254,35.842293906810035,37.03703703703704
201510280OKC,NaN,63.63636363636363,64.53900709219859,63.63636363636363,65.39792387543253,65.75342465753424,65.75342465753424,66.66666666666666,NaN,38.31417624521073,38.02281368821293,40.816326530612244,37.735849056603776,40.16064257028113,37.453183520599254,37.735849056603776
201510280ORL,NaN,36.90036900369004,38.02281368821293,40.0,37.735849056603776,40.0,37.735849056603776,39.37007874015748,NaN,65.39792387543253,64.53900709219859,64.53900709219859,65.39792387543253,66.21621621621621,64.91228070175438,65.39792387543253
201510280PHO,NaN,68.94409937888199,69.96996996996997,72.45179063360881,71.42857142857143,71.91011235955057,71.42857142857143,72.45179063360881,NaN,33.11258278145696,32.89473684210527,32.25806451612903,32.25806451612903,34.01360544217687,32.25806451612903,32.25806451612903
201510280POR,NaN,56.896551724137936,57.446808510638306,58.50622406639005,57.446808510638306,58.50622406639005,57.446808510638306,59.83935742971887,NaN,45.248868778280546,45.04504504504504,46.2962962962963,46.728971962616825,47.61904761904761,46.728971962616825,44.44444444444444
201510280SAC,NaN,32.89473684210527,33.33333333333333,35.08771929824561,33.33333333333333,34.96503496503497,33.33333333333333,32.25806451612903,NaN,69.41896024464832,69.41896024464832,69.96996996996997,70.41420118343196,70.93023255813954,70.93023255813954,72.45179063360881
201510280TOR,NaN,66.66666666666666,68.05111821086261,68.94409937888199,69.96996996996997,69.41896024464832,69.96996996996997,68.05111821086261,NaN,35.587188612099645,34.36426116838488,35.842293906810035,34.48275862068966,36.36363636363637,34.48275862068966,36.36363636363637
201510290IND,NaN,41.49377593360996,43.66812227074236,44.052863436123346,43.66812227074236,44.843049327354265,43.66812227074236,44.44444444444444,NaN,60.629921259842526,58.8477366255144,60.629921259842526,59.83935742971887,61.38996138996139,60.317460317460316,59.83935742971887
201510290LAC,NaN,86.96219035202087,89.28188638799571,90.08919722497522,90.9090909090909,91.74236168455822,90.9090909090909,90.9090909090909,NaN,15.151515151515152,12.97016861219196,14.285714285714285,13.333333333333334,14.409221902017292,13.333333333333334,13.333333333333334
201510290NYK,NaN,36.36363636363637,37.03703703703704,37.03703703703704,37.735849056603776,38.46153846153847,37.735849056603776,38.46153846153847,NaN,65.75342465753424,65.39792387543253,67.53246753246754,65.39792387543253,67.53246753246754,64.91228070175438,66.21621621621621
201510300ATL,NaN,62.825278810408925,64.15770609318996,65.75342465753424,63.63636363636363,65.75342465753424,63.63636363636363,66.66666666666666,NaN,39.37007874015748,38.61003861003861,39.37007874015748,39.37007874015748,40.32258064516129,39.37007874015748,37.735849056603776
201510300BOS,NaN,54.54545454545454,55.55555555555556,56.896551724137936,56.52173913043478,56.896551724137936,56.896551724137936,55.55555555555556,NaN,47.61904761904761,47.16981132075472,48.07692307692308,47.61904761904761,49.504950495049506,47.61904761904761,49.01960784313725
201510300CLE,NaN,68.45425867507886,66.66666666666666,70.41420118343196,70.41420118343196,68.94409937888199,66.66666666666666,71.42857142857143,NaN,33.557046979865774,35.842293906810035,34.48275862068966,33.33333333333333,37.174721189591075,37.03703703703704,33.33333333333333
201510300DEN,NaN,61.68582375478927,60.317460317460316,62.121212121212125,62.121212121212125,64.15770609318996,62.546816479400746,63.63636363636363,NaN,40.32258064516129,42.19409282700422,42.5531914893617,40.816326530612244,42.016806722689076,40.816326530612244,40.816326530612244
201510300DET,NaN,41.49377593360996,43.290043290043286,44.052863436123346,43.66812227074236,45.45454545454545,44.44444444444444,44.44444444444444,NaN,60.629921259842526,59.51417004048582,60.9375,59.83935742971887,60.629921259842526,59.51417004048582,59.83935742971887
201510300HOU,NaN,46.08294930875576,50.0,51.21951219512195,51.21951219512195,51.92307692307693,51.21951219512195,47.61904761904761,NaN,55.947136563876654,52.38095238095239,53.48837209302325,53.48837209302325,54.12844036697248,53.70370370370371,54.54545454545454
201510300MIL,NaN,45.248868778280546,46.728971962616825,47.61904761904761,47.61904761904761,49.01960784313725,47.61904761904761,47.61904761904761,NaN,56.896551724137936,55.947136563876654,57.446808510638306,56.52173913043478,57.08154506437768,56.896551724137936,56.52173913043478
201510300ORL,NaN,23.25581395348837,24.691358024691358,27.027027027027028,26.31578947368421,27.100271002710024,26.31578947368421,25.0,NaN,78.72340425531915,77.52808988764045,77.52808988764045,78.11816192560175,78.72340425531915,78.72340425531915,79.38144329896907
201510300PHI,NaN,26.31578947368421,26.246719160104988,26.666666666666668,26.666666666666668,27.77777777777778,27.397260273972602,27.027027027027028,NaN,75.72815533980582,76.35933806146572,78.11816192560175,77.52808988764045,78.11816192560175,76.905311778291,77.52808988764045
201510300PHO,NaN,64.15770609318996,64.53900709219859,65.75342465753424,65.39792387543253,67.10526315789474,64.91228070175438,65.75342465753424,NaN,38.02281368821293,38.02281368821293,39.37007874015748,37.735849056603776,38.759689922480625,37.735849056603776,38.46153846153847
201510300SAC,NaN,74.09326424870466,74.61928934010153,75.72815533980582,76.35933806146572,76.905311778291,75.72815533980582,76.905311778291,NaN,27.932960893854748,28.08988764044944,28.985507246376812,27.77777777777778,29.239766081871345,28.57142857142857,27.77777777777778
201510300SAS,NaN,94.34069043576685,94.34069043576685,94.34069043576685,95.23809523809523,95.23809523809523,95.23809523809523,95.23809523809523,NaN,7.142857142857142,8.319467554076539,8.695652173913043,9.090909090909092,10.834236186348862,8.333333333333332,9.090909090909092
201510310IND,60.629921259842526,62.121212121212125,60.317460317460316,62.121212121212125,61.68582375478927,63.23529411764706,61.68582375478927,62.546816479400746,41.66666666666667,40.0,42.19409282700422,42.5531914893617,41.66666666666667,42.73504273504273,41.66666666666667,41.66666666666667
201510310LAC,84.7560975609756,84.7560975609756,84.7560975609756,87.71498771498771,86.96219035202087,87.71498771498771,86.96219035202087,87.71498771498771,17.543859649122805,17.24137931034483,17.699115044247787,16.0,18.181818181818183,18.050541516245488,17.391304347826086,16.666666666666664
201510310MEM,90.08919722497522,90.9090909090909,90.9090909090909,92.5925925925926,92.5925925925926,91.74236168455822,91.74236168455822,94.34069043576685,12.21001221001221,11.235955056179774,11.737089201877934,11.11111111111111,11.76470588235294,13.92757660167131,12.5,10.526315789473683
201510310NOP,34.72222222222222,31.948881789137378,33.670033670033675,34.48275862068966,34.48275862068966,34.602076124567475,34.48275862068966,33.33333333333333,68.45425867507886,69.96996996996997,68.94409937888199,70.41420118343196,69.96996996996997,71.42857142857143,69.96996996996997,71.42857142857143
201510310POR,55.947136563876654,55.55555555555556,54.54545454545454,56.14035087719298,56.52173913043478,58.15899581589959,56.896551724137936,57.80590717299579,46.728971962616825,46.728971962616825,48.07692307692308,48.54368932038835,47.61904761904761,47.61904761904761,47.61904761904761,46.728971962616825
