,1,0,Prob
1xBet,649,322,0.6683831101956745
Coolbet,648,323,0.6673532440782698
GGBET,638,316,0.6687631027253669
Marathonbet,646,325,0.6652935118434603
Pinnacle,650,321,0.6694129763130793
Unibet,651,320,0.670442842430484
William Hill,645,326,0.6642636457260556
bet-at-home,653,317,0.6731958762886598
bet365,646,325,0.6652935118434603
bwin,646,325,0.6652935118434603
