game_id,Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet265 (%),bet365 (%),bwin (%),year,1xBet (%),Coolbet (%),GGBET (%),10x10bet (%),Curebet (%),Lasbet (%),BetFinal (%),Ditobet (%),N1 Bet (%),Parimatch (%)
201410280LAL,0.2842873607376104,0.2771554942845655,0.2894377268119242,0.2753672702425691,0.2903981264637002,252.12294624156425,0.2857350061643338,0.2811889478090985,2015.0,252.12294624156425,252.12294624156425,252.12294624156425,252.12294624156425,252.12294624156425,252.12294624156425,252.12294624156425,252.12294624156425,252.12294624156425,252.12294624156425
201410280NOP,0.8112218143681174,0.8029364248051556,0.7999999999999999,0.7983193277310925,0.7937451401610501,252.57670279509463,0.7983193277310925,0.8090803259604191,2015.0,252.57670279509463,252.57670279509463,252.57670279509463,252.57670279509463,252.57670279509463,252.57670279509463,252.57670279509463,252.57670279509463,252.57670279509463,252.57670279509463
201410280SAS,0.5946894746920278,0.5959085743149387,0.5992372098566788,0.5968489341983317,0.596726366979006,252.39755489859485,0.5968489341983317,0.6001796945193171,2015.0,252.39755489859485,252.39755489859485,252.39755489859485,252.39755489859485,252.39755489859485,252.39755489859485,252.39755489859485,252.39755489859485,252.39755489859485,252.39755489859485
201410290BOS,0.5151877211525205,0.5057672787671864,0.4978354041300489,0.5108342361863488,0.5031375502008032,252.31336034115316,0.5118381403357727,0.4622823984526112,2015.0,252.31336034115316,252.31336034115316,252.31336034115316,252.31336034115316,252.31336034115316,252.31336034115316,252.31336034115316,252.31336034115316,252.31336034115316,252.31336034115316
201410290CHO,0.7719553614750122,0.7703059329488808,0.7619047619047619,0.7619047619047619,0.7480388591615149,252.54324311042345,0.7659176029962547,0.7659176029962547,2015.0,252.54324311042345,252.54324311042345,252.54324311042345,252.54324311042345,252.54324311042345,252.54324311042345,252.54324311042345,252.54324311042345,252.54324311042345,252.54324311042345
201410290DEN,0.7028975831219122,0.7016226364489742,0.7065754465982516,0.6986551552382534,0.6892845146120256,252.4849993216519,0.7001620745542949,0.6807971626414457,2015.0,252.4849993216519,252.4849993216519,252.4849993216519,252.4849993216519,252.4849993216519,252.4849993216519,252.4849993216519,252.4849993216519,252.4849993216519,252.4849993216519
201410290IND,0.7546742209631728,0.746182232756293,0.7429551718319365,0.7440690150970525,0.7262698738818472,252.52545875177657,0.7415045018878884,0.748014997794442,2015.0,252.52545875177657,252.52545875177657,252.52545875177657,252.52545875177657,252.52545875177657,252.52545875177657,252.52545875177657,252.52545875177657,252.52545875177657,252.52545875177657
201410290MEM,0.7355816547470638,0.746182232756293,0.7519134336236475,0.7440690150970525,0.7195480945182592,252.52168097333205,0.7415045018878884,0.7346488540262287,2015.0,252.52168097333205,252.52168097333205,252.52168097333205,252.52168097333205,252.52168097333205,252.52168097333205,252.52168097333205,252.52168097333205,252.52168097333205,252.52168097333205
201410290MIA,0.6667447456399992,0.6455089820359281,0.6458141674333027,0.6499999999999999,0.6287128712871287,252.44179168244497,0.6517385257301808,0.6458141674333027,2015.0,252.44179168244497,252.44179168244497,252.44179168244497,252.44179168244497,252.44179168244497,252.44179168244497,252.44179168244497,252.44179168244497,252.44179168244497,252.44179168244497
201410290NYK,0.3511935835983105,0.3607134387598447,0.374512620562282,0.3747984954325632,0.3801291397625495,252.19480353980964,0.3628952077947902,0.3541858325666973,2015.0,252.19480353980964,252.19480353980964,252.19480353980964,252.19480353980964,252.19480353980964,252.19480353980964,252.19480353980964,252.19480353980964,252.19480353980964,252.19480353980964
201410290PHO,0.8705573926773319,0.8827867252771763,0.8800871373403307,0.872093023255814,0.858974358974359,252.6405841140257,0.8800871373403307,0.8800871373403307,2015.0,252.6405841140257,252.6405841140257,252.6405841140257,252.6405841140257,252.6405841140257,252.6405841140257,252.6405841140257,252.6405841140257,252.6405841140257,252.6405841140257
201410290POR,0.7960350743423561,0.8051420838971584,0.7867435158501441,0.7769964841788046,0.7715673361870267,252.5632421895956,0.7867435158501441,0.7827095064590924,2015.0,252.5632421895956,252.5632421895956,252.5632421895956,252.5632421895956,252.5632421895956,252.5632421895956,252.5632421895956,252.5632421895956,252.5632421895956,252.5632421895956
201410290SAC,0.3332552543600008,0.3607134387598447,0.3599336964243429,0.3571428571428572,0.3679318357862122,252.18700726535434,0.3628952077947902,0.3541858325666973,2015.0,252.18700726535434,252.18700726535434,252.18700726535434,252.18700726535434,252.18700726535434,252.18700726535434,252.18700726535434,252.18700726535434,252.18700726535434,252.18700726535434
201410290TOR,0.6367112810707457,0.6332518337408313,0.6154685284171485,0.6252015045674368,0.6198708602374505,252.42517935969923,0.6323766526926798,0.6385542168674698,2015.0,252.42517935969923,252.42517935969923,252.42517935969923,252.42517935969923,252.42517935969923,252.42517935969923,252.42517935969923,252.42517935969923,252.42517935969923,252.42517935969923
201410290UTA,0.3945163747143945,0.4116032928263425,0.4343971631205673,0.4124046111381717,0.4250232434586266,252.23826447479723,0.4199440074656712,0.40822710565418,2015.0,252.23826447479723,252.23826447479723,252.23826447479723,252.23826447479723,252.23826447479723,252.23826447479723,252.23826447479723,252.23826447479723,252.23826447479723,252.23826447479723
201410300CLE,0.8988860769217282,0.9046778464254192,0.903344079903913,0.8937456567060458,0.8741258741258742,252.65851842812546,0.8937456567060458,0.8996222342147868,2015.0,252.65851842812546,252.65851842812546,252.65851842812546,252.65851842812546,252.65851842812546,252.65851842812546,252.65851842812546,252.65851842812546,252.65851842812546,252.65851842812546
