index;TeamsRaw;Bookmaker;OddHome;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
0;Miami Heat - Dallas Mavericks;bet-at-home;-250;+185;Monday, 13 Jun 2011, 00:00;Final result 95:105 (27:32, 24:21, 21:28, 23:24);1;Miami Heat;Dallas Mavericks;13 Jun 2011; 95;105;2010-2011
1;Miami Heat - Dallas Mavericks;bet365;-244;+200;Monday, 13 Jun 2011, 00:00;Final result 95:105 (27:32, 24:21, 21:28, 23:24);1;Miami Heat;Dallas Mavericks;13 Jun 2011; 95;105;2010-2011
2;Miami Heat - Dallas Mavericks;Pinnacle;-233;+206;Monday, 13 Jun 2011, 00:00;Final result 95:105 (27:32, 24:21, 21:28, 23:24);1;Miami Heat;Dallas Mavericks;13 Jun 2011; 95;105;2010-2011
3;Miami Heat - Dallas Mavericks;Unibet;-233;+188;Monday, 13 Jun 2011, 00:00;Final result 95:105 (27:32, 24:21, 21:28, 23:24);1;Miami Heat;Dallas Mavericks;13 Jun 2011; 95;105;2010-2011
4;Miami Heat - Dallas Mavericks;William Hill;-233;+190;Monday, 13 Jun 2011, 00:00;Final result 95:105 (27:32, 24:21, 21:28, 23:24);1;Miami Heat;Dallas Mavericks;13 Jun 2011; 95;105;2010-2011
29;Dallas Mavericks - Miami Heat;bet-at-home;-118;-118;Friday, 10 Jun 2011, 01:00;Final result 112:103 (30:31, 30:26, 24:22, 28:24);1;Dallas Mavericks;Miami Heat;10 Jun 2011;112;103;2010-2011
30;Dallas Mavericks - Miami Heat;bet365;-111;-111;Friday, 10 Jun 2011, 01:00;Final result 112:103 (30:31, 30:26, 24:22, 28:24);1;Dallas Mavericks;Miami Heat;10 Jun 2011;112;103;2010-2011
31;Dallas Mavericks - Miami Heat;bwin;-110;-110;Friday, 10 Jun 2011, 01:00;Final result 112:103 (30:31, 30:26, 24:22, 28:24);1;Dallas Mavericks;Miami Heat;10 Jun 2011;112;103;2010-2011
32;Dallas Mavericks - Miami Heat;Pinnacle;-109;-101;Friday, 10 Jun 2011, 01:00;Final result 112:103 (30:31, 30:26, 24:22, 28:24);1;Dallas Mavericks;Miami Heat;10 Jun 2011;112;103;2010-2011
33;Dallas Mavericks - Miami Heat;Unibet;-122;+100;Friday, 10 Jun 2011, 01:00;Final result 112:103 (30:31, 30:26, 24:22, 28:24);1;Dallas Mavericks;Miami Heat;10 Jun 2011;112;103;2010-2011
34;Dallas Mavericks - Miami Heat;William Hill;-110;-110;Friday, 10 Jun 2011, 01:00;Final result 112:103 (30:31, 30:26, 24:22, 28:24);1;Dallas Mavericks;Miami Heat;10 Jun 2011;112;103;2010-2011
58;Dallas Mavericks - Miami Heat;bet-at-home;-143;+110;Wednesday, 08 Jun 2011, 01:00;Final result 86:83 (21:21, 24:26, 20:22, 21:14);1;Dallas Mavericks;Miami Heat;08 Jun 2011; 86;83 ;2010-2011
59;Dallas Mavericks - Miami Heat;bet365;-147;+125;Wednesday, 08 Jun 2011, 01:00;Final result 86:83 (21:21, 24:26, 20:22, 21:14);1;Dallas Mavericks;Miami Heat;08 Jun 2011; 86;83 ;2010-2011
60;Dallas Mavericks - Miami Heat;bwin;-143;+120;Wednesday, 08 Jun 2011, 01:00;Final result 86:83 (21:21, 24:26, 20:22, 21:14);1;Dallas Mavericks;Miami Heat;08 Jun 2011; 86;83 ;2010-2011
61;Dallas Mavericks - Miami Heat;Pinnacle;-139;+125;Wednesday, 08 Jun 2011, 01:00;Final result 86:83 (21:21, 24:26, 20:22, 21:14);1;Dallas Mavericks;Miami Heat;08 Jun 2011; 86;83 ;2010-2011
62;Dallas Mavericks - Miami Heat;Unibet;-147;+122;Wednesday, 08 Jun 2011, 01:00;Final result 86:83 (21:21, 24:26, 20:22, 21:14);1;Dallas Mavericks;Miami Heat;08 Jun 2011; 86;83 ;2010-2011
63;Dallas Mavericks - Miami Heat;William Hill;-141;+120;Wednesday, 08 Jun 2011, 01:00;Final result 86:83 (21:21, 24:26, 20:22, 21:14);1;Dallas Mavericks;Miami Heat;08 Jun 2011; 86;83 ;2010-2011
87;Dallas Mavericks - Miami Heat;bet-at-home;-143;+110;Monday, 06 Jun 2011, 00:00;Final result 86:88 (22:29, 20:18, 22:20, 22:21);1;Dallas Mavericks;Miami Heat;06 Jun 2011; 86;88 ;2010-2011
88;Dallas Mavericks - Miami Heat;bet365;-132;+110;Monday, 06 Jun 2011, 00:00;Final result 86:88 (22:29, 20:18, 22:20, 22:21);1;Dallas Mavericks;Miami Heat;06 Jun 2011; 86;88 ;2010-2011
89;Dallas Mavericks - Miami Heat;bwin;-133;+110;Monday, 06 Jun 2011, 00:00;Final result 86:88 (22:29, 20:18, 22:20, 22:21);1;Dallas Mavericks;Miami Heat;06 Jun 2011; 86;88 ;2010-2011
