,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj
Bookmaker,1xBet (%),Coolbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),1xBet (%),Coolbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),1xBet (%),Coolbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),1xBet (%),Coolbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201710170CLE,60.9375,67.53246753246754,66.21621621621621,65.39792387543253,67.10526315789474,66.66666666666666,67.10526315789474,64.91228070175438,66.66666666666666,40.65040650406504,37.45318352059925,35.842293906810035,37.17472118959108,37.03703703703704,37.03703703703704,38.61003861003861,37.735849056603776,37.735849056603776,0.5998499437288983,0.6432542624166049,0.6488064164016895,0.6375766544186805,0.644361254094525,0.6428571428571428,0.6347734153491279,0.6323766526926798,0.6385542168674698,0.4001500562711016,0.35674573758339506,0.3511935835983105,0.36242334558131956,0.35563874590547495,0.3571428571428572,0.3652265846508722,0.36762334730732027,0.3614457831325302
201710170GSW,78.72340425531915,82.63888888888889,78.72340425531915,81.98198198198197,81.98198198198197,83.33333333333334,84.02555910543131,83.33333333333334,81.98198198198197,23.14814814814815,22.22222222222222,23.25581395348837,20.66115702479339,21.78649237472767,22.22222222222222,22.172949002217297,21.052631578947366,22.22222222222222,0.7727712241345968,0.7880794701986754,0.7719553614750122,0.7987088350500509,0.7900470975429835,0.7894736842105263,0.791212236430463,0.7983193277310925,0.7867435158501441,0.2272287758654032,0.2119205298013245,0.22804463852498785,0.20129116494994925,0.2099529024570164,0.21052631578947364,0.20878776356953702,0.2016806722689075,0.21325648414985593
201710180BOS,59.18367346938776,55.55555555555556,55.55555555555556,54.12844036697248,54.54545454545454,55.55555555555556,56.52173913043478,55.55555555555556,59.83935742971887,42.91845493562232,49.50495049504951,46.728971962616825,48.54368932038835,49.50495049504951,49.01960784313725,49.50495049504951,49.01960784313725,44.44444444444444,0.5796517114180321,0.5287958115183246,0.5431472081218274,0.5271970157022642,0.5242214532871972,0.53125,0.5330897279740153,0.53125,0.5738125802310655,0.4203482885819679,0.47120418848167545,0.45685279187817257,0.47280298429773576,0.4757785467128029,0.46875,0.4669102720259846,0.46875,0.42618741976893454
201710180DAL,67.10526315789474,69.41896024464832,67.10526315789474,67.53246753246754,68.45425867507886,69.96996996996997,68.94409937888199,68.94409937888199,69.41896024464832,34.72222222222222,35.842293906810035,34.96503496503497,34.72222222222222,35.842293906810035,34.48275862068966,36.90036900369004,35.842293906810035,35.08771929824561,0.6590093323761665,0.6594920496079473,0.6574416298566664,0.660433938966308,0.6563424866927571,0.6698721126202042,0.6513717762716269,0.6579489685355542,0.6642538117973202,0.3409906676238334,0.3405079503920527,0.3425583701433337,0.33956606103369197,0.3436575133072428,0.33012788737979576,0.34862822372837315,0.3420510314644458,0.3357461882026798
201710180DET,57.44680851063831,60.31746031746032,59.18367346938776,58.8477366255144,59.83935742971887,59.18367346938776,61.38996138996139,60.31746031746032,61.68582375478927,44.44444444444444,44.843049327354265,42.91845493562232,43.66812227074236,44.44444444444444,44.44444444444444,44.642857142857146,43.66812227074236,42.5531914893617,0.5638051044083527,0.5735751996751048,0.5796517114180321,0.5740354444580784,0.5738125802310655,0.5711159737417943,0.5789713245334547,0.5800559925343288,0.5917728943458199,0.4361948955916472,0.42642480032489505,0.4203482885819679,0.4259645555419216,0.42618741976893454,0.42888402625820565,0.4210286754665453,0.41994400746567123,0.40822710565418
201710180IND,58.15899581589959,61.68582375478927,59.83935742971887,60.629921259842526,60.9375,59.83935742971887,60.9375,60.31746031746032,61.68582375478927,43.66812227074236,42.3728813559322,42.01680672268908,41.84100418410041,43.66812227074236,43.66812227074236,44.843049327354265,43.66812227074236,42.5531914893617,0.5711542947372199,0.5927983025461808,0.5874888174679433,0.5916792592354435,0.5825451699171613,0.5781162637027498,0.5760747168311585,0.5800559925343288,0.5917728943458199,0.4288457052627801,0.4072016974538193,0.41251118253205665,0.4083207407645564,0.4174548300828387,0.4218837362972501,0.42392528316884154,0.41994400746567123,0.40822710565418
201710180MEM,54.12844036697248,57.08154506437768,54.54545454545454,56.52173913043478,58.15899581589959,56.52173913043478,56.52173913043478,56.896551724137936,58.8477366255144,47.61904761904761,47.61904761904761,47.61904761904761,45.87155963302752,46.08294930875576,47.61904761904761,49.50495049504951,47.61904761904761,45.45454545454545,0.531987977672821,0.5451883661916845,0.5338983050847458,0.5520062329567589,0.5579231637164049,0.5427435387673956,0.5330897279740153,0.5443833464257659,0.5642037302725968,0.46801202232717903,0.4548116338083154,0.4661016949152542,0.4479937670432412,0.442076836283595,0.4572564612326043,0.4669102720259846,0.45561665357423403,0.43579626972740315
201710180ORL,40.65040650406504,45.04504504504504,40.32258064516129,40.65040650406504,40.81632653061224,40.0,42.3728813559322,40.81632653061224,40.81632653061224,60.9375,60.629921259842526,61.68582375478927,61.68582375478927,63.23529411764706,62.825278810408925,63.63636363636363,62.546816479400746,63.63636363636363,0.4001500562711016,0.42626032086997384,0.3952868480038771,0.3972239978084193,0.39226997404095754,0.38900939985538685,0.3997093023255814,0.39488279227981954,0.39076376554174064,0.5998499437288983,0.5737396791300262,0.6047131519961229,0.6027760021915807,0.6077300259590424,0.6109906001446133,0.6002906976744186,0.6051172077201805,0.6092362344582594
201710180PHO,49.01960784313725,51.21951219512195,49.01960784313725,45.45454545454545,48.07692307692308,47.61904761904761,48.54368932038835,45.45454545454545,47.61904761904761,52.60663507109005,54.337899543379,53.271028037383175,56.896551724137936,56.14035087719298,57.08154506437768,57.80590717299579,58.50622406639005,57.08154506437768,0.4823518653986832,0.48522895125553916,0.4792189179505553,0.444104134762634,0.4613143412107479,0.4548116338083154,0.4564539116366858,0.4372278664731495,0.4548116338083154,0.5176481346013168,0.5147710487444609,0.5207810820494446,0.555895865237366,0.5386856587892522,0.5451883661916845,0.5435460883633142,0.5627721335268505,0.5451883661916845
201710180SAC,31.84713375796178,29.850746268656717,33.557046979865774,27.77777777777778,28.98550724637681,28.57142857142857,29.15451895043732,29.411764705882355,29.411764705882355,70.41420118343196,75.18610421836229,68.45425867507886,74.61928934010153,75.18610421836229,75.18610421836229,76.905311778291,75.18610421836229,75.18610421836229,0.3114288873327682,0.284193082049293,0.32895419546313015,0.27127513081795646,0.2782476611316325,0.27536727024256913,0.27488747389203844,0.28118894780909853,0.28118894780909853,0.6885711126672318,0.715806917950707,0.6710458045368698,0.7287248691820435,0.7217523388683674,0.7246327297574309,0.7251125261079615,0.7188110521909016,0.7188110521909016
201710180SAS,52.15311004784689,54.12844036697248,52.60663507109005,53.271028037383175,54.12844036697248,54.54545454545454,54.95495495495496,54.54545454545454,55.55555555555556,50.0,50.98039215686274,49.50495049504951,49.50495049504951,50.0,50.0,50.98039215686274,50.0,49.01960784313725,0.5105386416861826,0.5149751839808318,0.5151877211525205,0.5183217790582515,0.5198237885462554,0.5217391304347826,0.518759379689845,0.5217391304347826,0.53125,0.4894613583138173,0.4850248160191682,0.4848122788474795,0.4816782209417485,0.48017621145374445,0.47826086956521746,0.4812406203101551,0.47826086956521746,0.46875
201710180UTA,53.48837209302325,58.8477366255144,54.95495495495496,57.80590717299579,57.44680851063831,58.50622406639005,60.31746031746032,59.51417004048582,60.629921259842526,48.54368932038835,46.08294930875576,47.16981132075472,44.642857142857146,46.728971962616825,45.45454545454545,45.662100456621005,44.44444444444444,44.44444444444444,0.5242310245629563,0.560824854060111,0.5381158455392809,0.5642421122306391,0.551441114716549,0.5627721335268505,0.5691423881821912,0.5724794461272177,0.5770191507077436,0.4757689754370436,0.43917514593988904,0.46188415446071907,0.43575788776936086,0.44855888528345095,0.4372278664731495,0.43085761181780874,0.42752055387278237,0.4229808492922564
201710180WAS,71.91011235955057,74.09326424870466,71.91011235955057,72.45179063360881,75.18610421836229,73.54497354497354,74.09326424870466,73.54497354497354,75.18610421836229,30.3951367781155,30.76923076923077,30.211480362537763,29.850746268656717,28.98550724637681,30.76923076923077,31.746031746031743,30.76923076923077,29.411764705882355,0.7028975831219122,0.7065754465982516,0.7041616806275761,0.708211084763474,0.7217523388683674,0.705033164260632,0.7000543942808298,0.705033164260632,0.7188110521909016,0.29710241687808786,0.2934245534017484,0.29583831937242383,0.2917889152365259,0.2782476611316325,0.29496683573936794,0.2999456057191701,0.29496683573936794,0.28118894780909853
