,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj
Bookmaker,10x10bet (%),1xBet (%),Coolbet (%),Curebet (%),GGBET (%),Lasbet (%),Marathonbet (%),N1 Bet (%),Pinnacle (%),Unibet (%),VOBET (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),10x10bet (%),1xBet (%),Coolbet (%),Curebet (%),GGBET (%),Lasbet (%),Marathonbet (%),N1 Bet (%),Pinnacle (%),Unibet (%),VOBET (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),10x10bet (%),1xBet (%),Coolbet (%),Curebet (%),GGBET (%),Lasbet (%),Marathonbet (%),N1 Bet (%),Pinnacle (%),Unibet (%),VOBET (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),10x10bet (%),1xBet (%),Coolbet (%),Curebet (%),GGBET (%),Lasbet (%),Marathonbet (%),N1 Bet (%),Pinnacle (%),Unibet (%),VOBET (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202210180BOS,60.317460317460316,59.51417004048582,59.51417004048582,59.83935742971887,58.8477366255144,59.183673469387756,59.83935742971887,59.51417004048582,58.8477366255144,59.51417004048582,60.317460317460316,59.83935742971887,60.629921259842526,60.9375,60.629921259842526,45.04504504504504,41.84100418410041,44.44444444444444,44.44444444444444,46.728971962616825,44.052863436123346,43.66812227074236,44.44444444444444,43.66812227074236,44.843049327354265,45.04504504504504,43.66812227074236,45.45454545454545,42.5531914893617,44.44444444444444,0.5724755700325733,0.5871843297177143,0.5724794461272177,0.5738125802310655,0.5573931732905905,0.5732822433162066,0.5781162637027498,0.5724794461272177,0.5740354444580784,0.5702927924009672,0.5724755700325733,0.5781162637027498,0.5715249662618084,0.5888210729200128,0.5770191507077436,0.4275244299674267,0.4128156702822857,0.42752055387278237,0.42618741976893454,0.44260682670940954,0.4267177566837934,0.4218837362972501,0.42752055387278237,0.4259645555419216,0.4297072075990328,0.4275244299674267,0.4218837362972501,0.42847503373819157,0.41117892707998716,0.4229808492922564
202210180GSW,75.72815533980582,73.54497354497354,76.35933806146572,75.18610421836229,74.09326424870466,74.61928934010153,74.09326424870466,76.35933806146572,74.09326424870466,73.54497354497354,75.72815533980582,76.35933806146572,76.905311778291,75.72815533980582,76.35933806146572,29.411764705882355,27.77777777777778,28.24858757062147,28.985507246376812,30.3951367781155,28.40909090909091,26.041666666666668,27.85515320334262,29.069767441860467,30.76923076923077,29.411764705882355,28.57142857142857,28.985507246376812,28.57142857142857,28.57142857142857,0.7202607278652906,0.7258485639686685,0.7299574826674838,0.7217523388683674,0.7091051592385489,0.7242595599350541,0.7399342424405756,0.7327132449117574,0.7182152660164691,0.705033164260632,0.7202607278652906,0.727711618925008,0.7262698738818472,0.726063829787234,0.727711618925008,0.27973927213470945,0.27415143603133163,0.2700425173325162,0.2782476611316325,0.29089484076145117,0.27574044006494597,0.26006575755942435,0.26728675508824257,0.281784733983531,0.29496683573936794,0.27973927213470945,0.2722883810749919,0.2737301261181528,0.27393617021276595,0.2722883810749919
202210190DET,60.629921259842526,58.8477366255144,60.629921259842526,59.83935742971887,60.629921259842526,59.183673469387756,59.183673469387756,62.121212121212125,61.38996138996139,59.51417004048582,60.629921259842526,61.68582375478927,62.546816479400746,62.546816479400746,58.8477366255144,44.642857142857146,42.73504273504273,43.66812227074236,44.44444444444444,44.44444444444444,44.052863436123346,44.44444444444444,42.016806722689076,43.66812227074236,44.44444444444444,44.642857142857146,41.66666666666667,43.66812227074236,40.816326530612244,45.45454545454545,0.5759316147989849,0.5793081956995949,0.5813140803745096,0.5738125802310655,0.5770191507077436,0.5732822433162066,0.5711159737417943,0.5965276928719893,0.5843430533934618,0.5724794461272177,0.5759316147989849,0.5968489341983317,0.5888702400566651,0.6051172077201804,0.5642037302725968,0.4240683852010151,0.4206918043004051,0.41868591962549034,0.42618741976893454,0.4229808492922564,0.4267177566837934,0.42888402625820565,0.4034723071280108,0.4156569466065382,0.42752055387278237,0.4240683852010151,0.40315106580166826,0.41112975994333495,0.3948827922798196,0.43579626972740315
202210190IND,45.87155963302752,46.2962962962963,45.45454545454545,45.04504504504504,46.728971962616825,44.642857142857146,44.843049327354265,45.04504504504504,44.052863436123346,48.54368932038835,45.87155963302752,45.45454545454545,45.87155963302752,45.45454545454545,46.728971962616825,59.51417004048582,54.95495495495496,58.50622406639005,59.183673469387756,58.8477366255144,58.50622406639005,58.8477366255144,59.183673469387756,59.183673469387756,55.947136563876654,59.51417004048582,58.50622406639005,59.83935742971887,58.50622406639005,58.15899581589959,0.4352729707820816,0.4572417202174987,0.4372278664731495,0.4321749867701535,0.44260682670940954,0.43279936786150425,0.4324689885920732,0.4321749867701535,0.4267177566837934,0.46457369735172527,0.4352729707820816,0.4372278664731495,0.4339339862674706,0.4372278664731495,0.44551317898818177,0.5647270292179184,0.5427582797825012,0.5627721335268505,0.5678250132298466,0.5573931732905905,0.5672006321384958,0.5675310114079268,0.5678250132298466,0.5732822433162066,0.5354263026482747,0.5647270292179184,0.5627721335268505,0.5660660137325293,0.5627721335268505,0.5544868210118182
202210190ATL,84.7560975609756,81.98198198198197,84.7560975609756,84.7560975609756,84.7560975609756,84.02555910543131,84.7560975609756,84.02555910543131,83.33333333333334,82.63888888888889,84.7560975609756,84.7560975609756,84.7560975609756,83.33333333333334,83.33333333333334,20.408163265306122,19.646365422396855,19.230769230769234,19.41747572815534,20.408163265306122,19.047619047619047,18.867924528301888,20.2020202020202,19.880715705765407,21.27659574468085,20.408163265306122,20.0,21.27659574468085,21.052631578947366,21.052631578947366,0.8059401254289433,0.8066841986102161,0.815065403698692,0.8136045916917657,0.8059401254289433,0.8152029520295203,0.8179193960253136,0.80617394804471,0.8073836276083467,0.7952509597611261,0.8059401254289433,0.8090803259604191,0.7993392878991803,0.7983193277310925,0.7983193277310925,0.1940598745710567,0.19331580138978388,0.18493459630130812,0.18639540830823437,0.1940598745710567,0.1847970479704797,0.18208060397468637,0.19382605195528993,0.19261637239165327,0.2047490402388739,0.1940598745710567,0.1909196740395809,0.2006607121008198,0.2016806722689075,0.2016806722689075
202210190BRK,59.51417004048582,57.08154506437768,61.38996138996139,58.8477366255144,58.8477366255144,58.50622406639005,60.629921259842526,59.51417004048582,59.51417004048582,58.50622406639005,59.51417004048582,59.83935742971887,60.317460317460316,60.317460317460316,59.83935742971887,45.87155963302752,44.44444444444444,43.66812227074236,45.45454545454545,46.728971962616825,44.642857142857146,43.290043290043286,44.642857142857146,43.290043290043286,45.87155963302752,45.87155963302752,43.66812227074236,45.662100456621005,43.66812227074236,44.44444444444444,0.5647270292179184,0.5622357914513856,0.5843430533934618,0.5642037302725968,0.5573931732905905,0.5672006321384958,0.5834290025256668,0.5713889081696397,0.5789078882315836,0.5605237244246691,0.5647270292179184,0.5781162637027498,0.5691423881821912,0.5800559925343287,0.5738125802310655,0.4352729707820816,0.43776420854861436,0.4156569466065382,0.43579626972740315,0.44260682670940954,0.43279936786150425,0.4165709974743333,0.42861109183036034,0.4210921117684164,0.439476275575331,0.4352729707820816,0.4218837362972501,0.4308576118178088,0.41994400746567123,0.42618741976893454
202210190MEM,64.91228070175438,63.23529411764706,65.75342465753424,64.15770609318996,64.53900709219859,63.63636363636363,63.63636363636363,65.75342465753424,64.91228070175438,63.23529411764706,64.91228070175438,66.66666666666666,66.66666666666666,66.66666666666666,65.39792387543253,40.32258064516129,38.02281368821293,38.46153846153847,40.0,40.816326530612244,39.37007874015748,40.0,38.46153846153847,38.02281368821293,40.816326530612244,40.32258064516129,37.03703703703704,39.37007874015748,37.03703703703704,39.37007874015748,0.6168324818499598,0.6244961069081671,0.6309403437815975,0.6159669649002064,0.612584146173925,0.6177901320361362,0.6140350877192983,0.6309403437815975,0.6306136996954184,0.6077300259590424,0.6168324818499598,0.6428571428571428,0.6287128712871287,0.6428571428571428,0.6242165760798897,0.38316751815004035,0.37550389309183274,0.3690596562184025,0.38403303509979353,0.38741585382607496,0.38220986796386386,0.3859649122807018,0.3690596562184025,0.3693863003045817,0.3922699740409576,0.38316751815004035,0.3571428571428572,0.37128712871287134,0.3571428571428572,0.37578342392011027
202210190MIA,76.35933806146572,72.97297297297297,76.35933806146572,75.72815533980582,76.905311778291,75.18610421836229,72.45179063360881,75.72815533980582,74.61928934010153,75.72815533980582,76.35933806146572,76.35933806146572,76.35933806146572,75.18610421836229,75.18610421836229,28.985507246376812,28.40909090909091,27.77777777777778,28.40909090909091,28.57142857142857,27.77777777777778,27.77777777777778,28.40909090909091,28.40909090909091,29.411764705882355,28.985507246376812,28.57142857142857,29.411764705882355,29.411764705882355,29.411764705882355,0.7248512049956093,0.7197818842774917,0.7332576617480135,0.7271956775082107,0.7291210509852988,0.7302182353728746,0.7228584516720109,0.7271956775082107,0.7242595599350541,0.7202607278652906,0.7248512049956093,0.727711618925008,0.7219300552195634,0.7188110521909016,0.7188110521909016,0.27514879500439066,0.2802181157225084,0.26674233825198634,0.27280432249178943,0.2708789490147013,0.26978176462712544,0.277141548327989,0.27280432249178943,0.27574044006494597,0.27973927213470945,0.27514879500439066,0.2722883810749919,0.2780699447804365,0.28118894780909853,0.28118894780909853
