index;TeamsRaw;Bookmaker;OddHome;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
0;Golden State Warriors - Cleveland Cavaliers;1xBet;-370;+342;Tuesday, 13 Jun 2017, 01:00;Final result 129:120 (33:37, 38:23, 27:33, 31:27);1;Golden State Warriors;Cleveland Cavaliers;13 Jun 2017;129;120;2016-2017
1;Golden State Warriors - Cleveland Cavaliers;bet-at-home;-435;+304;Tuesday, 13 Jun 2017, 01:00;Final result 129:120 (33:37, 38:23, 27:33, 31:27);1;Golden State Warriors;Cleveland Cavaliers;13 Jun 2017;129;120;2016-2017
2;Golden State Warriors - Cleveland Cavaliers;bet365;-400;+320;Tuesday, 13 Jun 2017, 01:00;Final result 129:120 (33:37, 38:23, 27:33, 31:27);1;Golden State Warriors;Cleveland Cavaliers;13 Jun 2017;129;120;2016-2017
3;Golden State Warriors - Cleveland Cavaliers;bwin;-385;+300;Tuesday, 13 Jun 2017, 01:00;Final result 129:120 (33:37, 38:23, 27:33, 31:27);1;Golden State Warriors;Cleveland Cavaliers;13 Jun 2017;129;120;2016-2017
4;Golden State Warriors - Cleveland Cavaliers;Coolbet;-417;+330;Tuesday, 13 Jun 2017, 01:00;Final result 129:120 (33:37, 38:23, 27:33, 31:27);1;Golden State Warriors;Cleveland Cavaliers;13 Jun 2017;129;120;2016-2017
5;Golden State Warriors - Cleveland Cavaliers;Marathonbet;-370;+340;Tuesday, 13 Jun 2017, 01:00;Final result 129:120 (33:37, 38:23, 27:33, 31:27);1;Golden State Warriors;Cleveland Cavaliers;13 Jun 2017;129;120;2016-2017
6;Golden State Warriors - Cleveland Cavaliers;Pinnacle;-370;+322;Tuesday, 13 Jun 2017, 01:00;Final result 129:120 (33:37, 38:23, 27:33, 31:27);1;Golden State Warriors;Cleveland Cavaliers;13 Jun 2017;129;120;2016-2017
7;Golden State Warriors - Cleveland Cavaliers;Unibet;-400;+320;Tuesday, 13 Jun 2017, 01:00;Final result 129:120 (33:37, 38:23, 27:33, 31:27);1;Golden State Warriors;Cleveland Cavaliers;13 Jun 2017;129;120;2016-2017
8;Golden State Warriors - Cleveland Cavaliers;William Hill;-455;+325;Tuesday, 13 Jun 2017, 01:00;Final result 129:120 (33:37, 38:23, 27:33, 31:27);1;Golden State Warriors;Cleveland Cavaliers;13 Jun 2017;129;120;2016-2017
29;Cleveland Cavaliers - Golden State Warriors;1xBet;+166;-175;Saturday, 10 Jun 2017, 01:00;Final result 137:116 (49:33, 37:35, 29:28, 22:20);1;Cleveland Cavaliers;Golden State Warriors;10 Jun 2017;137;116;2016-2017
30;Cleveland Cavaliers - Golden State Warriors;bet-at-home;+163;-213;Saturday, 10 Jun 2017, 01:00;Final result 137:116 (49:33, 37:35, 29:28, 22:20);1;Cleveland Cavaliers;Golden State Warriors;10 Jun 2017;137;116;2016-2017
31;Cleveland Cavaliers - Golden State Warriors;bet365;+170;-200;Saturday, 10 Jun 2017, 01:00;Final result 137:116 (49:33, 37:35, 29:28, 22:20);1;Cleveland Cavaliers;Golden State Warriors;10 Jun 2017;137;116;2016-2017
32;Cleveland Cavaliers - Golden State Warriors;bwin;+165;-200;Saturday, 10 Jun 2017, 01:00;Final result 137:116 (49:33, 37:35, 29:28, 22:20);1;Cleveland Cavaliers;Golden State Warriors;10 Jun 2017;137;116;2016-2017
33;Cleveland Cavaliers - Golden State Warriors;Coolbet;+164;-192;Saturday, 10 Jun 2017, 01:00;Final result 137:116 (49:33, 37:35, 29:28, 22:20);1;Cleveland Cavaliers;Golden State Warriors;10 Jun 2017;137;116;2016-2017
34;Cleveland Cavaliers - Golden State Warriors;Marathonbet;+167;-179;Saturday, 10 Jun 2017, 01:00;Final result 137:116 (49:33, 37:35, 29:28, 22:20);1;Cleveland Cavaliers;Golden State Warriors;10 Jun 2017;137;116;2016-2017
35;Cleveland Cavaliers - Golden State Warriors;Pinnacle;+173;-192;Saturday, 10 Jun 2017, 01:00;Final result 137:116 (49:33, 37:35, 29:28, 22:20);1;Cleveland Cavaliers;Golden State Warriors;10 Jun 2017;137;116;2016-2017
36;Cleveland Cavaliers - Golden State Warriors;Unibet;+165;-196;Saturday, 10 Jun 2017, 01:00;Final result 137:116 (49:33, 37:35, 29:28, 22:20);1;Cleveland Cavaliers;Golden State Warriors;10 Jun 2017;137;116;2016-2017
37;Cleveland Cavaliers - Golden State Warriors;William Hill;+170;-200;Saturday, 10 Jun 2017, 01:00;Final result 137:116 (49:33, 37:35, 29:28, 22:20);1;Cleveland Cavaliers;Golden State Warriors;10 Jun 2017;137;116;2016-2017
58;Cleveland Cavaliers - Golden State Warriors;1xBet;+140;-147;Thursday, 08 Jun 2017, 01:00;Final result 113:118 (32:39, 29:28, 33:22, 19:29);1;Cleveland Cavaliers;Golden State Warriors;08 Jun 2017;113;118;2016-2017
59;Cleveland Cavaliers - Golden State Warriors;bet-at-home;+135;-172;Thursday, 08 Jun 2017, 01:00;Final result 113:118 (32:39, 29:28, 33:22, 19:29);1;Cleveland Cavaliers;Golden State Warriors;08 Jun 2017;113;118;2016-2017
60;Cleveland Cavaliers - Golden State Warriors;bet365;+140;-161;Thursday, 08 Jun 2017, 01:00;Final result 113:118 (32:39, 29:28, 33:22, 19:29);1;Cleveland Cavaliers;Golden State Warriors;08 Jun 2017;113;118;2016-2017
61;Cleveland Cavaliers - Golden State Warriors;bwin;+135;-161;Thursday, 08 Jun 2017, 01:00;Final result 113:118 (32:39, 29:28, 33:22, 19:29);1;Cleveland Cavaliers;Golden State Warriors;08 Jun 2017;113;118;2016-2017
62;Cleveland Cavaliers - Golden State Warriors;Coolbet;+135;-159;Thursday, 08 Jun 2017, 01:00;Final result 113:118 (32:39, 29:28, 33:22, 19:29);1;Cleveland Cavaliers;Golden State Warriors;08 Jun 2017;113;118;2016-2017
63;Cleveland Cavaliers - Golden State Warriors;Marathonbet;+134;-143;Thursday, 08 Jun 2017, 01:00;Final result 113:118 (32:39, 29:28, 33:22, 19:29);1;Cleveland Cavaliers;Golden State Warriors;08 Jun 2017;113;118;2016-2017
64;Cleveland Cavaliers - Golden State Warriors;Pinnacle;+136;-149;Thursday, 08 Jun 2017, 01:00;Final result 113:118 (32:39, 29:28, 33:22, 19:29);1;Cleveland Cavaliers;Golden State Warriors;08 Jun 2017;113;118;2016-2017
65;Cleveland Cavaliers - Golden State Warriors;Unibet;+135;-161;Thursday, 08 Jun 2017, 01:00;Final result 113:118 (32:39, 29:28, 33:22, 19:29);1;Cleveland Cavaliers;Golden State Warriors;08 Jun 2017;113;118;2016-2017
66;Cleveland Cavaliers - Golden State Warriors;William Hill;+140;-161;Thursday, 08 Jun 2017, 01:00;Final result 113:118 (32:39, 29:28, 33:22, 19:29);1;Cleveland Cavaliers;Golden State Warriors;08 Jun 2017;113;118;2016-2017
87;Golden State Warriors - Cleveland Cavaliers;1xBet;-357;+334;Monday, 05 Jun 2017, 00:00;Final result 132:113 (40:34, 27:30, 35:24, 30:25);1;Golden State Warriors;Cleveland Cavaliers;05 Jun 2017;132;113;2016-2017
88;Golden State Warriors - Cleveland Cavaliers;bet-at-home;-476;+324;Monday, 05 Jun 2017, 00:00;Final result 132:113 (40:34, 27:30, 35:24, 30:25);1;Golden State Warriors;Cleveland Cavaliers;05 Jun 2017;132;113;2016-2017
89;Golden State Warriors - Cleveland Cavaliers;bet365;-455;+350;Monday, 05 Jun 2017, 00:00;Final result 132:113 (40:34, 27:30, 35:24, 30:25);1;Golden State Warriors;Cleveland Cavaliers;05 Jun 2017;132;113;2016-2017
