index;TeamsRaw;Bookmaker;OddHome;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
0;Milwaukee Bucks - Phoenix Suns;10x10bet;-196;+154;Wednesday, 21 Jul 2021, 01:00;Final result 105:98 (29:16, 13:31, 35:30, 28:21);1;Milwaukee Bucks;Phoenix Suns;21 Jul 2021;105;98 ;2020-2021
1;Milwaukee Bucks - Phoenix Suns;1xBet;-179;+168;Wednesday, 21 Jul 2021, 01:00;Final result 105:98 (29:16, 13:31, 35:30, 28:21);1;Milwaukee Bucks;Phoenix Suns;21 Jul 2021;105;98 ;2020-2021
2;Milwaukee Bucks - Phoenix Suns;bet-at-home;-196;+150;Wednesday, 21 Jul 2021, 01:00;Final result 105:98 (29:16, 13:31, 35:30, 28:21);1;Milwaukee Bucks;Phoenix Suns;21 Jul 2021;105;98 ;2020-2021
3;Milwaukee Bucks - Phoenix Suns;bet365;-185;+165;Wednesday, 21 Jul 2021, 01:00;Final result 105:98 (29:16, 13:31, 35:30, 28:21);1;Milwaukee Bucks;Phoenix Suns;21 Jul 2021;105;98 ;2020-2021
4;Milwaukee Bucks - Phoenix Suns;bwin;-189;+154;Wednesday, 21 Jul 2021, 01:00;Final result 105:98 (29:16, 13:31, 35:30, 28:21);1;Milwaukee Bucks;Phoenix Suns;21 Jul 2021;105;98 ;2020-2021
5;Milwaukee Bucks - Phoenix Suns;Coolbet;-179;+152;Wednesday, 21 Jul 2021, 01:00;Final result 105:98 (29:16, 13:31, 35:30, 28:21);1;Milwaukee Bucks;Phoenix Suns;21 Jul 2021;105;98 ;2020-2021
6;Milwaukee Bucks - Phoenix Suns;Curebet;-192;+160;Wednesday, 21 Jul 2021, 01:00;Final result 105:98 (29:16, 13:31, 35:30, 28:21);1;Milwaukee Bucks;Phoenix Suns;21 Jul 2021;105;98 ;2020-2021
7;Milwaukee Bucks - Phoenix Suns;GGBET;-159;+129;Wednesday, 21 Jul 2021, 01:00;Final result 105:98 (29:16, 13:31, 35:30, 28:21);1;Milwaukee Bucks;Phoenix Suns;21 Jul 2021;105;98 ;2020-2021
8;Milwaukee Bucks - Phoenix Suns;Lasbet;-189;+165;Wednesday, 21 Jul 2021, 01:00;Final result 105:98 (29:16, 13:31, 35:30, 28:21);1;Milwaukee Bucks;Phoenix Suns;21 Jul 2021;105;98 ;2020-2021
9;Milwaukee Bucks - Phoenix Suns;Marathonbet;-172;+171;Wednesday, 21 Jul 2021, 01:00;Final result 105:98 (29:16, 13:31, 35:30, 28:21);1;Milwaukee Bucks;Phoenix Suns;21 Jul 2021;105;98 ;2020-2021
10;Milwaukee Bucks - Phoenix Suns;Parimatch;-200;+154;Wednesday, 21 Jul 2021, 01:00;Final result 105:98 (29:16, 13:31, 35:30, 28:21);1;Milwaukee Bucks;Phoenix Suns;21 Jul 2021;105;98 ;2020-2021
11;Milwaukee Bucks - Phoenix Suns;Pinnacle;-189;+167;Wednesday, 21 Jul 2021, 01:00;Final result 105:98 (29:16, 13:31, 35:30, 28:21);1;Milwaukee Bucks;Phoenix Suns;21 Jul 2021;105;98 ;2020-2021
12;Milwaukee Bucks - Phoenix Suns;Unibet;-200;+160;Wednesday, 21 Jul 2021, 01:00;Final result 105:98 (29:16, 13:31, 35:30, 28:21);1;Milwaukee Bucks;Phoenix Suns;21 Jul 2021;105;98 ;2020-2021
13;Milwaukee Bucks - Phoenix Suns;William Hill;-185;+165;Wednesday, 21 Jul 2021, 01:00;Final result 105:98 (29:16, 13:31, 35:30, 28:21);1;Milwaukee Bucks;Phoenix Suns;21 Jul 2021;105;98 ;2020-2021
29;Phoenix Suns - Milwaukee Bucks;10x10bet;-172;+137;Sunday, 18 Jul 2021, 01:00;Final result 119:123 (37:21, 24:43, 29:36, 29:23);1;Phoenix Suns;Milwaukee Bucks;18 Jul 2021;119;123;2020-2021
30;Phoenix Suns - Milwaukee Bucks;1xBet;-164;+154;Sunday, 18 Jul 2021, 01:00;Final result 119:123 (37:21, 24:43, 29:36, 29:23);1;Phoenix Suns;Milwaukee Bucks;18 Jul 2021;119;123;2020-2021
31;Phoenix Suns - Milwaukee Bucks;bet-at-home;-172;+134;Sunday, 18 Jul 2021, 01:00;Final result 119:123 (37:21, 24:43, 29:36, 29:23);1;Phoenix Suns;Milwaukee Bucks;18 Jul 2021;119;123;2020-2021
32;Phoenix Suns - Milwaukee Bucks;bet365;-172;+150;Sunday, 18 Jul 2021, 01:00;Final result 119:123 (37:21, 24:43, 29:36, 29:23);1;Phoenix Suns;Milwaukee Bucks;18 Jul 2021;119;123;2020-2021
33;Phoenix Suns - Milwaukee Bucks;bwin;-175;+145;Sunday, 18 Jul 2021, 01:00;Final result 119:123 (37:21, 24:43, 29:36, 29:23);1;Phoenix Suns;Milwaukee Bucks;18 Jul 2021;119;123;2020-2021
