,1,0,NaN,Prob
1xBet,704.0,319.0,207.0,0.6881720430107527
Marathonbet,842.0,364.0,24.0,0.6981757877280266
Pinnacle,860.0,370.0,,0.6991869918699187
Unibet,854.0,374.0,2.0,0.6954397394136808
William Hill,851.0,379.0,,0.691869918699187
bet-at-home,848.0,373.0,9.0,0.6945126945126945
bet365,855.0,372.0,3.0,0.6968215158924206
bwin,851.0,379.0,,0.691869918699187
