,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb
Bookmaker,1xBet (%),Coolbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),1xBet (%),Coolbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
game_id,,,,,,,,,,,,,,,,,,
201710170CLE,60.9375,67.53246753246754,66.21621621621621,65.39792387543253,67.10526315789474,66.66666666666666,67.10526315789474,64.91228070175438,66.66666666666666,40.65040650406504,37.453183520599254,35.842293906810035,37.174721189591075,37.03703703703704,37.03703703703704,38.61003861003861,37.735849056603776,37.735849056603776
201710170GSW,78.72340425531915,82.63888888888889,78.72340425531915,81.98198198198197,81.98198198198197,83.33333333333334,84.02555910543131,83.33333333333334,81.98198198198197,23.14814814814815,22.22222222222222,23.25581395348837,20.66115702479339,21.78649237472767,22.22222222222222,22.172949002217297,21.052631578947366,22.22222222222222
201710180BOS,59.183673469387756,55.55555555555556,55.55555555555556,54.12844036697248,54.54545454545454,55.55555555555556,56.52173913043478,55.55555555555556,59.83935742971887,42.91845493562232,49.504950495049506,46.728971962616825,48.54368932038835,49.504950495049506,49.01960784313725,49.504950495049506,49.01960784313725,44.44444444444444
201710180DAL,67.10526315789474,69.41896024464832,67.10526315789474,67.53246753246754,68.45425867507886,69.96996996996997,68.94409937888199,68.94409937888199,69.41896024464832,34.72222222222222,35.842293906810035,34.96503496503497,34.72222222222222,35.842293906810035,34.48275862068966,36.90036900369004,35.842293906810035,35.08771929824561
201710180DET,57.446808510638306,60.317460317460316,59.183673469387756,58.8477366255144,59.83935742971887,59.183673469387756,61.38996138996139,60.317460317460316,61.68582375478927,44.44444444444444,44.843049327354265,42.91845493562232,43.66812227074236,44.44444444444444,44.44444444444444,44.642857142857146,43.66812227074236,42.5531914893617
201710180IND,58.15899581589959,61.68582375478927,59.83935742971887,60.629921259842526,60.9375,59.83935742971887,60.9375,60.317460317460316,61.68582375478927,43.66812227074236,42.3728813559322,42.016806722689076,41.84100418410041,43.66812227074236,43.66812227074236,44.843049327354265,43.66812227074236,42.5531914893617
201710180MEM,54.12844036697248,57.08154506437768,54.54545454545454,56.52173913043478,58.15899581589959,56.52173913043478,56.52173913043478,56.896551724137936,58.8477366255144,47.61904761904761,47.61904761904761,47.61904761904761,45.87155963302752,46.08294930875576,47.61904761904761,49.504950495049506,47.61904761904761,45.45454545454545
201710180ORL,40.65040650406504,45.04504504504504,40.32258064516129,40.65040650406504,40.816326530612244,40.0,42.3728813559322,40.816326530612244,40.816326530612244,60.9375,60.629921259842526,61.68582375478927,61.68582375478927,63.23529411764706,62.825278810408925,63.63636363636363,62.546816479400746,63.63636363636363
201710180PHO,49.01960784313725,51.21951219512195,49.01960784313725,45.45454545454545,48.07692307692308,47.61904761904761,48.54368932038835,45.45454545454545,47.61904761904761,52.60663507109005,54.337899543378995,53.271028037383175,56.896551724137936,56.14035087719298,57.08154506437768,57.80590717299579,58.50622406639005,57.08154506437768
201710180SAC,31.84713375796178,29.850746268656714,33.557046979865774,27.77777777777778,28.985507246376812,28.57142857142857,29.154518950437318,29.411764705882355,29.411764705882355,70.41420118343196,75.18610421836229,68.45425867507886,74.61928934010153,75.18610421836229,75.18610421836229,76.905311778291,75.18610421836229,75.18610421836229
201710180SAS,52.15311004784689,54.12844036697248,52.60663507109005,53.271028037383175,54.12844036697248,54.54545454545454,54.95495495495496,54.54545454545454,55.55555555555556,50.0,50.98039215686274,49.504950495049506,49.504950495049506,50.0,50.0,50.98039215686274,50.0,49.01960784313725
201710180UTA,53.48837209302325,58.8477366255144,54.95495495495496,57.80590717299579,57.446808510638306,58.50622406639005,60.317460317460316,59.51417004048582,60.629921259842526,48.54368932038835,46.08294930875576,47.16981132075472,44.642857142857146,46.728971962616825,45.45454545454545,45.662100456621005,44.44444444444444,44.44444444444444
