,1,0,Prob
1xBet,831,399,0.675609756097561
Coolbet,824,406,0.6699186991869919
Marathonbet,830,400,0.6747967479674797
Pinnacle,827,403,0.6723577235772358
Unibet,824,406,0.6699186991869919
William Hill,825,405,0.6707317073170732
bet-at-home,826,403,0.6720911310008136
bet365,827,403,0.6723577235772358
bwin,822,408,0.6682926829268293
