,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,homeProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,awayProb,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,homeProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj,awayProbAdj
Bookmaker,1xBet (%),Coolbet (%),GGBET (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),1xBet (%),Coolbet (%),GGBET (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),1xBet (%),Coolbet (%),GGBET (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%),1xBet (%),Coolbet (%),GGBET (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910250OKC,77.52808988764045,80.0,80.0,78.11816192560175,79.38144329896907,79.38144329896907,80.0,81.98198198198197,80.0,78.11816192560175,24.752475247524757,24.09638554216868,24.271844660194176,24.449877750611247,23.58490566037736,25.64102564102564,23.809523809523807,23.92344497607656,23.809523809523807,26.31578947368421,0.7579943441374809,0.7685185185185185,0.7672253258845437,0.7616228424780792,0.7709454991971285,0.755852001006796,0.7706422018348624,0.7741055802026944,0.7706422018348624,0.748014997794442,0.24200565586251907,0.23148148148148154,0.23277467411545624,0.23837715752192076,0.22905450080287146,0.2441479989932041,0.22935779816513757,0.2258944197973056,0.22935779816513757,0.251985002205558
201910250SAC,49.50495049504951,50.0,48.54368932038835,49.50495049504951,50.24875621890548,50.0,50.0,51.92307692307693,50.0,46.728971962616825,52.60663507109005,54.12844036697248,56.14035087719298,53.271028037383175,52.15311004784689,54.95495495495496,54.54545454545454,54.337899543379,54.54545454545454,58.15899581589959,0.4848122788474795,0.48017621145374445,0.4637162382037097,0.4816782209417485,0.4907015667859966,0.4763948497854077,0.47826086956521746,0.48863730270225597,0.47826086956521746,0.44551317898818177,0.5151877211525205,0.5198237885462554,0.5362837617962902,0.5183217790582515,0.5092984332140034,0.5236051502145923,0.5217391304347826,0.511362697297744,0.5217391304347826,0.5544868210118182
201910260ATL,46.728971962616825,47.61904761904761,46.728971962616825,45.662100456621005,45.662100456621005,46.728971962616825,46.728971962616825,48.07692307692308,46.728971962616825,46.728971962616825,56.14035087719298,56.52173913043478,57.80590717299579,56.896551724137936,56.896551724137936,57.44680851063831,57.44680851063831,57.80590717299579,57.44680851063831,58.15899581589959,0.4542556582722347,0.4572564612326043,0.4470179938888679,0.44522913947954246,0.44522913947954246,0.44855888528345095,0.44855888528345095,0.454057782205533,0.44855888528345095,0.44551317898818177,0.5457443417277654,0.5427435387673956,0.5529820061111321,0.5547708605204575,0.5547708605204575,0.551441114716549,0.551441114716549,0.545942217794467,0.551441114716549,0.5544868210118182
201910260CHI,45.87155963302752,50.98039215686274,43.66812227074236,44.05286343612335,44.44444444444444,45.45454545454545,43.66812227074236,46.728971962616825,43.66812227074236,42.5531914893617,59.51417004048582,54.95495495495496,60.629921259842526,58.50622406639005,58.15899581589959,59.51417004048582,59.83935742971887,59.51417004048582,60.31746031746032,61.68582375478927,0.4352729707820816,0.4812406203101551,0.41868591962549034,0.42953642148038573,0.43316719528772085,0.4330294530154278,0.4218837362972501,0.43983047829338656,0.41994400746567123,0.40822710565418,0.5647270292179184,0.518759379689845,0.5813140803745096,0.5704635785196144,0.5668328047122791,0.5669705469845722,0.5781162637027498,0.5601695217066135,0.5800559925343288,0.5917728943458199
201910260CLE,38.16793893129771,60.629921259842526,34.48275862068966,37.59398496240601,38.31417624521073,40.32258064516129,37.735849056603776,40.0,36.36363636363637,35.08771929824561,64.53900709219859,45.45454545454545,69.96996996996997,64.91228070175438,64.15770609318996,64.53900709219859,64.91228070175438,66.21621621621621,68.05111821086261,69.41896024464832,0.3716198408096568,0.5715249662618084,0.33012788737979576,0.3667481662591687,0.3738994089977084,0.38453147158285145,0.36762334730732027,0.3765903307888041,0.34826147426981924,0.3357461882026798,0.6283801591903432,0.42847503373819157,0.6698721126202042,0.6332518337408313,0.6261005910022917,0.6154685284171485,0.6323766526926798,0.6234096692111959,0.6517385257301808,0.6642538117973202
201910260DET,40.16064257028113,40.0,40.98360655737705,39.68253968253968,38.75968992248063,42.5531914893617,40.81632653061224,41.84100418410041,40.0,40.81632653061224,63.23529411764706,64.15770609318996,63.23529411764706,62.825278810408925,64.15770609318996,61.68582375478927,62.121212121212125,64.15770609318996,63.23529411764706,63.63636363636363,0.38841606214657,0.38403303509979353,0.3932454314133703,0.3871172000921022,0.37660970276180455,0.40822710565418,0.39651547011114446,0.39473125733931325,0.3874643874643875,0.39076376554174064,0.61158393785343,0.6159669649002064,0.6067545685866296,0.6128827999078978,0.6233902972381954,0.5917728943458199,0.6034845298888556,0.6052687426606868,0.6125356125356125,0.6092362344582594
201910260HOU,88.49252013808976,90.08919722497522,90.9090909090909,88.49252013808976,89.28188638799571,90.08919722497522,90.08919722497522,91.74236168455822,90.9090909090909,88.49252013808976,13.6986301369863,13.88888888888889,13.550135501355012,14.388489208633093,13.642564802182813,13.333333333333334,13.79310344827586,14.347202295552366,13.79310344827586,16.0,0.8659509155135978,0.8664248457729885,0.8702830188679245,0.8601443619187099,0.8674506917994171,0.8710790263847186,0.867223739184788,0.8647633022769126,0.8682634730538923,0.8468789921148848,0.13404908448640226,0.13357515422701158,0.12971698113207544,0.1398556380812901,0.13254930820058278,0.12892097361528143,0.13277626081521202,0.1352366977230875,0.13173652694610777,0.15312100788511518
201910260MIL,87.71498771498771,89.28188638799571,89.28188638799571,87.71498771498771,87.71498771498771,89.28188638799571,89.28188638799571,90.9090909090909,89.28188638799571,85.46511627906976,14.5985401459854,14.705882352941178,15.082956259426847,14.925373134328357,15.267175572519085,13.333333333333334,15.384615384615383,15.432098765432098,15.384615384615383,19.047619047619047,0.8573156409402444,0.858580652984509,0.8554785703995947,0.8545857301082569,0.8517493215801264,0.8700647587215375,0.853012997243009,0.8548812664907651,0.853012997243009,0.8177483443708609,0.14268435905975563,0.14141934701549097,0.1445214296004052,0.1454142698917432,0.1482506784198736,0.1299352412784625,0.14698700275699092,0.14511873350923482,0.14698700275699092,0.1822516556291391
201910260NYK,36.101083032490976,35.587188612099645,35.842293906810035,35.587188612099645,35.587188612099645,36.36363636363637,36.36363636363637,38.61003861003861,36.36363636363637,33.89830508474576,67.10526315789474,68.45425867507886,68.94409937888199,67.10526315789474,67.10526315789474,68.05111821086261,66.66666666666666,67.53246753246754,68.05111821086261,70.41420118343196,0.3497951857136282,0.3420481888710252,0.3420510314644458,0.34654142537959964,0.34654142537959964,0.34826147426981924,0.35294117647058826,0.3637566137566138,0.34826147426981924,0.3249687530045188,0.6502048142863718,0.6579518111289748,0.6579489685355542,0.6534585746204004,0.6534585746204004,0.6517385257301808,0.6470588235294117,0.6362433862433863,0.6517385257301808,0.6750312469954812
201910260PHO,19.64636542239685,20.0,18.21493624772313,20.0,19.84126984126984,19.230769230769237,19.047619047619047,19.64636542239685,18.181818181818183,21.052631578947366,84.02555910543131,84.02555910543131,86.20689655172413,82.63888888888889,83.33333333333334,84.7560975609756,84.7560975609756,86.20689655172413,86.20689655172413,83.33333333333334,0.1895051674971392,0.19226044226044225,0.17443609022556392,0.19485791610284167,0.19230769230769226,0.18493459630130812,0.1834965034965035,0.18559999999999996,0.1741741741741742,0.2016806722689075,0.8104948325028608,0.8077395577395577,0.825563909774436,0.8051420838971584,0.8076923076923077,0.8150654036986918,0.8165034965034965,0.8144,0.8258258258258258,0.7983193277310925
201910260SAS,87.71498771498771,88.49252013808976,89.28188638799571,88.49252013808976,89.28188638799571,88.49252013808976,90.08919722497522,90.9090909090909,90.08919722497522,88.49252013808976,14.285714285714285,17.543859649122805,15.082956259426847,14.388489208633093,13.92757660167131,16.0,14.285714285714285,14.85884101040119,14.285714285714285,16.0,0.8599449415003441,0.8345486739142851,0.8554785703995947,0.8601443619187099,0.865055236232886,0.8468789921148848,0.8631307650569723,0.859514687100894,0.8631307650569723,0.8468789921148848,0.14005505849965585,0.1654513260857148,0.1445214296004052,0.1398556380812901,0.13494476376711398,0.15312100788511518,0.13686923494302766,0.140485312899106,0.13686923494302766,0.15312100788511518
201910260UTA,81.98198198198197,97.08709583454704,83.33333333333334,80.65764023210832,81.98198198198197,82.63888888888889,82.63888888888889,86.20689655172413,83.33333333333334,83.33333333333334,21.09704641350211,14.285714285714285,21.008403361344534,21.978021978021975,21.50537634408602,22.22222222222222,20.833333333333336,20.080321285140563,21.052631578947366,21.78649237472767,0.7953313419626065,0.8717306830070243,0.7986577181208054,0.7858636900200883,0.7921932041561359,0.7880794701986754,0.7986577181208053,0.8110749185667752,0.7983193277310925,0.7927461139896373,0.20466865803739354,0.1282693169929756,0.2013422818791946,0.21413630997991176,0.2078067958438641,0.2119205298013245,0.20134228187919465,0.18892508143322476,0.2016806722689075,0.20725388601036265
201910270DAL,57.44680851063831,57.44680851063831,59.18367346938776,58.15899581589959,59.51417004048582,57.44680851063831,59.18367346938776,60.31746031746032,59.51417004048582,58.8477366255144,44.843049327354265,46.728971962616825,45.45454545454545,44.44444444444444,43.290043290043286,46.728971962616825,44.44444444444444,45.87155963302752,44.44444444444444,45.45454545454545,0.5616080589497249,0.551441114716549,0.5656028368794327,0.5668328047122791,0.5789078882315836,0.551441114716549,0.5711159737417943,0.568019747668678,0.5724794461272177,0.5642037302725968,0.4383919410502752,0.44855888528345095,0.43439716312056736,0.43316719528772085,0.4210921117684164,0.44855888528345095,0.42888402625820565,0.431980252331322,0.42752055387278237,0.43579626972740315
201910270LAL,90.9090909090909,93.4597776324395,92.5925925925926,90.08919722497522,91.74236168455822,92.5925925925926,92.5925925925926,95.23809523809524,93.4597776324395,91.74236168455822,11.627906976744184,10.526315789473683,11.402508551881414,12.21001221001221,11.655011655011654,10.526315789473683,11.11111111111111,11.160714285714286,11.11111111111111,13.333333333333334,0.8865979381443299,0.898771889172101,0.8903553299492386,0.8806441195640731,0.8872794223047124,0.8979206049149339,0.8928571428571428,0.8951048951048951,0.8937456567060458,0.8731073505527323,0.11340206185567009,0.10122811082789897,0.10964467005076142,0.11935588043592694,0.11272057769528769,0.10207939508506615,0.10714285714285714,0.1048951048951049,0.10625434329395414,0.12689264944726777
