game_id,PC1,PC2
201410280LAL,3.4401368114302837,0.022251464459459323
201410280NOP,3.4641817275351507,0.11843085915378714
201410280SAS,3.454695729060584,0.08061874073597895
201410290BOS,3.4504644279708088,0.06300527859043246
201410290CHO,3.462438527598721,0.11165736782678755
201410290DEN,3.459461361002922,0.10026725962137195
201410290IND,3.461478271907655,0.10772846578570938
201410290MEM,3.46134907174144,0.10837927854923766
201410290MIA,3.457072977832252,0.09007995256549554
201410290NYK,3.4440131226996598,0.03773038243479327
201410290PHO,3.467604143978823,0.13328237709265728
201410290POR,3.4635333131743846,0.1159148073131383
201410290SAC,3.44354909960514,0.036025351280209415
201410290TOR,3.45611185350693,0.08541790978844922
201410290UTA,3.446309998892533,0.048293167674676535
201410300CLE,3.4685593305059714,0.1369432582584064
201410300DAL,3.4659000641556443,0.1260705213706733
201410300LAC,3.468476114701766,0.1364905168455971
201410300MIN,3.457719020780889,0.09178843634302887
201410300ORL,3.4435874039337997,0.036192564581542346
201410310CHI,3.4553614142645612,0.08306955550469199
201410310IND,3.441486092147437,0.02715174693630777
201410310LAL,3.433456021663008,-0.005005913171537248
201410310MIL,3.4632006307306122,0.11511825940346262
201410310PHO,3.449715266950899,0.060956233496362304
201410310SAC,3.4439995444014846,0.03781994729536534
201411010ATL,3.465613334270713,0.12468705493552447
201411010CHO,3.4538926228207245,0.07702738433740106
201411010DET,3.4538279898064976,0.07757350227184037
201411010GSW,5.509520500176929,1.4641034173317808
201411010HOU,3.4612462226601988,0.10659938062254724
201411010MIN,3.447777303031589,0.052448119410898136
201411010NOP,3.4498415396080855,0.060781200367068175
201411010OKC,3.44379203542692,0.037569079980951076
201411010ORL,3.44160518059941,0.027643012916698677
201411010PHI,3.4365850961275073,0.006092546413469266
201411010UTA,3.4480671200682496,0.054037430201381666
201411010WAS,3.4636210906991933,0.11610444291154329
201411020LAC,3.464137066988563,0.11902406589629128
201411020MIA,3.451992070409259,0.06916428969363383
201411020NYK,3.454664121781402,0.08011012715258685
201411020POR,3.4540228564572577,0.07857726309989986
201411030BRK,5.540544198540554,0.8533548128257419
201411030DAL,3.464416530035317,0.11968826926618498
201411030DEN,3.4597231746724284,0.10125737063109348
201411030LAC,3.464171908484786,0.12069269349830053
201411030MEM,3.455484390054543,0.08387387347821565
201411030PHI,5.514789006457274,0.7465020158637062
201411040CHI,3.465426274878148,0.1234978103095989
201411040IND,3.455874398898185,0.0853068134363148
201411040LAL,3.441614281898923,0.027152292158283332
201411040MIA,3.452617265771976,0.07318535693877902
201411040NOP,3.455826187936076,0.085148806106834
201411040NYK,3.4486670367754106,0.05665146806202792
201411040POR,3.4470641423336628,0.05006945469768123
201411040TOR,3.4668043192603792,0.12970363619062222
201411050BOS,3.452319080848157,0.07066911611607075
201411050BRK,3.4571906230807645,0.08992303361135331
201411050CHO,3.450893729063073,0.06517170891792702
201411050DET,3.4556792307981543,0.08379446197773095
201411050GSW,3.4570406795160267,0.09055701909794875
201411050MIL,3.44349834359228,0.035816220401035936
201411050PHI,3.4470287010312886,0.04887664858795362
201411050PHO,3.451558891308246,0.06817950746859885
201411050SAC,3.454979876897928,0.0822713156328074
201411050SAS,3.4626360996730714,0.11325273607498607
201411050UTA,3.442407178708024,0.031848543279355
201411050WAS,3.464501218532808,0.12018237710712408
201411060HOU,3.460261693232832,0.1010835487363578
201411060POR,3.4520678317906315,0.07099612031520816
201411070BOS,3.458285045040818,0.09494235214018427
201411070BRK,3.4584931704461055,0.0964895074138806
201411070CHO,3.4516983940700845,0.06872586919478091
201411070DEN,3.441405169673118,0.02540115057034315
201411070DET,3.4563450241703753,0.08712107048680404
201411070OKC,3.439480159583386,0.01823279706596075
201411070ORL,3.44476773054178,0.04121884011763986
201411070PHI,3.435246104259051,0.0011480210824247772
201411070PHO,3.457094891422051,0.09059946777244764
201411070TOR,3.4549278671147214,0.0797692496053129
201411070UTA,3.446851965477109,0.04915749478286358
201411080ATL,3.459886609419209,0.10230424804405647
201411080CHI,3.4643667851118276,0.11957256267641093
201411080HOU,3.446110514946238,0.04519764345627491
201411080IND,3.446020111734016,0.04591355639956724
201411080LAC,3.45625219821456,0.08717887392233549
201411080MIA,3.4616129448968773,0.10769308539783068
201411080MIL,3.4434876627599564,0.03488490408489486
201411080SAS,3.4611787751133485,0.10637707919621321
201411090BRK,3.463111157980347,0.11550745370338353
201411090DAL,3.461880794405527,0.1094640085274752
201411090DET,3.4550620173298134,0.08195448849361936
201411090LAL,3.4473454027840966,0.05087215410404285
201411090OKC,3.4477733468123337,0.05262449599299808
201411090PHO,3.4531191347901613,0.07479419563763098
201411090POR,3.463888593305255,0.11843647437750145
201411090TOR,3.4690764225059256,0.13931447580067913
201411100CHI,3.46482742437518,0.12203780901577774
201411100CLE,3.4584799069721592,0.09474658095051909
201411100IND,3.4533029593187132,0.07559000519466691
201411100LAC,3.452188018785192,0.06993541623417045
201411100NYK,3.448254499300157,0.05551391635026529
201411110DAL,3.462001291880806,0.10954097598814136
201411110GSW,3.4610978822487173,0.10604057512001705
201411110MEM,3.465302910213475,0.12383044075311994
201411110MIL,3.452766518624366,0.07208524678044763
201411110POR,3.460139402517691,0.10188196138984164
201411110TOR,3.466192940686771,0.1267845856626633
201411120ATL,3.460928375182506,0.1060437849248239
201411120BOS,3.4609969774728997,0.10627186063675065
201411120DEN,3.4531909560227136,0.07490939498464723
201411120MIA,3.462885206539111,0.11412754061267849
201411120MIN,3.4410774765644323,0.025843733889861647
201411120NOP,3.4658537112399244,0.12593226554404222
