,1,0,Prob
1xBet,808,422,0.656910569105691
Coolbet,51,27,0.6538461538461539
Marathonbet,813,417,0.6609756097560976
Pinnacle,808,422,0.656910569105691
Unibet,809,420,0.6582587469487388
William Hill,806,423,0.6558177379983726
bet-at-home,799,413,0.6592409240924092
bet365,809,420,0.6582587469487388
bwin,806,424,0.6552845528455284
