,game_id,Y_prob,odds_mean,per_bet,firm,p_return,team_abbr,home
202212030MIN,,0.7056277122698744,0.6464166467192013,0.0157662367950627,Unibet,0.4901960784313725,MIN,True
202212030TOR,,0.7658647008129787,0.8272208787265688,0.0109350937997485,bet365,4.75,ORL,False
202212030GSW,,0.7864075790647217,0.8162818132028858,0.0072049395908794,bet365,4.75,HOU,False
202212040NOP,,0.618702734409478,0.5263948600295424,0.0276035777454424,Unibet,0.8771929824561403,NOP,True
202212040NOP,,0.6228284745863989,0.5356375419156894,0.0255333966135116,Unibet,0.8333333333333334,NOP,True
202212040SAS,,0.2351079023843875,0.1994981802285186,0.0058472585262884,Unibet,3.9,SAS,True
202212040BRK,,0.3917709509910209,0.4506632101520546,0.0119007397756651,bet365,0.7407407407407407,BOS,False
202212040DET,,0.3045708170221881,0.3036274197269583,0.0,,0.0,,0
202212040NYK,,0.4370071332570694,0.4426219251860718,0.0,,0.0,,0
202212040SAC,,0.6472006435229771,0.5765494853037744,0.0214046345641251,Unibet,0.6993006993006993,SAC,True
202212040WAS,,0.6398028385367488,0.5254055429058246,0.0316752324593219,Unibet,0.8403361344537815,WAS,True
202212040POR,,0.627474166009672,0.6429674718787123,0.0005135075094604,bet365,1.7,IND,False
202212050CHO,,0.3996204496506955,0.3179020383200687,0.0137600251130424,bet365,1.95,CHO,True
202212050ORL,,0.2208048438376861,0.1919100337772628,0.0045438871075974,Unibet,4.09,ORL,True
202212050ATL,,0.7327194998793879,0.6772298555398014,0.0144887864388496,bet365,0.4201680672268907,ATL,True
202212050TOR,,0.4879796906845278,0.5229656570129617,0.0064213602408985,Unibet,1.04,BOS,False
202212050HOU,,0.3161128922023603,0.2644160660101268,0.0107801244840519,Unibet,2.8,HOU,True
202212050MEM,,0.4259769538149126,0.3539900267285426,0.0146945676849436,bet365,1.75,MEM,True
202212050DAL,,0.6100099697875735,0.5830817365529046,0.0055086938062959,Unibet,0.6802721088435374,DAL,True
202212050GSW,,0.7869644773625586,0.8454107507533136,0.0083463940747394,bet365,5.0,IND,False
202212060CLE,,0.7179110514678219,0.6612353967096294,0.0116353707449666,bet365,0.4405286343612334,CLE,True
202212060MIA,,0.7266378124053388,0.723738989605951,0.0,,0.0,,0
202212060DEN,,0.661983791076196,0.6261148003957556,0.0054980706850737,bet365,0.5405405405405406,DEN,True
202212070ORL,,0.3189306843443105,0.3087281840607346,0.001403058402395,Unibet,2.2,ORL,True
202212070BRK,,0.7930249747163614,0.7937151268654983,0.0005452932265318,Unibet,3.9,CHO,False
202212070NYK,,0.5558983991028762,0.5478320392912506,0.0,,0.0,,0
202212070TOR,,0.8318666910993032,0.8551383253253494,0.0025327229414871,bet365,5.5,LAL,False
202212070CHI,,0.6815364081175762,0.6397151815305739,0.0066913836529092,bet365,0.5,CHI,True
202212070MEM,,0.7309652919690265,0.7530783568873258,0.0004843720972445,bet365,2.75,OKC,False
202212070MIL,,0.6939474795662809,0.6876340691910319,0.0,,0.0,,0
202212070MIN,,0.6886932424933472,0.6416746023935275,0.0215859625285057,bet365,0.5714285714285714,MIN,True
202212070NOP,,0.7735860815466375,0.819562760643187,0.0095330536139,Unibet,4.75,DET,False
202212070UTA,,0.7096118120874695,0.6607690854952565,0.0136627457750669,Unibet,0.4694835680751174,UTA,True
202212070PHO,,0.4965203454575523,0.5359798297869619,0.0101903237790576,bet365,1.14,BOS,False
202212080MIA,,0.6628748133847633,0.696374795426672,0.0071490303906634,Unibet,2.29,LAC,False
202212080SAS,,0.4310093554988358,0.4601052455227631,0.0064738846188876,Unibet,0.819672131147541,HOU,False
202212080POR,,0.4188306306159219,0.4565227178120244,0.0073881702752785,Unibet,0.7874015748031497,DEN,False
202212090CHO,,0.2815160260684728,0.4002801201626739,0.0418978459897064,Unibet,0.6410256410256411,NYK,False
202212090IND,,0.6893042910574942,0.6083268243593943,0.0218380200612163,bet365,0.5714285714285714,IND,True
202212090ORL,,0.354468448025351,0.2509777147631528,0.0203466289678035,Unibet,2.95,ORL,True
202212090BRK,,0.7145667893899491,0.7208616514792998,0.0,,0.0,,0
202212090CLE,,0.6225621174008429,0.5962172346279256,0.0033653826102274,bet365,0.6289308176100629,CLE,True
202212090PHI,,0.7016459971677145,0.6369952663989016,0.0193209467594589,Unibet,0.5208333333333334,PHI,True
202212090MEM,,0.7835082417807537,0.812485884427805,0.0037387426406832,Unibet,4.09,DET,False
202212090NOP,,0.5784095562204166,0.4841890704875785,0.0247628387595943,Unibet,1.02,NOP,True
202212090UTA,,0.6054114190265374,0.5019546719912256,0.0257045969933592,bet365,0.9090909090909092,UTA,True
202212090DAL,,0.5337415393054323,0.4884400480805026,0.0080242987185041,Unibet,0.970873786407767,DAL,True
202212100MIA,,0.8240419825510809,0.8468440993575361,0.0028496459730212,bet365,5.25,SAS,False
202212100IND,,0.7852982193078268,0.7352323033011469,0.0202127735715813,Unibet,0.33003300330033,IND,True
202212100WAS,,0.3397928485310408,0.3596127054498534,0.0,,0.0,,0
202212100CLE,,0.709773996865583,0.6304251402085329,0.0259283836600367,bet365,0.5405405405405406,CLE,True
202212100GSW,,0.3489424453303489,0.4469745162132209,0.0238573060130788,bet365,0.7092198581560284,BOS,False
202212100DEN,,0.7888731508037834,0.8250026328782504,0.0067572436698393,bet365,4.75,UTA,False
202212110NOP,,0.6367409108090195,0.5924251872987141,0.0061494006803717,bet365,0.6097560975609756,NOP,True
202212110DET,,0.3297754987595913,0.353853357383645,0.0,,0.0,,0
202212110NYK,,0.6142246754793419,0.556965338627809,0.010542220185782,bet365,0.7092198581560284,NYK,True
202212110ORL,,0.3564877643469398,0.3044606844525462,0.0085769621646181,Unibet,2.15,ORL,True
202212110PHI,,0.7812371285622253,0.8081176420927125,0.0035180383945827,bet365,4.0,CHO,False
202212110ATL,,0.5190385997078455,0.5882932909839524,0.0144732545207292,bet365,1.35,CHI,False
202212110HOU,,0.2328598853836166,0.210612499803914,0.0042433782228871,bet365,3.75,HOU,True
202212120IND,,0.410996013859192,0.4062626108162937,0.0,,0.0,,0
202212120WAS,,0.3820497567976146,0.3377934556541141,0.0109611952794632,Unibet,2.0,WAS,True
202212120MEM,,0.8083945064064171,0.7749239578622658,0.0,,0.0,,0
202212120DAL,,0.7403130353614482,0.750694583876582,0.0013100089994379,Unibet,2.95,OKC,False
202212120SAS,,0.2143147756103646,0.2267060245314623,0.0,,0.0,,0
202212120POR,,0.6203860074081765,0.6021399402841365,0.0,,0.0,,0
202212120LAC,,0.3377519348370005,0.386138846151885,0.0121972105865037,Unibet,0.5813953488372093,BOS,False
202212130PHI,,0.7142689533812624,0.6185463406918679,0.0321359432697707,bet365,0.5714285714285714,PHI,True
202212130PHI,,0.7100109576099939,0.6185463406918679,0.0303795200141224,bet365,0.5714285714285714,PHI,True
202212130MIL,,0.6318718966678556,0.5637344491494769,0.0147129220254369,bet365,0.6896551724137931,MIL,True
202212130HOU,,0.353625374178521,0.307632908674565,0.0068741899966725,bet365,2.1,HOU,True
202212130UTA,,0.4191518737631682,0.460582998981459,0.0072787869836412,Unibet,0.7874015748031497,NOP,False
202212130LAL,,0.3042302046976524,0.3892223947866047,0.0245050405622183,bet365,0.5714285714285714,BOS,False
202212130LAL,,0.3120487397226108,0.3947203193597997,0.0240883335219265,bet365,0.591715976331361,BOS,False
202212130LAL,,0.3120487397226108,0.3947203193597997,0.0240883335219265,bet365,0.591715976331361,BOS,False
202212140CHI,,0.6215864029603405,0.5919336145197573,0.0029863175500922,bet365,0.6289308176100629,CHI,True
202212140TOR,,0.667859760081232,0.6292590158312712,0.0080100474347266,bet365,0.5405405405405406,TOR,True
202212140OKC,,0.3050020289624985,0.4418727738812789,0.0406567726169442,Unibet,0.7194244604316546,MIA,False
202212140SAS,,0.2995996561692047,0.2863133685896298,0.0011649269359559,bet365,2.4,SAS,True
202212140DAL,,0.5855115503848998,0.5592164367543816,0.0038928215106771,bet365,0.7407407407407407,DAL,True
202212140DEN,,0.8111512604363122,0.8250877796878363,0.0027120079734064,bet365,4.75,WAS,False
202212140LAC,,0.6973031603788591,0.7052174384122845,0.0,,0.0,,0
202212150HOU,,0.5823529942030187,0.4312788928926728,0.0387893438052224,bet365,1.29,HOU,True
202212150MEM,,0.6236432164394914,0.5792075125917591,0.0162051634442391,Unibet,0.7299270072992701,MEM,True
202212150UTA,,0.5221308260895399,0.4911849334712944,0.0066392478268619,bet365,1.0,UTA,True
202212150LAC,,0.3239409187497444,0.334983894621123,0.0,,0.0,,0
202212160CHO,,0.5533935400725017,0.5629461691351542,0.0,,0.0,,0
202212160DET,,0.2728572908346779,0.311125278947144,0.006749922311794,Unibet,0.4,SAC,False
202212160BOS,,0.820050398466474,0.8718574627463239,0.006491180268367,bet365,6.0,ORL,False
202212160CLE,,0.6889985128361236,0.7377663052467228,0.0069003088724974,bet365,2.6,IND,False
202212160PHI,,0.7729430456822145,0.7729329443114936,0.0,,0.0,,0
202212160TOR,,0.4137076807666799,0.4835235863657942,0.0190615190373457,Unibet,0.9009009009009008,BRK,False
202212160CHI,,0.5440923890082071,0.5634203331500598,0.000374593022743,bet365,1.2,NYK,False
202212160OKC,,0.5855953769425226,0.6257841825524905,0.0089247501002104,bet365,1.65,MIN,False
202212160DAL,,0.7271820740960913,0.61501509769162,0.0374626055646376,bet365,0.5714285714285714,DAL,True
202212160LAL,,0.4350657048993969,0.4623955634446412,0.0044705217111517,Unibet,0.8130081300813008,DEN,False
202212170LAC,,0.7138985990515634,0.6443633712110195,0.0212543695732035,bet365,0.5,LAC,True
202212170SAS,,0.3063504911366341,0.2686611121343835,0.0081171459143115,Unibet,2.75,SAS,True
202212170CLE,,0.7404682732920144,0.7565714968168503,0.0019063453415971,bet365,3.0,DAL,False
202212170HOU,,0.4617870293677725,0.4214096268723858,0.0085673434316064,Unibet,1.33,HOU,True
202212170MIL,,0.6432396096959068,0.5433914298496674,0.0269176653450878,bet365,0.7692307692307693,MIL,True
202212170OKC,,0.20015431255796,0.1829771267978615,0.001793299091622,bet365,4.25,OKC,True
202212170PHO,,0.5985503459156312,0.5694271324803704,5.8554199488247693e-05,bet365,0.6711409395973155,PHO,True
