game_id,Y_prob,odds_mean,per_bet,firm,p_return,team_abbr
202210290CHI,0.3810793871045102,0.43828317379135856,0.019368370512462166,Unibet,0.7299270072992701,PHI
202210300DET,0.41068865884647066,0.2771459869606055,0.033028453339833355,bet365,2.4,DET
202210300SAS,0.3078097946340007,0.3224847924051695,0.0,,0.0,
202210310WAS,0.39344790978301236,0.4327754426042098,0.01193189912372008,Unibet,0.7194244604316546,PHI
202210310BRK,0.5517400037585383,0.7242382917221044,0.04721046049763556,bet365,2.6,IND
202210310TOR,0.5287779313242931,0.5420047688986066,0.0014763556080724218,bet365,1.14,ATL
202210310UTA,0.480258649026622,0.42380085503158066,0.015471675390847206,bet365,1.29,UTA
202210310LAC,0.6651611515904899,0.7557898301353865,0.02109458681359236,bet365,2.9,HOU
202211010BRK,0.5121942659672052,0.5481195372451958,0.007702503654417692,bet365,1.14,CHI
202211010MIA,0.47738136336112097,0.5180265022703505,0.00713792920210713,Unibet,0.9803921568627452,GSW
202211010OKC,0.560579734328341,0.5842370836953029,0.004835203604207228,bet365,1.35,ORL
202211010PHO,0.5731544438525257,0.6043209149745185,0.010933469170725296,bet365,1.54,MIN
202211020PHI,0.5855844362148939,0.6636895898048087,0.019576687220275946,bet365,1.85,WAS
202211020CLE,0.45220092391459843,0.47596842072367496,0.0010315934775766867,bet365,0.8333333333333334,BOS
202211020MIA,0.6251701430265544,0.6228904299657098,0.0,,0.0,
202211020NYK,0.5214821856208544,0.5555731622737529,0.008789865272353403,bet365,1.2,ATL
202211020CHI,0.6276476830870953,0.6795557703668416,0.010096342040314754,bet365,1.95,CHO
202211020HOU,0.400263560233715,0.334624923994762,0.01692256049239721,Unibet,1.9,HOU
202211020MIL,0.7812414089347601,0.8293012664133421,0.01085734310000544,bet365,4.75,DET
202211020SAS,0.34613195105987543,0.3087261859933556,0.009783840308327407,Unibet,2.2,SAS
202211020DAL,0.6119227345596655,0.6883830869665815,0.01933709741571781,bet365,2.1,UTA
