,Name,Id,height,weight,PG,SG,SF,PF,CE,salary,shoots,debut,birth,experience
390,Alex Len,lenal01,213,113,-1,-1,-1,-1,1,4160000.0,Right,"October 30, 2013","June 16, 1993",9 years
391,Eric Mika,mikaer01,208,104,-1,-1,-1,-1,1,50752.0,Right,"February 1, 2020","January 5, 1995",1 year
392,Jabari Parker,parkeja01,203,111,-1,-1,-1,1,-1,6500000.0,Right,"October 29, 2014","March 15, 1995",8 years
393,Al-Farouq Aminu,aminual01,203,99,-1,-1,2,1,-1,9258000.0,Right,"October 27, 2010","September 21, 1990",11 years
394,D.J. Augustin,augusdj01,180,83,1,-1,-1,-1,-1,7250000.0,Right,"October 30, 2008","November 10, 1987",14 years
395,Mo Bamba,bambamo01,213,104,-1,-1,-1,-1,1,5697600.0,Right,"October 17, 2018","May 12, 1998",4 years
396,Khem Birch,birchkh01,206,105,-1,-1,-1,-1,1,3000000.0,Right,"October 21, 2017","September 28, 1992",5 years
397,Michael Carter-Williams,cartemi01,196,86,1,2,-1,-1,-1,2028594.0,Right,"October 30, 2013","October 10, 1991",8 years
398,Evan Fournier,fournev01,201,92,-1,1,2,-1,-1,17000000.0,Right,"October 31, 2012","October 29, 1992",10 years
399,Melvin Frazier,frazime01,196,97,-1,1,-1,-1,-1,1416852.0,Left,"November 2, 2018","August 30, 1996",3 years
400,Markelle Fultz,fultzma01,190,94,1,2,-1,-1,-1,9745200.0,Right,"October 18, 2017","May 29, 1998",5 years
401,Aaron Gordon,gordoaa01,203,106,-1,-1,2,1,-1,19863636.0,Right,"October 28, 2014","September 16, 1995",8 years
402,Jonathan Isaac,isaacjo01,211,104,-1,-1,-1,1,-1,5806440.0,Right,"October 18, 2017","October 3, 1997",3 years
403,Wes Iwundu,iwundwe01,198,88,-1,-1,1,-1,-1,1618520.0,Right,"October 21, 2017","December 20, 1994",5 years
404,Amile Jefferson,jeffeam01,206,100,-1,-1,-1,1,-1,1519851.0,Right,"December 31, 2018","May 7, 1993",2 years
405,B.J. Johnson,johnsbj01,201,90,-1,-1,1,-1,-1,,Left,"March 3, 2019","December 21, 1995",3 years
406,Vic Law,lawvi01,201,90,-1,-1,-1,1,-1,,Right,"January 26, 2020","December 19, 1995",1 year
407,Josh Magette,magetjo01,185,72,1,-1,-1,-1,-1,81678.0,Left,"October 18, 2017","November 28, 1989",2 years
