,Name,Id,height,weight,PG,SG,SF,PF,CE,salary,shoots,debut,birth,experience
0,Leandro Barbosa,barbole01,190,87,2,1,-1,-1,-1,46967358,Right,"November 12, 2003","November 28, 1982",14 years
1,Harrison Barnes,barneha02,203,102,-1,-1,2,1,-1,148629017,Right,"October 31, 2012","May 30, 1992",10 years
2,Andrew Bogut,bogutan01,213,117,-1,-1,-1,2,1,118126549,Right,"November 1, 2005","November 28, 1984",14 years
3,Ian Clark,clarkia01,190,79,-1,1,-1,-1,-1,6008265,Right,"November 1, 2013","March 7, 1991",6 years
4,Stephen Curry,curryst01,188,83,1,-1,-1,-1,-1,257859052,Right,"October 28, 2009","March 14, 1988",13 years
5,Festus Ezeli,ezelife01,211,115,-1,-1,-1,-1,1,13609508,Right,"October 31, 2012","October 21, 1989",3 years
6,Draymond Green,greendr01,198,104,-1,-1,2,1,-1,130953541,Right,"October 31, 2012","March 4, 1990",10 years
7,Andre Iguodala,iguodan01,198,97,-1,2,1,-1,-1,186965950,Right,"November 3, 2004","January 28, 1984",18 years
8,Shaun Livingston,livinsh01,201,87,1,2,-1,-1,-1,59764379,Right,"November 3, 2004","September 11, 1985",14 years
9,Kevon Looney,looneke01,206,100,-1,-1,-1,2,1,19817476,Right,"January 27, 2016","February 6, 1996",7 years
10,James Michael McAdoo,mcadoja01,206,104,-1,-1,-1,1,-1,1992612,Right,"January 19, 2015","January 4, 1993",4 years
11,Brandon Rush,rushbr01,198,99,-1,1,2,-1,-1,22758805,Right,"October 29, 2008","July 7, 1985",9 years
12,Marreese Speights,speigma01,208,115,-1,-1,-1,2,1,25743588,Right,"October 31, 2008","August 4, 1987",10 years
13,Jason Thompson,thompja02,211,113,-1,-1,-1,1,2,35635877,Right,"October 29, 2008","July 21, 1986",8 years
14,Klay Thompson,thompkl01,198,97,-1,1,-1,-1,-1,184868850,Right,"December 25, 2011","February 8, 1990",9 years
15,Anderson Varejão,varejan01,208,123,-1,-1,-1,2,1,83562309,Right,"November 4, 2004","September 28, 1982",14 years
16,Steven Adams,adamsst01,211,120,-1,-1,-1,-1,1,128833174,Right,"October 30, 2013","July 20, 1993",9 years
17,D.J. Augustin,augusdj01,180,83,1,-1,-1,-1,-1,64427444,Right,"October 30, 2008","November 10, 1987",14 years
18,Nick Collison,collini01,208,115,-1,-1,-1,1,2,60322642,Right,"November 3, 2004","October 26, 1980",14 years
19,Kevin Durant,duranke01,208,108,-1,3,1,2,-1,307385868,Right,"October 31, 2007","September 29, 1988",14 years
20,Randy Foye,foyera01,193,96,2,1,-1,-1,-1,34376401,Right,"November 1, 2006","September 24, 1983",11 years
21,Enes Freedom,kanteen01,208,113,-1,-1,-1,-1,1,104579345,Right,"December 27, 2011","May 20, 1992",11 years
