,Name,Id,height,weight,PG,SG,SF,PF,CE,salary,shoots,debut,birth,experience
0,Giannis Antetokounmpo,antetgi01,211,109,3,4,2,1,-1,24157304.0,Right,"October 30, 2013","December 6, 1994",9 years
1,Eric Bledsoe,bledser01,185,97,1,2,-1,-1,-1,15000000.0,Right,"October 27, 2010","December 9, 1989",12 years
2,Malcolm Brogdon,brogdma01,196,103,1,2,-1,-1,-1,1544951.0,Right,"October 26, 2016","December 11, 1992",6 years
3,Sterling Brown,brownst02,196,99,-1,1,2,-1,-1,1378242.0,Right,"October 20, 2017","February 10, 1995",5 years
4,Isaiah Canaan,canaais01,183,91,1,2,-1,-1,-1,456733.0,Right,"December 25, 2013","May 21, 1991",6 years
5,Bonzie Colson,colsobo01,198,101,-1,-1,1,-1,-1,,Right,"February 25, 2019","January 12, 1996",1 year
6,Pat Connaughton,connapa01,196,94,-1,1,2,-1,-1,1641000.0,Right,"October 30, 2015","January 6, 1993",7 years
7,Matthew Dellavedova,dellama01,190,90,1,2,-1,-1,-1,9607500.0,Right,"November 2, 2013","September 8, 1990",8 years
8,Donte DiVincenzo,divindo01,193,92,-1,1,-1,-1,-1,2481000.0,Right,"October 17, 2018","January 31, 1997",4 years
9,Trevon Duval,duvaltr01,188,85,1,-1,-1,-1,-1,,Right,"February 8, 2019","August 3, 1998",1 year
10,Tim Frazier,fraziti01,183,77,1,-1,-1,-1,-1,1621415.0,Right,"February 6, 2015","November 1, 1990",8 years
11,Pau Gasol,gasolpa01,213,113,-1,-1,-1,2,1,15925144.0,Right,"November 1, 2001","July 6, 1980",18 years
12,John Henson,hensojo01,206,99,-1,-1,-1,2,1,11327466.0,Right,"November 7, 2012","December 28, 1990",8 years
13,George Hill,hillge01,193,85,1,-1,-1,-1,-1,19000000.0,Right,"November 4, 2008","May 4, 1986",14 years
14,Ersan İlyasova,ilyaser01,206,106,-1,-1,-1,1,-1,7000000.0,Right,"November 1, 2006","May 15, 1987",13 years
15,Brook Lopez,lopezbr01,213,127,-1,-1,-1,-1,1,3382000.0,Right,"October 29, 2008","April 1, 1988",14 years
16,Thon Maker,makerth01,213,100,-1,-1,-1,2,1,2799720.0,Right,"October 30, 2016","February 25, 1997",5 years
