,Name,Id,height,weight,PG,SG,SF,PF,CE,salary,shoots,debut,birth,experience
0,Matt Barnes,barnema02,201,102,-1,-1,1,2,-1,6125000.0,Right,"January 19, 2004","March 9, 1980",14 years
1,Ian Clark,clarkia01,190,79,-1,1,-1,-1,-1,1015696.0,Right,"November 1, 2013","March 7, 1991",6 years
2,Stephen Curry,curryst01,188,83,1,-1,-1,-1,-1,12112359.0,Right,"October 28, 2009","March 14, 1988",13 years
3,Kevin Durant,duranke01,208,108,-1,3,1,2,-1,26540100.0,Right,"October 31, 2007","September 29, 1988",14 years
4,Draymond Green,greendr01,198,104,-1,-1,2,1,-1,15330435.0,Right,"October 31, 2012","March 4, 1990",10 years
5,Andre Iguodala,iguodan01,198,97,-1,2,1,-1,-1,11131368.0,Right,"November 3, 2004","January 28, 1984",18 years
6,Damian Jones,jonesda03,211,111,-1,-1,-1,-1,1,1171560.0,Right,"December 10, 2016","June 30, 1995",6 years
7,Shaun Livingston,livinsh01,201,87,1,2,-1,-1,-1,5782450.0,Right,"November 3, 2004","September 11, 1985",14 years
8,Kevon Looney,looneke01,206,100,-1,-1,-1,2,1,1182840.0,Right,"January 27, 2016","February 6, 1996",7 years
9,James Michael McAdoo,mcadoja01,206,104,-1,-1,-1,1,-1,980431.0,Right,"January 19, 2015","January 4, 1993",4 years
10,Patrick McCaw,mccawpa01,201,82,-1,1,2,-1,-1,543471.0,Right,"October 25, 2016","October 25, 1995",5 years
11,JaVale McGee,mcgeeja01,213,122,-1,-1,-1,-1,1,1403611.0,Right,"October 29, 2008","January 19, 1988",14 years
12,Zaza Pachulia,pachuza01,211,122,-1,-1,-1,-1,1,2898000.0,Right,"November 5, 2003","February 10, 1984",16 years
13,Klay Thompson,thompkl01,198,97,-1,1,-1,-1,-1,16663575.0,Right,"December 25, 2011","February 8, 1990",9 years
14,Anderson Varejão,varejan01,208,123,-1,-1,-1,2,1,1984005.0,Right,"November 4, 2004","September 28, 1982",14 years
15,Briante Weber,weberbr01,188,74,1,-1,-1,-1,-1,328000.0,Right,"March 11, 2016","December 29, 1992",3 years
16,David West,westda01,206,113,-1,-1,3,1,2,1551659.0,Right,"October 29, 2003","August 29, 1980",15 years
17,Ryan Anderson,anderry01,206,108,-1,-1,-1,1,2,18735364.0,Right,"October 29, 2008","May 6, 1988",12 years
18,Trevor Ariza,arizatr01,203,97,-1,2,1,-1,-1,7806971.0,Right,"November 3, 2004","June 30, 1985",18 years
19,Patrick Beverley,beverpa01,185,81,1,2,-1,-1,-1,6000000.0,Right,"January 15, 2013","July 12, 1988",10 years
20,Corey Brewer,breweco01,206,84,-1,2,1,3,-1,7600000.0,Right,"November 2, 2007","March 5, 1986",13 years
21,Bobby Brown,brownbo02,188,79,1,2,-1,-1,-1,934293.0,Right,"October 31, 2008","September 24, 1984",4 years
22,Clint Capela,capelca01,208,108,-1,-1,-1,-1,1,1296240.0,Right,"November 6, 2014","May 18, 1994",8 years
23,Sam Dekker,dekkesa01,206,104,-1,-1,-1,1,-1,1720560.0,Right,"October 28, 2015","May 6, 1994",5 years
24,Tyler Ennis,ennisty01,190,87,1,-1,-1,-1,-1,1733880.0,Right,"October 29, 2014","August 24, 1994",4 years
25,Eric Gordon,gordoer01,190,97,-1,1,2,-1,-1,12385364.0,Right,"October 29, 2008","December 25, 1988",14 years
26,James Harden,hardeja01,196,99,2,1,-1,-1,-1,26540100.0,Left,"October 28, 2009","August 26, 1989",13 years
27,Montrezl Harrell,harremo01,201,108,-1,-1,-1,2,1,1045000.0,Right,"October 28, 2015","January 26, 1994",7 years
28,Nenê,hilarne01,211,113,-1,-1,-1,2,1,2898000.0,Right,"October 30, 2002","September 13, 1982",17 years
29,K.J. McDaniels,mcdankj01,198,92,-1,2,1,-1,-1,3333333.0,Right,"October 29, 2014","February 9, 1993",3 years
30,Chinanu Onuaku,onuakch01,208,111,-1,-1,-1,-1,1,543471.0,Right,"December 26, 2016","November 1, 1996",2 years
31,Isaiah Taylor,taylois01,190,77,1,-1,-1,-1,-1,305000.0,Right,"April 2, 2017","July 11, 1994",2 years
32,Lou Williams,willilo02,185,79,1,2,-1,-1,-1,7000000.0,Right,"November 2, 2005","October 27, 1986",17 years
33,Troy Williams,willitr02,201,98,-1,-1,1,-1,-1,543471.0,Right,"October 29, 2016","December 30, 1994",3 years
34,Kyle Wiltjer,wiltjky01,208,108,-1,-1,-1,1,-1,,Right,"October 28, 2016","October 20, 1992",1 year
35,Darrell Arthur,arthuda01,206,106,-1,-1,2,1,-1,8070175.0,Right,"October 29, 2008","March 25, 1988",9 years
36,Will Barton,bartowi01,198,82,-1,1,2,-1,-1,3533333.0,Right,"November 2, 2012","January 6, 1991",10 years
37,Malik Beasley,beaslma01,193,84,-1,1,-1,-1,-1,1627320.0,Right,"November 5, 2016","November 26, 1996",6 years
38,Wilson Chandler,chandwi01,203,106,-1,3,1,2,-1,11200000.0,Right,"November 13, 2007","May 10, 1987",12 years
39,Kenneth Faried,farieke01,203,99,-1,-1,-1,1,2,12078652.0,Right,"December 28, 2011","November 19, 1989",8 years
40,Danilo Gallinari,gallida01,208,105,-1,3,1,2,-1,15050000.0,Right,"October 29, 2008","August 8, 1988",13 years
41,Alonzo Gee,geeal01,198,102,-1,2,1,-1,-1,1400000.0,Right,"March 11, 2010","May 29, 1987",8 years
42,Gary Harris,harriga01,193,95,-1,1,-1,-1,-1,1655880.0,Right,"November 14, 2014","September 14, 1994",8 years
43,Juancho Hernangómez,hernaju01,206,97,-1,-1,-1,1,-1,1987440.0,Right,"October 26, 2016","September 28, 1995",6 years
44,Roy Hibbert,hibbero01,218,122,-1,-1,-1,-1,1,5000000.0,Right,"October 29, 2008","December 11, 1986",9 years
45,Nikola Jokić,jokicni01,211,128,-1,-1,-1,-1,1,1358500.0,Right,"October 28, 2015","February 19, 1995",7 years
46,Mike Miller,millemi01,203,98,-1,2,1,-1,-1,3500000.0,Right,"October 31, 2000","February 19, 1980",17 years
47,Emmanuel Mudiay,mudiaem01,190,90,1,-1,-1,-1,-1,3241800.0,Right,"October 28, 2015","March 5, 1996",6 years
48,Jamal Murray,murraja01,190,97,1,2,-1,-1,-1,3210840.0,Right,"October 26, 2016","February 23, 1997",5 years
49,Jameer Nelson,nelsoja01,183,86,1,-1,-1,-1,-1,4540525.0,Right,"November 3, 2004","February 9, 1982",14 years
50,Jusuf Nurkić,nurkiju01,211,131,-1,-1,-1,-1,1,1921320.0,Right,"October 29, 2014","August 23, 1994",8 years
51,Johnny O'Bryant,obryajo01,206,116,-1,-1,-1,1,-1,276827.0,Right,"December 17, 2014","June 1, 1993",4 years
52,Mason Plumlee,plumlma01,211,115,-1,-1,-1,-1,1,2328530.0,Right,"November 3, 2013","March 5, 1990",9 years
53,Jarnell Stokes,stokeja01,206,119,-1,-1,-1,2,1,150000.0,Right,"November 17, 2014","January 7, 1994",3 years
54,Chris Andersen,anderch01,208,111,-1,-1,-1,2,1,1551659.0,Right,"November 23, 2001","July 7, 1978",15 years
55,Andrew Bogut,bogutan01,213,117,-1,-1,-1,2,1,11027027.0,Right,"November 1, 2005","November 28, 1984",14 years
56,Mike Dunleavy,dunlemi02,206,104,-1,2,1,3,-1,4837500.0,Right,"October 30, 2002","September 15, 1980",15 years
57,Kay Felder,feldeka01,175,79,1,-1,-1,-1,-1,543471.0,Left,"October 29, 2016","March 29, 1995",2 years
58,Channing Frye,fryech01,213,115,-1,-1,-1,2,1,7806971.0,Right,"November 4, 2005","May 17, 1983",13 years
59,Kyrie Irving,irvinky01,188,88,1,-1,-1,-1,-1,17638063.0,Right,"December 26, 2011","March 23, 1992",11 years
60,LeBron James,jamesle01,206,113,3,4,1,2,-1,30963450.0,Right,"October 29, 2003","December 30, 1984",19 years
61,Richard Jefferson,jefferi01,201,105,-1,-1,1,-1,-1,2500000.0,Right,"October 30, 2001","June 21, 1980",17 years
62,Dahntay Jones,jonesda02,198,102,-1,2,1,-1,-1,24022.0,Right,"November 21, 2003","December 27, 1980",13 years
63,James Jones,jonesja02,203,98,-1,2,1,-1,-1,1551659.0,Right,"December 26, 2003","October 4, 1980",14 years
64,Kyle Korver,korveky01,201,96,-1,1,2,3,-1,5239437.0,Right,"October 28, 2003","March 17, 1981",17 years
65,DeAndre Liggins,liggide01,198,94,-1,1,2,-1,-1,1015696.0,Right,"February 20, 2012","March 31, 1988",5 years
66,Kevin Love,loveke01,203,113,-1,-1,-1,1,2,21165675.0,Right,"October 29, 2008","September 7, 1988",14 years
67,Jordan McRae,mcraejo01,196,81,2,1,-1,-1,-1,874636.0,Right,"January 29, 2016","March 28, 1991",4 years
68,Larry Sanders,sandela01,211,106,-1,-1,-1,2,1,1865547.0,Right,"October 27, 2010","November 21, 1988",6 years
69,Iman Shumpert,shumpim01,196,97,3,1,2,-1,-1,9700000.0,Right,"December 25, 2011","June 26, 1990",10 years
70,J.R. Smith,smithjr01,198,102,-1,1,2,-1,-1,12800000.0,Right,"November 3, 2004","September 9, 1985",16 years
71,Edy Tavares,tavarwa01,221,117,-1,-1,-1,-1,1,1000000.0,Right,"October 29, 2015","March 22, 1992",2 years
72,Tristan Thompson,thomptr01,206,115,-1,-1,-1,1,2,15330435.0,Left Right,"December 26, 2011","March 13, 1991",11 years
73,Deron Williams,willide01,190,90,1,-1,-1,-1,-1,9000000.0,Right,"November 2, 2005","June 26, 1984",12 years
74,Derrick Williams,willide02,203,108,-1,-1,2,1,-1,4598000.0,Right,"December 26, 2011","May 25, 1991",7 years
75,Bradley Beal,bealbr01,193,93,-1,1,-1,-1,-1,22116750.0,Right,"October 30, 2012","June 28, 1993",10 years
76,Bojan Bogdanović,bogdabo02,201,102,-1,-1,1,2,-1,3730653.0,Right,"October 29, 2014","April 18, 1989",8 years
77,Trey Burke,burketr01,183,83,1,-1,-1,-1,-1,3386598.0,Right,"November 20, 2013","November 12, 1992",9 years
78,Marcin Gortat,gortama01,211,108,-1,-1,-1,2,1,12000000.0,Right,"March 1, 2008","February 17, 1984",12 years
79,Danuel House Jr.,houseda01,198,99,-1,2,1,-1,-1,543471.0,Right,"November 11, 2016","June 7, 1993",6 years
80,Brandon Jennings,jennibr01,185,77,1,-1,-1,-1,-1,4837318.0,Left,"October 30, 2009","September 23, 1989",9 years
81,Sheldon Mac,mcclesh01,196,90,-1,1,-1,-1,-1,543471.0,Right,"October 27, 2016","December 21, 1992",1 year
82,Ian Mahinmi,mahinia01,211,118,-1,-1,-1,-1,1,15944154.0,Right,"October 30, 2007","November 5, 1986",12 years
83,Chris McCullough,mcculch01,211,90,-1,-1,-1,1,-1,1191480.0,Right,"February 8, 2016","February 5, 1995",3 years
84,Markieff Morris,morrima02,206,111,-1,-1,-1,1,-1,7400000.0,Right,"December 26, 2011","September 2, 1989",11 years
85,Andrew Nicholson,nichoan01,206,113,-1,-1,-1,1,-1,6088993.0,Right,"November 2, 2012","December 8, 1989",5 years
86,Daniel Ochefu,ochefda01,211,111,-1,-1,-1,-1,1,543471.0,Right,"October 27, 2016","December 15, 1993",1 year
87,Kelly Oubre Jr.,oubreke01,201,92,-1,-1,1,-1,-1,2006640.0,Left,"October 30, 2015","December 9, 1995",7 years
88,Otto Porter Jr.,porteot01,203,89,-1,-1,1,2,-1,5893981.0,Right,"December 6, 2013","June 3, 1993",9 years
89,Tomáš Satoranský,satorto01,201,95,2,1,3,-1,-1,2870813.0,Right,"October 27, 2016","October 30, 1991",6 years
90,Jason Smith,smithja02,213,108,-1,-1,-1,2,1,5000000.0,Right,"October 31, 2007","March 2, 1986",11 years
91,Marcus Thornton,thornma01,193,92,-1,1,-1,-1,-1,1315448.0,Right,"November 6, 2009","June 5, 1987",8 years
92,John Wall,walljo01,190,95,1,-1,-1,-1,-1,16957900.0,Right,"October 28, 2010","September 6, 1990",10 years
93,Alan Anderson,anderal01,198,99,-1,2,1,-1,-1,1315448.0,Right,"November 12, 2005","October 16, 1982",8 years
94,Brandon Bass,bassbr01,203,113,-1,-1,-1,1,2,1551659.0,Right,"November 1, 2005","April 30, 1985",12 years
95,Jamal Crawford,crawfja01,196,83,2,1,-1,-1,-1,13253012.0,Right,"October 31, 2000","March 20, 1980",20 years
96,Raymond Felton,feltora01,185,92,1,2,-1,-1,-1,1551659.0,Right,"November 2, 2005","June 26, 1984",14 years
97,Blake Griffin,griffbl01,206,113,-1,-1,-1,1,2,20140838.0,Right,"October 27, 2010","March 16, 1989",12 years
98,Brice Johnson,johnsbr02,208,104,-1,-1,-1,1,-1,1273920.0,Right,"February 23, 2017","June 27, 1994",2 years
99,Wesley Johnson,johnswe01,201,97,-1,2,1,-1,-1,5628000.0,Right,"October 27, 2010","July 11, 1987",9 years
100,DeAndre Jordan,jordade01,211,120,-1,-1,-1,-1,1,21165675.0,Left,"November 1, 2008","July 21, 1988",14 years
101,Luc Mbah a Moute,mbahalu01,203,104,-1,-1,2,1,-1,2203000.0,Right,"October 28, 2008","September 9, 1986",12 years
102,Chris Paul,paulch01,183,79,1,-1,-1,-1,-1,22868827.0,Right,"November 1, 2005","May 6, 1985",17 years
103,Paul Pierce,piercpa01,201,106,-1,2,1,-1,-1,3500000.0,Right,"February 5, 1999","October 13, 1977",19 years
104,J.J. Redick,redicjj01,190,90,2,1,-1,-1,-1,7377500.0,Right,"November 25, 2006","June 24, 1984",15 years
105,Austin Rivers,riverau01,193,90,2,1,-1,-1,-1,11000000.0,Right,"October 31, 2012","August 1, 1992",10 years
106,Marreese Speights,speigma01,208,115,-1,-1,-1,2,1,1403611.0,Right,"October 31, 2008","August 4, 1987",10 years
107,Diamond Stone,stonedi01,211,115,-1,-1,-1,-1,1,543471.0,Right,"October 30, 2016","February 10, 1997",1 year
108,Avery Bradley,bradlav01,190,81,2,1,-1,-1,-1,8269663.0,Right,"November 22, 2010","November 26, 1990",12 years
109,Jaylen Brown,brownja02,198,101,-1,1,2,-1,-1,4743000.0,Right,"October 26, 2016","October 24, 1996",6 years
110,Jae Crowder,crowdja01,198,106,-1,-1,1,2,-1,6286408.0,Right,"October 30, 2012","July 6, 1990",10 years
111,Gerald Green,greenge01,198,92,-1,1,2,-1,-1,1410598.0,Right,"February 3, 2006","January 26, 1986",12 years
112,Al Horford,horfoal01,206,108,-1,-1,-1,-1,1,26540100.0,Right,"November 2, 2007","June 3, 1986",15 years
113,Demetrius Jackson,jacksde01,185,91,1,-1,-1,-1,-1,1450000.0,Right,"November 6, 2016","September 7, 1994",3 years
114,Jonas Jerebko,jerebjo01,208,104,-1,-1,-1,1,-1,5000000.0,Right,"October 31, 2009","March 2, 1987",9 years
