gameId,home_avg_shot_quality,away_avg_shot_quality
201610250CLE,,
201610250GSW,,
201610250POR,,
201610260BOS,,
201610260IND,,
201610260LAL,,
201610260MEM,,
201610260MIL,,
201610260NOP,,
201610260ORL,,
201610260PHI,,
201610260PHO,,
201610260TOR,,
201610270ATL,,
201610270CHI,,
201610270POR,,
201610270SAC,,
201610280BRK,,
201610280DAL,,
201610280DET,,
201610280MIA,,
201610280NOP,,
201610280OKC,,
201610280TOR,,
201610280UTA,,
201610290CHI,,
201610290CHO,,
201610290CLE,,
201610290DEN,,
201610290MIL,,
201610290NYK,,
201610290PHI,,
201610290SAC,,
201610290SAS,,
201610300DET,,
201610300HOU,,
201610300LAC,,
201610300MEM,,
201610300MIA,,
201610300OKC,,
201610300PHO,,
201610310ATL,,
201610310BRK,,
201610310LAC,,
201610310TOR,,
201611010CLE,,
201611010DET,,
201611010IND,,
201611010MIA,,
201611010MIN,,
201611010NOP,,
201611010PHI,,
201611010POR,,
201611010SAS,,
201611020ATL,,
201611020BOS,,
201611020BRK,,
201611020CHO,,
201611020LAC,,
201611020MEM,,
201611020NYK,,
201611020PHO,,
201611020UTA,,
201611020WAS,,
201611030CLE,,
201611030GSW,,
201611030MIL,,
201611030MIN,,
201611030ORL,54.745014555555564,58.85635618518519
201611040BRK,,
201611040CHI,,
201611040DAL,67.28119874074073,65.40724311111111
201611040LAL,66.14822829629631,67.68339574074075
201611040MEM,,
201611040NOP,63.942317888888894,63.93280351851852
201611040TOR,,
201611040UTA,58.671175814814816,57.06973888888889
201611040WAS,,
201611050ATL,68.13692292592593,61.762899481481476
201611050DET,,
201611050IND,61.42935192592593,68.14556499999999
201611050MIL,55.42451448148148,59.86045248148148
201611050OKC,,
201611050ORL,,
201611050PHI,65.57215151851852,65.71838948148148
201611050SAS,59.14644766666667,61.43577114814815
201611060BOS,67.32203162962965,63.947364888888885
201611060DAL,64.26283685185186,65.1878882962963
201611060LAL,67.04174692592592,66.48188448148149
201611060MEM,67.14223503703704,67.13135903703704
201611060NYK,56.088878740740746,57.72029533333333
201611060TOR,57.25581951851852,62.33231962962962
201611070CHI,62.787727851851855,62.13644981481481
201611070CHO,61.5914615925926,63.81427203703704
201611070GSW,66.39097192592594,66.82456022222223
201611070LAC,64.46858592592592,63.03565885185186
201611070OKC,66.94579722222224,61.99378225925925
201611070PHI,54.40783066666667,56.74386311111111
201611070WAS,68.25183707407407,61.147657
201611080BRK,58.68697551851852,63.157473333333336
201611080CLE,61.813518,60.39704374074074
201611080LAL,57.559658925925916,60.66699503703704
201611080MEM,66.3187224074074,63.47779929629629
201611080POR,65.93411637037039,64.8587978148148
201611080SAC,62.883378962962965,64.46458125925925
201611090ATL,61.57454125925926,66.721477
201611090CHO,56.02308577777777,56.207542444444435
201611090GSW,57.49000722222222,60.97474622222222
201611090IND,64.26434322222222,59.56466729629629
201611090LAC,62.11009874074075,63.85925451851851
201611090NYK,65.59645929629629,68.30517188888889
201611090OKC,61.97364744444447,59.01293744444445
201611090ORL,60.09924766666667,64.17052918518519
201611090PHO,61.913396259259265,58.65950051851852
201611090SAS,69.47548777777779,62.98077377777778
201611090WAS,61.874546444444455,64.31794070370371
201611100DEN,61.305973962962966,64.6808694814815
201611100MIA,61.115804370370384,62.875305074074085
201611100MIL,63.10964325925926,64.78084370370371
201611100SAC,63.048847037037056,63.894979111111105
201611110BOS,65.91417451851854,61.89177396296295
201611110CHO,63.15365337037038,58.59038811111111
201611110OKC,60.78702507407407,59.37589566666668
201611110ORL,57.01985348148147,58.755271074074074
201611110PHI,62.4167588888889,61.20252111111112
201611110POR,59.28175825925926,61.68795837037037
201611110SAS,61.939690370370364,56.942186481481485
201611110WAS,67.20886892592594,65.726697
201611120ATL,63.653467185185185,61.6680782962963
201611120CHI,63.0592218888889,57.97347451851853
201611120DEN,60.29978433333332,54.93619962962963
201611120HOU,58.23229203703703,55.132853111111125
201611120IND,65.64084788888889,65.24885807407409
201611120MIA,57.7334047037037,59.56240637037037
