gameId,home_avg_shot_quality,away_avg_shot_quality
201410280LAL,,
201410280NOP,,
201410280SAS,,
201410290BOS,,
201410290CHO,,
201410290DEN,,
201410290IND,,
201410290MEM,,
201410290MIA,,
201410290NYK,,
201410290PHO,,
201410290POR,,
201410290SAC,,
201410290TOR,,
201410290UTA,,
201410300CLE,,
201410300DAL,,
201410300LAC,,
201410300MIN,,
201410300ORL,,
201410310CHI,,
201410310IND,,
201410310LAL,,
201410310MIL,,
201410310PHO,,
201410310SAC,,
201411010ATL,,
201411010CHO,,
201411010DET,,
201411010GSW,,
201411010HOU,,
201411010MIN,,
201411010NOP,,
201411010OKC,,
201411010ORL,,
201411010PHI,,
201411010UTA,,
201411010WAS,,
201411020LAC,,
201411020MIA,,
201411020NYK,,
201411020POR,,
201411030BRK,,
201411030DAL,,
201411030DEN,,
201411030LAC,,
201411030MEM,,
201411030PHI,,
201411040CHI,,
201411040IND,,
201411040LAL,,
201411040MIA,,
201411040NOP,,
201411040NYK,,
201411040POR,,
201411040TOR,,
201411050BOS,,
201411050BRK,,
201411050CHO,,
201411050DET,,
201411050GSW,,
201411050MIL,,
201411050PHI,,
201411050PHO,,
201411050SAC,,
201411050SAS,,
201411050UTA,,
201411050WAS,,
201411060HOU,63.516824666666665,58.52679337037036
201411060POR,,
201411070BOS,,
201411070BRK,,
201411070CHO,54.53987785185185,56.39339562962964
201411070DEN,,
201411070DET,,
201411070OKC,55.64163322222222,62.12634633333333
201411070ORL,59.55638562962963,61.98090533333334
201411070PHI,65.97959322222223,59.63435870370371
201411070PHO,59.11302425925925,62.71068907407407
201411070TOR,57.48942092592593,61.01195533333333
201411070UTA,61.53680051851852,63.199598
201411080ATL,,
201411080CHI,58.94115933333334,64.45584337037037
201411080HOU,64.65382333333334,59.30825392592592
201411080IND,58.78601307407407,55.479646555555554
201411080LAC,52.967192888888896,58.30451133333334
201411080MIA,57.97453385185186,55.95739070370371
201411080MIL,57.772705074074075,59.81313637037037
201411080SAS,,
201411090BRK,58.98450874074075,59.57226137037037
201411090DAL,67.41748500000001,61.52779577777778
201411090DET,59.120979444444444,58.05986277777778
201411090LAL,57.77323574074073,59.76983859259258
201411090OKC,56.13390725925925,62.230368444444444
201411090PHO,62.777368037037036,65.20949262962964
201411090POR,59.5130261851852,54.30478814814815
201411090TOR,55.762264370370374,59.291281222222224
201411100CHI,53.826930814814816,64.12978548148148
201411100CLE,59.59395674074074,60.496655777777775
201411100IND,59.38617966666667,56.50602677777778
201411100LAC,53.9977568888889,55.18527607407407
201411100NYK,56.020031259259284,56.63087507407407
201411110DAL,65.75037977777778,61.31983155555556
201411110GSW,56.8433841851852,62.32536340740741
201411110MEM,59.40915944444445,56.63360714814816
201411110MIL,56.331255925925916,58.56996318518519
201411110POR,61.93089396296297,57.91012407407406
201411110TOR,59.35562822222223,58.04047811111111
201411120ATL,61.60352662962963,57.46619044444445
201411120BOS,64.41744814814815,62.752950074074064
201411120DEN,64.06057711111112,65.16818337037037
201411120MIA,58.90757507407407,56.36157459259259
201411120MIN,60.61432307407408,55.47348051851852
201411120NOP,66.05057537037037,62.270936962962956
201411120NYK,57.50185888888891,58.55218855555556
201411120PHO,61.5607682962963,64.15144403703702
201411120WAS,57.54954107407408,55.207599259259254
201411130DAL,62.38028496296297,59.604817814814815
201411130GSW,58.65661977777779,58.60277270370371
201411130MEM,61.2236618888889,58.282256296296296
201411130TOR,60.01425788888889,58.78515077777779
201411140ATL,61.790736555555554,59.70671637037039
201411140BOS,61.69589781481481,62.182721444444454
201411140HOU,65.48393566666667,58.863459666666664
201411140IND,59.39356344444443,57.36774492592593
201411140LAL,61.478941592592605,60.788636592592596
201411140NOP,64.31502607407408,61.7372117037037
201411140NYK,55.75347985185188,57.83962225925927
201411140OKC,58.907833999999994,60.73602588888889
201411140ORL,58.7258361851852,56.71883507407408
201411140PHO,60.05767092592593,62.09787425925926
201411150CHI,53.555049777777775,67.40989251851852
201411150CLE,63.95511844444443,61.208659
201411150DAL,59.101577074074065,60.03217925925926
201411150GSW,59.64919196296297,59.82571848148147
201411150LAC,55.25535981481481,55.301131
201411150MEM,57.75320911111112,58.169171148148145
201411150POR,60.074790259259274,61.65456733333332
201411150SAC,60.26626125925926,59.72230529629629
201411150TOR,61.591491111111125,59.48567192592593
201411150WAS,57.71229155555555,57.091616185185195
201411160LAL,62.72072866666666,58.51445862962963
201411160MIA,57.935894777777776,56.99863362962964
201411160NYK,55.16658422222224,54.71947088888889
201411160OKC,64.0376795185185,62.64793603703704
201411170BOS,59.93985518518518,61.97644629629629
201411170BRK,59.394429703703715,59.97702614814814
201411170CHO,58.517150444444454,61.461805000000005
201411170CLE,64.47815314814814,64.91775470370371
201411170DET,60.61984122222221,65.92059148148148
201411170LAC,61.73050248148148,52.835741740740744
201411170MEM,60.55680329629629,60.84829403703704
201411170POR,59.887755703703704,61.7148958148148
201411170SAS,61.484759925925914,56.52238218518519
201411180ATL,57.21789748148149,62.262308000000004
201411180MIL,58.46896348148147,60.26162588888889
201411180SAC,59.35852918518519,61.589449629629634
201411180UTA,54.70980370370371,61.309451814814814
201411190BRK,58.15005633333334,59.60370285185185
201411190CLE,66.70943518518519,65.47064644444444
201411190DEN,65.87949459259261,61.88409392592591
201411190DET,61.989610333333324,63.70699485185186
201411190HOU,69.0690288888889,60.158659185185186
201411190IND,56.57738222222222,57.53432500000001
201411190MIN,61.75679085185185,60.229469740740726
201411190ORL,55.94030355555556,55.90867311111111
201411190PHI,63.97225422222222,64.18185166666667
201411190TOR,60.74524981481483,59.64135911111113
201411190WAS,57.16492792592593,57.08732537037038
201411200MIA,55.46996055555555,55.492226629629634
201411200SAC,57.57297603703704,60.17997137037037
201411210ATL,57.35486722222222,63.32083544444445
201411210CHO,55.475096777777765,57.78697125925926
201411210DAL,57.40525155555556,61.12006525925926
201411210DEN,62.288026259259276,60.60150362962962
201411210GSW,58.24829911111112,58.55535251851852
201411210MEM,61.36733066666667,59.16563225925927
201411210MIN,56.7807961111111,59.96743785185184
201411210OKC,62.591568481481474,61.683356037037036
201411210PHI,65.46405966666666,63.27022788888888
201411210POR,61.221364074074074,63.45482537037036
201411210TOR,61.12782214814814,59.32863662962965
201411210WAS,55.310981370370385,56.617272259259266
201411220CLE,61.891351259259274,62.68106622222221
