gameId,home_avg_shot_quality,away_avg_shot_quality
202012220BRK,,
202012220LAL,,
202012230BOS,,
202012230CHI,,
202012230CLE,,
202012230DEN,,
202012230IND,,
202012230MEM,,
202012230MIN,,
202012230ORL,,
202012230PHI,,
202012230PHO,,
202012230POR,,
202012230TOR,,
202012250BOS,,
202012250DEN,,
202012250LAL,,
202012250MIA,,
202012250MIL,,
202012260CHI,,
202012260CHO,,
202012260DET,,
202012260MEM,,
202012260NYK,,
202012260POR,,
202012260SAC,,
202012260SAS,,
202012260UTA,,
202012260WAS,,
202012270CHI,,
202012270CHO,,
202012270CLE,,
202012270IND,,
202012270LAC,,
202012270LAL,,
202012270NOP,,
202012270NYK,,
202012270SAC,,
202012270WAS,,
202012280ATL,,
202012280BRK,,
202012280DEN,,
202012280LAL,,
202012280OKC,,
202012290CLE,,
202012290DET,,
202012290IND,,
202012290LAC,,
202012290MIA,,
202012290OKC,,
202012290PHI,,
202012290PHO,,
202012290SAC,,
202012290WAS,,
202012300BOS,,
202012300BRK,,
202012300DAL,,
202012300LAC,,
202012300MIA,,
202012300SAS,,
202012310HOU,,
202012310IND,,
202012310OKC,,
202012310ORL,,
202012310TOR,,
202012310UTA,,
202012310WAS,,
202101010BRK,,
202101010CHO,,
202101010DAL,,
202101010DEN,67.21415855555556,64.56539396296299
202101010DET,64.23951585185186,69.90934085185185
202101010GSW,,
202101010MIL,71.3928341851852,64.05000603703704
202101010MIN,61.23370233333334,62.95629762962964
202101010SAS,72.89727518518518,67.7527231851852
202101010UTA,65.29129400000002,64.58234692592592
202101020ATL,69.57099703703705,73.32785825925927
202101020HOU,73.39693099999998,71.29311051851853
202101020IND,69.59094229629629,71.08360911111113
202101020NOP,,
202101020ORL,,
202101020PHI,70.92747374074075,73.30134814814815
202101030BRK,62.89923007407408,64.8944898888889
202101030CHI,65.81785077777778,62.37633025925926
202101030DET,63.15752651851852,69.7036142962963
202101030GSW,70.8074838888889,68.82396148148149
202101030MEM,72.62415885185185,67.6646681851852
202101030MIN,64.16922796296296,69.85627466666668
202101030PHO,63.86574262962964,67.12641296296297
202101030SAS,70.42420118518518,71.67272937037039
202101040ATL,68.875941,68.79208122222224
202101040GSW,72.59945740740741,68.95039100000001
202101040HOU,66.08594707407406,64.23918011111111
202101040MIA,71.34709455555557,74.18234733333335
202101040MIL,70.94208570370371,73.21445403703704
202101040NOP,66.06188625925928,68.37034196296297
202101040ORL,69.14918437037038,72.97978581481482
202101040PHI,70.73469762962962,72.31046381481482
202101040TOR,65.73158596296298,69.15842037037038
202101050BRK,69.85606525925925,74.31349825925926
202101050DEN,75.43134562962962,72.82223574074075
202101050LAC,72.65066855555555,72.55808548148147
202101050MEM,73.42653725925926,69.13181240740741
202101050POR,68.87906222222223,62.25817970370372
202101060ATL,69.91742285185185,72.38074122222221
202101060GSW,64.08077866666667,67.47960529629631
202101060IND,71.44850948148151,70.71633625925926
202101060MIA,65.80154355555558,69.36609540740741
202101060MIL,68.96096625925925,70.9235881851852
202101060NOP,69.61771981481482,71.42110203703704
202101060NYK,68.30182955555557,73.91112281481483
202101060ORL,66.97231337037037,70.1932920740741
202101060PHI,66.43192933333333,64.50369785185185
202101060PHO,71.71619877777779,70.38941096296297
202101060SAC,66.13280296296296,64.02519003703705
202101070BRK,69.81463677777778,67.10137229629632
202101070DEN,65.58566962962963,63.30264092592593
202101070LAL,71.0753761851852,69.88341259259258
202101070MEM,67.54413896296296,67.17930892592594
202101070POR,74.89827033333333,70.86024051851851
202101080BOS,69.41585762962964,63.00086714814815
202101080DET,58.50991233333334,63.81392844444446
202101080GSW,62.205612444444455,66.26108200000002
202101080HOU,69.25929388888889,68.76140225925926
202101080LAL,67.87002014814814,67.93546974074074
202101080MEM,73.3348384074074,72.11839177777777
202101080MIL,70.25372407407409,73.85005370370372
202101080NOP,70.84173325925926,73.84703362962964
202101080NYK,69.68903044444446,70.3622481851852
202101080SAC,69.05870896296298,67.0980032962963
202101090CHO,73.1534922962963,73.45168829629628
202101090DAL,67.34605685185186,70.49886603703706
202101090IND,61.44657792592593,64.80105418518521
202101090MIL,67.82560270370371,66.08901970370373
202101090MIN,71.18604492592594,70.35526629629629
202101090PHI,66.80059037037037,70.55321270370371
202101090SAC,69.85992781481484,67.49971896296297
202101090WAS,70.8878098148148,61.38603951851852
202101100BRK,69.14361444444447,70.42991748148147
202101100DET,72.90794544444445,76.11869500000003
202101100GSW,70.7521587777778,68.01493255555555
202101100HOU,69.81035640740743,68.38101274074074
202101100LAC,68.68969037037036,69.12071522222222
202101100MIN,73.01025022222225,72.12381433333333
202101100NYK,67.92132666666666,69.92931166666668
202101110ATL,70.12667307407408,71.68211485185186
202101110CHO,70.43935681481483,67.41790351851851
202101110CLE,66.94997666666667,70.51487762962964
202101110ORL,71.20258877777778,70.63172896296297
202101110POR,72.48563696296297,69.1521247037037
202101110SAC,68.70561974074076,72.02711962962962
202101110WAS,62.70915185185186,65.84978385185185
202101120BRK,71.09581555555556,68.77098488888889
202101120CLE,73.24073829629631,75.68918448148148
202101120GSW,72.73538511111113,71.708845
202101120HOU,69.77516074074076,71.47588062962964
202101120OKC,73.13145622222224,73.16783877777777
202101120PHI,70.75205133333333,63.35221807407409
202101130CHO,65.28409851851852,65.63703759259258
202101130DET,72.65771796296296,71.21358051851851
202101130LAC,73.9080225925926,69.61544907407406
202101130MIN,64.92354748148148,70.21956914814817
202101130NYK,67.7558194814815,72.67046622222223
202101130OKC,68.43479703703704,72.0607675925926
202101130SAC,74.16783274074075,68.70790003703704
