,1,0,Prob
1xBet,835,395,0.6788617886178862
Coolbet,840,390,0.6829268292682927
Marathonbet,832,392,0.6797385620915033
Pinnacle,838,392,0.6813008130081301
Unibet,838,391,0.6818551668022783
William Hill,834,396,0.6780487804878049
bet-at-home,835,390,0.6816326530612244
bet365,837,393,0.6804878048780488
bwin,834,396,0.6780487804878049
