"('probCut', '1xBet (%)')","('colWin', 'win')",1xBet (%),Coolbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
"(0, 10]",-1,,100.0,,,,,,100.0,
"(0, 10]",1,,0.0,,,,,,0.0,
"(10, 20]",-1,92.85714285714286,92.5925925925926,92.85714285714286,92.85714285714286,92.0,92.0,92.0,92.5925925925926,88.88888888888889
"(10, 20]",1,7.142857142857143,7.407407407407407,7.142857142857143,7.142857142857143,8.0,8.0,8.0,7.407407407407407,11.11111111111111
"(20, 30]",-1,78.04878048780488,76.62337662337663,76.54320987654322,75.29411764705883,74.02597402597402,72.91666666666667,80.28169014084507,75.9493670886076,76.3157894736842
"(20, 30]",1,21.951219512195124,23.376623376623378,23.45679012345679,24.705882352941178,25.974025974025974,27.083333333333332,19.718309859154928,24.050632911392405,23.68421052631579
"(30, 40]",-1,66.42857142857143,68.14814814814815,69.71830985915493,69.06474820143885,71.22302158273381,70.62937062937063,66.66666666666667,68.91891891891892,69.79865771812081
"(30, 40]",1,33.57142857142857,31.85185185185185,30.281690140845072,30.93525179856115,28.776978417266186,29.37062937062937,33.333333333333336,31.08108108108108,30.201342281879196
"(40, 50]",-1,52.09580838323353,51.515151515151516,50.292397660818715,50.29940119760479,50.0,48.25174825174825,51.89873417721519,50.32258064516129,52.147239263803684
"(40, 50]",1,47.90419161676647,48.484848484848484,49.707602339181285,49.70059880239521,50.0,51.74825174825175,48.10126582278481,49.67741935483871,47.852760736196316
"(50, 60]",-1,43.75,48.50299401197605,44.6927374301676,45.78313253012048,46.96132596685083,46.89265536723164,47.90419161676647,45.45454545454545,44.827586206896555
"(50, 60]",1,56.25,51.49700598802395,55.3072625698324,54.21686746987952,53.03867403314917,53.10734463276836,52.09580838323353,54.54545454545455,55.172413793103445
"(60, 70]",-1,36.75213675213675,37.99126637554585,35.96491228070175,36.666666666666664,37.83783783783784,39.320388349514566,39.301310043668124,39.24050632911393,39.224137931034484
"(60, 70]",1,63.24786324786325,62.00873362445415,64.03508771929825,63.333333333333336,62.16216216216216,60.679611650485434,60.698689956331876,60.75949367088607,60.775862068965516
"(70, 80]",-1,26.804123711340207,24.75728155339806,24.623115577889447,26.020408163265305,26.470588235294116,25.0,27.956989247311828,25.728155339805824,26.146788990825687
"(70, 80]",1,73.19587628865979,75.24271844660194,75.37688442211055,73.9795918367347,73.52941176470588,75.0,72.04301075268818,74.27184466019418,73.85321100917432
"(80, 90]",-1,15.384615384615385,18.367346938775512,18.367346938775512,18.666666666666668,18.06451612903226,21.830985915492956,20.666666666666668,19.696969696969695,17.91044776119403
"(80, 90]",1,84.61538461538461,81.63265306122449,81.63265306122449,81.33333333333333,81.93548387096774,78.16901408450704,79.33333333333333,80.3030303030303,82.08955223880596
"(90, 100]",-1,8.0,13.157894736842104,6.122448979591836,8.474576271186441,9.375,10.204081632653061,10.576923076923077,10.989010989010989,11.627906976744185
"(90, 100]",1,92.0,86.84210526315789,93.87755102040816,91.52542372881356,90.625,89.79591836734694,89.42307692307692,89.01098901098901,88.37209302325581
