"('probCut', '1xBet (%)')","('colWin', 'win')",1xBet (%),Coolbet (%),Marathonbet (%),Pinnacle (%),Unibet (%),William Hill (%),bet-at-home (%),bet365 (%),bwin (%)
"(0, 10]",-1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"(0, 10]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(10, 20]",-1,85.71428571428571,85.29411764705883,86.48648648648648,82.85714285714286,88.88888888888889,87.5,85.18518518518519,87.87878787878788,83.87096774193549
"(10, 20]",1,14.285714285714286,14.705882352941176,13.513513513513514,17.142857142857142,11.11111111111111,12.5,14.814814814814815,12.121212121212121,16.129032258064516
"(20, 30]",-1,75.78947368421052,76.74418604651163,74.4186046511628,75.86206896551724,74.46808510638297,73.80952380952381,77.38095238095238,74.4186046511628,77.6470588235294
"(20, 30]",1,24.210526315789473,23.25581395348837,25.58139534883721,24.137931034482758,25.53191489361702,26.19047619047619,22.61904761904762,25.58139534883721,22.352941176470587
"(30, 40]",-1,60.714285714285715,62.71186440677966,60.65573770491803,60.76923076923077,63.63636363636363,61.98347107438016,63.20754716981132,61.029411764705884,59.66386554621849
"(30, 40]",1,39.285714285714285,37.28813559322034,39.34426229508197,39.23076923076923,36.36363636363637,38.01652892561984,36.79245283018868,38.970588235294116,40.33613445378151
"(40, 50]",-1,50.887573964497044,50.602409638554214,50.89820359281437,51.25,50.87719298245614,50.303030303030305,51.4792899408284,50.33112582781457,52.071005917159766
"(40, 50]",1,49.112426035502956,49.397590361445786,49.10179640718563,48.75,49.12280701754386,49.696969696969695,48.5207100591716,49.66887417218543,47.928994082840234
"(50, 60]",-1,48.51485148514851,50.28901734104046,48.63387978142077,47.8494623655914,48.86363636363637,49.42528735632184,50.279329608938546,49.35897435897436,48.648648648648646
"(50, 60]",1,51.48514851485149,49.71098265895954,51.36612021857923,52.1505376344086,51.13636363636363,50.57471264367816,49.720670391061454,50.64102564102564,51.351351351351354
"(60, 70]",-1,33.980582524271846,34.12322274881517,34.403669724770644,34.92822966507177,36.8421052631579,34.61538461538461,36.44859813084112,37.66816143497758,36.507936507936506
"(60, 70]",1,66.01941747572816,65.87677725118483,65.59633027522936,65.07177033492823,63.1578947368421,65.38461538461539,63.55140186915888,62.33183856502242,63.492063492063494
"(70, 80]",-1,22.164948453608247,25.136612021857925,21.925133689839573,21.761658031088082,23.115577889447238,24.456521739130434,26.40449438202247,23.68421052631579,24.623115577889447
"(70, 80]",1,77.83505154639175,74.86338797814207,78.07486631016043,78.23834196891191,76.88442211055276,75.54347826086956,73.59550561797752,76.3157894736842,75.37688442211055
"(80, 90]",-1,20.54794520547945,19.631901840490798,19.871794871794872,20.0,18.867924528301888,18.471337579617835,17.532467532467532,18.79194630872483,19.333333333333332
"(80, 90]",1,79.45205479452055,80.3680981595092,80.12820512820512,80.0,81.13207547169812,81.52866242038216,82.46753246753246,81.20805369127517,80.66666666666667
"(90, 100]",-1,10.526315789473685,10.526315789473685,11.11111111111111,11.538461538461538,11.904761904761905,13.541666666666666,13.675213675213675,13.333333333333334,11.764705882352942
"(90, 100]",1,89.47368421052632,89.47368421052632,88.88888888888889,88.46153846153847,88.0952380952381,86.45833333333333,86.32478632478633,86.66666666666667,88.23529411764706
