,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState
Bookmaker,winner,teamHome,teamAway,timeOfDay,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610260ORL,MIA,ORL,MIA,7:00p,"Amway Center, Orlando, Florida",27,26,16,27,[],96,0,,"['fournev01', 'paytoel01', 'ibakase01', 'vucevni01', 'gordoaa01', 'greenje02', 'augusdj01', 'hezonma01', 'wilcocj01', 'watsocj01', 'rudezda01', 'onuakar01', 'biyombi01']","[0, 0]",0,23,27,30,28,[],108,0,,"['winslju01', 'waitedi01', 'whiteha01', 'dragigo01', 'babbilu01', 'johnsty01', 'johnsja01', 'mcgruro01', 'reedwi02', 'richajo01', 'willide02', 'hasleud01', 'mcrobjo01']","[0, 0]",0,division
201610260PHI,OKC,PHI,OKC,8:00p,"Wells Fargo Center, Philadelphia, Pennsylvania",24,27,24,22,[],97,0,,"['covinro01', 'rodrise01', 'saricda01', 'hendege02', 'embiijo01', 'stausni01', 'grantje01', 'mccontj01', 'okafoja01', 'thompho01', 'holmeri01', 'luwawti01']","[0, 0]",0,23,28,18,34,[],103,0,,"['westbru01', 'adamsst01', 'roberan03', 'oladivi01', 'sabondo01', 'kanteen01', 'singlky01', 'ilyaser01', 'chrisse01', 'abrinal01', 'morroan01', 'lauvejo01', 'collini01']","[0, 0]",0,none
201610260PHO,SAC,PHO,SAC,10:00p,"Talking Stick Resort Arena, Phoenix, Arizona",19,19,29,27,[],94,0,,"['warretj01', 'bledser01', 'dudleja01', 'bookede01', 'chandty01', 'knighbr03', 'lenal01', 'chrisma01', 'ulisty01', 'bendedr01', 'tuckepj01', 'barbole01', 'willial03']","[0, 0]",0,30,27,27,29,[],113,0,,"['lawsoty01', 'gayru01', 'afflaar01', 'couside01', 'koufoko01', 'barnema02', 'caulewi01', 'templga01', 'mclembe01', 'tollian01', 'casspom01', 'richama01', 'collida01']","[0, 0]",0,division
201610260TOR,TOR,TOR,DET,7:30p,"Air Canada Centre, Toronto, Canada",33,25,28,23,[],109,0,,"['lowryky01', 'valanjo01', 'derozde01', 'carrode01', 'siakapa01', 'pattepa01', 'josepco01', 'rosste01', 'poeltja01', 'powelno01', 'noguelu01', 'vanvlfr01', 'cabocbr01']","[0, 0]",0,23,23,25,20,[],91,0,,"['caldwke01', 'harrito02', 'smithis01', 'morrima03', 'drumman01', 'leuerjo01', 'baynear01', 'udrihbe01', 'johnsst04', 'marjabo01', 'gbinimi01', 'ellenhe01', 'hillida01']","[0, 0]",0,conference
201610270ATL,ATL,ATL,WAS,7:30p,"Philips Arena, Atlanta, Georgia",29,28,24,33,[],114,0,,"['millspa01', 'howardw01', 'bazemke01', 'schrode01', 'korveky01', 'muscami01', 'hardati02', 'sefolth01', 'delanma01', 'humphkr01', 'princta02', 'bembrde01', 'tavarwa01']","[0, 0]",0,27,29,24,19,[],99,0,,"['gortama01', 'walljo01', 'morrima02', 'porteot01', 'bealbr01', 'oubreke01', 'thornma01', 'nichoan01', 'burketr01', 'smithja02', 'mcclesh01', 'satorto01', 'ochefda01']","[0, 0]",0,division
201610270CHI,CHI,CHI,BOS,8:00p,"United Center, Chicago, Illinois",30,27,22,26,[],105,0,,"['butleji01', 'rondora01', 'wadedw01', 'gibsota01', 'lopezro01', 'mirotni01', 'mcderdo01', 'cartemi01', 'feliccr01', 'canaais01', 'zipsepa01', 'valende01', 'portibo01']","[0, 0]",0,20,29,24,26,[],99,1,1.0,"['bradlav01', 'crowdja01', 'thomais02', 'horfoal01', 'johnsam01', 'roziete01', 'brownja02', 'zellety01', 'greenge01', 'jerebjo01', 'youngja01', 'mickejo01', 'jacksde01']","[1, 0]",0,conference
201610270POR,LAC,POR,LAC,10:30p,"Moda Center, Portland, Oregon",27,22,33,24,[],106,1,2.0,"['mccolcj01', 'lillada01', 'harklma01', 'plumlma01', 'aminual01', 'crabbal01', 'turneev01', 'davised01', 'vonleno01', 'napiesh01', 'leoname01', 'laymaja01', 'connapa01']","[1, 0]",0,28,30,24,32,[],114,0,,"['griffbl01', 'paulch01', 'redicjj01', 'jordade01', 'mbahalu01', 'riverau01', 'crawfja01', 'feltora01', 'speigma01', 'johnswe01', 'anderal01', 'stonedi01', 'bassbr01']","[0, 0]",0,conference
201610270SAC,SAS,SAC,SAS,10:30p,"Golden 1 Center, Sacramento, California",29,28,14,23,[],94,1,1.0,"['couside01', 'lawsoty01', 'afflaar01', 'gayru01', 'koufoko01', 'barnema02', 'tollian01', 'templga01', 'caulewi01', 'mclembe01', 'richama01', 'collida01', 'casspom01']","[1, 0]",0,27,26,23,26,[],102,1,2.0,"['leonaka01', 'aldrila01', 'anderky01', 'parketo01', 'gasolpa01', 'dedmode01', 'millspa02', 'ginobma01', 'simmojo02', 'leeda02', 'bertada01', 'forbebr01', 'laproni01']","[1, 0]",0,conference
201610280BRK,BRK,BRK,IND,7:30p,"Barclays Center, Brooklyn, New York",20,32,20,31,[],103,-1,2.0,"['linje01', 'bogdabo02', 'booketr01', 'lopezbr01', 'holliro01', 'hamilju01', 'kilpase01', 'harrijo01', 'scolalu01', 'vasqugr01', 'whiteis01', 'mcculch01', 'bennean01']","[0, 1]",0,27,21,31,15,[],94,1,2.0,"['georgpa01', 'youngth01', 'ellismo01', 'turnemy01', 'teaguje01', 'milescj01', 'robingl02', 'youngjo01', 'jeffeal01', 'allenla01', 'stuckro01', 'serapke01', 'niangge01']","[1, 0]",0,conference
201610280DAL,HOU,DAL,HOU,8:30p,"American Airlines Center, Dallas, Texas",24,26,17,31,[],98,-1,2.0,"['barneha02', 'matthwe02', 'willide01', 'bareajo01', 'bogutan01', 'curryse01', 'anderju01', 'poweldw01', 'acyqu01', 'brussni01', 'mejrisa01', 'finnedo01', 'hammoaj01']","[0, 1]",0,24,28,25,29,[],106,-1,2.0,"['hardeja01', 'arizatr01', 'gordoer01', 'capelca01', 'anderry01', 'mcdankj01', 'hilarne01', 'ennisty01', 'dekkesa01', 'breweco01', 'harremo01', 'brownbo02', 'wiltjky01']","[0, 1]",0,division
