index,elo_prob1,raptor_prob1,elo1_pre,elo2_pre,raptor1_pre,raptor2_pre,perMetricEloAway,perMetricEloHome,perMetricEloNAway,perMetricEloNHome,perMetricRaptorAway,perMetricRaptorHome,perMetricRaptorNAway,perMetricRaptorNHome
201810290NYK,0.5657929784979717,0.516479647516757,1391.12909422922,1445.1448096453,1328.04681631236,1455.33569509036,0.0935465042651479,-1.1617361388972292,0.1115855083644565,-0.4770037431045658,-0.2198401421227958,-0.4458264098369882,-0.1287865301333956,-0.0490240405090945
201810290MIN,0.6591271751174743,0.6059820016541857,1506.10871539352,1491.55798027474,1539.88394172842,1571.69611576427,-0.6442321312115942,-1.0629405812004222,-0.6743274481266662,-0.4259615974499405,-1.4496385348683156,-1.2766461849549595,-1.1780652449564395,-0.6684122100218174
201810290CHI,0.2034820913270138,0.1793913729569493,1370.12691244548,1707.19465335219,1354.18939172391,1762.84212159069,1.0451163232687837,0.2173666726466336,0.6223140968614332,-0.3666572728369785,0.7499293539206962,0.1817418117284099,0.474680621685827,-0.3789305563212617
201810290MIL,0.6013048906017852,0.5480363825329312,1583.1067030251,1611.72517194485,1593.28775939789,1659.97693341697,1.8695122547789824,2.44483885448473,1.211728382025905,1.5546205479689312,1.5464671036795776,2.1011987129733543,0.972846141937031,1.272113153970955
201810300CHO,0.6687234479983184,0.68564768629299,1514.11495617033,1492.09261448885,1494.3052111326,1504.97902968451,-0.5309582548405656,-0.4700138668027138,-0.2430870990094066,-0.0831418452499683,-0.6484345131186018,-0.0506146781956093,-0.2087307746504582,0.2138007213719204
201810300ORL,0.535072643592372,0.756445446881511,1361.06499740418,1436.65393873493,1416.85704383639,1354.11327972367,1.7492387063551775,0.2665151477528074,0.5576488033895138,0.3259209122658895,2.51768984074259,-0.1047759356889743,0.976534591957582,0.1342017261227911
201810300CLE,0.7356913521307947,0.7114066054941817,1466.21511733088,1388.38140609967,1362.90161946729,1352.7919967239,-0.4155866122557161,-3.137445435231341,-0.191275832077543,-1.7773965331870745,-0.5021764664647139,-2.1328137629017143,-0.2811985458569862,-1.1369445580312212
201810300TOR,0.6552421641710325,0.7022238177821963,1601.56948218533,1590.01440608944,1660.22576518717,1605.16000595057,-0.6701874769881577,1.4708171453807672,-0.6208242825615473,1.4007614039487375,-0.6133607667971166,1.094503486212509,-0.5358512873437149,1.1361116518648655
201810310BRK,0.5642140713317938,0.6574366298782152,1431.90401662241,1487.03573255555,1448.83686617659,1475.5403561272,0.7689180364177477,-0.3406605172368802,0.9344176647514596,0.1023363179300591,0.7895734589970389,-0.7033604946060388,0.9294455874884796,-0.1941433818680885
201810310MIN,0.4497627965549992,0.5114004231818141,1510.0583768265,1645.08494584844,1541.00263390722,1638.15401527627,0.4699051733490917,-0.7220677563178963,-0.1351023374027361,-0.486903656245696,0.2986591912540333,-0.8826281866091454,-0.2413113369620282,-0.7364525928814721
201810310NYK,0.4111694381341391,0.3467852102303377,1404.36988725211,1566.75769384881,1331.49608648318,1537.94986326068,0.0635937912160318,-0.7275291173952008,0.051055726705458,-0.6535680146907649,0.1051202388853935,0.0376939426462548,0.2050807818985599,-0.1141728747891663
201810310CHI,0.3297869565539224,0.2879489799756262,1363.56847153038,1586.76023187177,1348.89478480947,1609.32477219953,1.2242095077776505,0.0138845813196197,0.9851839369412204,-0.3427661839759146,0.9637625988289747,0.0023504387714607,0.8174776026379229,-0.3582104603748717
201810310LAL,0.7707114005177815,0.8367771790113193,1487.60831884176,1377.00459019926,1565.6434561797,1374.13615702855,-0.4997919898796703,-0.98510495609412,-0.0142777808748366,-0.7928582179021104,-0.4736569419061203,-1.84365653321413,0.0127491118598871,-1.4060958619423545
201810310PHO,0.351535150395116,0.4877666284885965,1318.52354459589,1524.89061770195,1354.83041991347,1465.36411392837,0.4792349690933433,-0.6423758411301352,0.2794190217732399,-0.0608160295023506,1.07635696360237,-0.5309932660007362,0.6427867072650977,-0.0439033312170253
201810310GSW,0.7980577823152324,0.8372799588719991,1713.75309426729,1575.03020797559,1764.64921945841,1567.09315917255,0.3728291338314666,1.2485984145957971,0.875838276141058,0.6977176934079689,0.5726962985861106,0.9293207268776458,0.9162551381712368,0.5073791834262148
201811010CHO,0.6063208504440742,0.485928375038112,1521.13890382607,1546.11486807845,1504.45869521049,1618.6696644755,-1.6496008719624875,-0.1387373148010322,-1.394515606707171,-0.0834147009448852,-2.138436039815568,0.2637376355114007,-1.6129608807974076,0.2524822706241833
201811010CLE,0.4786155057736401,0.3862075839488722,1474.31846539716,1589.18700414497,1374.41364114434,1601.21936925586,1.553996464331573,-2.873136787362136,1.1514687132518815,-2.200149495440136,1.251711578804601,-1.844220368395896,0.9555209755874476,-1.425162881656287
201811010PHI,0.6909239977795252,0.8093015346277713,1580.7422299313,1540.99623350462,1602.39563446165,1449.27028814076,0.8721503112999498,-1.014945312817125,0.6131123768350022,-0.7411834490759702,1.7813756385546466,-0.91113694901492,1.1260835065499473,-0.6502303214604523
201811010ATL,0.5483672206905034,0.6286125293045729,1380.27805803339,1446.56364558597,1341.31189895284,1350.37154499221,2.28431134994755,-0.6798952601249213,1.0175904430668905,-0.249282290078031,3.2741352876241008,-0.7907698609705323,1.5825353160882258,-0.3415623646309607
201811010BOS,0.6346987263058614,0.6544342061013397,1589.22896891217,1593.26239278462,1621.88369423059,1608.47219659243,2.843533963882945,1.069354754334248,1.9254134899306208,0.3984699892919718,2.553162330440423,0.7139006170979796,1.609142878793809,0.1477401401067825
201811010POR,0.6803903511227466,0.6222126123020837,1602.76629145046,1571.51098581669,1518.90518632192,1563.54746432519,0.1708869161466992,1.0774715090252451,0.7796378419811033,0.3318728006780318,0.4099762574581098,1.8989011591836653,0.8575799363398301,0.8576711037378661
201811020ORL,0.3808334016031787,0.6628693631078892,1351.15529055314,1535.58428573375,1421.30212076321,1448.51413036848,0.5630743090794752,-0.2685574958395644,0.7197157331283998,0.192677071953817,1.590677173182418,-0.8612213825704855,1.3562810761810689,-0.0892870067545697
201811020BRK,0.4644645543015536,0.3731387390391845,1435.3047638112,1560.03902165562,1444.95594863856,1636.36312559047,-2.922452912375736,0.0951254114313258,-1.4364877154279236,0.1080082328176437,-3.177904637068353,-0.3607971244842538,-1.4702824626879407,-0.2397089782161837
201811020CHI,0.3446049873540662,0.380034922028432,1361.14169925718,1572.8143287187,1353.66095905523,1540.58760718487,0.4747632293501711,-0.3159023752343026,0.1718916368738686,-0.2987337801559206,0.4519054491157313,-0.2855985412041653,0.2911705159817405,-0.3120745897359938
201811020WAS,0.5117691096956534,0.5993117197243822,1462.45327681492,1554.27375093926,1551.4564291095,1617.66981687176,-1.043280021518413,-1.789831266451182,-1.5284406519891889,-1.0468235136697626,-1.652507664777456,-2.682877473268873,-1.852867049110796,-1.592715977491291
201811020DAL,0.6091766100741276,0.6916207414735587,1375.41832135288,1398.31325238222,1377.11818505065,1333.6579453443,-1.1386985555293396,-0.7290805893618888,-0.8409506431766015,-0.1596203168058752,-0.3090912675840829,-0.6368797628948011,-0.1998166044739281,-0.1189088530710083
201811020UTA,0.870142099973782,0.8641273630447244,1638.75524892305,1408.30652648286,1630.73916492805,1441.56086355299,1.5133517293299192,-0.0803320300959091,0.7488042021505388,-0.2026690164167926,1.1506227649746017,-0.189940385564153,0.4683699346100349,-0.3111916720852695
201811020PHO,0.2335050289072726,0.2274761441827392,1304.35642970489,1610.84165834347,1341.63128868062,1667.5347852041,1.8155749812097344,-0.9939109915252512,1.589423027588067,-0.3002284381958886,1.3922796684303125,-1.0187598944893326,1.291146168313508,-0.2783173362759786
201811020GSW,0.8496717586643909,0.8602308202558927,1717.27231642619,1516.38807375189,1761.63486691413,1548.12173415514,-0.1718305528728958,1.450540632280565,-0.5203072851299098,0.8927911476261304,-0.3940286097909595,1.0920407680056463,-0.753978971041715,0.6612249492328115
201811030PHI,0.7623839534105484,0.7847917990141359,1586.15417770217,1483.63498536676,1604.50558264889,1472.61700704771,0.3331321077495417,-0.7058693105966505,0.9424121202713006,-0.8310812876933454,0.4470100888752539,-0.7204384836426909,0.952077371601375,-0.755668437655071
201811030IND,0.6163423558883994,0.4507247348098662,1575.87138616203,1593.52012279091,1537.52196103333,1628.14434125596,1.434656028028387,0.8193682167042375,0.6250349872888092,0.3129086670114911,1.05946641099664,0.8319403711441637,0.3243727522514857,0.3975554654946422
201811030CHO,0.7077088522614288,0.8118527314651343,1512.98002096526,1459.36443483487,1502.91665206467,1350.27885668453,-3.3517522931357755,-0.7450581652451067,-2.6385039379928443,-0.2870595034235564,-2.230427952344768,-0.2221907395267113,-1.7468298778358788,0.0980047243352134
201811030ATL,0.4568890836683552,0.3921885967485983,1355.03756669457,1485.06866683311,1323.46019330819,1502.37122598657,-0.8622348068422472,-1.2282624808154248,-0.2983086424776361,-0.3350103431379643,-0.962786826825612,-1.4193823902751053,-0.2892434100057802,-0.4594889743478296
201811030CHI,0.3464897999755843,0.2601889348069519,1358.08464181385,1568.30940827774,1357.72567324107,1641.179033053,-2.457988358074182,-0.6605073625883691,-1.7214708549225497,-0.258814430709606,-2.804765898029169,-0.6656334632325973,-1.810738867618377,-0.2726543602785969
201811030SAS,0.6057857545147495,0.5141350702627171,1539.05773259295,1564.42303567146,1475.32172662814,1568.80303594881,-0.1487227327305538,0.8307701194884594,0.605124058986893,0.3584781410974226,0.0321888697601933,1.5641235920909664,0.7138522645613596,0.8244096577050559
201811030DEN,0.6266123074000913,0.7043886599618224,1604.14103470726,1614.20546598353,1598.70311998576,1627.75681380789,-0.9504741300696908,2.032611970105213,-0.3225181978447666,1.375739020932939,-1.054067748608878,1.637919162753473,-0.4384167841262661,1.1393351863659755
201811030POR,0.7807802475100325,0.5824146824050782,1609.85424159569,1489.19458768814,1523.00219196879,1563.31153418995,-0.7558163566119016,1.3970811579024982,-0.7993768048487566,0.463669014461728,-1.6804337122254491,2.276688546881582,-1.5186147210779042,1.1034587867685353
201811040MIL,0.7773196514922057,0.876726178373185,1588.97123890588,1471.80413692479,1602.55930147487,1358.15867561788,2.8326785706380533,2.4782326901888068,1.4300790029394717,2.1668824616024107,3.902747816928674,2.2075965365417627,2.1430900411799363,1.8350218116089403
201811040BRK,0.4098097226969503,0.4576686221057194,1427.03437718908,1590.39829436688,1437.18383180053,1605.99094949215,-0.468253264007199,-0.3693391428702277,-0.7981193029148687,0.0735224332447686,-0.5052302826568269,-0.7339358635234383,-0.737773894675018,-0.3044204261624586
201811040WAS,0.6793383034009076,0.8584540909122661,1443.83786380179,1413.42225731475,1544.55629112461,1331.2678301149,-0.5295219454552118,-2.301600376146835,-0.855462826680812,-1.2380827855802117,0.382529473889476,-3.282189192993255,-0.1319731356639223,-1.9161603245662493
201811040SAS,0.857065165756992,0.6788519668587782,1548.62689818189,1337.47659346642,1482.51471968809,1410.57355404959,-0.6493908974427431,1.22498436497371,0.0762403532880939,0.5586368909622915,-1.5240907456783748,2.0499885218282494,-0.3294819132330584,1.1414250326677158
201811040PHO,0.4535056059320632,0.5165095805133119,1300.45508884824,1432.85630942238,1353.53044954675,1447.12296608776,2.3834938293037014,-1.227416020432524,1.1727848930986509,-0.5567746321154282,2.014750128019326,-1.246236038672072,0.8469459564073091,-0.5320469392029133
201811040POR,0.7436593936458664,0.5391484919133369,1597.86126463453,1512.83860027666,1520.86328286302,1543.74151016523,-0.3221587942085051,0.6163009103924662,-0.4811759397600051,0.5891621064480116,-0.5337977895350665,1.6942738644765036,-0.7046681854001487,1.3450783357954537
201811040LAL,0.4805020539501374,0.4285632625649545,1501.1875646493,1614.74299920012,1567.77472045107,1663.04890764572,2.049080010117008,0.0249638908981308,1.7328634257314457,-0.5825273982542517,1.6197558126130511,-1.098019029820371,1.3887203804443995,-1.4050514299654753
201811050DET,0.6429173033013156,0.6038365631281708,1479.39086870205,1477.23634530854,1470.86470825824,1499.52592189297,-1.405345723173892,0.0955160611600902,-0.5522507324680007,0.835698093641649,-1.5705982300770138,0.2318018878893899,-0.5992721359787127,0.8654338508615343
201811050ORL,0.5132994787312706,0.6603654623592052,1356.67638528786,1447.43278055203,1415.71116977362,1343.72416827302,-3.6440434408743454,0.2076742683142489,-2.9872049665128944,0.1236991680549008,-2.418575220879634,-0.8452387788195965,-1.9832870280791013,-0.4336926655951647
201811050IND,0.6462607007501329,0.5010130884871744,1578.78111056197,1574.09133614967,1540.15185936643,1639.02853241962,-2.1114985580985977,1.2030258608158384,-2.0225031106696725,0.5831505403057388,-2.544576963222217,1.3812156363342971,-2.1961384044332406,0.6572787081959389
201811050NYK,0.7081710711801561,0.5308018653408092,1406.30665026302,1352.30271394192,1330.12438867085,1358.1161832623,-1.0069971625639536,-0.8501836420543043,-0.3751628909457698,-0.8871881444839667,-0.925822398039549,0.2409835648017422,-0.3721053665339209,-0.0684832186981889
201811050OKC,0.6636194524379734,0.7177456735521971,1572.88916395239,1554.85387008252,1628.28419296111,1564.69848267005,-0.5429369782158044,-0.5315109118227594,0.3217600189448493,-1.4971138493574816,-0.4536760599770897,-1.0531959450530737,0.4533994767696854,-1.887397414719597
201811050DEN,0.669854435570242,0.6672676221810584,1613.5203866568,1590.61039839097,1603.51183648116,1627.6611410987,1.0509983839167862,2.4059996627051223,0.7163160346311082,1.57622778932315,0.5101911458065063,1.9335305027916505,0.3712424119486588,1.278390756605991
201811050UTA,0.6102047029252058,0.6800539674870457,1604.82611403399,1626.97053184125,1618.74803789809,1665.83571806211,2.529582064067145,-1.323861822669599,1.911573010397517,-0.3573341141638085,2.0483190751780054,-1.349679088647055,1.5254215688816808,-0.4677566956221189
201811050LAC,0.6987874936903734,0.5819000084249416,1549.26298282047,1503.0741332275,1462.77613982246,1537.52149794961,-0.5784994005626389,0.9439077106826534,-0.5500499312538145,0.8000921438199873,-0.9946492976217298,2.253546536290308,-0.7939584000963995,1.599670935030845
201811050GSW,0.9058955519252364,0.9360987415469796,1720.82178990142,1427.43459977238,1765.44688858985,1441.80624847703,1.8369994352357644,1.6008688736161742,1.4420102433131354,1.1009076386184071,1.5312597085326378,1.2318099477497535,1.0977342776822674,0.8259445659230594
201811060CHO,0.8188289773312254,0.8377247381018286,1524.9116752481,1362.86988821914,1508.47771853804,1323.4125898671,-0.68515156448378,-0.4527670175065355,-0.4685885154650451,-0.3971746254768018,-0.8115709870237033,-0.0340434709918451,-0.5926814075483121,0.0071852902564909
201811060DAL,0.5134608905973654,0.396585722205837,1360.30931642035,1450.95347085352,1372.26070061058,1548.44054353967,-1.9809386795477424,-1.3382571994360166,-1.499725360845071,-0.4598133979346001,-3.140643283905521,-1.3285005043683595,-2.308914666523681,-0.4224604540707545
201811060PHO,0.4356050013856204,0.5375883708503899,1305.87679849824,1450.87291815745,1358.59205461391,1447.49278746402,0.2208511344328219,-0.680921626364587,0.0141478479865331,-0.710226756908492,-0.1916044856291581,-0.7627456191853836,-0.3700085158209696,-0.6927737931417002
201811060POR,0.6523910241124935,0.5345025227219423,1607.62573168369,1598.25893368074,1532.00762270505,1611.52143166091,2.7009130386966014,0.8726415167466,2.4092343428912617,0.6955000378259903,2.330870358168577,2.155125372563167,2.062208948358192,1.5776069862482922
201811070CLE,0.4499735699294706,0.2568786821411445,1442.76396403935,1577.64258543008,1344.4232539403,1627.52069615649,-0.1951303642607325,-4.130743962143076,-1.2708760055455572,-3.293768916675196,-0.7709416186052707,-2.7582097585204286,-1.724670638664069,-2.185084729901173
201811070ORL,0.4882137495804783,0.5573163718362706,1361.34520180054,1469.53664488339,1411.20742111631,1470.4188649292,-0.5474012421412251,0.6943747895829784,0.538574034164168,0.1096595033563457,-0.3720346752387806,-0.5056042411788013,0.5906862772566378,-0.6220073515180969
201811070ATL,0.5852107985335324,0.5775227240376606,1359.57146699684,1399.77751109252,1326.2676399359,1330.3655507291,-1.5583547132344604,-0.8663225871525544,-0.994337352094291,-0.6891050463896753,-0.2898183005390669,-0.9738462489218748,-0.0639214994371108,-0.8124243755685976
201811070MIA,0.5822307437317584,0.658141883203455,1487.0905691272,1529.42710636045,1500.74008311,1478.96686964265,0.3679191992167183,-0.7624284198725766,0.5227134942448498,-0.5967214668650708,1.3711365549694712,-0.9667616669488428,1.2162853766401136,-0.6964904017287358
201811070IND,0.6444293690759593,0.5624927547758204,1569.85953031345,1566.55975339851,1537.10310898551,1595.95897561614,-1.0584435413102486,0.5567651600657051,-0.7906768702429333,0.6404282094982466,-1.047561660551107,0.8802025478471229,-0.756077512694806,0.740067623907215
201811070NOP,0.8424639850463363,0.849292773431275,1550.10044860483,1358.83185311242,1565.22571188541,1360.70501147188,-0.2988260913837974,-0.8793175257778314,-0.3418302896340282,-0.0496232703717361,-0.3950205326987399,-0.7359303864248927,-0.3479971141125301,0.1104981284230373
201811070MEM,0.3685237080778178,0.3827072640256295,1425.42202566724,1618.97867275427,1435.48599584757,1607.35742021839,2.7361452271348803,1.742894987161001,1.8034133181913248,1.5482869716395753,2.266262880610592,1.4673584500796175,1.4586519716780977,1.190718631996882
201811070UTA,0.8585758363727231,0.9175759188626956,1588.87947519978,1375.57745817366,1616.47317375535,1380.72885657298,-0.8517180900333821,-1.9340665255948049,-0.6221734393434657,-0.6064533250043744,-0.7250862265741964,-2.029733056134101,-0.5659383509346991,-0.7231075337539803
201811070SAC,0.3863161547778522,0.2069665505977526,1462.51644214993,1642.91717067546,1348.97937940265,1667.26661710885,3.1397867669923505,2.609998222130259,2.1457255370909976,1.833781671654416,2.7283730426650514,3.779473995301859,1.7382830314630844,2.697348880804911
201811070LAL,0.6291533394555301,0.6768801392902127,1488.96003200817,1497.13517858698,1570.00629134232,1535.90704395594,-0.8797119068722656,-0.4555381630520063,-0.622868165339104,-0.5217429409847241,-1.412749289196788,-1.5265822923853252,-0.9157498929514416,-1.4224375408994252
201811080OKC,0.6442341694762845,0.5593013659640724,1586.16472503711,1583.01291639819,1627.77336240774,1641.57975216959,-1.4652378573484643,0.2548432056687382,-2.126126070422768,-0.866112957730221,-2.0435638747350424,-0.5140629364641258,-2.4007498218675813,-1.4085523335333323
201811080PHO,0.2466135924368255,0.2715536352691228,1291.15180395311,1585.1521122935,1347.71170086437,1624.6824645783,0.7208528194870283,-1.1165266277502073,0.8951880542452645,-0.8602984415992051,0.1774587679875647,-1.3003339900357735,0.503366365176967,-0.8835765172699986
201811080POR,0.7164596892690077,0.7312112726193585,1616.23271722298,1555.20193746099,1541.58318737548,1465.83463659451,1.24512021699228,1.220250492634106,0.9738185216968042,0.9365379594927022,2.6716465278653656,2.620622849841225,1.9484917535334536,1.9513981517923595
