,Name,Id,height,weight,PG,SG,SF,PF,CE,salary,shoots,debut,birth,experience
0,Leandro Barbosa,barbole01,190,87,2,1,-1,-1,-1,1448490.0,Right,"November 12, 2003","November 28, 1982",14 years
1,Harrison Barnes,barneha02,203,102,-1,-1,2,1,-1,3049920.0,Right,"October 31, 2012","May 30, 1992",10 years
2,Andrew Bogut,bogutan01,213,117,-1,-1,-1,2,1,12972973.0,Right,"November 1, 2005","November 28, 1984",14 years
3,Stephen Curry,curryst01,188,83,1,-1,-1,-1,-1,10629213.0,Right,"October 28, 2009","March 14, 1988",13 years
4,Festus Ezeli,ezelife01,211,115,-1,-1,-1,-1,1,1112880.0,Right,"October 31, 2012","October 21, 1989",3 years
5,Draymond Green,greendr01,198,104,-1,-1,2,1,-1,915243.0,Right,"October 31, 2012","March 4, 1990",10 years
6,Justin Holiday,holidju01,198,81,-1,1,2,-1,-1,816482.0,Right,"April 3, 2013","April 5, 1989",9 years
7,Andre Iguodala,iguodan01,198,97,-1,2,1,-1,-1,12289544.0,Right,"November 3, 2004","January 28, 1984",18 years
8,Ognjen Kuzmić,kuzmiog01,216,113,-1,-1,-1,-1,1,816482.0,Right,"October 30, 2013","May 16, 1990",2 years
9,David Lee,leeda02,206,111,-1,-1,3,1,2,15012000.0,Left,"November 6, 2005","April 29, 1983",12 years
10,Shaun Livingston,livinsh01,201,87,1,2,-1,-1,-1,5305000.0,Right,"November 3, 2004","September 11, 1985",14 years
11,James Michael McAdoo,mcadoja01,206,104,-1,-1,-1,1,-1,167122.0,Right,"January 19, 2015","January 4, 1993",4 years
12,Brandon Rush,rushbr01,198,99,-1,1,2,-1,-1,1145685.0,Right,"October 29, 2008","July 7, 1985",9 years
13,Marreese Speights,speigma01,208,115,-1,-1,-1,2,1,3657500.0,Right,"October 31, 2008","August 4, 1987",10 years
14,Klay Thompson,thompkl01,198,97,-1,1,-1,-1,-1,3075880.0,Right,"December 25, 2011","February 8, 1990",9 years
15,Matt Barnes,barnema02,201,102,-1,-1,1,2,-1,3396250.0,Right,"January 19, 2004","March 9, 1980",14 years
16,Reggie Bullock,bullore01,198,92,-1,2,1,-1,-1,1200720.0,Right,"October 29, 2013","March 16, 1991",9 years
17,Jamal Crawford,crawfja01,196,83,2,1,-1,-1,-1,5450000.0,Right,"October 31, 2000","March 20, 1980",20 years
18,Jared Cunningham,cunnija01,193,88,-1,1,-1,-1,-1,,Right,"October 31, 2012","May 22, 1991",4 years
19,Glen Davis,davisgl01,206,131,-1,-1,-1,1,2,6600000.0,Right,"November 2, 2007","January 1, 1986",8 years
20,Chris Douglas-Roberts,douglch01,201,90,-1,2,1,-1,-1,915243.0,Right,"October 29, 2008","January 8, 1987",6 years
21,Jordan Farmar,farmajo01,188,81,1,-1,-1,-1,-1,2077000.0,Right,"October 31, 2006","November 30, 1986",10 years
22,Blake Griffin,griffbl01,206,113,-1,-1,-1,1,2,17674612.0,Right,"October 27, 2010","March 16, 1989",12 years
23,Jordan Hamilton,hamiljo02,201,99,-1,-1,1,-1,-1,150591.0,Right,"January 25, 2012","October 6, 1990",5 years
24,Spencer Hawes,hawessp01,216,111,-1,-1,-1,2,1,5305000.0,Right,"November 10, 2007","April 28, 1988",10 years
25,Lester Hudson,hudsole01,190,86,1,2,-1,-1,-1,55774.0,Right,"October 28, 2009","August 7, 1984",4 years
