,Name,Id,height,weight,PG,SG,SF,PF,CE,salary,shoots,debut,birth,experience
0,Leandro Barbosa,barbole01,190,87,2,1,-1,-1,-1,2500000,Right,"November 12, 2003","November 28, 1982",14 years
1,Harrison Barnes,barneha02,203,102,-1,-1,2,1,-1,3873398,Right,"October 31, 2012","May 30, 1992",10 years
2,Andrew Bogut,bogutan01,213,117,-1,-1,-1,2,1,12000000,Right,"November 1, 2005","November 28, 1984",14 years
3,Ian Clark,clarkia01,190,79,-1,1,-1,-1,-1,947276,Right,"November 1, 2013","March 7, 1991",6 years
4,Stephen Curry,curryst01,188,83,1,-1,-1,-1,-1,11370786,Right,"October 28, 2009","March 14, 1988",13 years
5,Festus Ezeli,ezelife01,211,115,-1,-1,-1,-1,1,2008748,Right,"October 31, 2012","October 21, 1989",3 years
6,Draymond Green,greendr01,198,104,-1,-1,2,1,-1,14300000,Right,"October 31, 2012","March 4, 1990",10 years
7,Andre Iguodala,iguodan01,198,97,-1,2,1,-1,-1,11710456,Right,"November 3, 2004","January 28, 1984",18 years
8,Shaun Livingston,livinsh01,201,87,1,2,-1,-1,-1,5543725,Right,"November 3, 2004","September 11, 1985",14 years
9,Kevon Looney,looneke01,206,100,-1,-1,-1,2,1,1131960,Right,"January 27, 2016","February 6, 1996",7 years
10,James Michael McAdoo,mcadoja01,206,104,-1,-1,-1,1,-1,845059,Right,"January 19, 2015","January 4, 1993",4 years
11,Brandon Rush,rushbr01,198,99,-1,1,2,-1,-1,1270964,Right,"October 29, 2008","July 7, 1985",9 years
12,Marreese Speights,speigma01,208,115,-1,-1,-1,2,1,3815000,Right,"October 31, 2008","August 4, 1987",10 years
13,Jason Thompson,thompja02,211,113,-1,-1,-1,1,2,6431250,Right,"October 29, 2008","July 21, 1986",8 years
14,Klay Thompson,thompkl01,198,97,-1,1,-1,-1,-1,15500000,Right,"December 25, 2011","February 8, 1990",9 years
15,Anderson Varejão,varejan01,208,123,-1,-1,-1,2,1,9638554,Right,"November 4, 2004","September 28, 1982",14 years
16,Steven Adams,adamsst01,211,120,-1,-1,-1,-1,1,2279040,Right,"October 30, 2013","July 20, 1993",9 years
17,D.J. Augustin,augusdj01,180,83,1,-1,-1,-1,-1,3000000,Right,"October 30, 2008","November 10, 1987",14 years
18,Nick Collison,collini01,208,115,-1,-1,-1,1,2,3750000,Right,"November 3, 2004","October 26, 1980",14 years
19,Kevin Durant,duranke01,208,108,-1,3,1,2,-1,20158622,Right,"October 31, 2007","September 29, 1988",14 years
20,Randy Foye,foyera01,193,96,2,1,-1,-1,-1,3270000,Right,"November 1, 2006","September 24, 1983",11 years
21,Enes Freedom,kanteen01,208,113,-1,-1,-1,-1,1,16400000,Right,"December 27, 2011","May 20, 1992",11 years
22,Josh Huestis,huestjo01,201,104,-1,-1,-1,1,-1,1140240,Right,"March 24, 2016","December 19, 1991",3 years
23,Serge Ibaka,ibakase01,208,106,-1,-1,-1,1,2,12350000,Right,"October 30, 2009","September 18, 1989",13 years
24,Mitch McGary,mcgarmi01,208,115,-1,-1,-1,1,-1,1463040,Left,"December 14, 2014","June 6, 1992",2 years
25,Nazr Mohammed,mohamna01,208,100,-1,-1,-1,-1,1,352750,Right,"February 5, 1999","September 5, 1977",18 years
26,Anthony Morrow,morroan01,196,95,-1,1,-1,-1,-1,3344000,Right,"November 9, 2008","September 27, 1985",9 years
27,Steve Novak,novakst01,208,102,-1,-1,2,1,-1,3750000,Right,"November 1, 2006","June 13, 1983",11 years
28,Cameron Payne,payneca01,185,83,1,2,-1,-1,-1,2021520,Left,"November 1, 2015","August 8, 1994",7 years
29,Andre Roberson,roberan03,201,95,-1,1,2,-1,-1,1210800,Right,"November 1, 2013","December 4, 1991",7 years
30,Kyle Singler,singlky01,203,103,-1,-1,1,-1,-1,5000000,Right,"October 31, 2012","May 4, 1988",6 years
31,Dion Waiters,waitedi01,190,97,-1,1,-1,-1,-1,5138430,Right,"October 30, 2012","December 10, 1991",8 years
32,Russell Westbrook,westbru01,190,90,1,-1,-1,-1,-1,16744218,Right,"October 29, 2008","November 12, 1988",14 years
33,Quincy Acy,acyqu01,201,108,-1,-1,2,1,-1,981348,Right,"November 7, 2012","October 6, 1990",7 years
34,James Anderson,anderja01,198,96,-1,1,2,-1,-1,1015421,Right,"October 27, 2010","March 25, 1989",5 years
35,Marco Belinelli,belinma01,196,99,-1,1,2,-1,-1,6333333,Right,"October 30, 2007","March 25, 1986",13 years
