,perMetric,perMetric,perMetricElo,perMetricElo,perMetricEloN,perMetricEloN,perMetricN,perMetricN,game
homeTeam,away,home,away,home,away,home,away,home,year
game_id,,,,,,,,,
201410290PHO,-0.2833671332162574,,-0.3944467264809515,,,,,,2015
201410290UTA,0.2833671332162574,,0.39444672648095147,,,,,,2015
201410300CLE,-0.3654897597824339,,-0.6229523012438865,,,,,,2015
201410300DAL,-0.4151593997682791,-0.4027944016059096,-0.3155781201294808,-0.2324690525455766,,,,,2015
201410300LAC,-0.21343749760503905,,-0.4312861743288642,,,,,,2015
201410300MIN,-0.3028579181121204,-0.2609360304776524,-0.2577397723017768,-0.278839562903067,,,,,2015
201410300ORL,-0.3522380772057368,-0.1980539484632961,-0.3113054116382164,-0.2425807517671686,,,,,2015
201410310CHI,-0.8954496321434018,0.3654897597824339,-0.5774032099538376,0.6229523012438865,,,,,2015
201410310IND,0.26093603047765235,0.2566185693981954,0.278839562903067,0.139375780860446,,,,,2015
201410310LAL,0.1067891001151684,-0.4084138600440183,0.3300059121331961,-0.5866093584353256,,,,,2015
201410310MIL,-0.25661856939819533,-0.23629358808750836,-0.139375780860446,-0.1561009354056834,,,,,2015
201410310PHO,0.40279440160590974,0.12504672682776097,0.2324690525455766,0.192162631954374,,,,,2015
201410310SAC,0.21343749760503905,-0.35657973183353503,0.4312861743288642,-0.4150030853869351,,,,,2015
201411010ATL,-0.05501742201253834,-0.37122358891517676,-0.4373533452658347,-0.2840066404205112,,,,,2015
201411010CHO,0.5725720218883861,0.23629358808750844,0.8555686890293477,0.15610093540568348,,,,,2015
201411010DET,-0.49901675296781545,-0.6419411313116326,-0.5569142230010923,-0.4721460528017573,,,,,2015
201411010GSW,-0.5480410481841627,0.356579731833535,-0.9095746910063899,0.4150030853869351,,,,,2015
201411010HOU,0.49901675296781545,0.6985265329845365,0.5569142230010923,0.7100248466104322,,,,,2015
201411010MIN,-0.24635961716260812,0.07814718272186005,-0.1541352982700852,-0.06443328240308643,,,,,2015
201411010NOP,-0.24092951345328584,0.19805394846329605,-0.0979276913362308,0.24258075176716865,,,,,2015
201411010OKC,0.3028579181121204,-0.32022659772020745,0.2577397723017768,-0.7612920864620603,,,,,2015
201411010ORL,0.3712235889151768,-0.5553812247551803,0.28400664042051127,-0.627230053152944,,,,,2015
201411010PHI,0.35223807720573685,-0.47497349262436256,0.31130541163821646,-0.4956171306834712,,,,,2015
201411010UTA,0.6364067521789465,-0.5770242879209029,0.7434233740494247,-0.45011948133882657,,,,,2015
201411010WAS,-0.017938664861341103,0.005089199086147245,0.20014041441734187,0.07334388974755912,,,,,2015
201411020LAC,0.27725937595262096,0.24641628825531292,0.17176269480947792,0.6529712447042604,,,,,2015
201411020MIA,0.6867655758687505,0.5608299042412459,0.6337089295794645,0.5735030568546851,,,,,2015
201411020NYK,-0.3434587812514023,0.529959872360968,-0.37230522563930046,-0.04554909129004869,,,,,2015
201411020POR,0.45427384190242837,-0.42040161018111677,0.5642349938752116,-0.15547960586754872,,,,,2015
201411030BRK,0.31779592173179494,0.07940778452998154,-0.5478124435379723,-0.08604803017270335,,,,,2015
201411030DAL,0.23649602922592305,0.2522864999480392,0.41967134871971723,0.35857674561454855,,,,,2015
201411030DEN,1.0780127002409632,-0.33516460133988213,1.0264638844677783,0.04426012937768897,,,,,2015
201411030LAC,-0.029067740909813455,-0.5543370360330293,0.20253663160505664,-0.20172994495403973,,,,,2015
201411030MEM,-0.29516206493802866,1.1523243912272967,-0.2139236851836106,1.3839748500743316,,,,,2015
