,perMetric,perMetric,perMetricN,perMetricN,game
homeTeam,away,home,away,home,year
game_id,,,,,
202012250BOS,0.26715058191484164,0.6258705405432445,,,2021
202012250DEN,0.5543414514999122,-0.7326424463391182,,,2021
202012250LAL,-0.47998496072730035,-0.5543414514999121,,,2021
202012250MIA,0.6016693250385046,-0.636501214012688,,,2021
202012250MIL,-0.2671505819148417,-0.6258705405432445,,,2021
202012260CHI,0.2668978040227805,-0.46697803015721245,,,2021
202012260CHO,,-0.578906836351717,,,2021
202012260DET,0.5789068363517169,-0.34423996341349805,,,2021
202012260MEM,0.4669780301572125,-0.5432292459464739,,,2021
202012260NYK,0.27855918130805957,-0.2668978040227806,,,2021
202012260POR,,-0.4697780358017741,,,2021
202012260SAC,0.47998496072730046,0.7326424463391181,,,2021
202012260SAS,-0.6016693250385043,0.543229245946474,,,2021
202012260UTA,0.34423996341349805,0.46977803580177413,,,2021
202012260WAS,0.636501214012688,-0.27855918130805957,,,2021
202012270CHI,-0.4544689619096249,-0.793280399672089,,,2021
202012270CHO,0.6861980270691839,-1.1470065584524018,,,2021
202012270CLE,0.5198507931211283,1.0911950961707428,,,2021
202012270IND,0.20682309538890253,0.5932001735376571,,,2021
202012270LAC,-0.7799324287205425,0.9521442898559422,,,2021
202012270LAL,1.1245875017300504,-0.25439398350666975,,,2021
202012270NOP,1.0996647433935156,0.17812301000127873,,,2021
202012270NYK,-0.43855216054846147,-0.5081894158358492,,,2021
202012270SAC,-0.10896026716086915,1.3215876742272876,,,2021
202012270WAS,1.1754599717607876,-0.8175179390561592,,,2021
202012280ATL,-0.8565282232325241,1.0277142370307448,,,2021
202012280BRK,-1.1039654528200065,-0.14091245680367948,,,2021
202012280DEN,-0.26650154326510406,-1.1304452846951483,,,2021
202012280LAL,-0.20327649253667013,-0.06062782827008251,,,2021
202012280OKC,-0.31056950251477833,0.5680997221006847,,,2021
202012290CLE,0.3650344538221705,1.7825471279397778,,,2021
202012290DET,-0.05158179321850653,-1.0519138853326155,,,2021
202012290IND,-0.359841279370237,1.1598645482967966,,,2021
202012290LAC,0.9308213464934632,0.3684404169399298,,,2021
202012290MIA,-1.311776030206481,-0.21295489897546194,,,2021
202012290OKC,1.6387926943198836,0.3377143688467791,,,2021
202012290PHI,-1.1581048224855457,-0.17150123864790645,,,2021
202012290PHO,0.5327832717147063,0.30955465764577905,,,2021
202012290SAC,-0.8244723073629725,0.9030727494206392,,,2021
202012290WAS,-1.1961675683632074,-1.280850661615255,,,2021
202012300BOS,-0.6529049149247435,0.16106749544768606,,,2021
202012300BRK,1.2230998991308364,-0.5919729946989425,,,2021
202012300DAL,-0.3198960745795385,-0.19622855580453002,,,2021
202012300LAC,0.47447962264546906,0.5498616005813597,,,2021
202012300MIA,-0.9888974385049183,-0.5358334906770248,,,2021
202012300SAS,-0.7383839434522219,0.745004481680088,,,2021
202012310HOU,1.3967448134330596,-0.5724745205972798,,,2021
202012310IND,1.19330798538247,0.6389557734788736,,,2021
202012310OKC,0.07328931653909332,0.03229363083140968,,,2021
202012310ORL,0.3058730813185937,1.944213432335253,,,2021
202012310TOR,0.9542735963794784,-1.635479142452046,,,2021
202012310UTA,0.769048612821392,-0.08018414926087258,,,2021
202012310WAS,-0.5074802066285198,-1.9695380233499429,,,2021
202101010BRK,0.8974553168789909,-0.26632841244709704,,,2021
202101010CHO,-0.9324181315744573,0.4333016867562902,,,2021
202101010DAL,0.16106900579438488,-0.9494263171403585,,,2021
202101010DEN,1.3737582760510731,-1.3181443713753929,,,2021
202101010DET,0.4405807120973999,-1.4384756723480674,,,2021
202101010GSW,0.14833379270187041,0.3349799937969453,,,2021
202101010MIL,0.21112074871500042,-1.6857999349763282,,,2021
202101010MIN,-2.688138978693463,0.7494001628520335,,,2021
202101010SAS,-0.4610100038648488,0.4676305420927147,,,2021
202101010UTA,0.8760074305249583,-0.6848938124905537,,,2021
202101020ATL,0.9285983221422489,1.5861808858302915,,,2021
202101020HOU,1.0518640635211283,-0.22759377068534858,,,2021
202101020IND,0.7094200689753003,0.9036654367190948,,,2021
202101020NOP,-1.3906256150478677,0.4108404852136909,,,2021
202101020ORL,-0.3052575378431881,1.5433716939105948,,,2021
202101020PHI,-0.19397377141946093,0.7067148197432518,,,2021
