,perMetric,perMetric,perMetricElo,perMetricElo,perMetricEloN,perMetricEloN,perMetricN,perMetricN,perMetricRaptor,perMetricRaptor,perMetricRaptorN,perMetricRaptorN,game
homeTeam,away,home,away,home,away,home,away,home,away,home,away,home,year
game_id,,,,,,,,,,,,,
202110210GSW,,0.5963724979623233,,0.6664567717577439,,,,,,0.608487739674789,,,2022
202110210MIA,0.4799233411033381,,0.29338717371261913,,,,,,0.2992166392619957,,,,2022
202110220BOS,-0.5643578119999381,-0.4455098830892421,-0.5778822444979183,-0.2990697450557493,,,,,-0.5460168316532082,-0.4272892122672537,,,2022
202110220CHI,-0.40849541272205375,0.3622869997932412,-0.4613766881806297,0.4789944715158644,,,,,-0.4629874675678087,0.4425425323839507,,,2022
202110220CLE,0.510373841875188,-0.27871592354682323,0.4272489456751022,-0.1600047380158779,,,,,0.463317972868973,-0.1675437663096725,,,2022
202110220DEN,0.30254785945434526,0.684196895139831,0.19423728596054235,0.7300969190497272,,,,,0.16639678826374782,0.7177707650340043,,,2022
202110220HOU,-0.12243982629588081,-0.31987391302273693,-0.0880903687315304,-0.2477150427378378,,,,,-0.0592668065021535,-0.1593501925831133,,,2022
202110220LAL,-0.6841968951398307,-0.5963724979623232,-0.7300969190497272,-0.6664567717577439,,,,,-0.7177707650340043,-0.608487739674789,,,2022
202110220ORL,0.4455098830892421,-0.30254785945434526,0.29906974505574935,-0.1942372859605423,,,,,0.4272892122672537,-0.1663967882637478,,,2022
202110220PHI,-0.47992334110333806,0.4084954127220539,-0.2933871737126191,0.4613766881806297,,,,,-0.2992166392619957,0.46298746756780873,,,2022
202110220SAC,0.1224398262958809,0.6897189484621296,0.08809036873153042,0.7866707023715386,,,,,0.059266806502153546,0.819449861466313,,,2022
202110220WAS,-0.510373841875188,0.564357811999938,-0.4272489456751022,0.5778822444979184,,,,,-0.463317972868973,0.5460168316532084,,,2022
202110230CHI,-0.36228699979324125,0.6707058069942793,-0.4789944715158644,0.7934758911245399,,,,,-0.4425425323839507,0.7985193877575987,,,2022
202110230CLE,0.4402343387605203,-0.729663580365056,0.32198441322486226,-0.6717753451258262,,,,,0.32527798808728936,-0.6803378156634895,,,2022
202110230IND,0.4545300331661417,-1.0463167272019227,0.5779515446216844,-0.7522649857909851,,,,,0.3600342277437887,-0.8692832034539522,,,2022
202110230LAC,0.2787159235468233,-0.38865668425146743,0.1600047380158779,-0.4751133697467292,,,,,0.1675437663096725,-0.4106432579862731,,,2022
202110230MIN,-0.7169142199230918,0.31987391302273693,-0.775858107789305,0.24771504273783784,,,,,-0.8189643229414567,0.15935019258311334,,,2022
202110230POR,-0.19719359542551662,-0.6897189484621296,-0.22097639952401438,-0.7866707023715386,,,,,-0.29231581972455967,-0.819449861466313,,,2022
202110230SAS,0.02539330793719652,0.03108929654692072,-0.2845643709090653,-0.03255413501839444,,,,,-0.06081758848179297,-0.022488728834938243,,,2022
202110230TOR,-0.4402343387605203,0.14538764205654586,-0.3219844132248622,0.1412616236739086,,,,,-0.3252779880872893,0.211925322128939,,,2022
202110240BRK,0.9613214986934207,0.0020492634514848174,0.9390195527850504,0.3832451020584212,,,,,0.9761120222227899,0.3606551248169766,,,2022
202110240HOU,-1.155255337145726,0.10270123096112671,-1.018213613227576,0.06954435052889396,,,,,-1.185231366049401,0.18867356269852775,,,2022
202110240LAL,0.887799624610117,-1.0833757976766374,0.893597708335248,-1.1755772912834566,,,,,0.8620736421942761,-1.0339426849842335,,,2022
202110240NYK,-0.5612974010364176,0.7042594246713145,-0.5191163217587422,0.6239487808539494,,,,,-0.47434842316899006,0.7352408471724958,,,2022
202110240OKC,-0.07347719183276902,-0.5450149702797444,-0.21525558759041052,-0.4053497619982621,,,,,-0.19688429651116346,-0.4072905617837946,,,2022
202110240SAC,0.9850291822137909,0.375227845730133,1.1415701415044732,0.3613097232882606,,,,,1.019130997661062,0.4467346497475043,,,2022
202110250ATL,-0.6143922012962245,-0.31515816367447247,-0.682327387188598,-0.3731311628666081,,,,,-0.6827776904449889,-0.44703593013853826,,,2022
202110250BRK,1.100300697326673,-0.7784145520545902,0.9028982846138014,-0.42792894841129714,,,,,0.9519820622381874,-0.4281181103922025,,,2022
202110250CHO,-0.8106062465375212,1.7417853141994954,-0.5255692009958748,1.750193603254769,,,,,-0.8251314782281405,1.7648852574319691,,,2022
202110250DEN,0.025728922069937044,0.9556554580472552,0.023340230965644082,0.9568883400286641,,,,,0.09197610256233824,0.9066562821326904,,,2022
202110250IND,0.3380989322504828,-0.4544967312757586,0.1407182984785058,-0.3028328445584956,,,,,0.36516597195715317,-0.4452772904140727,,,2022
202110250LAC,-0.26635531540836554,-0.9977403853147611,-0.3285039692260887,-1.2087063400660991,,,,,-0.467974562706007,-1.1051731338708766,,,2022
202110250MIA,0.2911395843818777,-0.13728996276002237,0.3630301725742573,0.12851940338919499,,,,,0.4099983952838069,-0.06397168529609076,,,2022
202110250MIN,-0.994116777085679,0.597076470185324,-1.1537789449283915,0.6256358798769244,,,,,-1.099869007799877,0.4402548774415336,,,2022
202110250TOR,0.9228110084972627,-0.23092796103452762,0.9968088067972736,-0.41848364744538724,,,,,1.038754545818637,-0.22263913303541294,,,2022
202110260DAL,-0.2419478596470781,-0.06391873566944684,-0.42310006170280734,0.23776085789443357,,,,,-0.1714263251227326,0.10928646707706258,,,2022
202110260NYK,0.13018838233592356,-0.14817756074698085,0.004716669528594064,-0.2581977134790501,,,,,0.0660179477212881,-0.14910597128030112,,,2022
