,home_MP,home_FG,home_FGA,home_FG%,home_3P,home_3PA,home_3P%,home_FT,home_FTA,home_FT%,home_ORB,home_DRB,home_TRB,home_AST,home_STL,home_BLK,home_TOV,home_PF,home_PTS,home_TS%,home_eFG%,home_3pAr,home_FTr,home_ORB%,home_DRB%,home_TRB%,home_AST%,home_STL%,home_BLK%,home_TOV%,home_USG%,home_Ortg,home_Drtg,home_poss,home_pace,home_poss_per_poss,home_ass_per_poss,away_MP,away_FG,away_FGA,away_FG%,away_3P,away_3PA,away_3P%,away_FT,away_FTA,away_FT%,away_ORB,away_DRB,away_TRB,away_AST,away_STL,away_BLK,away_TOV,away_PF,away_PTS,away_TS%,away_eFG%,away_3pAr,away_FTr,away_ORB%,away_DRB%,away_TRB%,away_AST%,away_STL%,away_BLK%,away_TOV%,away_USG%,away_Ortg,away_Drtg,away_poss,away_pace,away_poss_per_poss,away_ass_per_poss
PCA1,0.00038212500175253576,0.037460797097255305,0.0020723764248809532,0.03549854408935828,0.018977204983845947,0.005907199017860328,0.014511773737686846,0.001465032003426695,0.0007851791385331907,0.0009387578354240415,0.0005125730759082334,0.007571857149531016,0.0067454978791971374,0.023170033556979344,0.0005749392698480862,0.0018959789202488008,0.002047729224113617,8.95552613040231e-06,0.05037015045274429,0.04483798243405275,0.04337198587234065,0.004567302622830805,0.00019372559296851368,7.318176823998824e-05,5.4995562008329656e-05,5.735870292721361e-06,0.00189377488918723,0.0011491576667345684,0.0009581732546985209,0.0030213964334916076,6.069752016638291e-63,0.05443137473753722,0.054738367657903915,0.002945110401129298,0.002307699000459548,0.05484344156768803,0.020179231970476105,0.0003821250017525335,0.036465409691327076,0.002058729830878589,0.03275947688704365,0.022669474222012282,0.0079885064733484,0.017383613751343403,0.0009512209652135042,0.00029666082951935866,0.001474741170087475,0.0006936074710599894,0.006835717542139073,0.00688038556994256,0.0206142638902602,0.0008185637570863854,0.0009538616564830308,0.0019320350054119922,0.0003466548093779112,0.053495335266919734,0.04363899131734586,0.04135821643647794,0.0065026499387216925,1.6716976747677413e-05,5.501707921026927e-05,7.324845000503202e-05,5.858116020417754e-06,0.0022275148851800246,0.0015490005422949189,0.00046290272995224677,0.0028623196307900134,0.0,0.054738367657903915,0.05443137473753722,0.002644432069215091,0.002090970531307493,0.05463626967704204,0.017236423746276194
PCA2,0.05393862082233223,0.013338285520408378,0.04043564459770061,0.000727139466897743,0.007733077978263095,0.01585221181952183,2.7234072177722953e-05,0.005414700838370135,0.007045076373421719,0.0001504865866218877,0.003861705900492162,0.03820262355689938,0.036630941585398834,0.0082119052733922,0.0029316032467617986,0.008509520993358187,0.007457169845528159,0.021334643723914984,0.02602981124514346,1.4641828307812767e-05,5.770585659938494e-05,0.0044987237889474035,0.000666671848170905,6.822301706224237e-05,7.170476027472718e-07,0.0010569827963937191,0.0006340753726349112,4.505717180909615e-05,0.004268879477306908,0.0004018595305656786,6.043484142175184e-61,7.143535326783599e-05,0.008252742523256444,0.0897088007729957,0.10064363203958548,9.265399815731155e-05,5.001119341730074e-08,0.05393862082233226,0.0021962975577540403,0.04230393333455741,0.013512660129215301,9.67882888390027e-05,0.007037814238945479,0.007241261948592553,0.014409506642077243,0.017564230952076355,0.0002700500405098813,0.0062965167220794815,0.017708812220935823,0.02401649060394066,7.817853648985748e-06,0.004709615691385245,0.002466280088853042,0.004564572918641742,0.009988450275452523,0.011266367497177968,0.00938714073045087,0.011925524181922604,0.0005411496693750017,0.004779480953341735,7.075704229966729e-07,6.827682215389945e-05,0.0010597048078756224,0.0007422085062946208,0.0003759642175930423,0.0012150474026490392,3.1410279470371986e-06,0.0,0.008252742523256444,7.143535326783599e-05,0.09397081140956333,0.10295529402863812,0.009028119101011922,0.007711907986759251
PCA3,7.344148769670485e-06,0.0012725822357832362,0.0007183454122797622,0.00405378116924338,0.0027062365013408992,0.007967912715522359,0.00029938992564993615,0.003074263454369589,0.0029378657567918636,0.00021019207037646228,0.03672659222834885,0.015786215944940014,0.046611137321716865,0.0005319913659286533,0.019447584404164654,0.0004003771684391501,0.01885064234351857,0.003981965006608849,0.0016900077781958768,0.0026538173213228357,0.0013816193387944289,0.007332343830041467,0.003191785366552348,0.06716374929982329,0.036170926750852636,0.14278573704396894,0.0030591713107443073,0.018471614570601654,0.00034000793242011646,0.015576957123771235,5.5351011727419405e-62,0.006150503488593536,0.0005502822449436672,0.0010378299796533416,0.0005106278472066866,0.005149208454916426,0.00018914747825362157,7.344148769670546e-06,0.004556335809979302,0.0035293440269932217,0.0007462096249178849,0.0024299537522754116,0.002397568799648979,0.00031875764576637226,0.002967498229090336,0.0033985567641151354,6.802518717662937e-06,0.024125706215970797,0.055804011220622333,0.08037289273348064,0.003192604750733961,0.012067161820414235,2.1613991443560135e-05,0.023249499141544686,0.001535836875055648,0.0021133231480020987,0.000556495966734632,0.0013420551435605831,0.0011080352442960047,0.004686149883559906,0.03617149543896572,0.06716983623020957,0.142780147338242,0.0005004192092454791,0.01451595050212423,0.0005796817072742149,0.017183955578818962,0.0,0.0005502822449436672,0.006150503488593536,0.0013413866734957472,0.000661130541973899,0.0007467475068502044,0.0021249497491199905
PCA4,1.8715103761876966e-05,0.0001985531217752564,0.031050729419527506,0.024792988143259725,0.0008405337650801963,0.014417524009829688,0.008039867471301355,0.01609127874503113,0.015392939921394773,0.0010659235843915316,0.013885043543094576,0.013787621830349707,0.02698193435808812,7.711793190960954e-06,0.0005431811266547879,0.003004428045860232,0.0016755383773809564,0.05233599525345963,0.004418543810513044,0.030811784642248263,0.01904342417101659,0.0049604426299976025,0.02505972054773383,0.002937930489436131,0.0399764584283817,0.012107583756873617,5.83801001143022e-05,0.0011188782781690503,0.0006807855852652905,0.004549504171464561,1.2204970110316044e-58,0.01370217223711539,5.826498668536274e-05,0.0023243939242971142,0.0013770721320810516,0.012592261282515135,0.0003284565409467586,1.87151037618766e-05,0.01653144530741424,0.005999372018886663,0.006853866043030539,0.03317216867841277,0.028590386811421578,0.006883667539637026,0.06459795256001272,0.06471658293976608,0.0004561361437105707,0.02939150847898187,0.022107632341454138,0.0004887805983703943,0.039622133581168284,8.874048223049361e-05,0.009577217112129265,0.001280100386006754,0.015121570843851838,0.0016185995259154376,0.005345214927549623,0.017550325223921637,0.023421718945135443,0.06377869472395571,0.039979491632320605,0.0029378029762154034,0.0121118499737251,0.024930445748406933,0.0003587253762536181,0.007527847608586202,0.0005777159327181717,0.0,5.826498668536274e-05,0.01370217223711539,0.0006623386305646913,0.00042389611490566744,0.0008271743063275717,0.03845317883116336
PCA5,0.0002480267773739504,0.009738188870803917,0.000847487209511577,0.019347764355365654,0.01908598937942856,0.0042883215637138745,0.018784374778529532,0.06333909152832713,0.06717712559363306,0.0006418767221199829,0.017170280982151908,0.025712965178715956,0.002078629542507873,0.026771267081516902,0.03554153941472738,0.00954908646014629,2.6676544557453678e-06,0.009802586976989314,4.756260139740533e-07,0.011807951022510666,0.03007801128470444,0.006550676406852177,0.05292515243691345,0.010847282790009053,0.003283774005067272,6.54441643970834e-05,0.016483028568710794,0.03333058152408415,0.004503079754148263,0.0012877031381853968,1.2575912998395317e-58,0.0018536564236267736,0.0029619736584830547,0.008526535515139733,0.0036919444268259985,0.0038139098686025617,0.040072913394662554,0.0002480267773739518,0.0005117709505850956,0.0324299967214009,0.031610515595939276,0.0016835773677220272,0.0014042503352522423,0.012789382120901662,0.00976090547423935,0.010829115193306453,9.309439263322595e-06,0.016209796981408852,0.001866555737791072,0.0014886796005294622,0.0057494821283271,0.0001395612777680196,0.004495798637078686,0.05139439985137884,0.058214705402201056,0.0073562178913896045,0.041211614467880735,0.031770319150932196,0.0003633639038506553,0.019761248300013128,0.0032839272483740937,0.010846991815140612,6.534568043459855e-05,0.006044410392260656,0.0005752252701760805,0.0017607488504154964,0.05743682803334918,0.0,0.0029619736584830547,0.0018536564236267736,0.003332038395515763,0.0012558581262424944,0.0034395116595436447,0.0036335270609455447
PCA6,0.00017041120292619788,0.0026584043270341464,0.04398789526577559,0.011737474129658674,0.0020557909946333818,1.373413741469725e-05,0.00432682906686436,0.00048246597207825785,0.00042176348260052635,2.5496410338007487e-05,0.028727230435103848,0.00021868365190491596,0.013308224285087596,0.004702355571552041,0.02482410136712858,3.74693511458171e-05,0.13662593847424329,0.0018072498053873815,0.0015673491328623938,0.01660992398228858,0.016180527846728392,0.005301136810413884,0.0011989774722821261,0.012351084393354849,0.0017999425002789668,3.94226933898677e-05,0.015203601570748257,0.021541857751960134,2.233541869604945e-05,0.15047719148520758,1.8268780170853424e-62,0.011638055628574135,0.005101745439133908,0.004908050687730123,0.0020416555184352343,0.009025746705100838,0.0024675691735805876,0.00017041120292619742,0.0018777954604940318,5.405026050665043e-06,0.00267707562532775,0.0011462761877864113,0.0011558370588751559,0.0002476630013444838,0.010189347522552827,0.009260897576362486,0.0004134891536359792,0.0026003511758768446,0.01506345806793784,0.016911208958558403,0.010857126603511225,0.12112607496510279,0.003973488609835126,0.030405701257111804,4.851937708620631e-05,1.9170849091257534e-05,0.0010139063476311873,0.0030752114136958935,0.0012829069783324403,0.007668474579414791,0.0018001771047181773,0.012350207678058583,3.9119242163629396e-05,0.009780940240683728,0.11668206524825459,2.4177772705287748e-05,0.028899563150448927,0.0,0.005101745439133908,0.011638055628574135,0.005849257893948649,0.002437673261208172,0.0037203002374913263,0.006879227962426309
PCA7,0.00027085820297729975,0.026842936893080056,0.036587036284287805,0.0013927036294238667,0.008249493335545366,0.005054550949654413,0.0037969821826844283,0.07535869143491784,0.07548212843015072,0.0029279255519711568,0.006684960474751415,0.008874642705020228,0.0005692360681188477,0.026810823664336975,0.0497656702380429,0.0027285932353254996,0.0031760890116037934,0.008559563378572712,0.000729001721798684,0.0009652032470604787,0.002429630781959344,0.00015050443264577528,0.08998026558673816,0.004159130675144569,0.013822535990133734,0.0012543591490924296,0.006489124915206716,0.05200310853031183,0.00010646412707384834,0.0048050800395516725,1.7862408082555178e-57,0.0008838185869837013,0.009233872976581256,2.2645407584717367e-06,3.1309266185635364e-05,0.0011074707352247718,0.02927631398679106,0.0002708582029773015,0.021712859145474283,0.06892656096087157,0.002687018315077166,0.002924799356303347,0.006543402278724782,0.0002016303390174146,0.015389913682835625,0.01467371264050443,0.000251458620682976,0.027440461248712245,0.0007976800429324775,0.005341639065285462,0.011184804171190594,0.0035007693774064264,3.570872099347733e-05,0.0507675197079962,0.040946988601097405,0.006145902153617901,0.007151669695331648,0.0020612737756273924,2.4377086147459954e-08,0.031010693042594805,0.013821998715653008,0.0041592156092092325,0.0012508718038798069,0.0008304291352163454,0.003762721729120663,0.0013713614886188283,0.06547480309128144,0.0,0.009233872976581256,0.0008838185869837013,4.7560715774044214e-05,2.9130943307691797e-06,0.007539638336561112,0.011091102234741988
PCA8,0.0015149516088475204,0.006965115751028015,0.011511289975010115,0.00011860881792644408,0.008144309510485824,0.007721846330294163,0.0016891150758126955,0.0069916576174009195,0.004997702597817233,0.0024959718941287515,0.0876919683785996,0.028921804797670373,0.0022901064383315218,0.0003830702534409865,0.019043972682775787,0.01198917519081881,0.006570297933231051,0.010375516481029112,1.9065609399134793e-06,0.004065916618643652,0.001186909503339839,0.016954182017571474,0.008246184984051882,0.10557318109266565,0.11714734125965273,6.523922549199491e-09,0.0016671839929033652,0.02277926323737168,0.004897953476022229,0.0029329126403850533,2.6380023535323777e-58,0.0012702461571470595,0.002917682147934302,0.0012944276375662584,8.714045706945554e-05,0.00048561105284553957,0.0009344588401208146,0.0015149516088475167,0.009896822956527891,0.016314020992418174,4.491428262046612e-05,0.0007874254675712771,0.0014214863174834811,8.473196253552665e-06,0.014051093400501041,0.013823111188209846,0.00012960304671988526,0.09069470152091494,0.023905511297835285,0.002339650245060967,0.0023057116033808104,0.009682882306200794,0.004609070024222126,0.011337344458775253,0.004987356375937069,0.0001301859912790965,0.0023849335530248665,0.00032061358720605746,0.006825746215977611,0.019394402867472658,0.11714651523104436,0.1055703089671246,5.912611377778554e-09,8.16883766138506e-05,0.012450710111819766,0.00015615069479233166,0.006343824075933743,0.0,0.002917682147934302,0.0012702461571470595,0.0008509555763373467,1.899156644617847e-05,0.0011056425216021022,0.0033182766213499587
PCA9,0.039181292190367395,0.024129521775366727,0.0016359897008319485,0.021791954762961696,0.05086518005897958,0.08583055166015281,0.000637567262429373,0.002195785184517451,0.0014912257252717982,0.0007871942109030401,0.011706745697489486,2.908099775528724e-05,0.003844674786415346,0.0002453144938934682,8.179941263388208e-06,0.007046544005593931,0.001927554083286952,0.009900589810634002,0.0011523342638978203,0.0003123268650736379,0.0012697101618412518,0.10807041988297636,0.0021188409149669935,0.011979651301375425,0.009613391389160458,0.00030437928464454147,0.019712583500740323,0.00030944349066581257,0.035862417406280246,0.0019398235136208484,5.513695981415884e-56,0.0004767407033053581,0.00177998154579469,0.004203330449811566,0.01745641956021538,3.283597586514527e-05,0.00153715725656193,0.039181292190367416,0.03838955502590855,0.005549717705970691,0.027294560277533714,0.04537016650581544,0.08033056547731297,1.2140825869493045e-05,0.018043646583489656,0.017272037082091574,0.0005933839588849012,0.011232035793213914,0.0004291210188405913,0.0019886883494023523,0.0008695046449034583,0.002396974398829963,0.0061404616976629914,6.964323134304132e-05,0.0010813112958406189,0.0003186141375138979,7.463613933763134e-05,0.0018429816654060597,0.10485191695843345,0.01985199968335851,0.00961078818602732,0.01197788721811896,0.0003056252898104051,0.009708094582527216,0.004152845506268534,0.03335524348894971,0.00011743010176625637,0.0,0.00177998154579469,0.0004767407033053581,0.004812458403003423,0.018263995529075202,0.0007311559754579969,0.00013606500765322527
PCA10,0.0035862920770052594,0.0008776389638578177,0.005528685643475647,0.009108752378623493,0.0006255706576067979,0.0007740878178384854,3.0906427605046144e-05,0.023347989539161666,0.024473495490392506,0.0004463131982671387,0.0014888699090057271,0.004653978086679378,0.0008941596208371975,0.00010464573700250798,0.03979807551396221,0.011065451997511508,0.01742543247781473,0.026373580639892393,0.008792323311376218,0.013692820402011887,0.006126694641054296,2.875980155084995e-05,0.027067419382819032,3.473078846004894e-05,0.0011051118040141643,0.00615846788238306,0.001164641954574271,0.04511814718842991,0.025702153020443888,0.01377125595842206,8.882352859288899e-56,0.02060782196292401,0.023849898567003553,0.004162777787671658,0.0005004868637278869,0.024967146823859043,8.864679604613894e-05,0.0035862920770052525,0.012256241556883563,4.419082523176601e-05,0.017176819606092127,0.021995899943270888,0.03078092956457703,0.0009688943539249503,0.04995857897210235,0.05322623755178962,0.00019999943462761747,0.00015236939140146142,0.006885952503630106,0.005635567089304232,0.003767689348381831,0.04222454360298012,0.027635800494218717,0.024031046104613946,0.013422083852805525,0.024791110153128574,0.008503524582365066,0.002262770006528554,0.03421297971375337,0.04612369354905133,0.0011045720697715547,3.4627749970595255e-05,0.006156014012443168,1.0847801413766915e-05,0.04151857478633325,0.024547164170592196,0.02706953866444118,0.0,0.023849898567003553,0.02060782196292401,0.0004924887645063366,7.010768030949595e-05,0.028003117219161846,0.0031487811601515407
PCA11,0.0006418182330886437,0.01924978558129344,0.001137954140174788,0.01803504050268035,0.04544258961779974,0.02340184061341418,0.025452530396512397,0.025312507180842443,0.023516177416415342,0.002446211693424469,0.0037472243622018717,0.003538389039844222,8.456324263634547e-05,0.03429291300238411,0.00010181503152219532,0.002586285539579327,0.002113986427781711,0.009823048592956064,0.001058875990579889,0.00019770478602273032,0.0009724133859983884,0.030301578747590787,0.0222206806514279,0.0028779099231747403,0.0006258000927736986,7.779692709830028e-05,0.1140154026371543,0.0002458533454251405,0.017330447757806944,0.002337266115094986,2.250490545166719e-55,0.00403850213909285,0.005630202480758841,0.0005776022319179503,4.6201157481601246e-05,0.003057676102566505,0.04042778539491665,0.000641818233088635,0.007546948085485915,7.043803853190327e-05,0.0117107552040113,0.06489315996500747,0.0719376322139074,0.007461189650997871,0.016383096294869098,0.01597049970539251,0.00021272101324959898,0.002603379739309369,0.0001344228043541597,0.0004057451010221174,9.928637016554083e-06,0.003732064910651628,0.06574061790008452,0.00039075400400448033,0.012879032997902745,0.007350544435461342,0.0015733988349880775,0.000145040809655211,0.07814015414118167,0.013033722130122032,0.0006254438959248311,0.0028750476473366165,7.793633596309947e-05,0.003928510135547448,0.0031047203434033627,0.10147072206741918,0.0012015226047345467,0.0,0.005630202480758841,0.00403850213909285,0.0015267886408114972,0.0003068428517958761,0.005203500272619181,7.881525286410727e-05
PCA12,0.00024591058877929134,0.0006161752760250603,0.00022824573985217466,0.0016152570140569003,0.038695079629179244,0.041529834050294805,0.005716052504565594,0.0006043497740733693,0.003387227077151598,0.00686981734907814,0.0003246107888545154,0.001516230756581094,0.00038106669206112455,0.06770698878052192,0.0010111859420523794,0.017164774920684318,0.0037838809189672147,0.00944792899356472,0.0008750803393489015,0.0017263510770754366,0.0015045533503803923,0.045087779254472916,0.003420299380265802,0.0003004292423959823,2.0305591662800818e-05,5.5673550313121265e-05,0.09361291636304649,0.0009119371647798541,0.017696165688884567,0.0032956466047151414,7.778844728711077e-54,0.0008435670518035098,0.0018233821428233713,0.00021329668115965223,0.00030934950070339503,0.0007642326610030623,0.07659804087640537,0.00024591058877929036,0.009666203220226892,0.0012057785607283995,0.00706577576322382,0.0004798571028729785,0.001114555563148286,4.231154980693993e-05,0.008399612908674059,0.013249323145802216,0.003114238218158172,0.0003631349287834453,1.0286447332217542e-06,0.00010478303658902275,0.10914769496662748,0.005364453982022575,7.945559782270824e-06,0.0007400131739089423,0.0013539145928789793,0.0018096141425797212,0.0035656531667009558,0.005484836172426912,0.0005926963663170755,0.013357084799867176,2.0594717553561304e-05,0.00030017307523221156,5.542780857055648e-05,0.23355797184806107,0.005403531377420349,0.0032037734820299767,0.0008057407091722724,0.0,0.0018233821428233713,0.0008435670518035098,9.454565064260414e-06,8.676552181825057e-05,0.002376959433354789,0.11513261479487462
