,home_MP,home_FG,home_FGA,home_FG%,home_3P,home_3PA,home_3P%,home_FT,home_FTA,home_FT%,home_ORB,home_DRB,home_TRB,home_AST,home_STL,home_BLK,home_TOV,home_PF,home_PTS,home_TS%,home_eFG%,home_3pAr,home_FTr,home_ORB%,home_DRB%,home_TRB%,home_AST%,home_STL%,home_BLK%,home_TOV%,home_USG%,home_Ortg,home_Drtg,home_poss,home_pace,home_poss_per_poss,home_ass_per_poss,away_MP,away_FG,away_FGA,away_FG%,away_3P,away_3PA,away_3P%,away_FT,away_FTA,away_FT%,away_ORB,away_DRB,away_TRB,away_AST,away_STL,away_BLK,away_TOV,away_PF,away_PTS,away_TS%,away_eFG%,away_3pAr,away_FTr,away_ORB%,away_DRB%,away_TRB%,away_AST%,away_STL%,away_BLK%,away_TOV%,away_USG%,away_Ortg,away_Drtg,away_poss,away_pace,away_poss_per_poss,away_ass_per_poss
PCA1,0.0013873887513599554,0.03822276114313473,0.003961994565559318,0.02953216056803521,0.02562280680209776,0.010920118680016693,0.015115382560910015,0.0015068609690363367,0.0006262687382611047,0.0014519106265438095,0.0007189524262096681,0.005470702885405477,0.005826814377426306,0.02466161138853124,0.0008164985867582044,0.0021805587217698565,0.0012071670594277263,0.0003913681581898515,0.0523854524907339,0.03846389689658039,0.03762296113461881,0.008365003323182858,5.0910843524575193e-05,4.620354582368268e-05,1.4847925760458701e-05,1.3274052152619226e-05,0.0025781176441814382,0.0018553949587079357,0.0011773535780353406,0.0024271449428861147,1.0022959281160246e-62,0.04461698576588162,0.04806190201494672,0.006980853405905581,0.00609261736624295,0.04376326251836552,0.01849628559986885,0.0013873887513599543,0.04185187490561671,0.004666037978490779,0.03208987599757329,0.027954144438846654,0.01187353466891017,0.017873173885590496,0.001961110413538709,0.0008910700257115173,0.0017860465137767806,0.0006462928259610457,0.006024752835622766,0.006256450006351458,0.02759706560120447,0.0003391734450139031,0.0013761943880419621,0.0024303770567450133,0.0002590923504478116,0.055511855499128626,0.04132966630336838,0.040460392252944725,0.008908809717394755,0.0001076386785589829,1.4809827110470273e-05,4.627306466626711e-05,1.3051037005717522e-05,0.0033039255901699304,0.0011055117384310756,0.0005823485710175186,0.00410594530832508,0.0,0.04806190201494672,0.04461698576588162,0.006660363895055719,0.005879913586116971,0.047694215347632116,0.021698940697369686
PCA2,0.00035363210703514387,0.028371783991843227,0.0005189352090047802,0.04095894587088462,0.011051743574521053,2.590421110836251e-06,0.023576643379343818,0.0001834526530493452,0.0006298453100535393,0.0008996754911897082,9.483126033437157e-05,0.028858289407892597,0.021173891343379214,0.025348596296079468,0.0001323919876924491,0.0043979397552057035,0.0008747366572554155,6.840536288670767e-08,0.027165240682145528,0.04077657809857732,0.04269509985477805,8.080485834038391e-05,0.0002948861684094711,0.007295070375282723,0.005119362830608824,0.049416066676636554,0.005249266607956809,0.00018489931262853193,0.00369379102695504,0.001195289110128153,1.3844099531901568e-63,0.03820768830828571,0.034182584359664196,0.0008275220918630478,0.000854558775588277,0.04116584172346271,0.029264141128472344,0.00035363210703514414,0.025541456306391836,7.824709534462821e-05,0.03414711178295198,0.01163159675621515,0.0004752694555961676,0.01877827666471625,0.00017815803303391603,1.9355027121656814e-06,0.0011904978835389716,7.08212747770024e-05,0.03711211430049521,0.02714559858264443,0.01889006367739704,4.4439232698791476e-05,0.006565060734336227,0.00027662620288856595,0.0011328610014942717,0.02801294094517249,0.03622063566304451,0.03647604035228215,0.0007074740128281073,1.5198727324927711e-05,0.0051188491903364115,0.00729559352768507,0.049410986332314284,0.0027780867069024783,7.257006117941074e-05,0.0058856137170279,0.00029292584206300275,0.0,0.034182584359664196,0.03820768830828571,1.8421505217973677e-05,2.1239494839507204e-05,0.03634396703839548,0.020228732510149772
PCA3,0.052683706236337516,0.0037862042753365457,0.038110045872021575,0.004833646566468541,0.0018067685127367292,0.01065358154179239,0.002313591373322964,0.009817436158050384,0.012754434542175586,0.00036338042892107905,0.00437968173439138,0.031573574287816444,0.03400174353492732,0.0009381629543332478,0.0034481459135999176,0.007346150146239413,0.009385704643111604,0.018334739863324484,0.012195005129325937,0.00240139192833429,0.00336153002118817,0.0022381367779866802,0.003037899652074717,1.275479606675858e-06,5.838076948034764e-05,0.0001604701066587526,6.458302737115823e-05,0.00011274326076934198,0.004323281259178372,0.0008689320367625874,4.202131149802174e-60,0.003351033893196694,0.005440803071560708,0.09980498084201676,0.10955293696363994,0.003539843513638615,0.003450873773183086,0.05268370623633759,0.0018080933402425472,0.04138877950755236,0.009311972417666093,0.0006240241139251244,0.00994766005541785,0.004940628470571371,0.012278870916323733,0.015184107329543655,9.282634423701739e-05,0.004443213106225606,0.023142703845395147,0.027138696342728714,0.00022599155966123713,0.006139356349852245,0.004680796066972312,0.006247718212686242,0.016400329294985215,0.008491219754950647,0.005376727923168822,0.007414994325613527,0.0017151824266234384,0.003878491120436393,5.837624568279049e-05,1.2726172464240518e-06,0.0001617825551055864,0.0001338591954207889,0.0008484445928414021,0.0024404987183574115,0.0001350946455798874,0.0,0.005440803071560708,0.003351033893196694,0.10129652317905508,0.11094087132403664,0.005779977468303668,0.005360573341615665
PCA4,1.0370124407497032e-05,0.0014640787260232315,0.008799407738456284,0.011954748300856573,0.0033898921893896115,1.439694409848679e-09,0.008746732080104043,0.00029634039848255,0.0003285838822597806,2.5298272443071164e-10,0.059308148452340656,0.014529853762897154,0.05725934906609661,0.0075714743828964514,0.015500735542842611,0.006475554680765452,0.0035336845338490453,0.006478228623971997,0.0017262085913213408,0.01324438769468255,0.013996004129105016,0.0008468018377640137,3.7021216541629215e-05,0.05696146941508037,0.08031971630673433,0.09321166936564962,0.006917008227316108,0.016202049774608936,0.0028360701769555535,0.0008640794626498318,4.235701798179176e-59,0.002189371654277399,0.0007448608738671272,0.00011665433079850206,4.418244078827639e-05,0.002766420402438992,0.008389555911953027,1.0370124407496807e-05,0.0020781557694362148,0.0008835534544151409,0.0051857899439234955,0.009862501312791566,0.004811021136917174,0.005649197289373167,0.009453787848710952,0.010312819812724121,1.050734744207951e-05,0.0686166913956786,0.002053431360474265,0.03563731988411908,0.009093302891736755,0.0027979879515646704,0.006847477402542693,0.01840460755889259,1.2033841118676028e-06,0.0005277134088512155,0.0056582382173999465,0.009294913010068153,0.006825501247209003,0.007397317939048673,0.08032315578485853,0.05696204016062672,0.09322201377412849,0.007691834657761578,0.002980025135673393,0.0036920458257581773,0.01112780281892366,0.0,0.0007448608738671272,0.002189371654277399,0.00033037816489517584,0.00022634296689222168,0.0013486995172117787,0.010687302982437471
PCA5,0.00019480044761149013,0.0038215542229446094,0.024787552712035685,0.0019578875058818357,0.021202687525877895,0.03335363265074795,0.00025150968483211335,0.07321859062071048,0.0754254100235431,0.00120544294137085,0.0044831276503147395,0.01762814464130729,0.00502092167699249,0.01261419334767166,0.0016886686452025198,0.0011186329285044093,0.016587851944033352,0.05193450647424065,0.0009567758504506377,0.003380933005035341,3.391512794472165e-06,0.020689354388552007,0.08387100320342301,0.016761975084849563,0.001513850053278729,0.003676431335802969,0.009808851475018482,0.0020284155747283907,0.0015495409064239375,0.015615604607088194,1.8614082519255846e-58,0.0020543614219737665,0.0038141995344652675,7.016498442594743e-05,1.4588480529438587e-07,0.0008686579200772077,0.013688992128798408,0.0001948004476114897,0.0017282689812090546,0.024332561837306452,0.004181144558514183,0.009192709483168781,0.02273876369299893,0.00042769560008518924,0.056738985877658354,0.05905023723368411,0.0008292791147616351,0.00012986658500431232,0.03138338167068568,0.02359928793649299,0.005881565880099524,0.009916166485624872,0.00092275088156957,0.004726044581890554,0.06694649898061071,0.0020604154972859493,0.007088174888572569,0.0009983659845644627,0.012120474278971722,0.06865022228370174,0.0015143402367868385,0.01676395222634458,0.003673517456595979,0.004427478750323535,0.010929263059644138,0.0018911434763054396,0.005514344972076081,0.0,0.0038141995344652675,0.0020543614219737665,6.421927657352481e-07,2.7777401513595926e-05,0.0025504755343994847,0.006153076458917837
PCA6,0.0006983552700517848,9.234917214504596e-05,0.00936427301834169,0.003383170588286344,0.0022473081534126454,0.0012196534738562893,0.0012422407196804718,0.009639024158740959,0.009588350858483063,0.000304896169192838,0.010201495700653304,0.0033315843843246358,0.011152820246414398,0.006160930030380584,0.07189886995021395,0.002039122997788311,0.09220254065771052,0.0015824112673240686,0.0015383685074481872,0.0029771028717336754,0.005268343416932095,0.004680306269073032,0.004307909695636587,0.004630831463742271,0.009218921898303272,0.00015711743602570775,0.012343731333355198,0.06645888539058512,4.218994677505455e-05,0.09582861400590197,4.8257562584484685e-60,0.010723803002591353,0.006492138477082145,0.006400416440441602,0.002383576654594322,0.00827349448432088,0.0032430172888264033,0.0006983552700517881,4.259335069385299e-06,0.012791671327483952,0.006688258578395934,0.0033268839966853272,0.0010829650896067343,0.0026810801935644455,0.008112397134607562,0.0075993166468859424,0.0004458648606437477,0.017111869990849096,0.003175576097280535,0.0149484875482744,0.011812610718793548,0.08278461429696321,0.001377903780761285,0.0817682319349388,0.0030290458489317653,0.0004616148930690175,0.006128911692597414,0.009233101431973098,0.005012680791717495,0.0027665928944396703,0.009219818618882158,0.004631645047979181,0.00015579055441608896,0.01905796073415067,0.07790269039500529,3.4230871612347787e-06,0.08659967846860732,0.0,0.006492138477082145,0.010723803002591353,0.0060493805031563005,0.002218356580334563,0.004536537908564474,0.008048316868114202
PCA7,3.3228993886980485e-07,0.014216106493894874,0.0745080935605837,0.003932051241376989,2.97121619035559e-05,0.0018894699975566954,0.0015880463708722755,0.007649503099629765,0.006854544053094333,0.0007451473510625872,0.03262507296864339,0.014919756399017204,1.0507397620362274e-05,0.0031905014467950945,0.06450195219208496,0.003596649993919696,0.0569699244428531,0.004875269222474568,0.0034145233836548154,0.010032045729486357,0.005167236066539767,0.0017826325572725852,0.020178975507149918,0.01493350164816068,0.00688563304704543,4.298709531946362e-08,0.000472652308209025,0.06678619421191032,0.00015147395691247377,0.07472773964311531,2.7186179142589982e-58,0.004006639040226871,0.0025575972755230987,0.0003534723363570702,0.00020502532447046957,0.0030645424813210503,0.0027351855380718933,3.322899388698066e-07,0.01080033927191077,0.06960155031845973,0.005080314178776742,0.0002847054183337833,0.004150482436236289,0.002044927791528101,0.011006049779464783,0.011346795533830263,0.00010497128960273031,0.02097557192424311,0.010669319185140039,4.657515455101492e-06,0.002719455102511326,0.05281950526608534,0.0038341592570926247,0.06690804948551589,0.002551099910572577,0.001660572432187767,0.010474765733957166,0.005334637741978075,0.0002515622788838684,0.026526829603473964,0.0068848705356914985,0.014933979237231415,3.618420533728868e-08,0.00018019013287545139,0.056217502224684995,2.2745545247338145e-05,0.08167253296254685,0.0,0.0025575972755230987,0.004006639040226871,2.4759083306159084e-06,7.636430893497537e-07,0.0020258285638674505,0.0027864312754551715
PCA8,0.003798588470969207,0.009143389445685287,0.018493727817235347,8.958783709069888e-05,0.004521441997540634,0.006279545860401748,0.0002122917778458256,0.021641873278637352,0.019653012699598255,0.0018806517898687614,0.09211710729809686,0.02141809608716616,0.0029111901118975426,0.0018388366943594928,0.003822583120590986,0.012925038608037037,0.01214823616361287,0.00447010389157019,0.00013867625935582313,0.003980453519308156,0.0006994788682159904,0.016482499591547278,0.02630319979869576,0.10994184156895186,0.10070359381004891,3.992695893817762e-05,0.0004301211735698525,0.005269591989366257,0.0032260932590673992,0.006838342538392132,3.954333837278898e-57,0.00037102300733163454,0.00441187303195128,0.0011343545029145882,1.6422244808608577e-07,4.4646214053555445e-05,0.002866853684421697,0.003798588470969209,0.010890592370263972,0.017489591499051438,0.0004996361235190186,0.00326503024482175,0.007139558946488457,1.2461523024805212e-06,0.005738817341167973,0.005683534803907209,0.0001622452254495146,0.08320184278503442,0.021016735859430685,0.0021276013739764425,0.0013198474320305822,0.019474011501866215,0.0056467467901891175,0.002117087887124069,0.013541384674555802,0.0009921279175034944,0.001057607853327889,0.00014675627693142042,0.0176758123868276,0.010349507483120437,0.10070151533936196,0.10993937650561514,3.973950141681819e-05,0.0011460222410502757,0.023313143677525898,0.0003308730774891749,0.000340775401161643,0.0,0.00441187303195128,0.00037102300733163454,0.0009928025104879964,4.348768689135154e-06,0.00272862603121545,0.0020959325580613593
PCA9,0.0001623170105076123,0.0011478377100823493,0.0046987555060825055,0.0001245485948423953,0.008803304840663728,0.008749069480808832,0.0013396944559011723,0.07961079247449646,0.07959058706569885,0.0022806845309127563,0.00015965167920675125,1.953050306864156e-05,1.3136279543864838e-05,0.0054101722074214355,0.032390721891628484,0.0010294412093570108,0.013392858835018744,0.058132471703187256,0.005704218582010338,0.001821005529005005,0.00034306906030542536,0.006102073648513383,0.07564901791085028,0.0005019670527655307,0.0039924307380693694,6.674695905202107e-05,0.0048821992847677955,0.0338243819987048,0.0009823938306847595,0.014227747819861011,2.0902379571667118e-57,0.007251652429745478,0.006069171153772569,1.304263883415183e-06,1.6240123520219146e-05,0.007450979173990104,0.005503744547926849,0.00016231701050760914,0.003897640589558465,0.011277362948525016,3.3287065143382925e-05,0.0069645687268804655,0.006931674038785533,0.0014081354776343295,0.09823580437687282,0.09455310016960547,0.0048932012885280355,0.004277576890989208,0.0008444743393627645,0.0001855654286305927,0.010999450533564261,0.01971291073566732,8.709455367472001e-05,0.02394046847284592,0.04660666879735013,0.00445189901721242,0.0029420769222354122,0.0002801142835056693,0.0030425910345385537,0.0960343874271291,0.003993442953100303,0.0005019045536629661,6.65893951091753e-05,0.007922454420722118,0.02104146515553339,0.00041835578311141483,0.021662165719483328,0.0,0.006069171153772569,0.007251652429745478,0.00016436725097361554,0.00020875416053637457,0.006756640024982891,0.010734746784661298
PCA10,0.054064394354254204,0.023135064920428734,0.0018320514079076344,0.019472300242531115,0.04221406291127415,0.08725605707857778,0.00034520771662812863,0.008815723586570515,0.00750287852805871,0.000992383994391667,0.01688842528108092,8.072123687471945e-05,0.004531111858452076,0.00025252186644173896,0.0009569396029619888,0.006648202798415937,0.0010754122396949878,0.006504329311070491,0.000266473254411452,0.00023966716654895152,0.001627627374342785,0.10784889561623817,0.008260468102521033,0.015778787396653487,0.01610682944882054,8.705872895235916e-09,0.010725887302318238,0.0019526794494243674,0.03269325614514672,0.0008972122394794474,3.598356145724656e-56,0.0009257060290998094,0.0005370282107309796,0.003620479741869185,0.019850011004109647,0.0002736684791851587,9.128087521539633e-07,0.054064394354254204,0.024502443237949156,0.0017970849863962637,0.020789137422635058,0.039839708753748634,0.08103153008883889,4.2216783690741815e-05,0.008414374655626207,0.008925984014855382,0.0001133562784610785,0.018034150062020055,0.00021304832557730437,0.004274771533742001,7.066327960919689e-05,0.0009553478719147196,0.007563720954008105,0.001039066587943853,0.003550323279782562,0.0004855392170589597,0.0005149825365381661,0.00199280601084783,0.10028064884810055,0.009640013515225697,0.016104239684231685,0.01577511549779895,1.682577726420428e-08,0.012204628622310892,0.0020495910249403804,0.03602814319978828,0.0008189247563714764,0.0,0.0005370282107309796,0.0009257060290998094,0.0034578883086486267,0.019652944181115403,8.217434042565991e-05,5.489930879419233e-05
