game_id,elo1_pre,elo2_pre,elo1_post,elo_2post,neutral,elo_prob1,elo_prob2
201610250CLE,1696,1415,1699.496161457869,1411.503838542131,0,0.8996383151500511,0.10036168484994892
201610250GSW,1693,1695,1665.8473534933128,1722.1526465066872,0,0.6374083767444846,0.3625916232555154
201610250POR,1585,1530,1590.4197173603093,1524.5802826396907,0,0.7093546305987632,0.2906453694012368
201610260BOS,1540,1343,1541.8627718648072,1341.1372281351928,0,0.8467934030726807,0.1532065969273193
201610260IND,1533,1503,1539.1061354130093,1496.8938645869907,0,0.6788169197947567,0.32118308020524333
201610260LAL,1333,1528,1344.6065629658683,1516.3934370341317,0,0.36659229992883247,0.6334077000711674
201610260MEM,1455,1434,1459.1372314412342,1429.8627685587658,0,0.6674184218732231,0.33258157812677686
201610260MIL,1420,1546,1410.7441176693721,1555.2558823306279,0,0.462652682833507,0.537347317166493
201610260NOP,1407,1446,1398.9895254601297,1454.0104745398703,0,0.5868950233791,0.4131049766209
201610260ORL,1454,1574,1443.9935039353243,1584.0064960646757,0,0.4712494361077312,0.5287505638922688
201610260PHI,1278,1685,1276.29797568327,1686.70202431673,0,0.14588663805437543,0.8541133619456245
201610260PHO,1393,1445,1375.7398575820869,1462.2601424179131,0,0.5686413918836677,0.4313586081163323
201610260TOR,1569,1497,1576.802176283439,1489.197823716561,0,0.7291099628977523,0.27089003710224757
201610270ATL,1571,1524,1578.7913322165887,1516.2086677834113,0,0.6997694032620583,0.30023059673794183
201610270CHI,1467,1541.8627718648072,1474.6312721439294,1534.2314997208778,0,0.5361123895251582,0.4638876104748418
201610270POR,1590.4197173603093,1584,1578.5824415471066,1595.8372758132027,0,0.6485339280144291,0.35146607198557095
201610270SAC,1462.2601424179131,1722.1526465066872,1457.9776302936527,1726.4351586309476,0,0.2848732936405533,0.7151267063594466
201610280BRK,1341.1372281351928,1539.1061354130093,1355.8801901531722,1524.36317339503,0,0.36263299088709927,0.6373670091129007
201610280DAL,1496.8938645869907,1516.3934370341317,1485.9189462645431,1527.3683553565793,0,0.6138198975048627,0.38618010249513735
201610280DET,1489.197823716561,1443.9935039353243,1500.7071614096303,1432.484166242255,0,0.6975932551442946,0.3024067448557054
201610280MIA,1584.0064960646757,1555.2558823306279,1573.2859872603176,1565.976391134986,0,0.6772468651933548,0.3227531348066452
201610280NOP,1398.9895254601297,1665.8473534933128,1394.8478475412758,1669.9890314121667,0,0.27677592211135515,0.7232240778886448
201610280OKC,1686.70202431673,1375.7398575820869,1687.4705005210628,1374.9713813777541,0,0.9141731732514955,0.08582682674850449
201610280TOR,1576.802176283439,1699.496161457869,1572.0433184092806,1704.2550193320274,0,0.46738709794492517,0.5326129020550749
201610280UTA,1524.5802826396907,1344.6065629658683,1527.0270670867521,1342.159778518807,0,0.8336414899859681,0.16635851001403187
201610290CHI,1474.6312721439294,1524.36317339503,1487.6938693834807,1511.3005761554787,0,0.5718410191689435,0.42815898083105647
201610290CHO,1565.976391134986,1534.2314997208778,1555.1699305538332,1545.0379603020306,0,0.6810029010581947,0.3189970989418052
201610290CLE,1704.2550193320274,1432.484166242255,1705.5922075542933,1431.146978019989,0,0.8947386218967871,0.10526137810321298
201610290DEN,1454.0104745398703,1578.5824415471066,1449.9267440135916,1582.6661720733853,0,0.46469693758383385,0.5353030624161662
201610290MIL,1410.7441176693721,1355.8801901531722,1413.4362364213323,1353.188071401212,0,0.7091931114459572,0.2908068885540427
201610290NYK,1411.503838542131,1459.1372314412342,1418.9415463046757,1451.6995236786895,0,0.5747960686109577,0.4252039313890424
201610290PHI,1276.29797568327,1578.7913322165887,1267.527393197392,1587.5619147024665,0,0.23764298947497545,0.7623570105250246
201610290SAC,1457.9776302936527,1429.8627685587658,1461.5157791178458,1426.3246197345727,0,0.6764464004216034,0.3235535995783966
201610290SAS,1726.4351586309476,1394.8478475412758,1728.358148286623,1392.9248578856004,0,0.9230420961347539,0.07695790386524613
201610300DET,1500.7071614096303,1413.4362364213323,1507.0972662737224,1407.0461315572402,0,0.7461187440793174,0.2538812559206826
201610300HOU,1527.3683553565793,1485.9189462645431,1529.7703268663224,1483.5169747548,0,0.6930140414653495,0.3069859585346504
201610300LAC,1595.8372758132027,1527.0270670867521,1602.213817959408,1520.6505249405468,0,0.7254681078084729,0.2745318921915271
201610300MEM,1451.6995236786895,1516.2086677834113,1460.9182306102175,1506.989960851883,0,0.5508985316062681,0.4491014683937319
201610300MIA,1573.2859872603176,1728.358148286623,1566.9782053410895,1734.665930205851,0,0.42140196243379857,0.5785980375662014
201610300OKC,1687.4705005210628,1342.159778518807,1689.11240665336,1340.5178723865097,0,0.9284695648318431,0.07153043516815694
201610300PHO,1374.9713813777541,1669.9890314121667,1371.8992569148945,1673.0611558750263,0,0.24552713649831262,0.7544728635016873
201610310ATL,1587.5619147024665,1461.5157791178458,1591.8422539258027,1457.2354398945097,0,0.7860412706491001,0.21395872935089996
201610310BRK,1353.188071401212,1487.6938693834807,1335.4014060923562,1505.4805346923365,0,0.4505047917398688,0.5494952082601313
201610310LAC,1602.213817959408,1371.8992569148945,1605.5562330199887,1368.556841854314,0,0.8700548096779976,0.12994519032200239
201610310TOR,1572.0433184092806,1449.9267440135916,1574.2617292113416,1447.7083332115305,0,0.7822123563495156,0.21778764365048434
201611010CLE,1705.5922075542933,1529.7703268663224,1708.2937276973971,1527.0688067232186,0,0.8303004886411288,0.16969951135887115
201611010DET,1507.0972662737224,1418.9415463046757,1512.8868487239674,1413.1519638544307,0,0.7470823332886332,0.25291766671136695
201611010IND,1511.3005761554787,1340.5178723865097,1513.873730535149,1337.9447180068394,0,0.8261739909006869,0.17382600909931314
201611010MIA,1566.9782053410895,1457.2354398945097,1571.902402115017,1452.3112431205823,0,0.7698344063374023,0.23016559366259756
201611010MIN,1426.3246197345727,1460.9182306102175,1447.245034997513,1439.9978153472773,0,0.593030947564156,0.40696905243584397
201611010NOP,1392.9248578856004,1407.0461315572402,1385.1560808287818,1414.8149086140588,0,0.6211324535567586,0.37886754644324155
201611010PHI,1267.527393197392,1431.146978019989,1264.0285288261844,1434.6458423911968,0,0.4094538062516712,0.5905461937483288
201611010POR,1582.6661720733853,1673.0611558750263,1565.3506748897114,1690.3766530587002,0,0.5138192090849759,0.486180790915024
201611010SAS,1734.665930205851,1520.6505249405468,1706.7550267087327,1548.5614284376652,0,0.8590737388359623,0.14092626116403778
201611020ATL,1591.8422539258027,1337.9447180068394,1573.1636224271704,1356.6233495054717,0,0.8846476401718166,0.11535235982818337
201611020BOS,1545.0379603020306,1505.4805346923365,1550.082586726844,1500.435908267523,0,0.6906921431794535,0.30930785682054657
201611020BRK,1335.4014060923562,1512.8868487239674,1348.3048107469942,1499.9834440693294,0,0.3903022121115141,0.6096977878884859
201611020CHO,1555.1699305538332,1264.0285288261844,1557.3412929378283,1261.8571664421893,0,0.904787674738647,0.09521232526135308
201611020LAC,1605.5562330199887,1689.11240665336,1600.8129178407717,1693.855721832577,0,0.5236469143162915,0.47635308568370854
201611020MEM,1439.9978153472773,1385.1560808287818,1444.3066412888993,1380.8472548871598,0,0.709166763153821,0.2908332368461791
201611020NYK,1413.1519638544307,1527.0688067232186,1399.244285628327,1540.9764849493224,0,0.47998275774206756,0.5200172422579326
201611020PHO,1368.556841854314,1565.3506748897114,1376.994235911334,1556.9132808326913,0,0.3641978670214855,0.6358021329785144
201611020UTA,1548.5614284376652,1483.5169747548,1556.014639926685,1476.0637632657802,0,0.7211297072116356,0.27887029278836445
201611020WAS,1506.989960851883,1574.2617292113416,1496.217515069451,1585.0341749937736,0,0.5469608905590783,0.45303910944092174
201611030CLE,1708.2937276973971,1550.082586726844,1710.826053532099,1547.5502608921422,0,0.8155347313335705,0.18446526866642945
201611030GSW,1690.3766530587002,1693.855721832577,1704.7934446674235,1679.4389302238537,0,0.635438289945779,0.364561710054221
