gameId,homeTeamElo,awayTeamElo,homeTeamEloAfter,awayTeamEloAfter
202012220BRK,1489,1395,1498.0451435831847,1385.9548564168153
202012220LAL,1646,1597,1633.7033785746537,1609.2966214253463
202012230BOS,1646,1605,1648.4071176383973,1602.5928823616027
202012230CHI,1383,1385,1362.151517384553,1405.848482615447
202012230CLE,1363,1424,1370.8557291795166,1416.1442708204834
202012230DEN,1557,1504,1549.8654787468704,1511.1345212531296
202012230IND,1527,1384,1531.5704537337358,1379.4295462662642
202012230MEM,1538,1529,1522.7183948904008,1544.2816051095992
202012230MIN,1393,1382,1400.1078991716738,1374.8921008283262
202012230ORL,1495,1603,1503.658876275738,1594.341123724262
202012230PHI,1535,1407,1537.9751535860917,1404.0248464139083
202012230PHO,1555,1528,1559.0234250674514,1523.9765749325486
202012230POR,1511,1542,1491.882853620714,1561.117146379286
202012230TOR,1648,1500,1624.4670983286264,1523.5329016713736
202012250BOS,1648.4071176383973,1498.0451435831847,1610.17100441684,1536.2812568047418
202012250DEN,1549.8654787468704,1609.2966214253463,1536.8092074248782,1622.3528927473385
202012250LAL,1633.7033785746537,1523.9765749325486,1641.3501285101818,1516.3298249970205
202012250MIA,1594.341123724262,1523.5329016713736,1600.655032786936,1517.2189926086994
202012250MIL,1602.5928823616027,1385.9548564168153,1608.880825926352,1379.6669128520662
202012260CHI,1362.151517384553,1531.5704537337358,1350.9754027298534,1542.7465683884354
202012260CHO,1416.1442708204834,1534,1411.9554526012323,1538.188818219251
202012260DET,1374.8921008283262,1370.8557291795166,1362.286963358282,1383.4608666495608
202012260MEM,1522.7183948904008,1405.848482615447,1504.9279115573283,1423.6389659485194
202012260NYK,1379.4295462662642,1537.9751535860917,1367.3196287045118,1550.085071147844
202012260POR,1491.882853620714,1541,1496.1809845614237,1536.7018690592904
202012260SAC,1511.1345212531296,1559.0234250674514,1516.0824047229912,1554.0755415975898
202012260SAS,1544.2816051095992,1624.4670983286264,1551.37296804531,1617.3757353929157
202012260UTA,1561.117146379286,1400.1078991716738,1547.9026401165854,1413.3224054343743
202012260WAS,1404.0248464139083,1503.658876275738,1394.4033054521117,1513.2804172375347
202012270CHI,1350.9754027298534,1379.6669128520662,1346.2244262474703,1384.4178893344492
202012270CHO,1411.9554526012323,1536.2812568047418,1417.6960313607708,1530.5406780452033
202012270CLE,1383.4608666495608,1550.085071147844,1409.0175471986247,1524.52839059878
202012270IND,1542.7465683884354,1610.17100441684,1546.6195215880423,1606.2980512172333
202012270LAC,1622.3528927473385,1516.3298249970205,1568.0759061180672,1570.6068116262918
202012270LAL,1641.3501285101818,1413.3224054343743,1646.9063298898561,1407.7662040547
202012270NOP,1517.2189926086994,1551.37296804531,1521.8902136907843,1546.701746963225
202012270NYK,1367.3196287045118,1608.880825926352,1395.4670928389808,1580.733361791883
202012270SAC,1516.0824047229912,1554.0755415975898,1500.0290210089097,1570.1289253116713
202012270WAS,1394.4033054521117,1513.2804172375347,1387.1381119584612,1520.5456107311852
202012280ATL,1423.6389659485194,1362.286963358282,1428.5402842993517,1357.3856450074497
202012280BRK,1530.5406780452033,1504.9279115573283,1520.8661107150592,1514.6024788874724
202012280DEN,1536.8092074248782,1536.7018690592904,1545.625372808011,1527.8857036761576
202012280LAL,1646.9063298898561,1496.1809845614237,1630.2025116254813,1512.8848028257985
202012280OKC,1538.188818219251,1547.9026401165854,1533.1586693240693,1552.9327890117672
202012290CLE,1409.0175471986247,1395.4670928389808,1396.0707447758655,1408.41389526174
202012290DET,1357.3856450074497,1384.4178893344492,1345.1252909393374,1396.6782434025615
202012290IND,1546.6195215880423,1606.2980512172333,1539.1267976723263,1613.7907751329492
202012290LAC,1568.0759061180672,1407.7662040547,1573.9261525448846,1401.9159576278826
202012290MIA,1600.655032786936,1580.733361791883,1559.38624315123,1622.002151427589
202012290OKC,1533.1586693240693,1520.5456107311852,1518.5507778894566,1535.1535021657978
202012290PHI,1524.52839059878,1617.3757353929157,1533.429112841386,1608.4750131503097
202012290PHO,1570.1289253116713,1521.8902136907843,1581.1579273285936,1510.861211673862
202012290SAC,1500.0290210089097,1545.625372808011,1509.126564382663,1536.5278294342577
202012290WAS,1387.1381119584612,1346.2244262474703,1374.1404261760867,1359.2221120298448
202012300BOS,1613.7907751329492,1514.6024788874724,1620.8532047739009,1507.5400492465208
202012300BRK,1520.8661107150592,1428.5402842993517,1523.7920567775402,1425.6143382368707
202012300DAL,1570.6068116262918,1417.6960313607708,1541.3960779105819,1446.9067650764807
202012300LAC,1573.9261525448846,1512.8848028257985,1583.694855699074,1503.1160996716092
202012300MIA,1559.38624315123,1622.002151427589,1569.7357723006646,1611.6526222781545
202012300SAS,1546.701746963225,1630.2025116254813,1534.0733233356807,1642.8309352530257
202012310HOU,1527.8857036761576,1509.126564382663,1531.5810036518108,1505.4312644070098
202012310IND,1539.1267976723263,1396.0707447758655,1544.9458543105043,1390.2516881376876
202012310OKC,1518.5507778894566,1510.861211673862,1487.8791770689481,1541.5328124943705
202012310ORL,1535.1535021657978,1533.429112841386,1511.1966310439718,1557.385983963212
202012310TOR,1608.4750131503097,1408.41389526174,1612.2865915085013,1404.6023169035484
202012310UTA,1552.9327890117672,1581.1579273285936,1539.9711376375146,1594.1195787028462
202012310WAS,1374.1404261760867,1359.2221120298448,1366.676173937598,1366.6863642683336
202101010BRK,1523.7920567775402,1425.6143382368707,1498.740266559289,1450.666128455122
202101010CHO,1446.9067650764807,1507.5400492465208,1432.6174278864178,1521.8293864365837
202101010DAL,1541.3960779105819,1569.7357723006646,1549.854798263561,1561.2770519476855
202101010DEN,1536.5278294342577,1594.1195787028462,1530.5343274419283,1600.1130806951755
202101010DET,1345.1252909393374,1620.8532047739009,1355.6453328357884,1610.33316287745
202101010GSW,1396.6782434025615,1503.1160996716092,1379.3380714494963,1520.4562716246744
202101010MIL,1611.6526222781545,1366.6863642683336,1616.0660724307963,1362.2729141156917
202101010MIN,1401.9159576278826,1366.676173937598,1378.0117558851982,1390.5803756802823
202101010SAS,1534.0733233356807,1642.8309352530257,1527.138813009392,1649.7654455793145
202101010UTA,1539.9711376375146,1583.694855699074,1546.6974684062022,1576.9685249303864
202101020ATL,1450.666128455122,1390.2516881376876,1440.0806775240653,1400.8371390687441
202101020HOU,1531.5810036518108,1505.4312644070098,1537.3800242774591,1499.6322437813615
202101020IND,1544.9458543105043,1404.6023169035484,1533.5533783196788,1415.9947928943739
202101020NOP,1541.5328124943705,1612.2865915085013,1547.6736563807453,1606.1457476221265
202101020ORL,1511.1966310439718,1487.8791770689481,1497.8979663200832,1501.1778417928367
202101020PHI,1557.385983963212,1432.6174278864178,1562.6547118189487,1427.3487000306811
202101030BRK,1498.740266559289,1390.5803756802823,1491.9418972463525,1397.3787449932188
202101030CHI,1362.2729141156917,1549.854798263561,1377.496972858965,1534.6307395202878
202101030DET,1355.6453328357884,1610.33316287745,1353.3090511643572,1612.669444548881
202101030GSW,1379.3380714494963,1520.4562716246744,1396.302722041361,1503.4916210328097
