gameid,team,season,y.status,date,team.elo.booker.lm,opp.elo.booker.lm,team.elo.booker.combined,opp.elo.booker.combined,booker_odds.Pinnacle,elo.prob,raptor.prob,predict.prob.booker,predict.prob.combined,elo.court30.prob,raptor.court30.prob
201411040CHI,ORL,2015,0,2014-11-04,1446.3766726366198,1666.5204678210578,1430.7103351292246,1679.0756779454014,0.1662012387790006,0.1346525328037392,NA,0.19155410816856946,0.16764648780252392,0.1888528864754874,NA
201411040CHI,CHI,2015,1,2014-11-04,1666.5204678210578,1446.3766726366198,1679.0756779454014,1430.7103351292246,0.8337987612209993,0.8653474671962608,NA,0.8084458918314305,0.8323535121974761,0.8111471135245126,NA
201411040IND,MIL,2015,1,2014-11-04,1385.2588802946902,1388.1831788486522,1382.6601264416336,1371.5210077679683,0.3871172000921022,0.1552189264513824,NA,0.4527594503676743,0.47288364166428504,0.21563478703256028,NA
201411040IND,IND,2015,0,2014-11-04,1388.1831788486522,1385.2588802946902,1371.5210077679683,1382.6601264416336,0.6128827999078978,0.8447810735486175,NA,0.5472405496323257,0.5271163583357149,0.7843652129674397,NA
201411040LAL,PHO,2015,1,2014-11-04,1503.7068207345264,1201.509448606676,1492.2035575403804,1178.2605892208949,0.6935029758722692,0.5689644266994911,NA,0.8273403765855295,0.836786133253312,0.6638680639386108,NA
201411040LAL,LAL,2015,0,2014-11-04,1201.509448606676,1503.7068207345264,1178.2605892208949,1492.2035575403804,0.3064970241277308,0.4310355733005089,NA,0.17265962341447044,0.16321386674668809,0.33613193606138914,NA
201411040MIA,HOU,2015,1,2014-11-04,1547.2306107881454,1584.1765543089195,1564.5479451528668,1623.142031675939,0.4394987843650644,0.3924494190254634,NA,0.40483193336288,0.3751962079506227,0.49148197890976886,NA
201411040MIA,MIA,2015,0,2014-11-04,1584.1765543089195,1547.2306107881454,1623.142031675939,1564.5479451528668,0.5605012156349356,0.6075505809745366,NA,0.5951680666371201,0.6248037920493774,0.5085180210902311,NA
201411040NOP,CHO,2015,0,2014-11-04,1551.9418246465664,1579.887861918075,1549.6738658309014,1543.2930959661062,0.3818508535489667,0.4289811420595811,NA,0.4173736509687235,0.46606146169689766,0.529202506222893,NA
201411040NOP,NOP,2015,1,2014-11-04,1579.887861918075,1551.9418246465664,1543.2930959661062,1549.6738658309014,0.6181491464510332,0.5710188579404188,NA,0.5826263490312764,0.5339385383031022,0.470797493777107,NA
201411040NYK,WAS,2015,1,2014-11-04,1558.3055844061041,1502.5694655748762,1580.1085087323497,1543.5405215708802,0.5366715146478288,0.3894453612147329,NA,0.5369696590511908,0.5094509675321154,0.4883291651183424,NA
201411040NYK,NYK,2015,0,2014-11-04,1502.5694655748762,1558.3055844061041,1543.5405215708802,1580.1085087323497,0.4633284853521711,0.6105546387852671,NA,0.4630303409488092,0.4905490324678848,0.5116708348816575,NA
201411040POR,CLE,2015,0,2014-11-04,1740.0979956003696,1537.2097643168945,1721.2559540493594,1514.632516887947,0.5668328047122791,0.2514099884172476,NA,0.7301186545432291,0.7343344191308183,0.33444384313569175,NA
201411040POR,POR,2015,1,2014-11-04,1537.2097643168945,1740.0979956003696,1514.632516887947,1721.2559540493594,0.4331671952877208,0.7485900115827524,NA,0.2698813454567709,0.2656655808691817,0.6655561568643082,NA
201411040TOR,OKC,2015,0,2014-11-04,1314.0364573221354,1618.2415738664722,1300.847994542023,1631.9930605642426,0.1423280959857881,0.3970776170704446,NA,0.12743404603537578,0.11116281823786581,0.4963239891333702,NA
201411040TOR,TOR,2015,1,2014-11-04,1618.2415738664722,1314.0364573221354,1631.9930605642426,1300.847994542023,0.8576719040142119,0.6029223829295554,NA,0.8725659539646242,0.8888371817621342,0.5036760108666297,NA
201411050BOS,TOR,2015,1,2014-11-05,1575.123951711707,1441.0858755513932,1581.174224885682,1443.626741944106,0.4508067067383739,0.609364669154695,NA,0.6454026140667668,0.6500122551256658,0.7000623562598957,NA
201411050BOS,BOS,2015,0,2014-11-05,1441.0858755513932,1575.123951711707,1443.626741944106,1581.174224885682,0.549193293261626,0.3906353308453049,NA,0.35459738593323314,0.3499877448743342,0.2999376437401043,NA
201411050BRK,MIN,2015,1,2014-11-05,1587.2350431827049,1436.8965393875997,1559.0891483733271,1466.1755280505813,0.3465414253795996,0.3252639412220833,NA,0.6665726448872644,0.5895631868062915,0.41903593626286295,NA
201411050BRK,BRK,2015,0,2014-11-05,1436.8965393875997,1587.2350431827049,1466.1755280505813,1559.0891483733271,0.6534585746204004,0.6747360587779166,NA,0.33342735511273563,0.41043681319370856,0.580964063737137,NA
201411050CHO,MIA,2015,0,2014-11-05,1572.2983954397025,1629.7234136336308,1575.8558277879295,1565.4874340940055,0.4728029842977357,0.4749393892321644,NA,0.37677513099394466,0.47177787635700213,0.5750843093108254,NA
201411050CHO,CHO,2015,1,2014-11-05,1629.7234136336308,1572.2983954397025,1565.4874340940055,1575.8558277879295,0.5271970157022642,0.5250606107678356,NA,0.6232248690060552,0.5282221236429978,0.42491569068917456,NA
201411050DET,NYK,2015,0,2014-11-05,1652.7063405035356,1458.7226378702546,1647.783017989489,1434.699653117018,0.3785271851342051,0.5472978870879355,NA,0.7199000890730397,0.741525511334519,0.6439870033227774,NA
201411050DET,DET,2015,1,2014-11-05,1458.7226378702546,1652.7063405035356,1434.699653117018,1647.783017989489,0.6214728148657948,0.4527021129120645,NA,0.2800999109269602,0.258474488665481,0.3560129966772226,NA
