game_id,elo1_pre,elo2_pre,elo1_post,elo_2post,neutral,elo_prob1,elo_prob2
201902070IND,1580.8474662488336,1508.6985990823255,1590.380059211184,1499.166006119975,0,0.7292791843428109,0.2707208156571891
201902070OKC,1612.3936202778777,1398.5829378642673,1616.6123083365176,1394.3642498056274,0,0.8589310045988361,0.14106899540116388
201902070ORL,1431.9232217516435,1515.9071469382905,1442.5357172924028,1505.2946513975312,0,0.5230326717730572,0.47696732822694277
201902070POR,1578.3023354636464,1562.5185034965791,1584.8249573335322,1555.9958816266933,0,0.6607201993774356,0.33927980062256424
201902080BRK,1497.4836906163378,1296.7585517471416,1465.4859740153781,1328.7562683481012,0,0.8495547367762787,0.1504452632237213
201902080DAL,1503.477626099974,1711.1558786596077,1495.4001556172516,1719.23334914233,0,0.3498165117131082,0.6501834882868919
201902080DET,1475.4416375885646,1261.2801727121007,1478.963658991782,1257.7581513088833,0,0.8591754988339134,0.14082450116608655
201902080NOP,1516.8079194134702,1505.2946513975312,1521.6167728543512,1500.4857979566502,0,0.655187795573998,0.34481220442600197
201902080PHI,1611.551903014096,1580.5693712813425,1616.805046763337,1575.3162275321015,0,0.6800487970386025,0.3199512029613975
201902080PHO,1278.4100739268015,1711.7907732221777,1276.4379490680417,1713.7628980809375,0,0.12796267899878955,0.8720373210012103
201902080SAC,1471.9240898137373,1466.8432854851371,1477.364759464282,1461.4026158345923,0,0.6467751157220644,0.3532248842779355
201902080WAS,1466.7217418919233,1290.9853096436377,1470.369226249706,1287.3378252858552,0,0.8302311706009301,0.16976882939906987
201902090ATL,1395.1981519742633,1473.8260105465727,1385.477745898891,1483.546416621945,0,0.5307182480561211,0.46928175194387894
201902090BOS,1618.7663634420396,1499.166006119975,1599.777627742062,1518.1547418199527,0,0.7797347460735943,0.22026525392640575
201902090CHI,1328.7562683481012,1470.369226249706,1321.0551912789456,1478.0703033188615,0,0.4403988655007823,0.5596011344992178
201902090HOU,1619.9931170783443,1616.6123083365176,1610.8968276247463,1625.7085977901156,0,0.6445362458334434,0.3554637541665566
201902090IND,1590.380059211184,1287.3378252858552,1592.3191634349369,1285.3987210621024,0,0.9105278920851013,0.08947210791489862
201902090MEM,1394.3642498056274,1521.6167728543512,1406.0496244601968,1509.9313981997818,0,0.46086070438398646,0.5391392956160135
201902090MIL,1719.23334914233,1442.5357172924028,1681.4770350955912,1480.2920313391417,0,0.8973799371938609,0.10262006280613906
201902090NYK,1257.7581513088833,1646.2087055464776,1256.043306258608,1647.9235505967529,0,0.15970094609414634,0.8402990539058537
201902090UTA,1582.063071914689,1555.9958816266933,1592.5292939757621,1545.5296595656202,0,0.6738611967737637,0.32613880322623634
201902100ATL,1385.477745898891,1480.2920313391417,1372.2153164583808,1493.554460779652,0,0.5074622890194451,0.49253771098055477
201902100DAL,1495.4001556172516,1584.8249573335322,1499.6210385927964,1580.6040743579874,0,0.5152142355130491,0.48478576448695077
201902100GSW,1713.7628980809375,1461.4026158345923,1714.6976690562383,1460.4678448592915,0,0.8837415404983171,0.11625845950168294
201902100PHI,1616.805046763337,1479.5687232581001,1623.4256480412046,1472.9481219802326,0,0.7966751494542402,0.20332485054575977
201902100SAC,1477.364759464282,1276.4379490680417,1480.537827464318,1273.2648810680057,0,0.8497030547956226,0.15029694520437745
201902110CHI,1321.0551912789456,1681.4770350955912,1317.5827321012698,1684.949494273267,0,0.18255850482300137,0.8174414951769986
201902110CLE,1285.3987210621024,1256.043306258608,1288.9163856678026,1252.5256416529078,0,0.6780073969742271,0.3219926030257729
201902110DEN,1575.3162275321015,1460.4678448592915,1581.110225801884,1454.673846589509,0,0.7750007115959912,0.22499928840400893
201902110DET,1478.963658991782,1478.0703033188615,1485.9427152540784,1471.0912470565652,0,0.6412488986366979,0.3587511013633021
201902110HOU,1610.8968276247463,1499.6210385927964,1616.7991439589182,1493.7187222586244,0,0.7713943413860131,0.22860565861398682
201902110IND,1592.3191634349369,1483.546416621945,1596.4589981453335,1479.4065819115483,0,0.7688435122901768,0.23115648770982328
201902110MIN,1500.4857979566502,1518.1547418199527,1508.5633734412897,1510.0771663353132,0,0.6163148494523305,0.3836851505476695
201902110OKC,1625.7085977901156,1580.6040743579874,1631.3929950746392,1574.9196770734638,0,0.6974720521397608,0.3025279478602392
201902110TOR,1647.9235505967529,1465.4859740153781,1649.3099331786525,1464.0995914334785,0,0.8355991533409635,0.1644008466590365
201902120ATL,1372.2153164583808,1472.9481219802326,1379.1085217456523,1466.0549166929611,0,0.49894540964466155,0.5010545903553384
201902120GSW,1714.6976690562383,1592.5292939757621,1718.0350307322383,1589.1919322997621,0,0.7822631503662696,0.21773684963373036
201902120MEM,1406.0496244601968,1545.5296595656202,1402.8248710363132,1548.7544129895039,0,0.44342695062112075,0.5565730493788792
201902120NOP,1509.9313981997818,1493.554460779652,1480.620609412782,1522.8652495666518,0,0.6614851343838953,0.33851486561610467
201902120PHI,1623.4256480412046,1599.777627742062,1615.7807213500114,1607.422554433255,0,0.6707932999862058,0.32920670001379415
201902130BOS,1607.422554433255,1485.9427152540784,1611.0373301798911,1482.3279395074424,0,0.7815872967085645,0.21841270329143542
201902130CHI,1317.5827321012698,1402.8248710363132,1329.5404171044256,1390.8671860331574,0,0.5212255054255855,0.4787744945744144
201902130CLE,1288.9163856678026,1464.0995914334785,1282.1981668326653,1470.8178102686159,0,0.39346046427952835,0.6065395357204717
201902130DAL,1493.7187222586244,1454.673846589509,1478.0316861214233,1470.36088272671,0,0.6900614597011888,0.3099385402988112
201902130DEN,1581.110225801884,1480.537827464318,1583.2536997335574,1478.3943535326448,0,0.7603478513192834,0.2396521486807165
201902130IND,1596.4589981453335,1684.949494273267,1587.0676685902986,1694.3408238283018,0,0.5165574512594491,0.4834425487405508
201902130LAC,1510.0771663353132,1273.2648810680057,1514.3617866765983,1268.9802607267206,0,0.8742254601380025,0.12577453986199758
201902130MIN,1508.5633734412897,1616.7991439589182,1520.1939088536697,1605.1686085465383,0,0.4881499929130007,0.5118500070869993
201902130NYK,1252.5256416529078,1615.7807213500114,1248.767292040904,1619.539070962015,0,0.18013722525515785,0.8198627747448423
201902130POR,1574.9196770734638,1718.0350307322383,1597.1352289920133,1695.8194788136889,0,0.43826857753244036,0.5617314224675597
