gameId,homeTeamElo,awayTeamElo,homeTeamEloAfter,awayTeamEloAfter,homeTeamProb,awayTeamProb
201510270ATL,1543.2144575223622,1497.1259172553885,1526.3323455457669,1514.0080292319838,0.6986659408883652,0.3013340591116349
201510270CHI,1587.0227380360484,1663.6976797391776,1591.8252904687936,1658.8951273064324,0.5335171173651766,0.46648288263482335
201510270GSW,1746.2341668914669,1517.7658331085331,1749.351927929663,1514.648072070337,0.8688485107124188,0.1311514892875812
201510280BOS,1524.098252150239,1328.901747849761,1528.0144825329571,1324.9855174670429,0.8454416783774186,0.1545583216225814
201510280BRK,1457.7483073311416,1591.8252904687936,1446.7778516014305,1602.795746198505,0.45111593309984693,0.5488840669001531
201510280DET,1514.0080292319838,1536.6596252222494,1519.6055115919191,1531.062142862314,0.6095100500241498,0.39048994997585007
201510280HOU,1585.456655976193,1474.543344023807,1557.737924021672,1502.262075978328,0.7710261738254149,0.228973826174585
201510280LAL,1333.6022653938755,1329.3977346061245,1328.3655589800132,1334.6344410199868,0.6456218729934604,0.35437812700653964
201510280MEM,1559.5312748936324,1658.8951273064324,1539.2392546833016,1679.1871475167632,0.5009154889464643,0.49908451105353563
201510280MIA,1474.18022098012,1420.81977901988,1480.0044155704384,1414.9955844295616,0.7074049429064567,0.29259505709354333
201510280MIL,1459.0,1318.0,1424.4178828816175,1352.5821171183825,0.8001620559151358,0.1998379440848642
201510280OKC,1564.0,1667.0,1572.4998869472015,1658.5001130527985,0.49568276024493996,0.5043172397550599
201510280ORL,1360.0,1536.0,1357.2198474764375,1538.7801525235625,0.39233893587318025,0.6076610641268197
201510280PHO,1476.0,1544.0,1461.4421664137355,1558.5578335862645,0.5459219227804838,0.4540780772195162
201510280POR,1544.0,1514.648072070337,1553.5833193015094,1505.0647527688277,0.6780030149597375,0.32199698504026253
201510280SAC,1440.0,1647.0,1434.9375445237554,1652.0624554762446,0.35070505288903664,0.6492949471109634
201510280TOR,1502.0,1505.0,1508.1379297772771,1498.8620702227229,0.6360768996878817,0.3639231003121182
201510290IND,1498.8620702227229,1539.2392546833016,1487.8303845545522,1550.2709403514723,0.5849716408447445,0.41502835915525543
201510290LAC,1652.0624554762446,1558.5578335862645,1658.5278160539954,1552.0924730085137,0.7528558758440778,0.24714412415592218
201510290NYK,1352.5821171183825,1526.3323455457669,1344.9364069226772,1533.9780557414722,0.3954307744957105,0.6045692255042894
201510300ATL,1533.9780557414722,1414.9955844295616,1536.2330832711073,1412.7405568999266,0.7791232568490686,0.2208767431509315
201510300BOS,1528.0144825329571,1508.1379297772771,1513.9686719211145,1522.1837403891195,0.665981365801241,0.33401863419875905
201510300CLE,1679.1871475167632,1480.0044155704384,1681.900851677233,1477.2907114099685,0.8484163976311877,0.15158360236881238
201510300DEN,1502.262075978328,1334.6344410199868,1474.39982786345,1362.496689134865,0.8235502605087117,0.1764497394912883
201510300DET,1519.6055115919191,1602.795746198505,1526.0532410637466,1596.3480167266775,0.5241723386283267,0.4758276613716733
201510300HOU,1557.737924021672,1749.351927929663,1547.1955611356557,1759.8942908156791,0.3711298957345351,0.628870104265465
201510300MIL,1424.4178828816175,1538.7801525235625,1418.2367619521513,1544.9612734530288,0.47934279768648913,0.5206572023135109
201510300ORL,1357.2198474764375,1572.4998869472015,1353.9774304487712,1575.742303974868,0.33993020753338715,0.6600697924666128
201510300PHI,1324.9855174670429,1531.062142862314,1312.4187565769769,1543.62890375238,0.3519163799549116,0.6480836200450885
201510300PHO,1461.4421664137355,1553.5833193015094,1477.5128338951313,1537.5126518201137,0.5113078616577265,0.48869213834227354
201510300SAC,1434.9375445237554,1328.3655589800132,1441.4890531704302,1321.8140503333384,0.7665843443303265,0.23341565566967348
201510300SAS,1658.5001130527985,1446.7778516014305,1663.438932751166,1441.8390319030625,0.8574680313208615,0.14253196867913853
201510310IND,1487.8303845545522,1543.62890375238,1469.5540863943718,1561.9052019125604,0.5632700603290538,0.43672993967094625
201510310LAC,1658.5278160539954,1441.4890531704302,1660.192761194676,1439.8241080297496,0.8611676156214375,0.13883238437856243
201510310MEM,1550.2709403514723,1441.8390319030625,1554.6923079034989,1437.417664351036,0.7684946313751726,0.23150536862482737
201510310NOP,1505.0647527688277,1759.8942908156791,1498.8501090627335,1766.108934521773,0.29084771751747424,0.7091522824825257
201510310POR,1537.5126518201137,1477.5128338951313,1520.9666315033735,1494.0588542118712,0.7152525375849104,0.2847474624150896
201510310WAS,1544.9612734530288,1344.9364069226772,1527.9542909816137,1361.9433893940925,0.8490387906515876,0.1509612093484124
201511010BOS,1513.9686719211145,1663.438932751166,1507.006035030567,1670.4015696417132,0.429283827397828,0.570716172602172
201511010CHI,1596.3480167266775,1353.9774304487712,1597.7897818691308,1352.535665306318,0.8777016867414426,0.12229831325855738
201511010CHO,1412.7405568999266,1536.2330832711073,1408.640019830427,1540.3336203406068,0.46624296745472826,0.5337570325452718
201511010LAL,1321.8140503333384,1552.0924730085137,1316.1910247356416,1557.7154986062103,0.32083374602963494,0.679166253970365
201511010MIA,1477.2907114099685,1547.1955611356557,1493.1421176805547,1531.3441548650694,0.5432024051793631,0.45679759482063687
201511010OKC,1575.742303974868,1474.39982786345,1583.9708113249364,1466.1713205133815,0.7611546817963437,0.23884531820365623
201511010TOR,1522.1837403891195,1418.2367619521513,1529.0760859250138,1411.3444164162572,0.7638696507944046,0.23613034920559542
201511020BRK,1437.417664351036,1411.3444164162572,1425.8379270854512,1422.9241536818422,0.6738688603226624,0.32613113967733764
